id,Name <br />(100 chars)_l,source,Name <br />(100 chars)_r,id_cont,Title <br />(100 chars),Level <br />(choose),Start Page_cont,End Page_cont,Narrator <br />(choose),Protagonist <br />(choose),Embed. Type <br />(choose),id_rel,Type of Relationship <br />(choose),Character 1 <br />(choose),Character 2 <br />(choose),Is Reciprocal? <br />(choose),Narrative Container <br />(choose),Start Page_rel,End Page_rel,index
46,Holy Track,3,Evelina Harp,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,146,Knows of,Evelina Harp,Holy Track,0,Mustache Maude,17,17,
48,Asiginak,3,Evelina Harp,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,147,Knows of,Evelina Harp,Asiginak,0,Mustache Maude,17,17,
47,Cuthbert Peace,3,Evelina Harp,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,148,Knows of,Evelina Harp,Cuthbert Peace,0,Mustache Maude,17,17,
63,Frederic Vogeli,3,Evelina Harp,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,232,Knows of,Evelina Harp,Frederic Vogeli,0,Mustache Maude,17,17,
65,Oric Hoag,3,Evelina Harp,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,234,Knows of,Evelina Harp,Oric Hoag,0,Mustache Maude,17,17,
66,Eugene Wildstrand,3,Evelina Harp,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,235,Knows of,Evelina Harp,Eugene Wildstrand,0,Mustache Maude,17,17,
68,William Hotchkiss,3,Evelina Harp,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,236,Knows of,Evelina Harp,William Hotchkiss,0,Mustache Maude,17,17,
67,Emil Buckendorf,3,Evelina Harp,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,237,Knows of,Evelina Harp,Emil Buckendorf,0,Mustache Maude,17,17,
69,Woman (murdered a couple farms over),3,Evelina Harp,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,261,Knows of,Evelina Harp,Woman (murdered a couple farms over),0,Mustache Maude,17,18,
71,Husband (of the woman murdered a couple farms over,3,Evelina Harp,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,262,Knows of,Evelina Harp,Husband (of the woman murdered a couple farms over,0,Mustache Maude,17,18,
72,Neighbours (of Maude Black),3,Evelina Harp,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,263,Knows of,Evelina Harp,Neighbours (of Maude Black),0,Mustache Maude,17,18,
43,Ott Black,3,Evelina Harp,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,268,Knows of,Evelina Harp,Ott Black,0,Mustache Maude,18,18,
73,Man (who Ott shot in the leg),3,Evelina Harp,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,269,Knows of,Evelina Harp,Man (who Ott shot in the leg),0,Mustache Maude,18,18,
74,Doctor (who Maude sent for),3,Evelina Harp,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,272,Knows of,Evelina Harp,Doctor (who Maude sent for),0,Mustache Maude,18,18,
34,Junesse Malaterre,3,Evelina Harp,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,348,Knows,Evelina Harp,Junesse Malaterre,0,Mustache Maude,19,19,
16,Clemence Harp,3,Evelina Harp,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,351,Knows,Evelina Harp,Clemence Harp,1,Mustache Maude,19,19,
19,Geraldine Milk,3,Evelina Harp,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,354,Knows,Evelina Harp,Geraldine Milk,1,Mustache Maude,19,19,
20,Uncle Whitey,3,Evelina Harp,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,357,Knows,Evelina Harp,Uncle Whitey,1,Mustache Maude,19,19,
86,Seraph and Junesse's Other Children,3,Evelina Harp,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,360,Knows of,Evelina Harp,Seraph and Junesse's Other Children,0,Mustache Maude,19,19,
18,Edward Harp,3,Evelina Harp,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,362,Knows,Evelina Harp,Edward Harp,1,Mustache Maude,19,19,
