source,target,type,weight,startPage,category,Character 1,Character 2
897.0,1713.0,directed,1,42,Exchange,,
903.0,1712.0,directed,1,42,Exchange,,
903.0,899.0,directed,1,42,Exchange,,
899.0,903.0,directed,1,42,Exchange,,
897.0,903.0,directed,1,42,Exchange,,
899.0,897.0,directed,1,43,Exchange,,
897.0,1712.0,directed,1,43,Exchange,,
897.0,899.0,directed,1,43,Exchange,,
897.0,903.0,directed,1,43,Exchange,,
903.0,897.0,directed,1,43,Exchange,,
897.0,899.0,directed,1,44,Exchange,,
897.0,903.0,directed,1,44,Exchange,,
899.0,897.0,directed,1,44,Exchange,,
903.0,897.0,directed,1,44,Exchange,,
1712.0,903.0,directed,1,44,Exchange,,
903.0,1712.0,directed,1,44,Exchange,,
899.0,905.0,directed,1,45,Exchange,,
905.0,907.0,directed,1,45,Exchange,,
907.0,905.0,directed,1,45,Exchange,,
905.0,899.0,directed,1,45,Exchange,,
1713.0,1711.0,directed,1,45,Exchange,,
1712.0,1711.0,directed,1,45,Exchange,,
1713.0,1712.0,directed,1,45,Exchange,,
1711.0,1712.0,directed,1,45,Exchange,,
1711.0,1713.0,directed,1,45,Exchange,,
1712.0,1713.0,directed,1,45,Exchange,,
1713.0,1712.0,directed,1,46,Exchange,,
1713.0,1711.0,directed,1,46,Exchange,,
1710.0,899.0,directed,1,46,Exchange,,
899.0,1710.0,directed,1,46,Exchange,,
1712.0,1713.0,directed,1,46,Exchange,,
1711.0,1713.0,directed,1,46,Exchange,,
1712.0,899.0,directed,1,47,Exchange,,
1713.0,899.0,directed,1,47,Exchange,,
903.0,1712.0,directed,1,47,Exchange,,
899.0,1712.0,directed,1,47,Exchange,,
1712.0,903.0,directed,1,47,Exchange,,
903.0,899.0,directed,1,47,Exchange,,
899.0,1713.0,directed,1,47,Exchange,,
899.0,1712.0,directed,1,48,Exchange,,
903.0,1712.0,directed,1,48,Exchange,,
1712.0,903.0,directed,1,48,Exchange,,
899.0,903.0,directed,1,48,Exchange,,
1712.0,899.0,directed,1,48,Exchange,,
903.0,899.0,directed,1,48,Exchange,,
1712.0,899.0,directed,1,49,Exchange,,
899.0,1712.0,directed,1,49,Exchange,,
1712.0,903.0,directed,1,49,Exchange,,
899.0,903.0,directed,1,49,Exchange,,
1713.0,899.0,directed,1,49,Exchange,,
903.0,1712.0,directed,1,49,Exchange,,
899.0,1713.0,directed,1,49,Exchange,,
903.0,1713.0,directed,1,50,Exchange,,
1711.0,1713.0,directed,1,50,Exchange,,
903.0,1712.0,directed,1,50,Exchange,,
1713.0,1712.0,directed,1,50,Exchange,,
899.0,1712.0,directed,1,50,Exchange,,
1712.0,1713.0,directed,1,50,Exchange,,
899.0,903.0,directed,1,50,Exchange,,
1713.0,903.0,directed,1,50,Exchange,,
1713.0,1711.0,directed,1,50,Exchange,,
1712.0,903.0,directed,1,50,Exchange,,
903.0,899.0,directed,1,50,Exchange,,
1712.0,899.0,directed,1,50,Exchange,,
1713.0,1711.0,directed,1,51,Exchange,,
1713.0,1712.0,directed,1,51,Exchange,,
1712.0,1713.0,directed,1,51,Exchange,,
1711.0,1713.0,directed,1,51,Exchange,,
1711.0,1712.0,directed,1,52,Exchange,,
903.0,1712.0,directed,1,52,Exchange,,
1712.0,1711.0,directed,1,52,Exchange,,
1712.0,903.0,directed,1,52,Exchange,,
1713.0,1710.0,directed,1,53,Exchange,,
904.0,1710.0,directed,1,53,Exchange,,
1710.0,1713.0,directed,1,53,Exchange,,
904.0,1713.0,directed,1,53,Exchange,,
904.0,1712.0,directed,1,53,Exchange,,
904.0,1711.0,directed,1,53,Exchange,,
1710.0,904.0,directed,1,53,Exchange,,
899.0,904.0,directed,1,53,Exchange,,
904.0,903.0,directed,1,53,Exchange,,
904.0,899.0,directed,1,53,Exchange,,
903.0,904.0,directed,1,53,Exchange,,
1713.0,904.0,directed,1,53,Exchange,,
1711.0,904.0,directed,1,53,Exchange,,
1712.0,904.0,directed,1,53,Exchange,,
899.0,1713.0,directed,1,54,Exchange,,
899.0,1711.0,directed,1,54,Exchange,,
904.0,1711.0,directed,1,54,Exchange,,
1713.0,1712.0,directed,1,54,Exchange,,
1711.0,899.0,directed,1,54,Exchange,,
1713.0,899.0,directed,1,54,Exchange,,
904.0,899.0,directed,1,54,Exchange,,
899.0,904.0,directed,1,54,Exchange,,
1711.0,904.0,directed,1,54,Exchange,,
1713.0,1712.0,directed,1,55,Exchange,,
1713.0,903.0,directed,1,55,Exchange,,
903.0,1713.0,directed,1,55,Exchange,,
1712.0,1713.0,directed,1,55,Exchange,,
1712.0,903.0,directed,1,56,Exchange,,
903.0,1713.0,directed,1,56,Exchange,,
903.0,1712.0,directed,1,56,Exchange,,
1713.0,903.0,directed,1,56,Exchange,,
1711.0,1713.0,directed,1,57,Exchange,,
1712.0,903.0,directed,1,57,Exchange,,
903.0,1712.0,directed,1,57,Exchange,,
1713.0,1711.0,directed,1,57,Exchange,,
903.0,897.0,directed,1,58,Exchange,,
904.0,903.0,directed,1,58,Exchange,,
904.0,899.0,directed,1,58,Exchange,,
899.0,904.0,directed,1,58,Exchange,,
897.0,903.0,directed,1,58,Exchange,,
903.0,904.0,directed,1,58,Exchange,,
903.0,896.0,directed,1,59,Exchange,,
897.0,904.0,directed,1,59,Exchange,,
903.0,1713.0,directed,1,59,Exchange,,
905.0,907.0,directed,1,59,Exchange,,
904.0,1713.0,directed,1,59,Exchange,,
904.0,906.0,directed,1,59,Exchange,,
904.0,907.0,directed,1,59,Exchange,,
903.0,906.0,directed,1,59,Exchange,,
903.0,907.0,directed,1,59,Exchange,,
904.0,896.0,directed,1,59,Exchange,,
1713.0,903.0,directed,1,59,Exchange,,
897.0,903.0,directed,1,59,Exchange,,
896.0,903.0,directed,1,59,Exchange,,
906.0,903.0,directed,1,59,Exchange,,
905.0,903.0,directed,1,59,Exchange,,
907.0,903.0,directed,1,59,Exchange,,
1713.0,904.0,directed,1,59,Exchange,,
905.0,904.0,directed,1,59,Exchange,,
896.0,904.0,directed,1,59,Exchange,,
906.0,904.0,directed,1,59,Exchange,,
907.0,904.0,directed,1,59,Exchange,,
903.0,905.0,directed,1,59,Exchange,,
904.0,905.0,directed,1,59,Exchange,,
907.0,905.0,directed,1,59,Exchange,,
896.0,904.0,directed,1,60,Exchange,,
897.0,896.0,directed,1,60,Exchange,,
897.0,904.0,directed,1,60,Exchange,,
896.0,903.0,directed,1,60,Exchange,,
896.0,897.0,directed,1,60,Exchange,,
907.0,896.0,directed,1,60,Exchange,,
906.0,896.0,directed,1,60,Exchange,,
903.0,896.0,directed,1,60,Exchange,,
904.0,896.0,directed,1,60,Exchange,,
896.0,907.0,directed,1,60,Exchange,,
896.0,906.0,directed,1,60,Exchange,,
897.0,905.0,directed,1,60,Exchange,,
897.0,896.0,directed,1,61,Exchange,,
897.0,904.0,directed,1,61,Exchange,,
896.0,1751.0,directed,1,61,Exchange,,
897.0,903.0,directed,1,61,Exchange,,
903.0,897.0,directed,1,61,Exchange,,
896.0,897.0,directed,1,61,Exchange,,
1751.0,896.0,directed,1,61,Exchange,,
904.0,897.0,directed,1,61,Exchange,,
1751.0,896.0,directed,1,62,Exchange,,
897.0,896.0,directed,1,62,Exchange,,
896.0,897.0,directed,1,62,Exchange,,
