id,Type of Relationship,Character 1,Character 2,Is Reciprocal?,Narrative Container,Start Page,End Page
192,"Knows","Josie Burke","Jesus","0","Josie","26","26"
193,"Knows","Josie Burke","Bobby Mahon","1","Josie","26","26"
194,"Knows","Eamonn Burke","Eamonn's daughter","1","Josie","26","26"
195,"Knows","Yvonne Burke","Eamonn's daughter","1","Josie","26","26"
196,"Exchange","Josie Burke","Pokey Burke","1","Josie","26","26"
197,"Knows","Josie Burke","the Cunliffes' son","0","Josie","26","26"
198,"Knows","Josie Burke","the Cunliffes","0","Josie","26","26"
199,"Knows","the Cunliffes","the Cunliffes' son","1","Josie","26","26"
200,"Knows","the Cunliffes' son","the Cunliffes' son's aunt","1","Josie","26","26"
201,"Exchange","Armed Response Guards","the Cunliffes' son","1","Josie","26","26"
202,"Knows","Josie Burke","God","0","Josie","26","26"
203,"Knows","Lily","Lily's fifth child","1","Lily","27","27"
204,"Exchange","Lily","midwife","1","Lily","27","27"
205,"Knows of","midwife","Bernie McDermott","0","Lily","27","27"
206,"Knows of","Bernie McDermott","Lily's fifth child","0","Lily","27","27"
207,"Exchange","Lily","Bernie McDermott","1","Lily","27","27"
208,"Exchange","Lily","Jim Gildea","1","Lily","27","28"
209,"Exchange","Lily","Men (who come see Lily)","1","Lily","28","29"
210,"Exchange","Lily","""old farmers"" (28)","1","Lily","28","28"
211,"Exchange","Lily","fella ""with a toughie English accent"" (28)","1","Lily","28","28"
212,"Exchange","Lily","""young fella"" (28)","1","Lily","28","29"
213,"Knows","Lily","John-John","1","Lily","29","29"
214,"Knows","Lily","Lily's children","1","Lily","29","30"
215,"Exchange","Lily","Josie Burke","1","Lily","29","30"
216,"Knows","Lily","""old farmers"" (28)","1","Lily","29","29"
217,"Knows","Josie Burke","Eileen Burke","1","Lily","30","30"
218,"Knows","Eileen Burke","Eamonn Burke","1","Lily","30","30"
219,"Knows","Josie Burke","Eamonn Burke","1","Lily","30","30"
220,"Knows","Josie Burke","Pokey Burke","1","Lily","30","30"
221,"Knows","Josie Burke","Mags Burke","1","Lily","30","30"
222,"Knows","Lily","Men (who come see Lily)","1","Lily","30","30"
223,"Knows","Lily","Hughie","1","Lily","30","30"
224,"Knows","Hughie","Hughie's wife","1","Lily","30","30"
225,"Knows","Hughie","Millicent","1","Lily","30","30"
226,"Knows","Hughie's wife","Millicent","1","Lily","30","30"
227,"Knows of","Lily","Hughie's wife","0","Lily","30","30"
228,"Knows of","Lily","Millicent","0","Lily","30","30"
229,"Exchange","Lily","John-John","1","Lily","30","31"
230,"Knows","Lily","Lily's fifth child","1","Lily","30","30"
231,"Exchange","Lily","Bobby Mahon","1","Lily","31","32"
232,"Knows","Bobby Mahon","Bobby's Mother","1","Lily","31","31"
233,"Knows","Bobby Mahon","Frank Mahon","1","Lily","31","31"
234,"Exchange","Bobby Mahon","Triona Cahill/Mahon","1","Lily","32","32"
235,"Exchange","Lily","Bernie McDermott","1","Lily","32","33"
236,"Knows","Lily","John-John","1","Lily","32","34"
237,"Knows","Lily","Lily's children","1","Lily","32","33"
238,"Exchange","Lily","Lily's fifth child","1","Lily","32","32"
239,"Exchange","John-John","Lily's children","1","Lily","32","32"
240,"Exchange","Bernie McDermott","John-John","1","Lily","32","32"
241,"Knows","Lily's Mother","Lily","1","Lily","32","32"
242,"Knows","Bernie McDermott","The McDermotts","1","Lily","33","33"
