,id_cont,Title <br />(100 chars),Level <br />(choose),Start Page_cont,End Page_cont,Narrator <br />(choose),Protagonist <br />(choose),Embed. Type <br />(choose),id_rel,Type of Relationship <br />(choose),Character 1 <br />(choose),Character 2 <br />(choose),Is Reciprocal? <br />(choose),Narrative Container <br />(choose),Start Page_rel,End Page_rel,index
47,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],235,Exchange,Dene Oxendene,"""middle-aged black guy"" (2) (grant judge)",1,Dene Oxendene (I),39,41,
48,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],236,Exchange,Dene Oxendene,"""black guy...with a white beard"" (grant judge)",1,Dene Oxendene (I),39,41,
49,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],237,Exchange,Dene Oxendene,"""An older guy who's...Native"" (grant judge)",1,Dene Oxendene (I),39,41,
50,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],238,Exchange,Dene Oxendene,"""An Indian...woman"" (grant judge)",1,Dene Oxendene (I),39,41,
51,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],242,Exchange,Dene Oxendene,Norma,1,Dene Oxendene (I),43,43,
52,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],243,Knows,Dene Oxendene,Lucas,1,Dene Oxendene (I),43,44,
53,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],296,Knows of,Dene Oxendene,"""An Indian...woman"" (grant judge)",0,Dene Oxendene (I),28,28,
54,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],297,Knows of,Dene Oxendene,"""An older guy who's...Native"" (grant judge)",0,Dene Oxendene (I),28,28,
55,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],298,Knows of,Dene Oxendene,"""black guy...with a white beard"" (grant judge)",0,Dene Oxendene (I),28,28,
56,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],299,Knows of,Dene Oxendene,"""middle-aged black guy"" (2) (grant judge)",0,Dene Oxendene (I),28,28,
57,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],300,Knows of,Dene Oxendene,"""middle-aged white lady"" (1) (grant judge)",0,Dene Oxendene (I),28,28,
58,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],301,Knows of,Dene Oxendene,"""middle-aged white lady"" (2) (grant judge)",1,Dene Oxendene (I),28,28,
59,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],302,Knows of,Dene Oxendene,"""Old white lady"" (grant judge)",0,Dene Oxendene (I),28,28,
60,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],303,Knows of,Dene Oxendene,"""youngish Hispanic guy"" (grant judge)",0,Dene Oxendene (I),28,28,
61,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],304,Knows,Dene Oxendene,"""old guy on bus""",0,Dene Oxendene (I),29,29,
