source,target,startPage,type,weight
139,84,24,Undirected,1
139,77,24,Undirected,1
69,77,24,Undirected,1
77,84,24,Undirected,1
130,69,24,Undirected,1
66,130,24,Undirected,1
66,69,24,Undirected,1
130,139,24,Undirected,1
130,84,24,Undirected,1
66,139,24,Undirected,1
66,84,25,Undirected,1
84,77,25,Undirected,1
66,77,25,Undirected,1
66,84,26,Undirected,1
84,77,26,Undirected,1
66,77,26,Undirected,1
99,103,28,Undirected,1
98,101,28,Undirected,1
99,100,28,Undirected,1
98,104,28,Undirected,1
101,103,28,Undirected,1
101,100,28,Undirected,1
104,102,28,Undirected,1
98,67,28,Undirected,1
97,99,28,Undirected,1
67,101,28,Undirected,1
97,102,28,Undirected,1
98,79,28,Undirected,1
67,104,28,Undirected,1
100,104,28,Undirected,1
98,100,28,Undirected,1
98,103,28,Undirected,1
99,102,28,Undirected,1
100,79,28,Undirected,1
101,102,28,Undirected,1
102,79,28,Undirected,1
67,79,28,Undirected,1
103,102,28,Undirected,1
97,98,28,Undirected,1
97,101,28,Undirected,1
97,104,28,Undirected,1
67,103,28,Undirected,1
100,103,28,Undirected,1
67,100,28,Undirected,1
104,79,28,Undirected,1
97,67,28,Undirected,1
99,101,28,Undirected,1
98,99,28,Undirected,1
97,79,28,Undirected,1
99,104,28,Undirected,1
98,102,28,Undirected,1
101,104,28,Undirected,1
103,104,28,Undirected,1
97,100,28,Undirected,1
97,103,28,Undirected,1
67,99,28,Undirected,1
99,79,28,Undirected,1
67,102,28,Undirected,1
100,102,28,Undirected,1
101,79,28,Undirected,1
103,79,28,Undirected,1
141,92,29,Undirected,1
90,91,29,Undirected,1
141,91,29,Undirected,1
67,90,29,Undirected,1
67,141,29,Undirected,1
141,90,29,Undirected,1
67,92,29,Undirected,1
90,92,29,Undirected,1
91,92,29,Undirected,1
67,91,29,Undirected,1
92,142,30,Undirected,1
67,142,30,Undirected,1
92,93,30,Undirected,1
67,93,30,Undirected,1
93,142,30,Undirected,1
67,92,30,Undirected,1
67,94,31,Undirected,1
92,93,31,Undirected,1
93,94,31,Undirected,1
67,93,31,Undirected,1
67,92,31,Undirected,1
92,94,31,Undirected,1
93,92,32,Undirected,1
93,85,32,Undirected,1
67,92,32,Undirected,1
92,85,32,Undirected,1
93,67,32,Undirected,1
67,85,32,Undirected,1
98,92,33,Undirected,1
99,103,33,Undirected,1
98,101,33,Undirected,1
99,100,33,Undirected,1
98,104,33,Undirected,1
101,103,33,Undirected,1
104,93,33,Undirected,1
97,93,33,Undirected,1
104,102,33,Undirected,1
98,67,33,Undirected,1
67,92,33,Undirected,1
97,99,33,Undirected,1
100,92,33,Undirected,1
97,102,33,Undirected,1
67,101,33,Undirected,1
100,101,33,Undirected,1
102,92,33,Undirected,1
67,104,33,Undirected,1
100,104,33,Undirected,1
101,93,33,Undirected,1
98,100,33,Undirected,1
99,93,33,Undirected,1
98,103,33,Undirected,1
103,93,33,Undirected,1
99,102,33,Undirected,1
104,92,33,Undirected,1
101,102,33,Undirected,1
97,92,33,Undirected,1
97,98,33,Undirected,1
103,102,33,Undirected,1
97,101,33,Undirected,1
97,104,33,Undirected,1
67,103,33,Undirected,1
100,103,33,Undirected,1
67,100,33,Undirected,1
92,93,33,Undirected,1
97,67,33,Undirected,1
98,93,33,Undirected,1
99,92,33,Undirected,1
99,101,33,Undirected,1
98,99,33,Undirected,1
101,92,33,Undirected,1
99,104,33,Undirected,1
98,102,33,Undirected,1
103,92,33,Undirected,1
101,104,33,Undirected,1
103,104,33,Undirected,1
97,100,33,Undirected,1
97,103,33,Undirected,1
102,93,33,Undirected,1
67,93,33,Undirected,1
67,99,33,Undirected,1
100,93,33,Undirected,1
67,102,33,Undirected,1
100,102,33,Undirected,1
93,69,34,Undirected,1
93,92,34,Undirected,1
67,93,34,Undirected,1
67,92,34,Undirected,1
69,92,34,Undirected,1
67,69,34,Undirected,1
143,92,35,Undirected,1
92,93,35,Undirected,1
386,93,35,Undirected,1
143,93,35,Undirected,1
386,67,35,Undirected,1
67,93,35,Undirected,1
67,92,35,Undirected,1
386,92,35,Undirected,1
386,143,35,Undirected,1
67,143,35,Undirected,1
67,93,36,Undirected,1
92,93,36,Undirected,1
67,92,36,Undirected,1
93,95,37,Undirected,1
92,93,37,Undirected,1
67,93,37,Undirected,1
92,95,37,Undirected,1
67,92,37,Undirected,1
67,95,37,Undirected,1
96,95,38,Undirected,1
96,67,38,Undirected,1
67,95,38,Undirected,1
96,95,39,Undirected,1
96,101,39,Undirected,1
96,104,39,Undirected,1
98,101,39,Undirected,1
98,95,39,Undirected,1
99,103,39,Undirected,1
98,104,39,Undirected,1
101,103,39,Undirected,1
96,67,39,Undirected,1
98,67,39,Undirected,1
97,99,39,Undirected,1
67,95,39,Undirected,1
97,102,39,Undirected,1
67,101,39,Undirected,1
100,101,39,Undirected,1
100,95,39,Undirected,1
67,104,39,Undirected,1
100,104,39,Undirected,1
102,95,39,Undirected,1
102,104,39,Undirected,1
96,97,39,Undirected,1
96,103,39,Undirected,1
98,100,39,Undirected,1
96,100,39,Undirected,1
98,103,39,Undirected,1
101,99,39,Undirected,1
101,102,39,Undirected,1
104,95,39,Undirected,1
97,98,39,Undirected,1
97,95,39,Undirected,1
97,101,39,Undirected,1
97,104,39,Undirected,1
