Relative Order,Event Name,Start Date ST,End Date ST,Is Approximate ST,Narrator,Start Page Mention,End Page Mention,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT,Evidence,Scout,Jem,Dill,Atticus,Tom Robinson,Boo Radley
8,Scout goes to Finch's Landing,12/25/1934,12/25/1934,T,Scout,112,112,7/30/1950,7/30/1950,3,376,T,"This time, I split my knuckle to the bone on his front teeth.",T,T,F,T,F,F
9,Atticus shoots the mad dog,2/14/1935,2/14/1935,T,Scout,127,127,7/30/1950,7/30/1950,3,376,T,The rifled cracked.,T,T,F,T,F,F
9,Atticus shoots the mad dog,2/14/1935,2/14/1935,T,Scout,128,128,7/30/1950,7/30/1950,3,376,T,"""You haven't forgot much, Mr. Finch. They say it never leaves you.""",T,T,F,T,F,F
9,Atticus shoots the mad dog,2/14/1935,2/14/1935,T,Scout,129,129,7/30/1950,7/30/1950,3,376,T,"""'d you see him, Scout?""",T,T,F,T,F,F
10,Scout and Jem read to Mrs. Dubose,3/1/1935,5/31/1935,T,Scout,140,140,7/30/1950,7/30/1950,3,376,T,"""Atticus,"" he said, ""she wants me to read to her.""",T,T,F,F,F,F
10,Scout and Jem read to Mrs. Dubose,3/1/1935,5/31/1935,T,Scout,141,141,7/30/1950,7/30/1950,3,376,T,...Jem and I climbed the steep front steps to Mrs. Dubose's house...,T,T,F,F,F,F
10,Scout and Jem read to Mrs. Dubose,3/1/1935,5/31/1935,T,Scout,142,142,7/30/1950,7/30/1950,3,376,T,Jem reopened Ivanhoe and began reading.,T,T,F,F,F,F
10,Scout and Jem read to Mrs. Dubose,3/1/1935,5/31/1935,T,Scout,143,143,7/30/1950,7/30/1950,3,376,T,Her mouth seemed to have a private existence of its own.,T,T,F,F,F,F
10,Scout and Jem read to Mrs. Dubose,3/1/1935,5/31/1935,T,Scout,144,144,7/30/1950,7/30/1950,3,376,T,The next afternoon at Mrs. Dubose's wa the same as the first...,T,T,F,F,F,F
10,Scout and Jem read to Mrs. Dubose,3/1/1935,5/31/1935,T,Scout,145,145,7/30/1950,7/30/1950,3,376,T,One afternoon a month later...,T,T,F,F,F,F
10,Scout and Jem read to Mrs. Dubose,3/1/1935,5/31/1935,T,Scout,146,146,7/30/1950,7/30/1950,3,376,T,The following week found us back at Mrs. Dubose's.,T,T,F,F,F,F
10,Scout and Jem read to Mrs. Dubose,3/1/1935,5/31/1935,T,Scout,147,147,7/30/1950,7/30/1950,3,376,T,"""I'm going down to Mrs. Dubose's for a while,"" he said.",T,T,F,F,F,F
10,Scout and Jem read to Mrs. Dubose,3/1/1935,5/31/1935,T,Scout,148,148,7/30/1950,7/30/1950,3,376,T,"""Most of the time you were reading to her...""",T,T,F,F,F,F
10,Scout and Jem read to Mrs. Dubose,3/1/1935,5/31/1935,T,Scout,149,149,7/30/1950,7/30/1950,3,376,T,"""...son, I told you that if you hadn't lost your head, I'd have made you go read to her.""",T,T,F,F,F,F
10,Scout and Jem go to Calpurnia's church,7/30/1935,7/30/1935,T,Scout,156,156,7/30/1950,7/30/1950,3,376,T,"""How'd you and Mister Jem like to come to church with me tomorrow?""",T,T,F,F,F,F
10,Scout and Jem go to Calpurnia's church,7/30/1935,7/30/1935,T,Scout,157,157,7/30/1950,7/30/1950,3,376,T,First Purchase African M.E. Church...,T,T,F,F,F,F
10,Scout and Jem go to Calpurnia's church,7/30/1935,7/30/1935,T,Scout,158,158,7/30/1950,7/30/1950,3,376,T,They parted and made a small pathway to the church door for us.,T,T,F,F,F,F
10,Scout and Jem go to Calpurnia's church,7/30/1935,7/30/1935,T,Scout,159,159,7/30/1950,7/30/1950,3,376,T,I agreed; they did not want us here.,T,T,F,F,F,F
