Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Participating Characters,Cholly Breedlove,Cholly's Mother,Aunt Jimmy,White man (flashlight),White man (spirit lamp),Darlene,Samson Fuller (Cholly's Father),Man (selling bus tickets),'Fat Black Lady' (on the bus),Old White-Haired Man,Men (in the alley),Pauline Breedlove,Sammy Breedlove,Pecola Breedlove,Clark Gable,Jean Harlow,The little Fisher girl,Mr. Fisher,Mrs. Fisher,Mr. Henry,Claudia,Frieda,Mrs. MacTeer (Claudia's Mother),Mr. MacTeer (Claudia's Father),Rosemary Villanucci,Maureen Peal,Bay Boy,Woodrow Cain,Buddy Wilson,Junie Bug,Louis Junior,Geraldine,Mr. Buford,Mrs. Dunion,Soaphead Church,Pecola's Baby
,Pecola is born,1929-01-01,1929-01-01,T,Pauline Breedlove,125,125,1941-01-01,1943-01-01,123,126,T,"""Pecola, [is] eleven years old""  (35) in 1940, as Claudia states ""there were no marigolds in the fall of 1941"" (5) and then picks up the narration from the previous ""Autumn""(7)",Pauline Breedlove and Pecola Breedlove,,,,,,,,,,,,T,,T,,,,,,,,,,,,,,,,,,,,,,
,Mr. Henry moves in with the Macteers,1940-09-22,1940-12-22,T,Claudia (narrator),12,12,1943-01-01,1993-01-01,9,32,T,"""It was autumn too when Mr. Henry came"" (12)","Claudia, Frieda, Mr. Henry, Mr. MacTeer (Claudia's Father), and Mrs. MacTeer (Claudia's Mother)",,,,,,,,,,,,,,,,,,,,T,T,T,T,T,,,,,,,,,,,,
,Mr. Henry moves in with the Macteers,1940-09-22,1940-12-22,T,Claudia (narrator),13,13,1943-01-01,1993-01-01,9,32,T,"""It was autumn too when Mr. Henry came"" (12)","Claudia, Frieda, Mr. Henry, Mr. MacTeer (Claudia's Father), and Mrs. MacTeer (Claudia's Mother)",,,,,,,,,,,,,,,,,,,,T,T,T,T,T,,,,,,,,,,,,
,Mr. Henry moves in with the Macteers,1940-09-22,1940-12-22,T,Claudia (narrator),15,15,1943-01-01,1993-01-01,9,32,T,"""It was autumn too when Mr. Henry came"" (12)","Claudia, Frieda, Mr. Henry, Mr. MacTeer (Claudia's Father), and Mrs. MacTeer (Claudia's Mother)",,,,,,,,,,,,,,,,,,,,T,T,T,T,T,,,,,,,,,,,,
,Cholly burns down the Breedlove’s house,1940-01-10,1940-12-22,T,Claudia (narrator),17,17,1943-01-01,1993-01-01,9,32,T,"After the Breedloves fight about coal, but before ""Winter"" (59)","Cholly Breedlove, Pauline Breedlove, Pecola Breedlove, and Sammy Breedlove",T,,,,,,,,,,,T,T,T,,,,,,,,,,,,,,,,,,,,,,
,Pauline and Cholly fight (about coal),1940-01-10,1940-01-10,T,3rd Person Narrator (The Bluest Eye),39,39,,,,,,"""on a Saturday morning in October"" (39)","Cholly Breedlove, Pauline Breedlove, Pecola Breedlove, and Sammy Breedlove",T,,,,,,,,,,,T,T,T,,,,,,,,,,,,,,,,,,,,,,
,Pauline and Cholly fight (about coal),1940-01-10,1940-01-10,T,3rd Person Narrator (The Bluest Eye),40,40,,,,,,"""on a Saturday morning in October"" (39)","Cholly Breedlove, Pauline Breedlove, Pecola Breedlove, and Sammy Breedlove",T,,,,,,,,,,,T,T,T,,,,,,,,,,,,,,,,,,,,,,
,Pauline and Cholly fight (about coal),1940-01-10,1940-01-10,T,3rd Person Narrator (The Bluest Eye),41,41,,,,,,"""on a Saturday morning in October"" (39)","Cholly Breedlove, Pauline Breedlove, Pecola Breedlove, and Sammy Breedlove",T,,,,,,,,,,,T,T,T,,,,,,,,,,,,,,,,,,,,,,
,Pauline and Cholly fight (about coal),1940-01-10,1940-01-10,T,3rd Person Narrator (The Bluest Eye),43,43,,,,,,"""on a Saturday morning in October"" (39)","Cholly Breedlove, Pauline Breedlove, Pecola Breedlove, and Sammy Breedlove",T,,,,,,,,,,,T,T,T,,,,,,,,,,,,,,,,,,,,,,
,Pauline and Cholly fight (about coal),1940-01-10,1940-01-10,T,3rd Person Narrator (The Bluest Eye),44,44,,,,,,"""on a Saturday morning in October"" (39)","Cholly Breedlove, Pauline Breedlove, Pecola Breedlove, and Sammy Breedlove",T,,,,,,,,,,,T,T,T,,,,,,,,,,,,,,,,,,,,,,
