id,Type of Relationship,Character 1,Character 2,Is Reciprocal?,Narrative Container,Start Page,End Page
333,"Knows","Sasha","""two security guys"" (Lassimo Hotel)","1","1 Found Objects","10","11"
334,"Exchange","Rhea","Rhea's mother","1","3 Ask Me If I Care","43","43"
335,"Exchange","Rhea","""a sax""","1","3 Ask Me If I Care","44","44"
336,"Exchange","Rhea","""a tuba""","1","3 Ask Me If I Care","44","44"
337,"Exchange","Rhea","""a banjo""","1","3 Ask Me If I Care","44","44"
338,"Exchange","Scotty Hausmann","Crime (band)","1","3 Ask Me If I Care","45","45"
339,"Exchange","Scotty Hausmann","The Avengers (band)","1","3 Ask Me If I Care","45","45"
340,"Exchange","Scotty Hausmann","The Germs (band)","1","3 Ask Me If I Care","45","45"
341,"Exchange","Alice","Crime (band)","1","3 Ask Me If I Care","45","45"
342,"Exchange","Alice","The Avengers (band)","1","3 Ask Me If I Care","45","45"
343,"Exchange","Alice","The Germs (band)","1","3 Ask Me If I Care","45","45"
344,"Exchange","Rhea","Crime (band)","1","3 Ask Me If I Care","45","45"
345,"Exchange","Rhea","The Avengers (band)","1","3 Ask Me If I Care","45","45"
346,"Exchange","Rhea","The Germs (band)","1","3 Ask Me If I Care","45","45"
347,"Exchange","Bennie Salazar","Crime (band)","1","3 Ask Me If I Care","45","45"
348,"Exchange","Bennie Salazar","The Avengers (band)","1","3 Ask Me If I Care","45","45"
349,"Exchange","Bennie Salazar","The Germs (band)","1","3 Ask Me If I Care","45","45"
350,"Exchange","Jocelyn","Crime (band)","1","3 Ask Me If I Care","45","45"
351,"Exchange","Jocelyn","The Avengers (band)","1","3 Ask Me If I Care","45","45"
352,"Exchange","Jocelyn","The Germs (band)","1","3 Ask Me If I Care","45","45"
353,"Exchange","Rhea","Jocelyn","1","3 Ask Me If I Care","44","45"
354,"Knows","Sasha","Bennie Salazar","1","1 Found Objects","4","5"
355,"Knows","Sasha","Andy Grady (Sasha's father)","1","1 Found Objects","8","8"
356,"Knows","Sasha","Alex","1","1 Found Objects","9","9"
357,"Knows","Sasha","Bennie Salazar","1","1 Found Objects","12","12"
358,"Knows","Alex","""the woman"" (wallet victim)","1","1 Found Objects","12","12"
359,"Knows","Sasha","Robert Freeman Jr.","1","1 Found Objects","14","14"
360,"Knows","""little girl"" (scarf victim)","""little girl's"" mother","1","1 Found Objects","14","15"
361,"Knows","boy one in picture","girl in braces","1","1 Found Objects","17","17"
362,"Knows","boy two in picture","girl in braces","1","1 Found Objects","17","17"
363,"Knows","boy one in picture","boy two in picture","1","1 Found Objects","17","17"
364,"Knows of","Coz","Lizzie","0","1 Found Objects","18","18"
365,"Knows","Mother Superior","""cloistered nuns""","1","2 The Gold Cure","20","21"
366,"Knows","Mother Superior","God","1","2 The Gold Cure","20","20"
367,"Knows","""cloistered nuns""","God","1","2 The Gold Cure","20","20"
368,"Exchange","""jazz pianist""","""audience of twenty-five hundred""","1","2 The Gold Cure","23","23"
369,"Knows of","Stephanie","""jazz pianist""","0","2 The Gold Cure","23","23"
370,"Knows","Bennie Salazar","Mother Superior","1","2 The Gold Cure","24","24"
371,"Knows","Bennie Salazar","Stephanie","1","2 The Gold Cure","26","26"
372,"Knows","Bennie Salazar","Stop/Go sisters","1","2 The Gold Cure","26","27"
373,"Knows","Bennie Salazar","Dr. Beet","1","2 The Gold Cure","26","27"
374,"Knows of","Dr. Beet","Pearl Jam","0","2 The Gold Cure","27","27"
377,"Knows","Bennie Salazar","Stop/Go's manager (their father)","1","2 The Gold Cure","27","27"
378,"Knows","Bennie Salazar","Stop/Go's mother","1","2 The Gold Cure","27","27"
379,"Knows","Rhea","God","1","3 Ask Me If I Care","40","40"
380,"Knows","Rhea","Tatum","1","3 Ask Me If I Care","41","41"
381,"Knows","Rhea","Wayne","1","3 Ask Me If I Care","41","41"
382,"Knows","Rhea","Boomer","1","3 Ask Me If I Care","41","41"
383,"Knows","Jocelyn","Tatum","1","3 Ask Me If I Care","41","41"
384,"Knows","Jocelyn","Wayne","1","3 Ask Me If I Care","41","41"
385,"Knows","Jocelyn","Boomer","1","3 Ask Me If I Care","41","41"
386,"Knows of","Rhea","the entire J.V. soccer team","1","3 Ask Me If I Care","41","41"
387,"Knows","Jules Jones","Kitty Jackson","1","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","166","166"
388,"Knows","Jules Jones","Janet Green","1","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","166","167"
390,"Knows of","Jules Jones","Matt Damon","0","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","167","167"
391,"Knows of","Jules Jones","Ralph Fiennes","0","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","167","167"
392,"Exchange","Jules Jones","Kitty Jackson","1","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","167","172"
393,"Knows of","Jules Jones","Brad Pitt","0","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","167","167"
394,"Exchange","Jules Jones","waiter","1","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","168","168"
395,"Exchange","Kitty Jackson","waiter","1","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","168","168"
396,"Knows","Jules Jones","""people"" (at the restaurant)","1","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","168","169"
397,"Knows of","Jules Jones","Albert Einstein","0","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","169","169"
398,"Knows","Jules Jones","waiter","1","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","170","171"
399,"Knows","Kitty Jackson","waiter","1","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","170","171"
400,"Knows","Kitty Jackson","""[Kitty's] director""","1","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","170","170"
401,"Knows","Kitty Jackson","Tom Cruise","1","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","170","172"
402,"Knows of","Jules Jones","""[Kitty's] director""","0","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","170","170"
403,"Knows of","Jules Jones","Tom Cruise","0","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","170","172"
404,"Knows","Kitty Jackson","Nicole Kidman","1","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","172","172"
405,"Knows of","Jules Jones","Nicole Kidman","0","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","172","172"
406,"Knows","Kitty Jackson","Tom Cruise and Nicole Kidman's children","1","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","172","172"
407,"Knows of","Jules Jones","Tom Cruise and Nicole Kidman's children","0","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","172","172"
408,"Knows","Tom Cruise","Nicole Kidman","1","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","172","172"
410,"Knows","Tom Cruise","Tom Cruise and Nicole Kidman's children","1","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","172","172"
411,"Knows","Nicole Kidman","Tom Cruise and Nicole Kidman's children","1","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","172","172"
412,"Knows","Jules Jones","Leonardo DiCaprio","1","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","172","172"
413,"Knows of","Jules Jones","Homer","0","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","172","172"
414,"Knows of","Sharon Stone","Homer","0","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","172","172"
415,"Knows","Jules Jones","Sharon Stone","1","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","172","172"
416,"Knows","Jules Jones","Jeremy Irons","1","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","172","172"
