id,Title,Level,Start Page,End Page,Narrator,Protagonist,Embed. Type
95,"""The place of scraps.""","level 2 (sub-section)","1630","1639","fictional Barbeau","blank (missing null option here)","[NULL]"
96,"""Primitive culture circulates"" (academic voice)","level 2 (sub-section)","1650","1651","academic voice","blank (missing null option here)","[NULL]"
97,"""Primitive culture circulates"" (Fictional Barbeau)","level 2 (sub-section)","1652","1659","fictional Barbeau","blank (missing null option here)","[NULL]"
98,"""In practice, the civilized world"" (academic voice)","level 2 (sub-section)","1670","1672","academic voice","blank (missing null option here)","[NULL]"
99,"""In practice, the civilized world"" (Fictional Barbeau)","level 2 (sub-section)","1673","1679","fictional Barbeau","blank (missing null option here)","[NULL]"
100,"""Despite efforts to determine meaning"" (photo)","level 2 (sub-section)","1690","1696","collage photos","blank (missing null option here)","[NULL]"
101,"""Despite efforts to determine meaning"" (academic voice)","level 2 (sub-section)","1697","1698","academic voice","blank (missing null option here)","[NULL]"
102,"""Despite efforts to determine meaning"" (Fictional Barbeau)","level 2 (sub-section)","1699","1699","fictional Barbeau","blank (missing null option here)","[NULL]"
103,"""Contact is precisely the investigation"" (academic voice)","level 2 (sub-section)","1710","1713","academic voice","blank (missing null option here)","[NULL]"
104,"""Contact is precisely the investigation"" (Fictional Barbeau) (scatter)","level 2 (sub-section)","1714","1719","fictional Barbeau","blank (missing null option here)","[NULL]"
105,"""culture spirit world"" (scatter)","level 2 (sub-section)","1730","1739","fictional Barbeau","blank (missing null option here)","[NULL]"
106,"""coffinhouseofthefrog"" (photo)","level 2 (sub-section)","1750","1753","collage photos","blank (missing null option here)","[NULL]"
107,"""coffinhouseofthefrog"" (text)","level 2 (sub-section)","1754","1759","speaker Abel","blank (missing null option here)","[NULL]"
108,"""Coffin Hous"" (photo)","level 2 (sub-section)","1770","1772","collage photos","blank (missing null option here)","[NULL]"
109,"""Coffin Hous"" (text)","level 2 (sub-section)","1773","1779","real Barbeau","blank (missing null option here)","[NULL]"
110,"""This story / is a secret""","level 2 (sub-section)","1790","1799","speaker Abel","speaker Abel","[NULL]"
111,"""This story / was / built"" (academic voice)","level 2 (sub-section)","1810","1817","academic voice","blank (missing null option here)","[NULL]"
112,"""This story / was / built"" (Speaker Abel)","level 2 (sub-section)","1818","1819","speaker Abel","blank (missing null option here)","[NULL]"
113,"""the / flat"" (photo)","level 2 (sub-section)","1830","1836","collage photos","blank (missing null option here)","[NULL]"
114,"""the / flat"" (academic text)","level 2 (sub-section)","1837","1838","academic voice","blank (missing null option here)","[NULL]"
115,"""the / flat"" (Speaker Abel)","level 2 (sub-section)","1839","1839","speaker Abel","blank (missing null option here)","[NULL]"
116,"""This story / is"" (academic voice)","level 2 (sub-section)","1850","1858","academic voice","blank (missing null option here)","[NULL]"
117,"""This story / is"" (Speaker Abel)","level 2 (sub-section)","1859","1859","speaker Abel","blank (missing null option here)","[NULL]"
118,"""Let us proceed""","level 2 (sub-section)","1870","1879","academic voice","blank (missing null option here)","[NULL]"
119,"""thedoctrineoftheindianprophet"" (photo)","level 2 (sub-section)","1890","1893","collage photos","blank (missing null option here)","[NULL]"
120,"""thedoctrineoftheindianprophet"" (text)","level 2 (sub-section)","1894","1899","speaker Abel","blank (missing null option here)","[NULL]"
121,"""Had the old Indian been aware""","level 2 (sub-section)","1910","1919","real Barbeau","blank (missing null option here)","[NULL]"
122,"""We have scarcely begun"" (academic voice)","level 2 (sub-section)","1930","1935","academic voice","blank (missing null option here)","[NULL]"
123,"""We have scarcely begun"" (Real Barbeau: cloud)","level 2 (sub-section)","1936","1939","real Barbeau","blank (missing null option here)","[NULL]"
124,"""It is even incorrect"" (academic voice)","level 2 (sub-section)","1950","1953","academic voice","blank (missing null option here)","[NULL]"
125,"""It is even incorrect"" (Real Barbeau: cloud)","level 2 (sub-section)","1954","1959","real Barbeau","blank (missing null option here)","[NULL]"
126,"""Physical actions are expected."" (academic voice)","level 2 (sub-section)","1970","1974","academic voice","blank (missing null option here)","[NULL]"
127,"""Physical actions are expected."" (Real Barbeau: cloud)","level 2 (sub-section)","1975","1979","real Barbeau","blank (missing null option here)","[NULL]"
128,"""At least this functions"" (academic voice)","level 2 (sub-section)","1990","1994","academic voice","blank (missing null option here)","[NULL]"
129,"""At least this functions"" (Real Barbeau: cloud)","level 2 (sub-section)","1995","1999","real Barbeau","blank (missing null option here)","[NULL]"
130,"""Economically speaking"" (photo)","level 2 (sub-section)","2010","2016","collage photos","blank (missing null option here)","[NULL]"
131,"""Economically speaking"" (academic voice)","level 2 (sub-section)","2017","2018","academic voice","blank (missing null option here)","[NULL]"
132,"""Economically speaking"" (Real Barbeau: cloud)","level 2 (sub-section)","2019","2019","real Barbeau","blank (missing null option here)","[NULL]"
133,"""The uncertain fractures"" (academic voice)","level 2 (sub-section)","2030","2037","academic voice","blank (missing null option here)","[NULL]"
134,"""The uncertain fractures"" (Real Barbeau: cloud)","level 2 (sub-section)","2038","2039","real Barbeau","blank (missing null option here)","[NULL]"
135,"""In this way"" (academic voice)","level 2 (sub-section)","2050","2058","academic voice","blank (missing null option here)","[NULL]"
136,"""In this way"" (Real Barbeau: cloud)","level 2 (sub-section)","2059","2059","real Barbeau","blank (missing null option here)","[NULL]"
137,"""Many persons will deny"" (academic voice)","level 2 (sub-section)","2070","2077","academic voice","blank (missing null option here)","[NULL]"
138,"""Many persons will deny"" (Real Barbeau: cloud)","level 2 (sub-section)","2078","2079","real Barbeau","blank (missing null option here)","[NULL]"
139,"1 (level 2 container)","level 2 (sub-section)","10","19","blank (missing null option here)","blank (missing null option here)","[NULL]"
140,"2a (level 2 container)","level 2 (sub-section)","1510","1519","blank (missing null option here)","blank (missing null option here)","[NULL]"
141,"2b (level 2 container)","level 2 (sub-section)","2090","2099","blank (missing null option here)","blank (missing null option here)","[NULL]"
142,"""The poet is artificially replaced""","level 2 (sub-section)","2110","2119","academic voice","blank (missing null option here)","[NULL]"
