id,Type of Relationship,Character 1,Character 2,Is Reciprocal?,Narrative Container,Start Page,End Page
96,"Knows","son of ""Paraet'Naerhl""","""Gyaibelk"" (carved)","1","""The pole of 'Neesyoq and 'Neeskywinwaet""","470","479"
97,"Knows of","""Paraet'Naerhl""","first ""'Neesyoq"" (Laxgibuu)","0","""The pole of 'Neesyoq and 'Neeskywinwaet""","470","479"
98,"Knows of","son of ""Paraet'Naerhl""","first ""'Neesyoq"" (Laxgibuu)","0","""The pole of 'Neesyoq and 'Neeskywinwaet""","470","479"
99,"Knows","""Paraet'Naerhl""","second ""'Neesyoq"" (Laxgibuu)","1","""The pole of 'Neesyoq and 'Neeskywinwaet""","470","479"
100,"Knows","son of ""Paraet'Naerhl""","second ""'Neesyoq"" (Laxgibuu)","1","""The pole of 'Neesyoq and 'Neeskywinwaet""","470","479"
101,"Knows","first ""'Neesyoq"" (Laxgibuu)","second ""'Neesyoq"" (Laxgibuu)","1","""The pole of 'Neesyoq and 'Neeskywinwaet""","470","479"
102,"Knows of","Dennis Wood","first ""'Neesyoq"" (Laxgibuu)","0","""The pole of 'Neesyoq and 'Neeskywinwaet""","470","479"
103,"Knows of","Dennis Wood","second ""'Neesyoq"" (Laxgibuu)","0","""The pole of 'Neesyoq and 'Neeskywinwaet""","470","479"
104,"Knows of","Dennis Wood","""Paraet'Naerhl""","0","""The pole of 'Neesyoq and 'Neeskywinwaet""","470","479"
105,"Knows of","Dennis Wood","son of ""Paraet'Naerhl""","0","""The pole of 'Neesyoq and 'Neeskywinwaet""","470","479"
106,"Knows of","Dennis Wood","""man with sea cockle (kal'own)""","0","""The pole of 'Neesyoq and 'Neeskywinwaet""","470","479"
107,"Knows of","Dennis Wood","""Sperm Whale (hlpoon)""","0","""The pole of 'Neesyoq and 'Neeskywinwaet""","470","479"
108,"Knows of","Dennis Wood","""person with ... garment (gyet)""","0","""The pole of 'Neesyoq and 'Neeskywinwaet""","470","479"
109,"Knows of","Dennis Wood","""Gyaibelk"" (carved)","0","""The pole of 'Neesyoq and 'Neeskywinwaet""","470","479"
110,"Knows","""man with sea cockle (kal'own)""","""Sperm Whale (hlpoon)""","1","""The pole of 'Neesyoq and 'Neeskywinwaet""","470","479"
111,"Knows","""man with sea cockle (kal'own)""","""person with ... garment (gyet)""","1","""The pole of 'Neesyoq and 'Neeskywinwaet""","470","479"
112,"Knows","""man with sea cockle (kal'own)""","""Gyaibelk"" (carved)","1","""The pole of 'Neesyoq and 'Neeskywinwaet""","470","479"
113,"Knows","""Sperm Whale (hlpoon)""","""person with ... garment (gyet)""","1","""The pole of 'Neesyoq and 'Neeskywinwaet""","470","479"
114,"Knows","""Sperm Whale (hlpoon)""","""Gyaibelk"" (carved)","1","""The pole of 'Neesyoq and 'Neeskywinwaet""","470","479"
115,"Knows","""person with ... garment (gyet)""","""Gyaibelk"" (carved)","1","""The pole of 'Neesyoq and 'Neeskywinwaet""","470","479"
