
"id","Type of Relationship <br />(choose)","Character 1 <br />(choose)","Character 2 <br />(choose)","Is Reciprocal? <br />(choose)","Narrative Container <br />(choose)","Start Page","End Page"
"491","Knows","Evelina Harp","Evelina and Joseph's Other Cousins","1","A Little Nip","28","28"
"493","Knows","Evelina Harp","Evelina's Girlfriends","1","A Little Nip","28","28"
"494","Exchange","Evelina Harp","Clemence Harp","1","A Little Nip","28","28"
"497","Exchange","Evelina Harp","Seraph Milk (Mooshum)","1","A Little Nip","29","31"
"498","Exchange","Evelina Harp","Edward Harp","1","A Little Nip","30","31"
"500","Exchange","Evelina Harp","Shamengwa Milk","1","A Little Nip","30","30"
"502","Knows of","Evelina Harp","Louis Riel","0","A Little Nip","30","30"
"505","Knows of","Evelina Harp","Gabriel Dumont","0","A Little Nip","30","30"
"511","Knows","Evelina Harp","""[M]ixed-bloods""","1","A Little Nip","30","30"
"512","Knows","Evelina Harp","""Indians""","1","A Little Nip","30","30"
"518","Exchange","Evelina Harp","Clemence Harp","1","A Little Nip","31","32"
"521","Knows","Evelina Harp","Father Cassidy","1","A Little Nip","31","34"
"524","Knows of","Evelina Harp","God","0","A Little Nip","31","33"
"525","Knows","Evelina Harp","Joseph Harp","1","A Little Nip","31","31"
"529","Exchange","Evelina Harp","Joseph Harp","1","A Little Nip","32","32"
"532","Exchange","Evelina Harp","Geraldine Milk","1","A Little Nip","32","32"
"536","Knows","Evelina Harp","Seraph Milk (Mooshum)","1","A Little Nip","32","36"
"537","Knows","Evelina Harp","Shamengwa Milk","1","A Little Nip","32","34"
"542","Knows of","Evelina Harp","Louis Riel","0","A Little Nip","33","34"
"545","Knows","Evelina Harp","Clemence Harp","1","A Little Nip","33","37"
"549","Knows","Evelina Harp","Neve Harp","1","A Little Nip","34","36"
"689","Knows of","Evelina Harp","Neve's Step Children","0","A Little Nip","35","35"
"690","Knows of","Evelina Harp","Neve Harp's Potential Third Husband","0","A Little Nip","35","35"
"691","Knows of","Evelina Harp","Neve Harp's Second Husband","0","A Little Nip","35","35"
"692","Knows of","Evelina Harp","John Wildstrand","0","A Little Nip","35","35"
"693","Knows","Evelina Harp","Joseph Harp","1","A Little Nip","35","36"
"696","Knows","Evelina Harp","Edward Harp","1","A Little Nip","35","36"
"706","Knows","Evelina Harp","Shamengwa Milk","1","A Little Nip","36","36"
"710","Knows","Evelina Harp","Geraldine Milk","1","A Little Nip","36","36"
"711","Knows of","Evelina Harp","Shamengwa's Wife","0","A Little Nip","36","36"
"713","Knows","Evelina Harp","Father Cassidy","1","A Little Nip","36","38"
"718","Exchange","Evelina Harp","Joseph Harp","1","A Little Nip","37","39"
"724","Exchange","Evelina Harp","Shamengwa Milk","1","A Little Nip","37","40"
"726","Exchange","Evelina Harp","Seraph Milk (Mooshum)","1","A Little Nip","37","42"
"728","Knows of","Evelina Harp","Louis Riel","0","A Little Nip","38","38"
"731","Exchange","Evelina Harp","Father Cassidy","1","A Little Nip","39","42"
"734","Knows of","Evelina Harp","Jesus","0","A Little Nip","40","40"
"736","Knows","Evelina Harp","Clemence Harp","1","A Little Nip","41","42"
"737","Knows of","Evelina Harp","Satan","0","A Little Nip","41","41"
"740","Knows of","Evelina Harp","Seraph and Shamengwa's ""cronies""","0","A Little Nip","41","41"
"741","Knows of","Evelina Harp","Satan","0","A Little Nip","36","36"
"743","Knows","Evelina Harp","Edward Harp","1","A Little Nip","42","42"
"747","Knows of","Evelina Harp","Seraph Milk's Mother","1","A Little Nip","42","42"
"750","Knows","Evelina Harp","Corwin Peace","1","A Little Nip","42","42"
"751","Exchange","Evelina Harp","Corwin Peace","1","Sister Godzilla","43","44"
"753","Knows","Evelina Harp","Other Children (in school with Evelina)","1","Sister Godzilla","43","45"
"754","Knows","Evelina Harp","Joseph Harp","1","Sister Godzilla","43","43"
"758","Knows","Evelina Harp","Sister Mary Anita Buckendorf","1","Sister Godzilla","44","44"
"760","Knows of","Evelina Harp","Mary (biblical figure)","0","Sister Godzilla","44","45"
"761","Knows of","Evelina Harp","The Apostles (biblical figures)","0","Sister Godzilla","44","44"
"762","Knows of","Evelina Harp","Zorro","0","Sister Godzilla","44","44"
"766","Exchange","Evelina Harp","Sister Mary Anita Buckendorf","1","Sister Godzilla","45","46"
"767","Knows","Evelina Harp","Evelina's Former Teachers","1","Sister Godzilla","45","45"
"770","Knows of","Evelina Harp","Emil Buckendorf","0","Sister Godzilla","46","46"
"771","Knows","Evelina Harp","Sister Mary Anita Buckendorf","1","Sister Godzilla","47","47"
"772","Exchange","Evelina Harp","God","0","Sister Godzilla","47","47"
