leader_label,assigned_color,community_size,other_large_nodes,leader_id,leader_strength,leader_size,modularity_class,notes
"Combined Military Forces",,1,,648,0.0000,10.00,122,
"Connie Chung",,1,,587,0.0000,10.00,123,
"Conquistadors",,1,,567,0.0000,10.00,124,
"convoys of federales",,1,,626,0.0000,10.00,125,
"Corazon Juárez's child",,1,,287,0.0000,10.00,127,
"Count Basie",,1,,296,0.0000,10.00,128,
"County Ag Inspector Richard Iizuka",,1,,414,0.0000,10.00,129,
"Coyote(s)",,1,,338,0.0000,10.00,130,
"Crips",,1,,347,0.0000,10.00,131,
"Cross-dresser",,1,,89,0.0000,10.00,132,
"crowd",,1,,207,0.0000,10.00,133,
"Customs Officials",,1,,737,0.0000,10.00,134,
"César Chávez",,1,,703,0.0000,10.00,135,
"David (Michelangelo)",,1,,795,0.0000,10.00,136,
"David Carradine",,1,,591,0.0000,10.00,137,
"David Hockney",,1,,180,0.0000,10.00,138,
"David Welna",,1,,622,0.0000,10.00,139,
"DEA",,1,,417,0.0000,10.00,140,
"Dead / Ill Van Nuys Residents",,1,,398,0.0000,10.00,141,
"Dead Firemen",,1,,358,0.0000,10.00,142,
"Debbi Fields (Mrs. Fields)",,1,,242,0.0000,10.00,143,
"Diego Rivera",,1,,522,0.0000,10.00,144,
"Diners",,1,,178,0.0000,10.00,145,
"dinner attendees",,1,,716,0.0000,10.00,146,
"dishwashers",,1,,439,0.0000,10.00,147,
"ditch diggers",,1,,442,0.0000,10.00,148,
"Dorothy Buffum Chandler",,1,,243,0.0000,10.00,149,
"Douglas MacArthur",,1,,742,0.0000,10.00,150,
"Doña Maria's Sister",,1,,204,0.0000,10.00,151,
"Duke Ellington",,1,,297,0.0000,10.00,152,
"dying soldiers",,1,,565,0.0000,10.00,153,
"E.T.",,1,,138,0.0000,10.00,154,
"Earth, Wind & Fire",,1,,453,0.0000,10.00,155,
"East L.A. boy",,1,,93,0.0000,10.00,156,
"Easy Rawlins",,1,,750,0.0000,10.00,157,
"Ecomartyrs",,1,,654,0.0000,10.00,158,
"Editor One",,1,,74,0.0000,10.00,159,
"Editor Three",,1,,76,0.0000,10.00,160,
"Editor Two",,1,,75,0.0000,10.00,161,
"Editors",,1,,775,0.0000,10.00,162,
"Edward Dmytryk (Murder, My Sweet)",,1,,359,0.0000,10.00,163,
"Edward Olmos",,1,,528,0.0000,10.00,164,
"El Gran Chingón",,1,,556,0.0000,10.00,165,
"El Gran Mojado Fans",,1,,490,0.0000,10.00,167,
"Electrodomestics",,1,,435,0.0000,10.00,168,
"Emergency Workers",,1,,310,0.0000,10.00,169,
"Emi's Cousin",,1,,213,0.0000,10.00,170,
"Emi's Father",,1,,185,0.0000,10.00,171,
"Emi's Internet Lover",,1,,484,0.0000,10.00,172,
"Emi's nibling(s)",,1,,319,0.0000,10.00,173,
"Emi's Siblings",,1,,186,0.0000,10.00,174,
"Emi's sister",,1,,318,0.0000,10.00,175,
"Emi's technicians",,1,,210,0.0000,10.00,176,
"Emiliano Zapata",,1,,509,0.0000,10.00,177,
"Environmental experts",,1,,418,0.0000,10.00,178,
"Environmentalists",,1,,407,0.0000,10.00,179,
"Esa-Pekka Solanen",,1,,91,0.0000,10.00,180,
"Ethnically Ambiguous woman",,1,,378,0.0000,10.00,181,
"ethnically Ambiguous woman's hypothetical parents",,1,,379,0.0000,10.00,182,
"Eugene M. Bradley",,1,,385,0.0000,10.00,183,
"fan 2's mom",,1,,786,0.0000,10.00,185,
"Fats Domino",,1,,299,0.0000,10.00,186,
"FBI Agents",,1,,397,0.0000,10.00,187,
"FCC",,1,,479,0.0000,10.00,188,
"FDA Investigators",,1,,395,0.0000,10.00,189,
"Federal Politicians",,1,,340,0.0000,10.00,190,
"Ferdinand Magellan",,1,,128,0.0000,10.00,191,
"Folks in the bridge rafters",,1,,88,0.0000,10.00,192,
"Former guest from Japan",,1,,523,0.0000,10.00,193,
"Forum crowd",,1,,670,0.0000,10.00,194,
"Francisco de Morazán",,1,,645,0.0000,10.00,195,
"freedom fighters",,1,,651,0.0000,10.00,196,
"Frida Kahlo",,1,,216,0.0000,10.00,197,
"Gabriel Balboa's friends",,1,,97,0.0000,10.00,199,
"Gabriel Balboa's mother's priest",,1,,84,0.0000,10.00,200,
"Gabriel's Cousin Joe",,1,,202,0.0000,10.00,201,
"Gabriel's Friends",,1,,221,0.0000,10.00,202,
"Gabriel's Grandfather",,1,,152,0.0000,10.00,203,
"Gabriel's Grandmother",,1,,151,0.0000,10.00,204,
"gangs",,1,,328,0.0000,10.00,205,
"gardeners",,1,,438,0.0000,10.00,206,
"General Custer",,1,,605,0.0000,10.00,207,
"George Bush",,1,,240,0.0000,10.00,208,
"George Coupland Thomas",,1,,492,0.0000,10.00,209,
"George Takei",,1,,589,0.0000,10.00,210,
"Gil-Scott Heron",,1,,542,0.0000,10.00,211,
"Giovanni da Verazano",,1,,131,0.0000,10.00,212,
"God",,1,,78,0.0000,10.00,213,
"Griffith J. Griffith",,1,,741,0.0000,10.00,214,
"Gringo Couple",,1,,826,0.0000,10.00,215,
"Guaraní People",,1,,489,0.0000,10.00,216,
"Guatemalans",,1,,577,0.0000,10.00,217,
"Haitian farmers",,1,,576,0.0000,10.00,219,
"Hanna-Barbera",,1,,818,0.0000,10.00,220,
"Hapkido Masters",,1,,409,0.0000,10.00,221,
"Heaven's Devils",,1,,618,0.0000,10.00,222,
"Hell's Angels",,1,,617,0.0000,10.00,223,
"Henrique Cardoso",,1,,640,0.0000,10.00,224,
"Henry Hudson",,1,,136,0.0000,10.00,225,
"Henry Huntington (Huntington Beach)",,1,,739,0.0000,10.00,226,
"Hernán Cortés",,1,,129,0.0000,10.00,227,
"Hideo Nomo",,1,,667,0.0000,10.00,228,
"Hollywood Bowl audience",,1,,691,0.0000,10.00,229,
"Hollywood Bowl Orchestra",,1,,693,0.0000,10.00,230,
"Homeless Mother and her child",,1,,525,0.0000,10.00,231,
"Homeless performance group (LAPD)",,1,,849,0.0000,10.00,232,
"Homeless Vets",,1,,483,0.0000,10.00,233,
"Housewives",,1,,405,0.0000,10.00,234,
"Howard Hawks",,1,,793,0.0000,10.00,235,
"Howard Stern",,1,,387,0.0000,10.00,236,
"human rights observers",,1,,627,0.0000,10.00,237,
"Ice-T",,1,,535,0.0000,10.00,238,
"Idaho's mother's child",,1,,581,0.0000,10.00,239,
"immigration lawyer",,1,,230,0.0000,10.00,240,
"Indian Momma",,1,,802,0.0000,10.00,241,
"Indian Mommas (and their kids)",,1,,429,0.0000,10.00,242,
"Indians",,1,,578,0.0000,10.00,243,
"Indigenas",,1,,551,0.0000,10.00,244,
"INS",,1,,778,0.0000,10.00,245,
"Isaac Newton Van Nuys",,1,,394,0.0000,10.00,246,
"Jacques Cartier",,1,,132,0.0000,10.00,247,
"Japanese American Gardeners",,1,,355,0.0000,10.00,249,
"Japanese Americans (Abstract)",,1,,356,0.0000,10.00,250,
"Jesse Jackson",,1,,526,0.0000,10.00,251,
"Jesus",,1,,759,0.0000,10.00,252,
"Jesús Guajardo",,1,,586,0.0000,10.00,253,
"jive radio show host",,1,,323,0.0000,10.00,254,
"Joan Didion",,1,,199,0.0000,10.00,255,
"Jocasta",,1,,383,0.0000,10.00,256,
"Joe Coulombe",,1,,462,0.0000,10.00,257,
"Johann Pachelbel",,1,,798,0.0000,10.00,258,
"John Adams",,1,,495,0.0000,10.00,259,
"John Cabot",,1,,126,0.0000,10.00,260,
"John Coltrane",,1,,332,0.0000,10.00,261,
"John Hussong",,1,,349,0.0000,10.00,262,
"John Malpede",,1,,504,0.0000,10.00,263,
"John Mauceri",,1,,690,0.0000,10.00,264,
"José Palacios",,1,,584,0.0000,10.00,265,
"Juan Diego",,1,,725,0.0000,10.00,266,
"Juan Rodriguez Cabrillo",,1,,134,0.0000,10.00,267,
"Juan Valdez",,1,,574,0.0000,10.00,268,
"Keenan Ivory Wayans",,1,,467,0.0000,10.00,269,
"Kid Frost",,1,,295,0.0000,10.00,270,
"Kids (abstract)",,1,,342,0.0000,10.00,271,
"kids selling Kleenex",,1,,641,0.0000,10.00,272,
"King Tut",,1,,696,0.0000,10.00,273,
"L.A. City Crew",,1,,198,0.0000,10.00,275,
"L.A. County Fair attendees",,1,,709,0.0000,10.00,276,
"L.A. Marathoners",,1,,657,0.0000,10.00,277,
"L.A. Street Gangs (abstract)",,1,,403,0.0000,10.00,278,
"L.C. Tibbets",,1,,144,0.0000,10.00,279,
"La Brea Woman",,1,,792,0.0000,10.00,280,
"La Chingada",,1,,554,0.0000,10.00,281,
"La Llorona",,1,,569,0.0000,10.00,282,
"La Malinche",,1,,568,0.0000,10.00,283,
"La Malinche's children",,1,,844,0.0000,10.00,284,
"La Raza Cósmica",,1,,560,0.0000,10.00,285,
"LACMA attendees",,1,,697,0.0000,10.00,286,
"Lance Allen Ito",,1,,468,0.0000,10.00,287,
"Larry H. Parker",,1,,366,0.0000,10.00,288,
"Latifundistas",,1,,653,0.0000,10.00,289,
"Lehrer",,1,,600,0.0000,10.00,290,
"Leon Trotsky",,1,,728,0.0000,10.00,291,
"Leonard Bernstein",,1,,90,0.0000,10.00,292,
"Levis Strauss",,1,,365,0.0000,10.00,293,
"liberation theologians",,1,,629,0.0000,10.00,294,
"lines of laborers",,1,,582,0.0000,10.00,295,
"live-in domestics",,1,,436,0.0000,10.00,296,
"living domestics",,1,,437,0.0000,10.00,297,
"Local Health Department Inspectors",,1,,396,0.0000,10.00,298,
"Los Angeles Department of Water and Power",,1,,819,0.0000,10.00,299,
"Louis XIV",,1,,220,0.0000,10.00,300,
"Luis Alfaro",,1,,498,0.0000,10.00,302,
"MacNeil",,1,,599,0.0000,10.00,303,
"Malcolm X",,1,,267,0.0000,10.00,304,
"Mama cookin' at the hot dog stand",,1,,497,0.0000,10.00,305,
"Mama on the northbound",,1,,478,0.0000,10.00,306,
"Mano Blanca Death Squad",,1,,828,0.0000,10.00,307,
"Manzanar's family",,1,,610,0.0000,10.00,308,
"Manzanar's friends",,1,,612,0.0000,10.00,309,
"Manzanar's Parents",,1,,506,0.0000,10.00,310,
"Manzanar's patients",,1,,611,0.0000,10.00,311,
"Manzanar's wife",,1,,609,0.0000,10.00,312,
"Mara Salvatrucha",,1,,829,0.0000,10.00,314,
"Marcello Mastroianni",,1,,783,0.0000,10.00,315,
"Margaret Cho",,1,,460,0.0000,10.00,316,
"Margarita's Boys",,1,,252,0.0000,10.00,317,
"Margarita's Eldest",,1,,311,0.0000,10.00,318,
"Maria Bonita",,1,,570,0.0000,10.00,319,
"Mariachi los Camperos de Nati Cano",,1,,255,0.0000,10.00,320,
"Marilyn Monroe",,1,,758,0.0000,10.00,321,
"Martians",,1,,548,0.0000,10.00,323,
"Martin Luther King",,1,,496,0.0000,10.00,324,
"Mary",,1,,760,0.0000,10.00,325,
"masons",,1,,441,0.0000,10.00,326,
"Matt Groening",,1,,457,0.0000,10.00,327,
"Maxine Waters",,1,,810,0.0000,10.00,328,
"Mayans (and their kids)",,1,,431,0.0000,10.00,329,
"MC Hammer",,1,,292,0.0000,10.00,330,
"meat-eaters",,1,,408,0.0000,10.00,331,
"men welding fenders",,1,,643,0.0000,10.00,332,
"Menendez Brothers",,1,,607,0.0000,10.00,333,
"Mexican Rancheros",,1,,245,0.0000,10.00,334,
"Mexican soldiers",,1,,630,0.0000,10.00,335,
"Mexican wet nurses",,1,,320,0.0000,10.00,336,
"Michael G. Moye",,1,,459,0.0000,10.00,337,
"migrants",,1,,443,0.0000,10.00,338,
"Mike Davis (Quartz City / City of Quartz)",,1,,147,0.0000,10.00,339,
"Miles Davis",,1,,333,0.0000,10.00,340,
"Military people",,1,,765,0.0000,10.00,341,
"Miss Saigon",,1,,423,0.0000,10.00,342,
"Mixtecs (and their kids)",,1,,430,0.0000,10.00,343,
"MOCA attendees",,1,,695,0.0000,10.00,344,
"Moctezuma",,1,,485,0.0000,10.00,345,
"Mohammed",,1,,794,0.0000,10.00,346,
"Montel Williams",,1,,181,0.0000,10.00,347,
"mother in Idaho",,1,,580,0.0000,10.00,348,
"mothers of gang-bangers",,1,,79,0.0000,10.00,349,
"Mothers of the Disappeared",,1,,729,0.0000,10.00,350,
"Motley Parade",,1,,764,0.0000,10.00,351,
"Motorcyclist in a pink suit and pink helmet",,1,,616,0.0000,10.00,352,
"Mozart",,1,,335,0.0000,10.00,353,
"MS-13 (Mara Salvatrucha)",,1,,253,0.0000,10.00,354,
"Muhammad Ali",,1,,257,0.0000,10.00,355,
"murderers (200)",,1,,649,0.0000,10.00,356,
"NAFTA",,1,,434,0.0000,10.00,357,
"National Guard",,1,,604,0.0000,10.00,358,
"Nazis",,1,,324,0.0000,10.00,359,
"New Age Santa Monicans",,1,,811,0.0000,10.00,360,
"News Copters",,1,,791,0.0000,10.00,361,
"News radio",,1,,415,0.0000,10.00,362,
"NewsNow Copter",,1,,789,0.0000,10.00,363,
"Newton Ford",,1,,499,0.0000,10.00,364,
"Nicholas Meyer",,1,,188,0.0000,10.00,365,
"Nomo fans",,1,,665,0.0000,10.00,366,
"NWA",,1,,536,0.0000,10.00,367,
"O.J. Simpson",,1,,606,0.0000,10.00,368,
"Oedipus",,1,,382,0.0000,10.00,369,
"one hundred mothers at the Plaza de Mayo",,1,,571,0.0000,10.00,370,
"Opera crowd",,1,,678,0.0000,10.00,371,
"Oprah Winfrey",,1,,761,0.0000,10.00,372,
"Orange Peddlers",,1,,401,0.0000,10.00,373,
"Organ buyers",,1,,314,0.0000,10.00,374,
"orphaned kids",,1,,632,0.0000,10.00,375,
"Oscar awards crowd",,1,,680,0.0000,10.00,376,
"Our Lady of Guadalupe",,1,,433,0.0000,10.00,377,
"Pablo Neruda",,1,,646,0.0000,10.00,378,
"packers",,1,,445,0.0000,10.00,379,
"Pancho Villa",,1,,150,0.0000,10.00,380,
"Papa John Creach",,1,,193,0.0000,10.00,381,
"Parents in the audience",,1,,788,0.0000,10.00,382,
"Pasadena Señoras",,1,,351,0.0000,10.00,383,
"Pasadena Tournament of Roses Association (Rose Par",,1,,350,0.0000,10.00,384,
"Pavarotti",,1,,603,0.0000,10.00,386,
"Pedro Alvares Cabral",,1,,127,0.0000,10.00,387,
"People Below Emi",,1,,363,0.0000,10.00,388,
"People in Traffic",,1,,71,0.0000,10.00,390,
"Peter Sellers",,1,,676,0.0000,10.00,391,
"Philip Marlowe",,1,,187,0.0000,10.00,392,
"Picasso",,1,,218,0.0000,10.00,393,
"pickers",,1,,444,0.0000,10.00,394,
"Placido Domingo",,1,,674,0.0000,10.00,395,
"police",,1,,206,0.0000,10.00,396,
"Police Chief",,1,,529,0.0000,10.00,397,
"President of United States",,1,,330,0.0000,10.00,398,
"Previous watch-owner",,1,,258,0.0000,10.00,399,
"PRI",,1,,777,0.0000,10.00,400,
"Producers",,1,,364,0.0000,10.00,401,
"Public Health officials",,1,,738,0.0000,10.00,402,
"Punks",,1,,701,0.0000,10.00,403,
"Quentin Tarantino",,1,,142,0.0000,10.00,404,
"Quetzalcoatl",,1,,219,0.0000,10.00,405,
"Radio Listener",,1,,308,0.0000,10.00,406,
"Rafaela's Father",,1,,154,0.0000,10.00,407,
"Rafaela's Great-Great-Grandfather",,1,,155,0.0000,10.00,408,
"Rafaela's Mother",,1,,148,0.0000,10.00,409,
"Rafaela's smugglers",,1,,231,0.0000,10.00,410,
"Ray Charles",,1,,300,0.0000,10.00,411,
"Raymond Chandler",,1,,170,0.0000,10.00,412,
"Real (paying) people",,1,,598,0.0000,10.00,413,
"Reclaim Our Children",,1,,304,0.0000,10.00,414,
"Refugees",,1,,164,0.0000,10.00,416,
"Ricardo Montalban",,1,,782,0.0000,10.00,417,
"Rich Singaporeans",,1,,427,0.0000,10.00,418,
"Richard Iizuka",,1,,326,0.0000,10.00,419,
"Richard Sakai",,1,,679,0.0000,10.00,420,
"Ridley Scott",,1,,480,0.0000,10.00,421,
"Rikki Lake",,1,,182,0.0000,10.00,422,
"Robert Altman",,1,,173,0.0000,10.00,423,
"Robert Zemeckis",,1,,174,0.0000,10.00,424,
"Rocky Balboa",,1,,823,0.0000,10.00,425,
"Rodriguez's youngest son",,1,,564,0.0000,10.00,426,
