id,Name <br />(100 chars)_l,source,Name <br />(100 chars)_r,id_cont,Title <br />(100 chars),Level <br />(choose),Start Page_cont,End Page_cont,Narrator <br />(choose),Protagonist <br />(choose),Embed. Type <br />(choose),id_rel,Type of Relationship <br />(choose),Character 1 <br />(choose),Character 2 <br />(choose),Is Reciprocal? <br />(choose),Narrative Container <br />(choose),Start Page_rel,End Page_rel,index
91,Radiohead,67,Dene Oxendene,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],216,Knows of,Dene Oxendene,Radiohead,0,Dene Oxendene (I),29,29,
92,Lucas,67,Dene Oxendene,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],217,Knows,Dene Oxendene,Lucas,1,Dene Oxendene (I),29,30,
93,Norma,67,Dene Oxendene,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],218,Exchange,Dene Oxendene,Norma,1,Dene Oxendene (I),30,31,
92,Lucas,67,Dene Oxendene,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],220,Exchange,Dene Oxendene,Lucas,1,Dene Oxendene (I),30,33,
85,Opal Viola Victoria Bear Shield,67,Dene Oxendene,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],223,Knows of,Dene Oxendene,Opal Viola Victoria Bear Shield,0,Dene Oxendene (I),32,32,
93,Norma,67,Dene Oxendene,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],225,Knows,Dene Oxendene,Norma,1,Dene Oxendene (I),33,33,
93,Norma,67,Dene Oxendene,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],226,Exchange,Dene Oxendene,Norma,1,Dene Oxendene (I),34,36,
92,Lucas,67,Dene Oxendene,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],227,Exchange,Dene Oxendene,Lucas,1,Dene Oxendene (I),36,37,
95,Rob,67,Dene Oxendene,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],228,Exchange,Dene Oxendene,Rob,1,Dene Oxendene (I),37,39,
96,Gertrude Stein,67,Dene Oxendene,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],230,Knows of,Dene Oxendene,Gertrude Stein,0,Dene Oxendene (I),38,39,
102,"""youngish Hispanic guy"" (grant judge)",67,Dene Oxendene,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],231,Exchange,Dene Oxendene,"""youngish Hispanic guy"" (grant judge)",1,Dene Oxendene (I),39,41,
97,"""Old white lady"" (grant judge)",67,Dene Oxendene,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],232,Exchange,Dene Oxendene,"""Old white lady"" (grant judge)",1,Dene Oxendene (I),39,41,
101,"""middle-aged white lady"" (2) (grant judge)",67,Dene Oxendene,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],233,Exchange,Dene Oxendene,"""middle-aged white lady"" (2) (grant judge)",1,Dene Oxendene (I),39,41,
100,"""middle-aged white lady"" (1) (grant judge)",67,Dene Oxendene,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],234,Exchange,Dene Oxendene,"""middle-aged white lady"" (1) (grant judge)",1,Dene Oxendene (I),39,41,
99,"""middle-aged black guy"" (2) (grant judge)",67,Dene Oxendene,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],235,Exchange,Dene Oxendene,"""middle-aged black guy"" (2) (grant judge)",1,Dene Oxendene (I),39,41,
98,"""black guy...with a white beard"" (grant judge)",67,Dene Oxendene,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],236,Exchange,Dene Oxendene,"""black guy...with a white beard"" (grant judge)",1,Dene Oxendene (I),39,41,
104,"""An older guy who's...Native"" (grant judge)",67,Dene Oxendene,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],237,Exchange,Dene Oxendene,"""An older guy who's...Native"" (grant judge)",1,Dene Oxendene (I),39,41,
103,"""An Indian...woman"" (grant judge)",67,Dene Oxendene,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],238,Exchange,Dene Oxendene,"""An Indian...woman"" (grant judge)",1,Dene Oxendene (I),39,41,
93,Norma,67,Dene Oxendene,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],242,Exchange,Dene Oxendene,Norma,1,Dene Oxendene (I),43,43,
92,Lucas,67,Dene Oxendene,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],243,Knows,Dene Oxendene,Lucas,1,Dene Oxendene (I),43,44,
103,"""An Indian...woman"" (grant judge)",67,Dene Oxendene,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],296,Knows of,Dene Oxendene,"""An Indian...woman"" (grant judge)",0,Dene Oxendene (I),28,28,
104,"""An older guy who's...Native"" (grant judge)",67,Dene Oxendene,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],297,Knows of,Dene Oxendene,"""An older guy who's...Native"" (grant judge)",0,Dene Oxendene (I),28,28,
98,"""black guy...with a white beard"" (grant judge)",67,Dene Oxendene,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],298,Knows of,Dene Oxendene,"""black guy...with a white beard"" (grant judge)",0,Dene Oxendene (I),28,28,
99,"""middle-aged black guy"" (2) (grant judge)",67,Dene Oxendene,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],299,Knows of,Dene Oxendene,"""middle-aged black guy"" (2) (grant judge)",0,Dene Oxendene (I),28,28,
100,"""middle-aged white lady"" (1) (grant judge)",67,Dene Oxendene,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],300,Knows of,Dene Oxendene,"""middle-aged white lady"" (1) (grant judge)",0,Dene Oxendene (I),28,28,
101,"""middle-aged white lady"" (2) (grant judge)",67,Dene Oxendene,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],301,Knows of,Dene Oxendene,"""middle-aged white lady"" (2) (grant judge)",1,Dene Oxendene (I),28,28,
97,"""Old white lady"" (grant judge)",67,Dene Oxendene,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],302,Knows of,Dene Oxendene,"""Old white lady"" (grant judge)",0,Dene Oxendene (I),28,28,
102,"""youngish Hispanic guy"" (grant judge)",67,Dene Oxendene,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],303,Knows of,Dene Oxendene,"""youngish Hispanic guy"" (grant judge)",0,Dene Oxendene (I),28,28,
141,Old guy on the bus,67,Dene Oxendene,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],304,Knows,Dene Oxendene,Old guy on the bus,0,Dene Oxendene (I),29,29,
142,Bus driver,67,Dene Oxendene,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],305,Knows,Dene Oxendene,Bus driver,1,Dene Oxendene (I),30,30,
103,"""An Indian...woman"" (grant judge)",67,Dene Oxendene,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],307,Knows of,Dene Oxendene,"""An Indian...woman"" (grant judge)",0,Dene Oxendene (I),33,33,
104,"""An older guy who's...Native"" (grant judge)",67,Dene Oxendene,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],308,Knows of,Dene Oxendene,"""An older guy who's...Native"" (grant judge)",0,Dene Oxendene (I),33,33,
98,"""black guy...with a white beard"" (grant judge)",67,Dene Oxendene,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],309,Knows of,Dene Oxendene,"""black guy...with a white beard"" (grant judge)",0,Dene Oxendene (I),33,33,
99,"""middle-aged black guy"" (2) (grant judge)",67,Dene Oxendene,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],310,Knows of,Dene Oxendene,"""middle-aged black guy"" (2) (grant judge)",0,Dene Oxendene (I),33,33,
100,"""middle-aged white lady"" (1) (grant judge)",67,Dene Oxendene,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],311,Knows of,Dene Oxendene,"""middle-aged white lady"" (1) (grant judge)",0,Dene Oxendene (I),33,33,
101,"""middle-aged white lady"" (2) (grant judge)",67,Dene Oxendene,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],312,Knows of,Dene Oxendene,"""middle-aged white lady"" (2) (grant judge)",0,Dene Oxendene (I),33,33,
97,"""Old white lady"" (grant judge)",67,Dene Oxendene,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],313,Knows of,Dene Oxendene,"""Old white lady"" (grant judge)",0,Dene Oxendene (I),33,33,
102,"""youngish Hispanic guy"" (grant judge)",67,Dene Oxendene,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],314,Knows of,Dene Oxendene,"""youngish Hispanic guy"" (grant judge)",0,Dene Oxendene (I),33,33,
92,Lucas,67,Dene Oxendene,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],315,Knows,Dene Oxendene,Lucas,1,Dene Oxendene (I),34,34,
143,Cannabis supplier,67,Dene Oxendene,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],317,Knows,Dene Oxendene,Cannabis supplier,1,Dene Oxendene (I),35,35,
93,Norma,67,Dene Oxendene,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],318,Knows,Dene Oxendene,Norma,1,Dene Oxendene (I),37,37,
154,Loother Red Feather,67,Dene Oxendene,87,Orvil Red Feather (II),level 2 (sub-section),118,133,[NULL],Orvil Red Feather,[NULL],674,Knows of,Dene Oxendene,Loother Red Feather,0,Orvil Red Feather (II),123,124,
155,Lony Red Feather,67,Dene Oxendene,87,Orvil Red Feather (II),level 2 (sub-section),118,133,[NULL],Orvil Red Feather,[NULL],675,Knows of,Dene Oxendene,Lony Red Feather,0,Orvil Red Feather (II),123,124,
189,Jamie Red Feather,67,Dene Oxendene,87,Orvil Red Feather (II),level 2 (sub-section),118,133,[NULL],Orvil Red Feather,[NULL],779,Knows of,Dene Oxendene,Jamie Red Feather,0,Orvil Red Feather (II),122,124,
184,Police Officers,67,Dene Oxendene,87,Orvil Red Feather (II),level 2 (sub-section),118,133,[NULL],Orvil Red Feather,[NULL],788,Knows of,Dene Oxendene,Police Officers,0,Orvil Red Feather (II),124,124,
238,CPS worker,67,Dene Oxendene,87,Orvil Red Feather (II),level 2 (sub-section),118,133,[NULL],Orvil Red Feather,[NULL],792,Knows of,Dene Oxendene,CPS worker,0,Orvil Red Feather (II),124,124,
112,Opal Viola Victoria Bear Shield's Father,67,Dene Oxendene,87,Orvil Red Feather (II),level 2 (sub-section),118,133,[NULL],Orvil Red Feather,[NULL],796,Knows of,Dene Oxendene,Opal Viola Victoria Bear Shield's Father,0,Orvil Red Feather (II),123,124,
85,Opal Viola Victoria Bear Shield,67,Dene Oxendene,87,Orvil Red Feather (II),level 2 (sub-section),118,133,[NULL],Orvil Red Feather,[NULL],800,Knows of,Dene Oxendene,Opal Viola Victoria Bear Shield,0,Orvil Red Feather (II),123,124,
248,Powwow Committee,67,Dene Oxendene,96,Calvin Johnson (II) (2),level 2 (sub-section),144,146,[NULL],Calvin Johnson,[NULL],879,Exchange,Dene Oxendene,Powwow Committee,0,Calvin Johnson (II) (2),146,146,
88,Blue,67,Dene Oxendene,96,Calvin Johnson (II) (2),level 2 (sub-section),144,146,[NULL],Calvin Johnson,[NULL],880,Exchange,Dene Oxendene,Blue,1,Calvin Johnson (II) (2),146,146,
88,Blue,67,Dene Oxendene,97,Dene Oxendene (II),level 2 (sub-section),147,150,[NULL],Dene Oxendene,Oral Story,883,Knows,Dene Oxendene,Blue,1,Dene Oxendene (II),147,147,
81,Calvin Johnson,67,Dene Oxendene,97,Dene Oxendene (II),level 2 (sub-section),147,150,[NULL],Dene Oxendene,Oral Story,884,Exchange,Dene Oxendene,Calvin Johnson,1,Dene Oxendene (II),147,150,
149,Calvin Johnson's Dad,67,Dene Oxendene,97,Dene Oxendene (II),level 2 (sub-section),147,150,[NULL],Dene Oxendene,Oral Story,888,Knows of,Dene Oxendene,Calvin Johnson's Dad,0,Dene Oxendene (II),148,148,
148,Calvin Johnson's Mom,67,Dene Oxendene,97,Dene Oxendene (II),level 2 (sub-section),147,150,[NULL],Dene Oxendene,Oral Story,889,Knows of,Dene Oxendene,Calvin Johnson's Mom,0,Dene Oxendene (II),148,148,
250,Natives,67,Dene Oxendene,97,Dene Oxendene (II),level 2 (sub-section),147,150,[NULL],Dene Oxendene,Oral Story,891,Knows,Dene Oxendene,Natives,1,Dene Oxendene (II),148,149,
249,Participants in Dene's Film,67,Dene Oxendene,97,Dene Oxendene (II),level 2 (sub-section),147,150,[NULL],Dene Oxendene,Oral Story,892,Knows,Dene Oxendene,Participants in Dene's Film,1,Dene Oxendene (II),149,149,
88,Blue,67,Dene Oxendene,97,Dene Oxendene (II),level 2 (sub-section),147,150,[NULL],Dene Oxendene,Oral Story,896,Knows,Dene Oxendene,Blue,1,Dene Oxendene (II),149,149,
146,Maggie,67,Dene Oxendene,97,Dene Oxendene (II),level 2 (sub-section),147,150,[NULL],Dene Oxendene,Oral Story,897,Knows of,Dene Oxendene,Maggie,0,Dene Oxendene (II),149,149,
93,Norma,67,Dene Oxendene,97,Dene Oxendene (II),level 2 (sub-section),147,150,[NULL],Dene Oxendene,Oral Story,898,Knows,Dene Oxendene,Norma,1,Dene Oxendene (II),149,150,
