,source,target,type,weight,startPage,category
323,15.0,3.0,Directed,1,18,Exchange
323,15.0,3.0,Directed,1,19,Exchange
324,15.0,34.0,Directed,1,17,Exchange
325,15.0,50.0,Directed,1,17,Knows
326,15.0,69.0,Directed,1,17,Knows of
327,15.0,71.0,Directed,1,17,Knows of
328,15.0,72.0,Directed,1,17,Knows of
328,15.0,72.0,Directed,1,18,Knows of
329,15.0,73.0,Directed,1,18,Knows of
330,15.0,43.0,Directed,1,18,Knows
331,15.0,74.0,Directed,1,18,Knows of
332,15.0,34.0,Directed,1,18,Knows
332,15.0,34.0,Directed,1,19,Knows
333,15.0,16.0,Directed,1,19,Knows
334,15.0,19.0,Directed,1,19,Knows
335,15.0,20.0,Directed,1,19,Knows
336,15.0,86.0,Directed,1,19,Knows
337,15.0,42.0,Directed,1,19,Knows
338,15.0,87.0,Directed,1,19,Knows of
339,15.0,16.0,Directed,1,19,Knows
340,15.0,18.0,Directed,1,19,Knows
341,15.0,17.0,Directed,1,19,Knows
342,15.0,91.0,Directed,1,19,Knows of
343,15.0,34.0,Directed,1,19,Knows
344,15.0,96.0,Directed,1,21,Knows
345,15.0,94.0,Directed,1,21,Knows of
346,15.0,95.0,Directed,1,21,Knows
347,15.0,61.0,Directed,1,21,Knows
347,15.0,61.0,Directed,1,22,Knows
347,15.0,61.0,Directed,1,23,Knows
348,15.0,9.0,Directed,1,21,Knows
349,15.0,16.0,Directed,1,22,Exchange
349,15.0,16.0,Directed,1,23,Exchange
349,15.0,16.0,Directed,1,24,Exchange
350,15.0,102.0,Directed,1,22,Exchange
350,15.0,102.0,Directed,1,23,Exchange
351,15.0,19.0,Directed,1,22,Knows
352,15.0,103.0,Directed,1,23,Exchange
352,15.0,103.0,Directed,1,24,Exchange
352,15.0,103.0,Directed,1,25,Exchange
352,15.0,103.0,Directed,1,26,Exchange
353,15.0,61.0,Directed,1,24,Exchange
353,15.0,61.0,Directed,1,25,Exchange
353,15.0,61.0,Directed,1,26,Exchange
354,15.0,103.0,Directed,1,28,Exchange
355,15.0,61.0,Directed,1,30,Exchange
356,15.0,94.0,Directed,1,30,Knows
357,15.0,109.0,Directed,1,30,Knows of
358,15.0,110.0,Directed,1,30,Knows
359,15.0,111.0,Directed,1,30,Knows
360,15.0,18.0,Directed,1,31,Exchange
361,15.0,103.0,Directed,1,32,Exchange
361,15.0,103.0,Directed,1,33,Exchange
361,15.0,103.0,Directed,1,34,Exchange
362,15.0,61.0,Directed,1,32,Exchange
362,15.0,61.0,Directed,1,33,Exchange
362,15.0,61.0,Directed,1,34,Exchange
