,Char 2 ID,Char 1 ID,id_cont,Title <br />(100 chars),Level <br />(choose),Start Page_cont,End Page_cont,Narrator <br />(choose),Protagonist <br />(choose),Embed. Type <br />(choose),id_rel,Type of Relationship <br />(choose),Character 1 <br />(choose),Character 2 <br />(choose),Is Reciprocal? <br />(choose),Narrative Container <br />(choose),Start Page_rel,End Page_rel,index
1268,59.0,5.0,19,Satan: Hijacker of a Planet,level 2 (sub-section),137,146,Marn Wolde,Billy Peace,[NULL],285,Knows,Marn Wolde,"Ed (""[M]ain preacher"")",0,Satan: Hijacker of a Planet,146,146,1380.0
1269,76.0,5.0,19,Satan: Hijacker of a Planet,level 2 (sub-section),137,146,Marn Wolde,Billy Peace,[NULL],285,Knows,Marn Wolde,Ed's Mother,0,Satan: Hijacker of a Planet,144,144,617.0
1269,76.0,5.0,19,Satan: Hijacker of a Planet,level 2 (sub-section),137,146,Marn Wolde,Billy Peace,[NULL],285,Knows,Marn Wolde,Ed's Mother,0,Satan: Hijacker of a Planet,145,145,617.0
1269,76.0,5.0,19,Satan: Hijacker of a Planet,level 2 (sub-section),137,146,Marn Wolde,Billy Peace,[NULL],285,Knows,Marn Wolde,Ed's Mother,0,Satan: Hijacker of a Planet,146,146,617.0
1270,5.0,5.0,19,Satan: Hijacker of a Planet,level 2 (sub-section),137,146,Marn Wolde,Billy Peace,[NULL],286,Knows,Marn Wolde,Marn Wolde,0,Satan: Hijacker of a Planet,144,144,969.0
1271,59.0,5.0,19,Satan: Hijacker of a Planet,level 2 (sub-section),137,146,Marn Wolde,Billy Peace,[NULL],286,Knows,Marn Wolde,"Ed (""[M]ain preacher"")",0,Satan: Hijacker of a Planet,144,144,206.0
1272,5.0,5.0,19,Satan: Hijacker of a Planet,level 2 (sub-section),137,146,Marn Wolde,Billy Peace,[NULL],287,Knows,Marn Wolde,Marn Wolde,0,Satan: Hijacker of a Planet,144,144,970.0
1272,5.0,5.0,19,Satan: Hijacker of a Planet,level 2 (sub-section),137,146,Marn Wolde,Billy Peace,[NULL],287,Knows,Marn Wolde,Marn Wolde,0,Satan: Hijacker of a Planet,145,145,970.0
1272,5.0,5.0,19,Satan: Hijacker of a Planet,level 2 (sub-section),137,146,Marn Wolde,Billy Peace,[NULL],287,Knows,Marn Wolde,Marn Wolde,0,Satan: Hijacker of a Planet,146,146,970.0
1273,76.0,5.0,19,Satan: Hijacker of a Planet,level 2 (sub-section),137,146,Marn Wolde,Billy Peace,[NULL],287,Knows,Marn Wolde,Ed's Mother,0,Satan: Hijacker of a Planet,144,144,207.0
1273,76.0,5.0,19,Satan: Hijacker of a Planet,level 2 (sub-section),137,146,Marn Wolde,Billy Peace,[NULL],287,Knows,Marn Wolde,Ed's Mother,0,Satan: Hijacker of a Planet,145,145,207.0
1273,76.0,5.0,19,Satan: Hijacker of a Planet,level 2 (sub-section),137,146,Marn Wolde,Billy Peace,[NULL],287,Knows,Marn Wolde,Ed's Mother,0,Satan: Hijacker of a Planet,146,146,207.0
1274,77.0,5.0,19,Satan: Hijacker of a Planet,level 2 (sub-section),137,146,Marn Wolde,Billy Peace,[NULL],288,Exchange,Marn Wolde,"""[P]eople"" (praying over Ed's mother)",0,Satan: Hijacker of a Planet,145,145,696.0
1275,5.0,5.0,19,Satan: Hijacker of a Planet,level 2 (sub-section),137,146,Marn Wolde,Billy Peace,[NULL],288,Exchange,Marn Wolde,Marn Wolde,0,Satan: Hijacker of a Planet,145,145,1459.0
1276,77.0,5.0,19,Satan: Hijacker of a Planet,level 2 (sub-section),137,146,Marn Wolde,Billy Peace,[NULL],289,Knows,Marn Wolde,"""[P]eople"" (praying over Ed's mother)",0,Satan: Hijacker of a Planet,145,145,697.0
1277,76.0,5.0,19,Satan: Hijacker of a Planet,level 2 (sub-section),137,146,Marn Wolde,Billy Peace,[NULL],289,Knows,Marn Wolde,Ed's Mother,0,Satan: Hijacker of a Planet,145,145,1460.0
1278,5.0,5.0,19,Satan: Hijacker of a Planet,level 2 (sub-section),137,146,Marn Wolde,Billy Peace,[NULL],290,Knows,Marn Wolde,Marn Wolde,0,Satan: Hijacker of a Planet,146,146,971.0
1279,8.0,5.0,19,Satan: Hijacker of a Planet,level 2 (sub-section),137,146,Marn Wolde,Billy Peace,[NULL],290,Knows,Marn Wolde,Warren Wolde,0,Satan: Hijacker of a Planet,146,146,208.0
1280,5.0,5.0,19,Satan: Hijacker of a Planet,level 2 (sub-section),137,146,Marn Wolde,Billy Peace,[NULL],291,Knows,Marn Wolde,Marn Wolde,0,Satan: Hijacker of a Planet,146,146,972.0
1281,52.0,5.0,19,Satan: Hijacker of a Planet,level 2 (sub-section),137,146,Marn Wolde,Billy Peace,[NULL],291,Knows,Marn Wolde,Marn Wolde's Mother,0,Satan: Hijacker of a Planet,146,146,209.0
1282,5.0,5.0,19,Satan: Hijacker of a Planet,level 2 (sub-section),137,146,Marn Wolde,Billy Peace,[NULL],292,Knows,Marn Wolde,Marn Wolde,0,Satan: Hijacker of a Planet,146,146,973.0
1283,53.0,5.0,19,Satan: Hijacker of a Planet,level 2 (sub-section),137,146,Marn Wolde,Billy Peace,[NULL],292,Knows,Marn Wolde,Marn Wolde's Father,0,Satan: Hijacker of a Planet,146,146,210.0
1284,53.0,5.0,19,Satan: Hijacker of a Planet,level 2 (sub-section),137,146,Marn Wolde,Billy Peace,[NULL],293,Knows,Marn Wolde,Marn Wolde's Father,0,Satan: Hijacker of a Planet,146,146,600.0
1285,52.0,5.0,19,Satan: Hijacker of a Planet,level 2 (sub-section),137,146,Marn Wolde,Billy Peace,[NULL],293,Knows,Marn Wolde,Marn Wolde's Mother,0,Satan: Hijacker of a Planet,146,146,1363.0
1286,51.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],294,Exchange,Marn Wolde,Billy Peace,0,The Daniels,147,147,1306.0
1286,51.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],294,Exchange,Marn Wolde,Billy Peace,0,The Daniels,148,148,1306.0
1286,51.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],294,Exchange,Marn Wolde,Billy Peace,0,The Daniels,149,149,1306.0
1286,51.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],294,Exchange,Marn Wolde,Billy Peace,0,The Daniels,150,150,1306.0
1286,51.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],294,Exchange,Marn Wolde,Billy Peace,0,The Daniels,151,151,1306.0
1286,51.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],294,Exchange,Marn Wolde,Billy Peace,0,The Daniels,152,152,1306.0
1286,51.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],294,Exchange,Marn Wolde,Billy Peace,0,The Daniels,153,153,1306.0
1286,51.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],294,Exchange,Marn Wolde,Billy Peace,0,The Daniels,154,154,1306.0
1286,51.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],294,Exchange,Marn Wolde,Billy Peace,0,The Daniels,155,155,1306.0
1286,51.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],294,Exchange,Marn Wolde,Billy Peace,0,The Daniels,156,156,1306.0
1286,51.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],294,Exchange,Marn Wolde,Billy Peace,0,The Daniels,157,157,1306.0
1287,5.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],294,Exchange,Marn Wolde,Marn Wolde,0,The Daniels,147,147,543.0
1287,5.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],294,Exchange,Marn Wolde,Marn Wolde,0,The Daniels,148,148,543.0
1287,5.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],294,Exchange,Marn Wolde,Marn Wolde,0,The Daniels,149,149,543.0
1287,5.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],294,Exchange,Marn Wolde,Marn Wolde,0,The Daniels,150,150,543.0
1287,5.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],294,Exchange,Marn Wolde,Marn Wolde,0,The Daniels,151,151,543.0
1287,5.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],294,Exchange,Marn Wolde,Marn Wolde,0,The Daniels,152,152,543.0
1287,5.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],294,Exchange,Marn Wolde,Marn Wolde,0,The Daniels,153,153,543.0
1287,5.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],294,Exchange,Marn Wolde,Marn Wolde,0,The Daniels,154,154,543.0
1287,5.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],294,Exchange,Marn Wolde,Marn Wolde,0,The Daniels,155,155,543.0
1287,5.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],294,Exchange,Marn Wolde,Marn Wolde,0,The Daniels,156,156,543.0
1287,5.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],294,Exchange,Marn Wolde,Marn Wolde,0,The Daniels,157,157,543.0
1288,5.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],295,Knows,Marn Wolde,Marn Wolde,0,The Daniels,147,147,974.0
1289,78.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],295,Knows,Marn Wolde,Judah Peace,0,The Daniels,147,147,211.0
1290,5.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],296,Knows,Marn Wolde,Marn Wolde,0,The Daniels,147,147,975.0
1291,79.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],296,Knows,Marn Wolde,Lilith Peace,0,The Daniels,147,147,212.0
1292,51.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],297,Knows,Marn Wolde,Billy Peace,0,The Daniels,147,147,1307.0
1292,51.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],297,Knows,Marn Wolde,Billy Peace,0,The Daniels,148,148,1307.0
1292,51.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],297,Knows,Marn Wolde,Billy Peace,0,The Daniels,149,149,1307.0
1292,51.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],297,Knows,Marn Wolde,Billy Peace,0,The Daniels,150,150,1307.0
1293,78.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],297,Knows,Marn Wolde,Judah Peace,0,The Daniels,147,147,544.0
1293,78.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],297,Knows,Marn Wolde,Judah Peace,0,The Daniels,148,148,544.0
1293,78.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],297,Knows,Marn Wolde,Judah Peace,0,The Daniels,149,149,544.0
1293,78.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],297,Knows,Marn Wolde,Judah Peace,0,The Daniels,150,150,544.0
1294,51.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],298,Knows,Marn Wolde,Billy Peace,0,The Daniels,147,147,1308.0
1294,51.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],298,Knows,Marn Wolde,Billy Peace,0,The Daniels,148,148,1308.0
1294,51.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],298,Knows,Marn Wolde,Billy Peace,0,The Daniels,149,149,1308.0
1294,51.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],298,Knows,Marn Wolde,Billy Peace,0,The Daniels,150,150,1308.0
1295,79.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],298,Knows,Marn Wolde,Lilith Peace,0,The Daniels,147,147,545.0
1295,79.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],298,Knows,Marn Wolde,Lilith Peace,0,The Daniels,148,148,545.0
1295,79.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],298,Knows,Marn Wolde,Lilith Peace,0,The Daniels,149,149,545.0
1295,79.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],298,Knows,Marn Wolde,Lilith Peace,0,The Daniels,150,150,545.0
1296,78.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],299,Knows,Marn Wolde,Judah Peace,0,The Daniels,147,147,698.0
1296,78.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],299,Knows,Marn Wolde,Judah Peace,0,The Daniels,148,148,698.0
1296,78.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],299,Knows,Marn Wolde,Judah Peace,0,The Daniels,149,149,698.0
1296,78.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],299,Knows,Marn Wolde,Judah Peace,0,The Daniels,150,150,698.0
1297,79.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],299,Knows,Marn Wolde,Lilith Peace,0,The Daniels,147,147,1461.0
1297,79.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],299,Knows,Marn Wolde,Lilith Peace,0,The Daniels,148,148,1461.0
1297,79.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],299,Knows,Marn Wolde,Lilith Peace,0,The Daniels,149,149,1461.0
1297,79.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],299,Knows,Marn Wolde,Lilith Peace,0,The Daniels,150,150,1461.0
1298,5.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],300,Knows,Marn Wolde,Marn Wolde,0,The Daniels,147,147,976.0
1299,52.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],300,Knows,Marn Wolde,Marn Wolde's Mother,0,The Daniels,147,147,213.0
1300,5.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],301,Knows,Marn Wolde,Marn Wolde,0,The Daniels,147,147,977.0
1301,53.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],301,Knows,Marn Wolde,Marn Wolde's Father,0,The Daniels,147,147,214.0
1302,52.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],302,Knows,Marn Wolde,Marn Wolde's Mother,0,The Daniels,147,147,1351.0
1302,52.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],302,Knows,Marn Wolde,Marn Wolde's Mother,0,The Daniels,148,148,1351.0
1302,52.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],302,Knows,Marn Wolde,Marn Wolde's Mother,0,The Daniels,149,149,1351.0
1302,52.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],302,Knows,Marn Wolde,Marn Wolde's Mother,0,The Daniels,150,150,1351.0
1302,52.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],302,Knows,Marn Wolde,Marn Wolde's Mother,0,The Daniels,151,151,1351.0
1302,52.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],302,Knows,Marn Wolde,Marn Wolde's Mother,0,The Daniels,152,152,1351.0
1302,52.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],302,Knows,Marn Wolde,Marn Wolde's Mother,0,The Daniels,153,153,1351.0
1303,53.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],302,Knows,Marn Wolde,Marn Wolde's Father,0,The Daniels,147,147,588.0
1303,53.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],302,Knows,Marn Wolde,Marn Wolde's Father,0,The Daniels,148,148,588.0
1303,53.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],302,Knows,Marn Wolde,Marn Wolde's Father,0,The Daniels,149,149,588.0
1303,53.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],302,Knows,Marn Wolde,Marn Wolde's Father,0,The Daniels,150,150,588.0
1303,53.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],302,Knows,Marn Wolde,Marn Wolde's Father,0,The Daniels,151,151,588.0
1303,53.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],302,Knows,Marn Wolde,Marn Wolde's Father,0,The Daniels,152,152,588.0
1303,53.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],302,Knows,Marn Wolde,Marn Wolde's Father,0,The Daniels,153,153,588.0
1304,5.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],303,Exchange,Marn Wolde,Marn Wolde,0,The Daniels,148,148,215.0
1305,78.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],303,Exchange,Marn Wolde,Judah Peace,0,The Daniels,148,148,978.0
1306,5.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],304,Exchange,Marn Wolde,Marn Wolde,0,The Daniels,148,148,979.0
1307,79.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],304,Exchange,Marn Wolde,Lilith Peace,0,The Daniels,148,148,216.0
1308,5.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],305,Knows of,Marn Wolde,Marn Wolde,0,The Daniels,148,148,217.0
1309,80.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],305,Knows of,Marn Wolde,Billy Peace's Father,0,The Daniels,148,148,980.0
1310,5.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],306,Knows of,Marn Wolde,Marn Wolde,0,The Daniels,148,148,218.0
1311,81.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],306,Knows of,Marn Wolde,Billy Peace's Mother,0,The Daniels,148,148,981.0
1312,80.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],307,Knows,Marn Wolde,Billy Peace's Father,0,The Daniels,148,148,707.0
1313,81.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],307,Knows,Marn Wolde,Billy Peace's Mother,0,The Daniels,148,148,1470.0
1314,51.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],308,Knows,Marn Wolde,Billy Peace,0,The Daniels,148,148,546.0
1315,80.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],308,Knows,Marn Wolde,Billy Peace's Father,0,The Daniels,148,148,1309.0
1316,51.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],309,Knows,Marn Wolde,Billy Peace,0,The Daniels,148,148,1310.0
1317,81.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],309,Knows,Marn Wolde,Billy Peace's Mother,0,The Daniels,148,148,547.0
1318,5.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],310,Knows,Marn Wolde,Marn Wolde,0,The Daniels,148,148,982.0
1319,82.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],310,Knows,Marn Wolde,Billy Peace's Sister,0,The Daniels,148,148,219.0
1320,51.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],311,Knows,Marn Wolde,Billy Peace,0,The Daniels,148,148,1311.0
1321,82.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],311,Knows,Marn Wolde,Billy Peace's Sister,0,The Daniels,148,148,548.0
1322,5.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],312,Exchange,Marn Wolde,Marn Wolde,0,The Daniels,148,148,220.0
1322,5.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],312,Exchange,Marn Wolde,Marn Wolde,0,The Daniels,149,149,220.0
1322,5.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],312,Exchange,Marn Wolde,Marn Wolde,0,The Daniels,150,150,220.0
1323,53.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],312,Exchange,Marn Wolde,Marn Wolde's Father,0,The Daniels,148,148,983.0
1323,53.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],312,Exchange,Marn Wolde,Marn Wolde's Father,0,The Daniels,149,149,983.0
1323,53.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],312,Exchange,Marn Wolde,Marn Wolde's Father,0,The Daniels,150,150,983.0
1324,5.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],313,Exchange,Marn Wolde,Marn Wolde,0,The Daniels,148,148,984.0
1324,5.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],313,Exchange,Marn Wolde,Marn Wolde,0,The Daniels,149,149,984.0
1324,5.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],313,Exchange,Marn Wolde,Marn Wolde,0,The Daniels,150,150,984.0
1325,52.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],313,Exchange,Marn Wolde,Marn Wolde's Mother,0,The Daniels,148,148,221.0
1325,52.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],313,Exchange,Marn Wolde,Marn Wolde's Mother,0,The Daniels,149,149,221.0
1325,52.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],313,Exchange,Marn Wolde,Marn Wolde's Mother,0,The Daniels,150,150,221.0
1326,53.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],314,Knows,Marn Wolde,Marn Wolde's Father,0,The Daniels,148,148,1364.0
1327,51.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],314,Knows,Marn Wolde,Billy Peace,0,The Daniels,148,148,601.0
1328,52.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],315,Knows,Marn Wolde,Marn Wolde's Mother,0,The Daniels,148,148,589.0
1329,51.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],315,Knows,Marn Wolde,Billy Peace,0,The Daniels,148,148,1352.0
1330,53.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],316,Knows of,Marn Wolde,Marn Wolde's Father,0,The Daniels,148,148,602.0
1331,78.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],316,Knows of,Marn Wolde,Judah Peace,0,The Daniels,148,148,1365.0
1332,53.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],317,Knows of,Marn Wolde,Marn Wolde's Father,0,The Daniels,148,148,603.0
1333,79.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],317,Knows of,Marn Wolde,Lilith Peace,0,The Daniels,148,148,1366.0
1334,52.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],318,Knows of,Marn Wolde,Marn Wolde's Mother,0,The Daniels,148,148,590.0
1335,78.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],318,Knows of,Marn Wolde,Judah Peace,0,The Daniels,148,148,1353.0
1336,52.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],319,Knows of,Marn Wolde,Marn Wolde's Mother,0,The Daniels,148,148,591.0
1337,79.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],319,Knows of,Marn Wolde,Lilith Peace,0,The Daniels,148,148,1354.0
1338,5.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],320,Knows,Marn Wolde,Marn Wolde,0,The Daniels,148,148,222.0
1338,5.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],320,Knows,Marn Wolde,Marn Wolde,0,The Daniels,149,149,222.0
1339,83.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],320,Knows,Marn Wolde,"""[E]ight retired persons""",0,The Daniels,148,148,985.0
1339,83.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],320,Knows,Marn Wolde,"""[E]ight retired persons""",0,The Daniels,149,149,985.0
1340,51.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],321,Knows,Marn Wolde,Billy Peace,0,The Daniels,148,148,1312.0
1341,83.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],321,Knows,Marn Wolde,"""[E]ight retired persons""",0,The Daniels,148,148,549.0
1342,5.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],322,Knows,Marn Wolde,Marn Wolde,0,The Daniels,149,149,986.0
1343,84.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],322,Knows,Marn Wolde,Marn Wolde's First Brother,0,The Daniels,149,149,223.0
1344,5.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],323,Knows,Marn Wolde,Marn Wolde,0,The Daniels,149,149,224.0
1345,85.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],323,Knows,Marn Wolde,Marn Wolde's Second Brother,0,The Daniels,149,149,987.0
1346,84.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],324,Knows,Marn Wolde,Marn Wolde's First Brother,0,The Daniels,149,149,711.0
1347,85.0,5.0,20,The Daniels,level 2 (sub-section),147,157,Marn Wolde,[NULL],[NULL],324,Knows,Marn Wolde,Marn Wolde's Second Brother,0,The Daniels,149,149,1474.0
