,Char 2 ID,Char 1 ID,id_cont,Title <br />(100 chars),Level <br />(choose),Start Page_cont,End Page_cont,Narrator <br />(choose),Protagonist <br />(choose),Embed. Type <br />(choose),id_rel,Type of Relationship <br />(choose),Character 1 <br />(choose),Character 2 <br />(choose),Is Reciprocal? <br />(choose),Narrative Container <br />(choose),Start Page_rel,End Page_rel,index
29,18.0,3.0,31,Apparition,level 3 (sub-sub-section),11,13,Evelina Harp,[NULL],Oral Story,95,Knows,Evelina Harp,Edward Harp,1,Apparition,12,12,
30,35.0,3.0,31,Apparition,level 3 (sub-sub-section),11,13,Evelina Harp,[NULL],Oral Story,99,Knows of,Evelina Harp,Junesse's Aunt,0,Apparition,12,12,
31,9.0,3.0,31,Apparition,level 3 (sub-sub-section),11,13,Evelina Harp,[NULL],Oral Story,100,Knows of,Evelina Harp,Severine Milk,0,Apparition,12,12,
32,37.0,3.0,31,Apparition,level 3 (sub-sub-section),11,13,Evelina Harp,[NULL],Oral Story,102,Knows of,Evelina Harp,Junesse's six younger cousins,0,Apparition,12,12,
33,34.0,3.0,31,Apparition,level 3 (sub-sub-section),11,13,Evelina Harp,[NULL],Oral Story,106,Knows,Evelina Harp,Junesse Malaterre,1,Apparition,13,13,
34,38.0,3.0,32,The Burning Glare,level 3 (sub-sub-section),13,15,Evelina Harp,[NULL],[NULL],107,Exchange,Evelina Harp,Off-Reservation Dentist,1,The Burning Glare,13,13,
35,31.0,3.0,32,The Burning Glare,level 3 (sub-sub-section),13,15,Evelina Harp,[NULL],[NULL],110,Exchange,Evelina Harp,Corwin Peace,1,The Burning Glare,14,14,
36,32.0,3.0,32,The Burning Glare,level 3 (sub-sub-section),13,15,Evelina Harp,[NULL],[NULL],112,Knows,Evelina Harp,Other Children (in school with Evelina),1,The Burning Glare,14,14,
37,40.0,3.0,32,The Burning Glare,level 3 (sub-sub-section),13,15,Evelina Harp,[NULL],[NULL],113,Knows of,Evelina Harp,Christ,0,The Burning Glare,14,14,
38,16.0,3.0,32,The Burning Glare,level 3 (sub-sub-section),13,15,Evelina Harp,[NULL],[NULL],114,Exchange,Evelina Harp,Clemence Harp,1,The Burning Glare,15,15,
39,41.0,3.0,32,The Burning Glare,level 3 (sub-sub-section),13,15,Evelina Harp,[NULL],[NULL],115,Knows of,Evelina Harp,Jackie Kennedy,0,The Burning Glare,15,15,
40,40.0,3.0,32,The Burning Glare,level 3 (sub-sub-section),13,15,Evelina Harp,[NULL],[NULL],116,Knows of,Evelina Harp,Christ,0,The Burning Glare,15,15,
41,15.0,3.0,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,119,Knows,Evelina Harp,Seraph Milk (Mooshum),1,Mustache Maude,15,15,
42,34.0,3.0,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,120,Knows,Evelina Harp,Junesse Malaterre,1,Mustache Maude,15,15,
43,42.0,3.0,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,121,Knows of,Evelina Harp,"""Mustache"" Maude Black",0,Mustache Maude,15,15,
44,42.0,3.0,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,124,Knows of,Evelina Harp,"""Mustache"" Maude Black",0,Mustache Maude,16,16,
45,15.0,3.0,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,125,Exchange,Evelina Harp,Seraph Milk (Mooshum),1,Mustache Maude,16,16,
46,34.0,3.0,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,126,Knows,Evelina Harp,Junesse Malaterre,1,Mustache Maude,16,16,
47,43.0,3.0,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,128,Knows of,Evelina Harp,Ott Black,0,Mustache Maude,16,16,
48,44.0,3.0,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,129,Knows of,Evelina Harp,Erling Nicolai Rolfsrud,0,Mustache Maude,16,16,
49,42.0,3.0,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,135,Knows of,Evelina Harp,"""Mustache"" Maude Black",0,Mustache Maude,17,17,
49,42.0,3.0,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,135,Knows of,Evelina Harp,"""Mustache"" Maude Black",0,Mustache Maude,18,18,
50,34.0,3.0,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,136,Knows,Evelina Harp,Junesse Malaterre,1,Mustache Maude,17,17,
51,49.0,3.0,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,139,Knows of,Evelina Harp,The Lochren Murder,0,Mustache Maude,17,17,
52,45.0,3.0,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,140,Knows of,Evelina Harp,The Lochren Family,0,Mustache Maude,17,17,
53,50.0,3.0,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,145,Knows of,Evelina Harp,The Lynching,0,Mustache Maude,17,17,
54,46.0,3.0,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,146,Knows of,Evelina Harp,Holy Track,0,Mustache Maude,17,17,
55,48.0,3.0,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,147,Knows of,Evelina Harp,Asiginak,0,Mustache Maude,17,17,
56,47.0,3.0,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,148,Knows of,Evelina Harp,Cuthbert Peace,0,Mustache Maude,17,17,
57,63.0,3.0,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,232,Knows of,Evelina Harp,Frederic Vogeli,0,Mustache Maude,17,17,
58,64.0,3.0,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,233,Knows of,Evelina Harp,Johann Buckendorf,0,Mustache Maude,17,17,
59,65.0,3.0,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,234,Knows of,Evelina Harp,Oric Hoag,0,Mustache Maude,17,17,
60,66.0,3.0,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,235,Knows of,Evelina Harp,Eugene Wildestrand,0,Mustache Maude,17,17,
61,68.0,3.0,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,236,Knows of,Evelina Harp,William Hotchkiss,0,Mustache Maude,17,17,
62,67.0,3.0,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,237,Knows of,Evelina Harp,Emil Buckendorf,0,Mustache Maude,17,17,
63,70.0,3.0,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,248,Knows of,Evelina Harp,Buckendorf Family,0,Mustache Maude,17,17,
64,69.0,3.0,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,261,Knows of,Evelina Harp,Woman (murdered a couple farms over),0,Mustache Maude,17,17,
64,69.0,3.0,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,261,Knows of,Evelina Harp,Woman (murdered a couple farms over),0,Mustache Maude,18,18,
65,71.0,3.0,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,262,Knows of,Evelina Harp,Husband (of the woman murdered a couple farms over,0,Mustache Maude,17,17,
65,71.0,3.0,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,262,Knows of,Evelina Harp,Husband (of the woman murdered a couple farms over,0,Mustache Maude,18,18,
66,72.0,3.0,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,263,Knows of,Evelina Harp,Neighbours (of Maude Black),0,Mustache Maude,17,17,
66,72.0,3.0,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,263,Knows of,Evelina Harp,Neighbours (of Maude Black),0,Mustache Maude,18,18,
67,43.0,3.0,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,268,Knows of,Evelina Harp,Ott Black,0,Mustache Maude,18,18,
68,73.0,3.0,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,269,Knows of,Evelina Harp,Man (that Ott shot in the leg),0,Mustache Maude,18,18,
69,74.0,3.0,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,272,Knows of,Evelina Harp,Doctor (Maude sent for),0,Mustache Maude,18,18,
70,34.0,3.0,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,348,Knows,Evelina Harp,Junesse Malaterre,0,Mustache Maude,19,19,
