label,width,height,font_size,label_radius
"People""falling away dead of the Aids""",532.80,28.80,24.0,266.79
People (abstract),346.80,40.80,34.0,174.60
people at the bridge festival,487.20,33.60,28.0,244.18
Peter Connors,265.20,40.80,34.0,134.16
Philly,104.40,34.80,29.0,55.02
PJ,30.00,30.00,25.0,21.21
Pokey Burke,739.20,134.40,112.0,375.66
Policeman (who talks to Vasya),468.00,31.20,26.0,234.52
Polish men,168.00,33.60,28.0,85.66
Polish subcontractors,327.60,31.20,26.0,164.54
Regan,75.00,30.00,25.0,40.39
Regional Hospital Doctors,375.00,30.00,25.0,188.10
Robert Mahon,244.80,40.80,34.0,124.09
Rory Slattery,475.80,73.20,61.0,240.70
Rory's Father,257.40,39.60,33.0,130.21
Rory's friends,201.60,28.80,24.0,101.82
Rory's Mother,257.40,39.60,33.0,130.21
Roscrea (football team),331.20,28.80,24.0,166.22
Russian men,178.20,32.40,27.0,90.56
Réaltín,613.20,175.20,146.0,318.87
Réaltín's mother,278.40,34.80,29.0,140.28
Satan,81.00,32.40,27.0,43.62
Seanie Shaper (Sean Shanahan),1931.40,133.20,111.0,967.99
Seanie's brothers,346.80,40.80,34.0,174.60
Seanie's Father,333.00,44.40,37.0,167.97
Seanie's friend,234.00,31.20,26.0,118.04
Seanie's friends,268.80,33.60,28.0,135.45
Seanie's Mother,333.00,44.40,37.0,167.97
Seanie's sister,306.00,40.80,34.0,154.35
Search party (for Bridie),360.00,28.80,24.0,180.58
Search party (for Dylan),388.80,32.40,27.0,195.07
Search party (for Peter),360.00,30.00,25.0,180.62
Sergeant Dick O'Toole,302.40,28.80,24.0,151.88
shitbags in the welfare office,486.00,32.40,27.0,243.54
some farmer lad,225.00,30.00,25.0,113.50
Tattoo artist,195.00,30.00,25.0,98.65
Tattoo shop girl,240.00,30.00,25.0,120.93
taxman,90.00,30.00,25.0,47.43
Teapot Taliban,268.80,38.40,32.0,135.76
"the""ICA crowd""",210.00,30.00,25.0,106.07
The City Council,240.00,30.00,25.0,120.93
The Crawfords,351.00,54.00,45.0,177.56
the Cunliffes,210.60,32.40,27.0,106.54
the Cunliffes' son,345.60,38.40,32.0,173.86
the Cunliffes' son's aunt,390.00,31.20,26.0,195.62
The Dryffids,187.20,31.20,26.0,94.89
The Farrells (Kenny's parents),450.00,30.00,25.0,225.50
the guards,144.00,28.80,24.0,73.43
the lads,115.20,28.80,24.0,59.37
The Latvians,180.00,30.00,25.0,91.24
The McDermotts,210.00,30.00,25.0,106.07
The parish,156.00,31.20,26.0,79.54
the Penroses,180.00,30.00,25.0,91.24
The Pixies,150.00,30.00,25.0,76.49
the sheriff,158.40,28.80,24.0,80.50
The Taliban,158.40,28.80,24.0,80.50
the Tans,124.80,31.20,26.0,64.32
the two Walshes,225.00,30.00,25.0,113.50
Tibetan Monks,187.20,28.80,24.0,94.70
Timmy Hanrahan,730.80,104.40,87.0,369.11
Timmy's father,235.20,33.60,28.0,118.79
Timmy's mother,235.20,33.60,28.0,118.79
Timmy's Nana,237.60,39.60,33.0,120.44
Timmy's sibilings,275.40,32.40,27.0,138.65
Tom (Réaltín's father),726.00,66.00,55.0,364.50
Tony Soprano,172.80,28.80,24.0,87.59
Townie Boys,165.00,30.00,25.0,83.85
Trevor,230.40,76.80,64.0,121.43
Trevor's father,234.00,31.20,26.0,118.04
Trevor's mother,288.00,38.40,32.0,145.27
Triona Cahill/Mahon,1048.80,110.40,92.0,527.30
Triona's Father,288.00,38.40,32.0,145.27
Triona's Father's GP,300.00,30.00,25.0,150.75
Triona's friend,234.00,31.20,26.0,118.04
Triona's Mother,252.00,33.60,28.0,127.12
Uncle JJ,120.00,30.00,25.0,61.85
Uncle Noely,191.40,34.80,29.0,97.27
Vasya Afanasiev,549.00,73.20,61.0,276.93
Vasya's boss,194.40,32.40,27.0,98.54
Vasya's family,226.80,32.40,27.0,114.55
Vasya's Father,243.60,34.80,29.0,123.04
Vasya's grandfather,285.00,30.00,25.0,143.29
Vasya's grandmother,330.60,34.80,29.0,166.21
Vasya's Mother,243.60,34.80,29.0,123.04
Viktor Afanasiev,288.00,36.00,30.0,145.12
Vomity Donnell,201.60,28.80,24.0,101.82
Wankyballs,144.00,28.80,24.0,73.43
welfare inspectors,259.20,28.80,24.0,130.40
Whingers on Joe Duffy,315.00,30.00,25.0,158.21
Wife (of the man Vasya worked with),546.00,31.20,26.0,273.45
women (abstract),240.00,30.00,25.0,120.93
Women of Ireland (132),316.80,28.80,24.0,159.05
Yvonne Burke,345.60,57.60,48.0,175.18
Yvonne's family,234.00,31.20,26.0,118.04
