leader_label,assigned_color,community_size,other_large_nodes,leader_id,leader_strength,leader_size,modularity_class,notes
"Three sons (of the religious fanatic)",,1,,1107,0.0000,10.00,143,
"Townspeople",,1,,1097,0.0000,10.00,144,
"Velma",,1,,1112,0.0000,10.00,145,
"Virgin Mary (TBE)",,1,,984,0.0000,10.00,146,
"White boys",,1,,1012,0.0000,10.00,147,
"White girls",,1,,963,0.0000,10.00,148,
"Women",,1,,995,2.0000,11.03,149,
"Women (in Lorain, Ohio)",,1,,1113,0.0000,10.00,150,
"Women (who cast unfavorable glances toward Pauline",,1,,997,0.0000,10.00,151,
"Women in town",,1,,954,0.0000,10.00,152,
