leader_label,assigned_color,community_size,other_large_nodes,leader_id,leader_strength,leader_size,modularity_class,notes
"Nixon (the horse)",,1,,530,0.0000,10.00,180,
"NOFX (band)",,1,,327,0.0000,10.00,181,
"Noreen's three daughters",,1,,470,0.0000,10.00,182,
"Nuns (band)",,1,,133,0.0000,10.00,183,
"Olivia (Louisa's daughter)",,1,,99,0.0000,10.00,184,
"one of Bennie's artists",,1,,518,0.0000,10.00,185,
"one of The General's drivers",,1,,521,0.0000,10.00,186,
"Orpheus",,1,,201,0.0000,10.00,187,
"paparazzi",,1,,504,0.0000,10.00,188,
"Patti Smith",,1,,127,0.0000,10.00,189,
"Paul Cézanne",,1,,197,0.0000,10.00,190,
"Paul Klee",,1,,200,0.0000,10.00,191,
"Pearl Jam",,1,,109,0.0000,10.00,192,
"pedestrians",,1,,520,0.0000,10.00,193,
"photographer",,1,,476,0.0000,10.00,194,
"Picasso",,1,,477,0.0000,10.00,195,
"Pilar",,1,,169,0.0000,10.00,196,
"Pink Buttons (band)",,1,,344,0.0000,10.00,197,
"Pluto",,1,,205,0.0000,10.00,198,
"Punk rockers",,1,,514,0.0000,10.00,199,
"Rachel Costanza",,1,,185,0.0000,10.00,200,
"Ralph Fiennes",,1,,144,0.0000,10.00,201,
"Rebecca's father",,1,,334,0.0000,10.00,202,
"Rebecca's first roommate",,1,,355,0.0000,10.00,203,
"Rebecca's mother",,1,,335,0.0000,10.00,204,
"Rebecca's second roommate",,1,,356,0.0000,10.00,205,
"Rebecca's third roommate",,1,,357,0.0000,10.00,206,
"Rhea's cousins",,1,,512,0.0000,10.00,207,
"Rhea's second child",,1,,437,0.0000,10.00,208,
"Rhea's third child",,1,,440,0.0000,10.00,209,
"Richard Diebenkorn",,1,,208,0.0000,10.00,210,
"Richard Nixon",,1,,267,0.0000,10.00,211,
"Ricky Sleeper",,1,,307,0.0000,10.00,212,
"Robert Freeman Jr.'s sister",,1,,286,0.0000,10.00,213,
"Rose (Alex's friend)",,1,,342,0.0000,10.00,215,
"Runner",,1,,453,0.0000,10.00,216,
"Samburu warrior w/ scars",,1,,402,0.0000,10.00,217,
"Sancho (Alex's parrot)",,1,,353,0.0000,10.00,218,
"Sandra (single mother)",,1,,336,0.0000,10.00,219,
"Sandra's teenaged son",,1,,337,0.0000,10.00,220,
"Santa Claus",,1,,499,0.0000,10.00,221,
"Sasha's boyfriends",,1,,111,0.0000,10.00,222,
"Sasha's first suitmate",,1,,283,0.0000,10.00,223,
"Sasha's girlfriends",,1,,364,0.0000,10.00,224,
"Sasha's second suitmate",,1,,284,0.0000,10.00,225,
"Sasha's third suitmate",,1,,285,0.0000,10.00,226,
"Scooter",,1,,468,0.0000,10.00,227,
"Scotty Hausmann's dad",,1,,311,0.0000,10.00,228,
"Scotty Hausmann's mother",,1,,240,0.0000,10.00,229,
"Second boy (in Sasha's palazzo)",,1,,303,0.0000,10.00,230,
"Second tenant (in Sasha's palazzo)",,1,,306,0.0000,10.00,231,
"Semisonic (band)",,1,,232,0.0000,10.00,232,
"series of feckless, domineering men (80)",,1,,432,0.0000,10.00,233,
"Sharon Stone",,1,,149,0.0000,10.00,234,
"sister of one of Bennie's artists",,1,,456,0.0000,10.00,235,
"starfruit vendor",,1,,494,0.0000,10.00,236,
"Stephanie & Jules' parents",,1,,473,0.0000,10.00,237,
"Stephanie's cleaning woman",,1,,479,0.0000,10.00,238,
"Stephanie's freshman suitemate",,1,,474,0.0000,10.00,239,
"Steve Miller",,1,,222,0.0000,10.00,240,
"Steve Miller Band",,1,,223,0.0000,10.00,241,
"Stop/Go sisters",,1,,77,0.0000,10.00,243,
"Stop/Go's manager (their father)",,1,,79,0.0000,10.00,244,
"Stop/Go's mother",,1,,250,0.0000,10.00,245,
"Stranglers (band)",,1,,132,0.0000,10.00,246,
"Suzette (Alison's friend)",,1,,324,0.0000,10.00,247,
"Sylph (Stephanie's cat)",,1,,117,0.0000,10.00,248,
"Target Video (band)",,1,,309,0.0000,10.00,249,
"Tatum",,1,,235,0.0000,10.00,250,
"tea shop waiter",,1,,496,0.0000,10.00,251,
"Ted Hollander's grandchildren",,1,,362,0.0000,10.00,253,
"The Circle Jerks (band)",,1,,129,0.0000,10.00,254,
"The Dead Kennedys (band)",,1,,106,0.0000,10.00,255,
"The Doobie Brothers",,1,,226,0.0000,10.00,256,
"the driver",,1,,493,0.0000,10.00,257,
"The Four Tops (band)",,1,,219,0.0000,10.00,258,
"The Frames (band)",,1,,225,0.0000,10.00,259,
"The Langs (family)",,1,,323,0.0000,10.00,261,
"The Mutants (band)",,1,,124,0.0000,10.00,262,
"The Pinheads (band)",,1,,196,0.0000,10.00,263,
"The Police (band)",,1,,227,0.0000,10.00,264,
"The Sleepers (band)",,1,,105,0.0000,10.00,265,
"the strippers",,1,,379,0.0000,10.00,266,
"The Who (band)",,1,,121,0.0000,10.00,267,
"The Zombies (band)",,1,,231,0.0000,10.00,268,
"Third boy (in Sasha's palazzo)",,1,,304,0.0000,10.00,269,
"Titian",,1,,300,0.0000,10.00,270,
"Tom Cruise",,1,,146,0.0000,10.00,271,
"Tom Cruise and Nicole Kidman's children",,1,,264,0.0000,10.00,272,
"Truman Capote",,1,,483,0.0000,10.00,273,
"twin boy 1",,1,,428,0.0000,10.00,274,
"twin boy 2",,1,,429,0.0000,10.00,275,
"two girls from kindergarten",,1,,462,0.0000,10.00,276,
"Two sisters from the club",,1,,310,0.0000,10.00,277,
"USA Today author",,1,,270,0.0000,10.00,278,
"vendors",,1,,523,0.0000,10.00,279,
"Wade",,1,,186,0.0000,10.00,280,
"Warrior's four wives",,1,,405,0.0000,10.00,281,
"warrior's sixty-two grandchildren",,1,,406,0.0000,10.00,282,
"Wayne",,1,,236,0.0000,10.00,283,
"well-dressed individuals",,1,,517,0.0000,10.00,284,
"Whiskers",,1,,531,0.0000,10.00,285,
"Zeus's first twin",,1,,372,0.0000,10.00,286,
"Zeus's second twin",,1,,373,0.0000,10.00,287,
"überpowerful producer",,1,,487,0.0000,10.00,288,
