label,width,height,font_size,label_radius
Long line of soldiers (100),405.00,30.00,25.0,203.05
Lucy,144.00,72.00,60.0,80.50
Lulu,168.00,84.00,70.0,93.91
Lynch Mob / White friends of the Harveys,1152.00,57.60,48.0,576.72
Lynch-mobs (abstract),302.40,28.80,24.0,151.88
Mac (Soldier on bannister 1),588.00,42.00,35.0,294.75
maids,72.00,28.80,24.0,38.77
Main boy (8),180.00,30.00,25.0,91.24
man who starved,225.00,30.00,25.0,113.50
man with wife (congregation member),735.00,42.00,35.0,368.10
Mann,352.80,176.40,147.0,197.22
May,111.60,74.40,62.0,67.06
Mayor Bolton,532.80,88.80,74.0,270.07
mob (attacked Scott),312.00,31.20,26.0,156.78
Mob after Mann,210.00,30.00,25.0,106.07
Morrie,100.80,33.60,28.0,53.13
Moses,72.00,28.80,24.0,38.77
Mr. Bridges,165.00,30.00,25.0,83.85
Mr. Lowe,273.60,68.40,57.0,141.01
Mrs. Heartfield,423.00,56.40,47.0,213.37
Murphy,90.00,30.00,25.0,47.43
Negro Soldiers in France (14),417.60,28.80,24.0,209.30
Officer bawling (98),324.00,32.40,27.0,162.81
Officer stepping out from cement plant (96),670.80,31.20,26.0,335.76
Old Man Bowman,218.40,31.20,26.0,110.31
Old Man Harvey,302.40,43.20,36.0,152.74
One of the four soldiers,345.60,28.80,24.0,173.40
One of the four soldiers who wants a cigarette,662.40,28.80,24.0,331.51
participants in Tom's war,375.00,30.00,25.0,188.10
Pease,84.00,33.60,28.0,45.24
Peewee,316.80,105.60,88.0,166.97
people on sidewalks,273.60,28.80,24.0,137.56
People selling boats,300.00,30.00,25.0,150.75
Pete (Jimmy's friend),327.60,31.20,26.0,164.54
Pete (sheriff's man),324.00,32.40,27.0,162.81
Police (abstract),244.80,28.80,24.0,123.24
Police after the bell-boy,390.00,31.20,26.0,195.62
Police officer outside clothing store,577.20,31.20,26.0,289.02
policeman (City Hall),340.20,32.40,27.0,170.87
policeman (Houston's neighbourhood),525.00,30.00,25.0,262.93
Policeman 1 (10),240.00,30.00,25.0,120.93
Policeman 2 (10),240.00,30.00,25.0,120.93
Ralph Heartfield,451.20,56.40,47.0,227.36
Red Cross,156.60,34.80,29.0,80.21
Red Squad,162.00,36.00,30.0,82.98
Reluctant boy (9),255.00,30.00,25.0,128.38
Reva,100.80,50.40,42.0,56.35
Reva's brother,210.00,30.00,25.0,106.07
Reva's mother,195.00,30.00,25.0,98.65
Richard Wright,512.40,73.20,61.0,258.80
Richard Wright's Mother,358.80,31.20,26.0,180.08
Richard's Childhood Gang,360.00,30.00,25.0,180.62
Richard's friend who ran an elevator (15),615.00,30.00,25.0,307.87
Roman Catholic Library-goer,388.80,28.80,24.0,194.93
Ruth,81.60,40.80,34.0,45.62
Sally (The cow),216.00,28.80,24.0,108.96
Sam (Jimmy's friend),324.00,32.40,27.0,162.81
Samson,86.40,28.80,24.0,45.54
Sarah,204.00,81.60,68.0,109.86
Saul,72.00,36.00,30.0,40.25
Saul Morrison (Big Boy's Father),1152.00,72.00,60.0,577.12
Scott,84.00,33.60,28.0,45.24
"Shadrach, Meshach, and Abednego",446.40,28.80,24.0,223.66
Sheriff Bradley,522.00,69.60,58.0,263.31
