label,width,height,font_size,label_radius
WhitneyHouston,216.64,30.95,25.79,109.42
WinstonDunst,210.02,35.00,29.17,106.46
Winsum,192.53,64.18,53.48,101.47
Winsum'scousins,232.11,30.95,25.79,117.08
Winsum'sMother,245.03,35.00,29.17,123.76
Wives (ofhomosexuals),324.95,30.95,25.79,163.21
Woman(Michelle seescollapse),433.27,30.95,25.79,217.19
YannaKnowles,185.69,30.95,25.79,94.12
YannaRoy,200.59,50.15,41.79,103.38
"Yanna, Evan,and Tasha'sFather",448.75,30.95,25.79,224.91
Young blondman,201.60,28.80,24.0,101.82
Youssef,129.19,36.91,30.76,67.18
Zookeepers,165.06,33.01,27.51,84.16
