label,width,height,font_size,label_radius
Corazon Juarez,319.20,45.60,38.0,161.22
Corazon Juárez's child,422.40,38.40,32.0,212.07
coroner,105.00,30.00,25.0,54.60
Count Basie,158.40,28.80,24.0,80.50
County Ag Inspector Richard Iizuka,489.60,28.80,24.0,245.22
Coyote(s),135.00,30.00,25.0,69.15
Crips,81.00,32.40,27.0,43.62
Cross-dresser,202.80,31.20,26.0,102.59
crowd,75.00,30.00,25.0,40.39
Customs Officials,255.00,30.00,25.0,128.38
César Chávez,172.80,28.80,24.0,87.59
David (Michelangelo),300.00,30.00,25.0,150.75
David Carradine,216.00,28.80,24.0,108.96
David Hockney,195.00,30.00,25.0,98.65
David Welna,165.00,30.00,25.0,83.85
DEA,45.00,30.00,25.0,27.04
Dead / Ill Van Nuys Residents,435.00,30.00,25.0,218.02
Dead Firemen,180.00,30.00,25.0,91.24
Debbi Fields (Mrs. Fields),374.40,28.80,24.0,187.75
Diego Rivera,180.00,30.00,25.0,91.24
Diners,104.40,34.80,29.0,55.02
dinner attendees,240.00,30.00,25.0,120.93
dishwashers,158.40,28.80,24.0,80.50
ditch diggers,187.20,28.80,24.0,94.70
Dorothy Buffum Chandler,345.00,30.00,25.0,173.15
Douglas MacArthur,244.80,28.80,24.0,123.24
Doña Maria,414.00,82.80,69.0,211.10
Doña Maria's Sister,285.00,30.00,25.0,143.29
Driver of red Porsche,327.60,31.20,26.0,164.54
Duke Ellington,201.60,28.80,24.0,101.82
dying soldiers,210.00,30.00,25.0,106.07
E.T.,57.60,28.80,24.0,32.20
"Earth, Wind& Fire",255.00,30.00,25.0,128.38
East L.A. boy,195.00,30.00,25.0,98.65
Easy Rawlins,180.00,30.00,25.0,91.24
Ecomartyrs,144.00,28.80,24.0,73.43
Editor Four,165.00,30.00,25.0,83.85
Editor One,150.00,30.00,25.0,76.49
Editor Three,180.00,30.00,25.0,91.24
Editor Two,150.00,30.00,25.0,76.49
Editors,105.00,30.00,25.0,54.60
Eduardo Galeano,225.00,30.00,25.0,113.50
"Edward Dmytryk (Murder, My Sweet)",495.00,30.00,25.0,247.95
Edward Olmos,172.80,28.80,24.0,87.59
El General Stroessner,315.00,30.00,25.0,158.21
El Gran Chingón,261.00,34.80,29.0,131.65
El Gran Mojado,344.40,49.20,41.0,173.95
El Gran Mojado Fans,273.60,28.80,24.0,137.56
Electrodomestics,230.40,28.80,24.0,116.10
Emergency Workers,255.00,30.00,25.0,128.38
Emi,313.20,208.80,174.0,188.21
