label,width,height,font_size,label_radius
"Mrs.L's""littleboy""",259.20,28.80,24.0,130.40
MurdoHarp,190.24,42.28,35.23,97.44
Neighbours (ofMaude Black),429.16,33.01,27.51,215.21
Neptune,100.80,28.80,24.0,52.42
NeveHarp,300.96,75.24,62.7,155.11
Neve Harp'sPotentialThird Husband,510.64,30.95,25.79,255.79
Neve Harp'sSecond Husband,412.65,33.01,27.51,206.98
Neve's StepChildren,294.01,30.95,25.79,147.82
Neve's StepGrandchildren,371.38,30.95,25.79,186.33
New HampshireMail Carrier,360.00,28.80,24.0,180.58
Nonette,147.97,42.28,35.23,76.94
Nonette'sCousin,232.11,30.95,25.79,117.08
Nonette'sFather,232.11,30.95,25.79,117.08
Nonette'sMother,232.11,30.95,25.79,117.08
Nonette'sRoommates,259.20,28.80,24.0,130.40
NorwegianSettlers,244.80,28.80,24.0,123.24
Nuns (who workat thesanatorium),446.40,28.80,24.0,223.66
Nurse (whofound Warrendead),388.80,28.80,24.0,194.93
Nurse (who wasgoing offduty),433.27,30.95,25.79,217.19
Nurses (at thestate mentalhospital),577.71,33.01,27.51,289.33
OctaveHarp,219.72,43.94,36.62,112.04
OdinMerrimack,201.16,30.95,25.79,101.76
Off-ReservationDentist,316.80,28.80,24.0,159.05
Old BuffaloHunters,259.20,28.80,24.0,130.40
OldFolks,115.20,28.80,24.0,59.37
Old RetiredPriest,263.06,30.95,25.79,132.44
OricHoag,169.10,42.28,35.23,87.15
Other Aides(at the statementalhospital),643.73,33.01,27.51,322.29
Other Children(in schoolwith Evelina),842.93,45.56,37.97,422.08
OtherFreshmen,201.16,30.95,25.79,101.76
Other Teachers(at Evelina'sschool),489.60,28.80,24.0,245.22
OttBlack,132.05,33.01,27.51,68.06
Patients (atthe statementalhospital),630.07,35.00,29.17,315.52
PeaceCousins,172.80,28.80,24.0,87.59
People (Seraphinspects inthe frontyard),561.60,28.80,24.0,281.17
People (whostick gumunder thetable),504.00,28.80,24.0,252.41
Person (nextto Evelina inthe staffdormitory),633.60,28.80,24.0,317.13
Pliny theElder,216.64,30.95,25.79,109.42
Pliny theYounger,247.58,30.95,25.79,124.76
Plotinus,115.20,28.80,24.0,59.37
Pluto,72.00,28.80,24.0,38.77
Poet (who wasgoingunderground),432.00,28.80,24.0,216.48
"Police(""Cops"")",201.60,28.80,24.0,101.82
Policeman (whobrings Warrenback),495.17,30.95,25.79,248.07
Pompeium,115.20,28.80,24.0,59.37
Pope John XXII,201.60,28.80,24.0,101.82
Postman,100.80,28.80,24.0,52.42
Priest (inPluto),247.58,30.95,25.79,124.76
Priest (whoAgathe leftthe conventfor),532.80,28.80,24.0,266.79
Priests (whothreatenedLouis Riel'sfollowers),680.86,30.95,25.79,340.78
Psych IProfessor,230.40,28.80,24.0,116.10
QuintusFells,282.82,47.14,39.28,143.36
Real EstateAgent,247.58,30.95,25.79,124.76
ReginaldBull,404.57,67.43,56.19,205.07
RobertBurton,172.80,28.80,24.0,87.59
Roman,77.37,30.95,25.79,41.67
Satan,92.28,36.91,30.76,49.69
SchoolDistrictOfficer,302.40,28.80,24.0,151.88
SecondIcelandicWoman,309.48,30.95,25.79,155.51
Seneca theYounger,244.80,28.80,24.0,123.24
Seraph andJunesse'sOther Children,510.64,30.95,25.79,255.79
"Seraph andShamengwa's""cronies""",464.22,30.95,25.79,232.63
Seraph Milk(Mooshum),1223.76,122.38,101.98,614.93
Seraph Milk'sDoctors,288.00,28.80,24.0,144.72
Seraph Milk'sMother,401.62,42.28,35.23,201.92
Seraph Milk'sNurses,294.01,30.95,25.79,147.82
SeverineMilk,326.16,54.36,45.3,165.33
SeverineMilk'sParishioners,429.16,33.01,27.51,215.21
Shakespeare,158.40,28.80,24.0,80.50
ShamengwaMilk,500.68,77.03,64.19,253.29
Shamengwa'sWife,216.00,28.80,24.0,108.96
Sister MaryAnitaBuckendorf,804.49,61.88,51.57,403.43
Sister MaryAnita's Father,386.85,30.95,25.79,194.04
Socrates,115.20,28.80,24.0,59.37
Soldiers,115.20,28.80,24.0,59.37
St.Anthony,154.74,30.95,25.79,78.90
St.Cloud,115.20,28.80,24.0,59.37
St.Paul,100.80,28.80,24.0,52.42
St. PaulMinister,247.58,30.95,25.79,124.76
StampDealers,185.69,30.95,25.79,94.12
Student (whomarried theswim coach),489.60,28.80,24.0,245.22
SwimmingCoach,187.20,28.80,24.0,94.70
SylviaPlath,158.40,28.80,24.0,80.50
TedBursap,182.47,40.55,33.79,93.46
Ted Bursap'sCrew,247.58,30.95,25.79,124.76
Ted Bursap'sDead Wife,324.95,30.95,25.79,163.21
"The""black-haired""Stooge",331.20,28.80,24.0,166.22
The Apostles(biblicalfigures),417.60,28.80,24.0,209.30
TheBwaanag,144.00,28.80,24.0,73.43
TheKindred,193.80,38.76,32.3,98.82
The LochrenFamily,413.61,48.66,40.55,208.23
The LochrenMurder,473.38,55.69,46.41,238.32
TheLynching,506.95,92.17,76.81,257.63
TheMormons,144.00,28.80,24.0,73.43
The Old Women,201.16,30.95,25.79,101.76
TobekHess,157.52,35.00,29.17,80.68
TownCouncil,158.40,28.80,24.0,80.50
Townsmen(involved inthe lynching),827.44,50.15,41.79,414.48
Train CarPassengers,273.60,28.80,24.0,137.56
Tribal Judge(who precededJudge Coutts),588.01,30.95,25.79,294.41
TribalPolice,185.69,30.95,25.79,94.12
Trick-or-treaters,263.06,30.95,25.79,132.44
UncleWhitey,241.69,43.94,36.62,122.83
UNDStudents,158.40,28.80,24.0,80.50
Undertaker(for theLochrenFamily),460.80,28.80,24.0,230.85
UnknownBuckendorf,244.80,28.80,24.0,123.24
Venus,72.00,28.80,24.0,38.77
Virginie,123.79,30.95,25.79,63.80
WarrenWolde,298.98,54.36,45.3,151.94
Warren Wolde'sFather,309.48,30.95,25.79,155.51
Warren Wolde'sLawyer,288.00,28.80,24.0,144.72
WealthyBrazilianWoman,324.95,30.95,25.79,163.21
WilliamHotchkiss,377.09,47.14,39.28,190.01
WilliamJennings Bryan,302.40,28.80,24.0,151.88
Woman(murdered acouple farmsover),510.64,30.95,25.79,255.79
Woman (Octavedrownedhimself over),475.20,28.80,24.0,238.04
Women of Pluto,201.60,28.80,24.0,101.82
YoungMothers,185.69,30.95,25.79,94.12
Zeus,57.60,28.80,24.0,32.20
Zorro,72.00,28.80,24.0,38.77
