leader_label,assigned_color,community_size,other_large_nodes,leader_id,leader_strength,leader_size,modularity_class,notes
"Lenin",,1,,51,0.0000,10.00,150,
"lesbians",,1,,324,0.0000,10.00,151,
"Lev's classmates (111)",,1,,148,0.0000,10.00,152,
"librarians (214)",,1,,335,0.0000,10.00,153,
"Lieutenant Ryakhovsky's supervisors",,1,,131,0.0000,10.00,154,
"Lilia's ""classmates"" (74)",,1,,187,0.0000,10.00,155,
"Lilia's father",,1,,189,0.0000,10.00,156,
"man with crossbow injury",,1,,249,0.0000,10.00,157,
"Marina's colleagues",,1,,342,0.0000,10.00,158,
"Marina's doctor (205)",,1,,317,0.0000,10.00,159,
"Marina's Father",,1,,328,0.0000,10.00,160,
"Marina's Friends",,1,,337,0.0000,10.00,161,
"Marina's grandfather",,1,,318,0.0000,10.00,162,
"Marina's grandmother",,1,,319,0.0000,10.00,163,
"Marina's Mother",,1,,327,0.0000,10.00,164,
"Marina's neighbours",,1,,334,0.0000,10.00,165,
"Masha's family",,1,,321,0.0000,10.00,166,
"Masha's girlfriend/""roommate""",,1,,217,0.0000,10.00,167,
"Masha's mother",,1,,293,0.0000,10.00,168,
"Masha's parents",,1,,214,0.0000,10.00,169,
"men convicted of sex crimes (207)",,1,,330,0.0000,10.00,172,
"migrants (generally)",,1,,47,0.0000,10.00,173,
"Mila's biological father",,1,,278,0.0000,10.00,174,
"Minister of Defense",,1,,93,0.0000,10.00,175,
"Misha (Anfisa's son)",,1,,200,0.0000,10.00,176,
"Misha's father",,1,,222,0.0000,10.00,177,
"Natasha's Cousin",,1,,351,0.0000,10.00,179,
"Native peoples of Kamchatka",,1,,46,0.0000,10.00,181,
"News reporters",,1,,191,0.0000,10.00,182,
"Nurgenek Festival organizers",,1,,329,0.0000,10.00,183,
"Oceanographic Researchers",,1,,223,0.0000,10.00,184,
"Oksana's classmates",,1,,314,0.0000,10.00,185,
"Oksana's colleagues",,1,,310,0.0000,10.00,186,
"Oksana's Coworker",,1,,309,0.0000,10.00,187,
"Oksana's father",,1,,313,0.0000,10.00,188,
"Oksana's friends",,1,,311,0.0000,10.00,189,
"Oksana's mother",,1,,312,0.0000,10.00,190,
"Olya's Classmates",,1,,367,0.0000,10.00,191,
"Olya's teachers",,1,,371,0.0000,10.00,192,
"orphan girl raised by wolves",,1,,348,0.0000,10.00,193,
"people that Lilia dated",,1,,230,0.0000,10.00,194,
"Petropavlovsk Police / Detectives",,1,,226,0.0000,10.00,195,
"Putin",,1,,83,0.0000,10.00,196,
"Reindeer herders",,1,,196,0.0000,10.00,197,
"Revmira and Gleb's Friends",,1,,240,0.0000,10.00,199,
"Revmira's Father",,1,,364,0.0000,10.00,200,
"Revmira's Friend (139)",,1,,243,0.0000,10.00,201,
"Revmira's Grandfather",,1,,242,0.0000,10.00,202,
"Revmira's Mother",,1,,365,0.0000,10.00,203,
"Rihanna",,1,,263,0.0000,10.00,204,
"Romanovich",,1,,307,0.0000,10.00,205,
"Sberbank Manager (156-57)",,1,,270,0.0000,10.00,206,
"School Attendant (154-155)",,1,,267,0.0000,10.00,207,
"Sherlock Holmes",,1,,220,0.0000,10.00,208,
"Slava Bychkov's Aunt",,1,,269,0.0000,10.00,209,
"Slava Bychkov's Brothers",,1,,275,0.0000,10.00,210,
"Slava Bychkov's Parents",,1,,274,0.0000,10.00,211,
"Slava's (ex) wife",,1,,273,0.0000,10.00,212,
"staff at the Ministry of Internal Affairs (214)",,1,,336,0.0000,10.00,213,
"Stalin",,1,,271,0.0000,10.00,214,
"Tajik ethnic group",,1,,74,0.0000,10.00,215,
"teenager whose appendix burst (139)",,1,,247,0.0000,10.00,216,
"the Golosovsky girls' classmates (52)",,1,,139,0.0000,10.00,218,
"the Golosovsky girls' teachers",,1,,113,0.0000,10.00,219,
"the kidnapper",,1,,56,0.0000,10.00,220,
