id,Type of Relationship,Character 1,Character 2,Is Reciprocal?,Narrative Container,Start Page,End Page
391,"Knows","Essun","Hoa","1","10: you walk beside the beast","190","190"
392,"Knows","Damaya","Grits (in the Fulcrum)","1","11: Damaya at the fulcrum of it all","191","198"
393,"Knows","Damaya","""instructors"" (in the Fulcrum)","1","11: Damaya at the fulcrum of it all","191","199"
394,"Knows","Grits (in the Fulcrum)","""instructors"" (in the Fulcrum)","1","11: Damaya at the fulcrum of it all","191","198"
395,"Knows","Damaya","The Fulcrum","1","11: Damaya at the fulcrum of it all","191","191"
396,"Knows","Damaya","Cleaners (in the Fulcrum)","1","11: Damaya at the fulcrum of it all","191","191"
397,"Knows","The Fulcrum","Cleaners (in the Fulcrum)","1","11: Damaya at the fulcrum of it all","191","191"
398,"Knows","Damaya","""girl"" (with sharp teeth)","1","11: Damaya at the fulcrum of it all","193","193"
399,"Knows","""girl"" (with sharp teeth)","Grits (in the Fulcrum)","1","11: Damaya at the fulcrum of it all","193","193"
400,"Knows","Damaya","""boy"" (with no penis)","1","11: Damaya at the fulcrum of it all","193","193"
401,"Knows","""boy"" (with no penis)","Grits (in the Fulcrum)","1","11: Damaya at the fulcrum of it all","193","193"
402,"Knows","Damaya","Misalem","1","11: Damaya at the fulcrum of it all","193","193"
403,"Exchange","Marcasite","Damaya","1","11: Damaya at the fulcrum of it all","193","194"
404,"Knows of","Marcasite","First Old Sanze Emperor","1","11: Damaya at the fulcrum of it all","194","194"
405,"Exchange","Marcasite","Grits (in the Fulcrum)","1","11: Damaya at the fulcrum of it all","195","195"
406,"Knows","Damaya","Muh Dear","1","11: Damaya at the fulcrum of it all","195","195"
407,"Knows","Damaya","""boy"" (missing an arm)","1","11: Damaya at the fulcrum of it all","195","196"
408,"Knows","Damaya","""girl"" (old burn scars)","1","11: Damaya at the fulcrum of it all","195","196"
409,"Knows","Damaya","""grit"" (broken hand)","1","11: Damaya at the fulcrum of it all","195","196"
410,"Knows","Damaya","Fulcrum orogenes","1","11: Damaya at the fulcrum of it all","196","196"
411,"Knows","Damaya","Zab","1","11: Damaya at the fulcrum of it all","196","196"
412,"Exchange","Damaya","Maxixe","1","11: Damaya at the fulcrum of it all","198","201"
413,"Knows","Damaya","Damaya's mother","1","11: Damaya at the fulcrum of it all","199","199"
414,"Knows","Damaya","Damaya's father","1","11: Damaya at the fulcrum of it all","199","199"
415,"Knows","Damaya's father","Damaya's mother","1","11: Damaya at the fulcrum of it all","199","199"
416,"Exchange","Damaya","Brevard's lorists","1","11: Damaya at the fulcrum of it all","199","199"
417,"Knows","Damaya","Grits (in the Fulcrum)","1","11: Damaya at the fulcrum of it all","201","201"
418,"Knows","Damaya","""instructors"" (in the Fulcrum)","1","11: Damaya at the fulcrum of it all","201","202"
419,"Knows","Grits (in the Fulcrum)","""instructors"" (in the Fulcrum)","1","11: Damaya at the fulcrum of it all","201","201"
420,"Exchange","Damaya","Galena","1","11: Damaya at the fulcrum of it all","202","202"
421,"Knows","Galena","Fulcrum orogenes","1","11: Damaya at the fulcrum of it all","202","202"
422,"Knows","Damaya","Galena","1","11: Damaya at the fulcrum of it all","203","203"
423,"Exchange","Damaya","Crack","1","11: Damaya at the fulcrum of it all","203","204"
424,"Knows","Damaya","Maxixe","1","11: Damaya at the fulcrum of it all","204","204"
425,"Knows","Crack","Maxixe","1","11: Damaya at the fulcrum of it all","204","204"
426,"Exchange","Damaya","Grits (in the Fulcrum)","1","11: Damaya at the fulcrum of it all","204","204"
427,"Exchange","Damaya","Jasper","1","11: Damaya at the fulcrum of it all","204","205"
428,"Exchange","Damaya","Carnelian","1","11: Damaya at the fulcrum of it all","205","207"
429,"Exchange","Jasper","Carnelian","1","11: Damaya at the fulcrum of it all","205","205"
430,"Knows","Damaya","Grits (in the Fulcrum)","1","11: Damaya at the fulcrum of it all","205","206"
431,"Exchange","Carnelian","Grits (in the Fulcrum)","1","11: Damaya at the fulcrum of it all","205","206"
432,"Exchange","""girl"" (red-haired eastern Coaster)","Carnelian","1","11: Damaya at the fulcrum of it all","206","206"
433,"Knows","Damaya","""girl"" (red-haired eastern Coaster)","1","11: Damaya at the fulcrum of it all","206","206"
434,"Exchange","""boy"" (red-haired girl's relative)","Carnelian","1","11: Damaya at the fulcrum of it all","206","206"
435,"Knows","""boy"" (red-haired girl's relative)","Damaya","1","11: Damaya at the fulcrum of it all","206","206"
