
"id","Type of Relationship <br />(choose)","Character 1 <br />(choose)","Character 2 <br />(choose)","Is Reciprocal? <br />(choose)","Narrative Container <br />(choose)","Start Page","End Page"
"835","Knows of","Orvil Red Feather","Oakland Athletics","0","Orvil Red Feather (I)","130","130"
"836","Knows of","Orvil Red Feather","Oakland Raiders","0","Orvil Red Feather (I)","130","130"
"837","Knows","Orvil Red Feather","Opal Viola Victoria Bear Shield","1","Orvil Red Feather (I)","131","133"
"840","Knows of","Orvil Red Feather","""Indians"" at the Powwow (131)","1","Orvil Red Feather (I)","131","132"
"843","Knows of","Orvil Red Feather","Oakland Athletics","0","Orvil Red Feather (I)","132","132"
"845","Exchange","Orvil Red Feather","Security Guard","1","Orvil Red Feather (I)","133","133"
"847","Knows of","Orvil Red Feather","""kids on field trips"" (133)","0","Orvil Red Feather (I)","133","133"
"850","Knows of","Orvil Red Feather","Rich people","0","Orvil Red Feather (I)","133","133"
"245","Knows","Opal Viola Victoria Bear Shield","Jacquie Red Feather","1","Opal Viola Victoria Bear Shield (I)","45","45"
"248","Knows","Opal Viola Victoria Bear Shield","Jacquie Red Feather","1","Opal Viola Victoria Bear Shield (I)","45","45"
"257","Knows of","Opal Viola Victoria Bear Shield","Opal Viola Victoria Bear Shield's Father","0","Opal Viola Victoria Bear Shield (I)","46","46"
"258","Knows of","Opal Viola Victoria Bear Shield","Jacquie Red Feather's Father","0","Opal Viola Victoria Bear Shield (I)","46","46"
"259","Exchange","Opal Viola Victoria Bear Shield","Victoria (Vicky)","1","Opal Viola Victoria Bear Shield (I)","46","46"
"260","Knows of","Opal Viola Victoria Bear Shield","Opal the ""medicine woman""","0","Opal Viola Victoria Bear Shield (I)","46","46"
"261","Knows","Opal Viola Victoria Bear Shield","Two Shoes","1","Opal Viola Victoria Bear Shield (I)","46","47"
"262","Exchange","Opal Viola Victoria Bear Shield","Victoria (Vicky)","1","Opal Viola Victoria Bear Shield (I)","47","47"
"264","Exchange","Opal Viola Victoria Bear Shield","Victoria (Vicky)","1","Opal Viola Victoria Bear Shield (I)","48","48"
"266","Knows of","Opal Viola Victoria Bear Shield","Alcatraz","0","Opal Viola Victoria Bear Shield (I)","48","48"
"267","Exchange","Opal Viola Victoria Bear Shield","Jacquie Red Feather","1","Opal Viola Victoria Bear Shield (I)","49","49"
