id,Name <br />(100 chars)_l,source,Name <br />(100 chars)_r,id_cont,Title <br />(100 chars),Level <br />(choose),Start Page_cont,End Page_cont,Narrator <br />(choose),Protagonist <br />(choose),Embed. Type <br />(choose),id_rel,Type of Relationship <br />(choose),Character 1 <br />(choose),Character 2 <br />(choose),Is Reciprocal? <br />(choose),Narrative Container <br />(choose),Start Page_rel,End Page_rel,index
213,Drew Blake,66,Sasha,100,10 Out of Body,level 2 (sub-section),186,207,Robert Freeman Jr.,[NULL],[NULL],538,Exchange,Sasha,Drew Blake,1,10 Out of Body,197,199,
254,"""the police""",66,Sasha,78,1 Found Objects,level 2 (sub-section),3,18,[NULL],Sasha,[NULL],539,Knows of,Sasha,"""the police""",0,1 Found Objects,9,10,
74,Lassimo Hotel Concierge,66,Sasha,78,1 Found Objects,level 2 (sub-section),3,18,[NULL],Sasha,[NULL],542,Knows,Sasha,Lassimo Hotel Concierge,0,1 Found Objects,9,10,
92,"""little girl"" (scarf victim)",66,Sasha,78,1 Found Objects,level 2 (sub-section),3,18,[NULL],Sasha,[NULL],549,Knows,Sasha,"""little girl"" (scarf victim)",1,1 Found Objects,4,4,
174,The Conduits (band),66,Sasha,100,10 Out of Body,level 2 (sub-section),186,207,Robert Freeman Jr.,[NULL],[NULL],551,Exchange,Sasha,The Conduits (band),1,10 Out of Body,198,199,
67,Bennie Salazar,66,Sasha,100,10 Out of Body,level 2 (sub-section),186,207,Robert Freeman Jr.,[NULL],[NULL],574,Knows,Sasha,Bennie Salazar,1,10 Out of Body,199,199,
177,Beth (Sasha's mother),66,Sasha,101,"11 Good-bye, My Love",level 2 (sub-section),208,233,[NULL],Ted Hollander,[NULL],605,Knows,Sasha,Beth (Sasha's mother),1,"11 Good-bye, My Love",209,209,
171,Hammer (Sasha’s stepfather),66,Sasha,101,"11 Good-bye, My Love",level 2 (sub-section),208,233,[NULL],Ted Hollander,[NULL],623,Knows,Sasha,Hammer (Sasha’s stepfather),1,"11 Good-bye, My Love",213,213,
177,Beth (Sasha's mother),66,Sasha,101,"11 Good-bye, My Love",level 2 (sub-section),208,233,[NULL],Ted Hollander,[NULL],625,Knows,Sasha,Beth (Sasha's mother),1,"11 Good-bye, My Love",213,213,
181,Miles Hollander,66,Sasha,101,"11 Good-bye, My Love",level 2 (sub-section),208,233,[NULL],Ted Hollander,[NULL],651,Knows,Sasha,Miles Hollander,1,"11 Good-bye, My Love",217,217,
182,Ames Hollander,66,Sasha,101,"11 Good-bye, My Love",level 2 (sub-section),208,233,[NULL],Ted Hollander,[NULL],652,Knows,Sasha,Ames Hollander,1,"11 Good-bye, My Love",217,217,
180,"Alfred ""Alf"" Hollander",66,Sasha,101,"11 Good-bye, My Love",level 2 (sub-section),208,233,[NULL],Ted Hollander,[NULL],653,Knows,Sasha,"Alfred ""Alf"" Hollander",1,"11 Good-bye, My Love",217,217,
184,Mark Avery,66,Sasha,101,"11 Good-bye, My Love",level 2 (sub-section),208,233,[NULL],Ted Hollander,[NULL],663,Knows,Sasha,Mark Avery,1,"11 Good-bye, My Love",219,219,
177,Beth (Sasha's mother),66,Sasha,101,"11 Good-bye, My Love",level 2 (sub-section),208,233,[NULL],Ted Hollander,[NULL],664,Knows,Sasha,Beth (Sasha's mother),1,"11 Good-bye, My Love",218,220,
178,Andy Grady (Sasha's father),66,Sasha,101,"11 Good-bye, My Love",level 2 (sub-section),208,233,[NULL],Ted Hollander,[NULL],665,Knows,Sasha,Andy Grady (Sasha's father),1,"11 Good-bye, My Love",218,219,
185,Rachel Costanza,66,Sasha,101,"11 Good-bye, My Love",level 2 (sub-section),208,233,[NULL],Ted Hollander,[NULL],666,Knows,Sasha,Rachel Costanza,1,"11 Good-bye, My Love",220,220,
