
"id","Type of Relationship <br />(choose)","Character 1 <br />(choose)","Character 2 <br />(choose)","Is Reciprocal? <br />(choose)","Narrative Container <br />(choose)","Start Page","End Page"
"304","Knows","Dene Oxendene","Old guy on the bus","0","Dene Oxendene (I)","29","29"
"305","Knows","Dene Oxendene","Bus driver","1","Dene Oxendene (I)","30","30"
"307","Knows of","Dene Oxendene","""An Indian...woman"" (grant judge)","0","Dene Oxendene (I)","33","33"
"308","Knows of","Dene Oxendene","""An older guy who's...Native"" (grant judge)","0","Dene Oxendene (I)","33","33"
"309","Knows of","Dene Oxendene","""black guy...with a white beard"" (grant judge)","0","Dene Oxendene (I)","33","33"
"310","Knows of","Dene Oxendene","""middle-aged black guy"" (2) (grant judge)","0","Dene Oxendene (I)","33","33"
"311","Knows of","Dene Oxendene","""middle-aged white lady"" (1) (grant judge)","0","Dene Oxendene (I)","33","33"
"312","Knows of","Dene Oxendene","""middle-aged white lady"" (2) (grant judge)","0","Dene Oxendene (I)","33","33"
"313","Knows of","Dene Oxendene","""Old white lady"" (grant judge)","0","Dene Oxendene (I)","33","33"
"314","Knows of","Dene Oxendene","""youngish Hispanic guy"" (grant judge)","0","Dene Oxendene (I)","33","33"
"315","Knows","Dene Oxendene","Lucas","1","Dene Oxendene (I)","34","34"
"317","Knows","Dene Oxendene","Cannabis supplier","1","Dene Oxendene (I)","35","35"
"318","Knows","Dene Oxendene","Norma","1","Dene Oxendene (I)","37","37"
"674","Knows of","Dene Oxendene","Loother Red Feather","0","Orvil Red Feather (II)","123","124"
"675","Knows of","Dene Oxendene","Lony Red Feather","0","Orvil Red Feather (II)","123","124"
"779","Knows of","Dene Oxendene","Jamie Red Feather","0","Orvil Red Feather (II)","122","124"
"788","Knows of","Dene Oxendene","Police Officers","0","Orvil Red Feather (II)","124","124"
"792","Knows of","Dene Oxendene","CPS worker","0","Orvil Red Feather (II)","124","124"
"796","Knows of","Dene Oxendene","Opal Viola Victoria Bear Shield's Father","0","Orvil Red Feather (II)","123","124"
"800","Knows of","Dene Oxendene","Opal Viola Victoria Bear Shield","0","Orvil Red Feather (II)","123","124"
"879","Exchange","Dene Oxendene","Powwow Committee","0","Calvin Johnson (II) (2)","146","146"
"880","Exchange","Dene Oxendene","Blue","1","Calvin Johnson (II) (2)","146","146"
"883","Knows","Dene Oxendene","Blue","1","Dene Oxendene (II)","147","147"
"884","Exchange","Dene Oxendene","Calvin Johnson","1","Dene Oxendene (II)","147","150"
"888","Knows of","Dene Oxendene","Calvin Johnson's Dad","0","Dene Oxendene (II)","148","148"
"889","Knows of","Dene Oxendene","Calvin Johnson's Mom","0","Dene Oxendene (II)","148","148"
"891","Knows","Dene Oxendene","Natives","1","Dene Oxendene (II)","148","149"
"892","Knows","Dene Oxendene","Participants in Dene's Film","1","Dene Oxendene (II)","149","149"
"896","Knows","Dene Oxendene","Blue","1","Dene Oxendene (II)","149","149"
"897","Knows of","Dene Oxendene","Maggie","0","Dene Oxendene (II)","149","149"
