
"id","Type of Relationship <br />(choose)","Character 1 <br />(choose)","Character 2 <br />(choose)","Is Reciprocal? <br />(choose)","Narrative Container <br />(choose)","Start Page","End Page"
"237","Knows","Bennie Salazar","Christopher Salazar","1","2 The Gold Cure","21","22"
"238","Knows","Bennie Salazar","Kitty Jackson","1","2 The Gold Cure","22","22"
"239","Knows of","Bennie Salazar","The Sleepers (band)","0","2 The Gold Cure","22","22"
"240","Knows of","Bennie Salazar","The Dead Kennedys (band)","0","2 The Gold Cure","22","22"
"241","Knows","Bennie Salazar","Scotty Hausmann","1","2 The Gold Cure","23","23"
"242","Knows","Bennie Salazar","Alice","1","2 The Gold Cure","23","23"
"243","Knows","Bennie Salazar","Jocelyn","1","2 The Gold Cure","23","23"
"244","Knows","Bennie Salazar","Rhea","1","2 The Gold Cure","23","23"
"245","Knows of","Bennie Salazar","Jello Biafra","0","2 The Gold Cure","23","23"
"246","Exchange","Bennie Salazar","""jazz pianist""","1","2 The Gold Cure","23","23"
"247","Exchange","Bennie Salazar","""audience of twenty-five hundred"" (p23)","1","2 The Gold Cure","23","23"
"248","Exchange","Bennie Salazar","Stephanie","1","2 The Gold Cure","23","23"
"249","Exchange","Bennie Salazar","Christopher Salazar","1","2 The Gold Cure","24","26"
"250","Knows","Bennie Salazar","Dr. Beet","1","2 The Gold Cure","24","24"
"256","Knows of","Bennie Salazar","Pearl Jam","0","2 The Gold Cure","27","27"
"259","Exchange","Bennie Salazar","Sasha","1","2 The Gold Cure","27","29"
"260","Knows of","Bennie Salazar","Sasha's boyfriends (p28)","0","2 The Gold Cure","28","28"
"262","Knows","Bennie Salazar","The Conduits (band)","0","2 The Gold Cure","28","28"
"274","Knows of","Bennie Salazar","Stranglers (band)","0","3 Ask Me If I Care","39","39"
"279","Knows of","Bennie Salazar","Nuns (band)","0","3 Ask Me If I Care","39","39"
"284","Knows of","Bennie Salazar","Negative Trend (band)","0","3 Ask Me If I Care","39","39"
"288","Knows","Bennie Salazar","Alice's first sister","0","3 Ask Me If I Care","40","40"
"296","Exchange","Bennie Salazar","""the cholos""","1","3 Ask Me If I Care","42","42"
"310","Knows","Bennie Salazar","Joel","1","3 Ask Me If I Care","44","44"
"315","Knows","Bennie Salazar","Joel's dad","1","3 Ask Me If I Care","44","44"
"318","Exchange","Bennie Salazar","Marty","1","3 Ask Me If I Care","44","44"
"319","Exchange","Bennie Salazar","Alice","1","3 Ask Me If I Care","45","45"
"320","Exchange","Bennie Salazar","""a gray cat""","1","2 The Gold Cure","32","33"
"325","Knows of","Bennie Salazar","Alice's little sisters","1","3 Ask Me If I Care","39","39"
"326","Knows","Bennie Salazar","Alice's second sister","0","3 Ask Me If I Care","40","40"
"347","Exchange","Bennie Salazar","Crime (band)","1","3 Ask Me If I Care","45","45"
"348","Exchange","Bennie Salazar","The Avengers (band)","1","3 Ask Me If I Care","45","45"
"349","Exchange","Bennie Salazar","The Germs (band)","1","3 Ask Me If I Care","45","45"
"370","Knows","Bennie Salazar","Mother Superior","1","2 The Gold Cure","24","24"
"371","Knows","Bennie Salazar","Stephanie","1","2 The Gold Cure","26","26"
"372","Knows","Bennie Salazar","Stop/Go sisters","1","2 The Gold Cure","26","27"
"373","Knows","Bennie Salazar","Dr. Beet","1","2 The Gold Cure","26","27"
"377","Knows","Bennie Salazar","Stop/Go's manager (their father)","1","2 The Gold Cure","27","27"
"378","Knows","Bennie Salazar","Stop/Go's mother","1","2 The Gold Cure","27","27"
"561","Knows","Bennie Salazar","Alice","1","3 Ask Me If I Care","42","42"
"722","Exchange","Bennie Salazar","""a sax""","1","3 Ask Me If I Care","44","44"
"726","Exchange","Bennie Salazar","""a tuba""","1","3 Ask Me If I Care","44","44"
"730","Exchange","Bennie Salazar","""a banjo""","1","3 Ask Me If I Care","44","44"
"750","Knows","Bennie Salazar","Scotty Hausmann","1","3 Ask Me If I Care","45","45"
"769","Knows","Bennie Salazar","Marty","1","3 Ask Me If I Care","48","48"
"770","Exchange","Bennie Salazar","Dirk Dirksen","1","3 Ask Me If I Care","48","48"
"771","Exchange","Bennie Salazar","Rhea","1","3 Ask Me If I Care","48","48"
"777","Exchange","Bennie Salazar","Alice","1","3 Ask Me If I Care","48","48"
"778","Exchange","Bennie Salazar","Scotty Hausmann","1","3 Ask Me If I Care","48","48"
"996","Exchange","Bennie Salazar","Alex","1","13 Pure Language","310","315"
"999","Knows","Bennie Salazar","Rebecca (Alex's wife)","1","13 Pure Language","310","310"
"1000","Knows","Bennie Salazar","Lupa Salazar","1","13 Pure Language","310","310"
"1003","Knows","Bennie Salazar","Cara-Ann (Alex's daughter)","1","13 Pure Language","310","311"
"1004","Knows","Bennie Salazar","Ava Salazar","1","13 Pure Language","310","311"
"1018","Exchange","Bennie Salazar","Bennie's executives","1","13 Pure Language","312","312"
"1019","Knows","Bennie Salazar","""secretary"" (to Bennie's executives)","1","13 Pure Language","312","312"
"1027","Knows","Bennie Salazar","Scotty Hausmann","1","13 Pure Language","312","313"
"1029","Knows","Bennie Salazar","The Conduits (band)","1","13 Pure Language","313","313"
"1042","Knows","Bennie Salazar","Scotty Hausmann","1","13 Pure Language","315","315"
"1057","Knows","Bennie Salazar","Lulu Peale","1","13 Pure Language","317","318"
"1061","Knows","Bennie Salazar","Stephanie","1","13 Pure Language","318","318"
"1062","Knows","Bennie Salazar","Dolly Peale","1","13 Pure Language","318","318"
"1064","Knows","Bennie Salazar","Christopher Salazar","1","13 Pure Language","318","318"
"1089","Knows","Bennie Salazar","Sasha","1","13 Pure Language","325","325"
"1102","Knows","Bennie Salazar","Scotty Hausmann","1","13 Pure Language","326","326"
"1108","Knows of","Bennie Salazar","Scotty Hausmann's fans","0","13 Pure Language","326","326"
"1163","Exchange","Bennie Salazar","Scotty Hausmann","1","13 Pure Language","332","333"
"1165","Knows","Bennie Salazar","Stephanie","1","13 Pure Language","333","333"
"1169","Knows","Bennie Salazar","Scotty Hausmann","1","13 Pure Language","334","334"
"191","Exchange","""the woman"" (wallet victim)","Sasha","1","1 Found Objects","9","10"
"192","Exchange","""the woman"" (wallet victim)","Alex","1","1 Found Objects","9","10"
"193","Exchange","""the woman"" (wallet victim)","Lassimo Hotel Concierge","1","1 Found Objects","9","9"
"537","Knows of","""the woman"" (wallet victim)","""the police"" (p10)","0","1 Found Objects","9","10"
"202","Knows of","Coz","Alex","0","1 Found Objects","15","18"
"203","Knows of","Coz","""the woman"" (wallet victim)","0","1 Found Objects","4","4"
"204","Knows of","Coz","""the plumber""","0","1 Found Objects","7","8"
