Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Participating Characters,E Alma Mereminski's Mother,E Alma Mereminski/Moritz,E Alma’s Father,E Leo’s mother,E Leo’s father,E Leo,E Zvi Litvinoff,E Isaac Moritz,E Mordecai Moritz,E Hitler's armies,E Zvi's Father,E Zvi's Mother,E Miriam Litvinoff,E Zvi's Brother,E Rosa,E David Singer,E Second Bookstore Owner (In Buenos Aires),E Charlotte Singer,E Bruno,E Alma Singer,E Misha Shklovsky,E Bird,E Herman Cooper,E Bernard Moritz,E Man in a Yellow Bow Tie and a White Jacket,E Man (from Fact-Checking Department),E Man (from Fiction Department)
3,E Leo and Alma fall in love,1930-01-01,1940-01-01,T,E Leo (narrator),230.0,230.0,2000-12-01,0000-01-01,230.0,230.0,T,"""When they were ten he asked her to marry him"" (11) Alma and Leo were born in 1920, therefore when they were 10 the year would have been 1930. ""After she left, everything fell apart"" (8) ""In the summer of 1941 the Einsatzgruppen drove deeper east"" (12) Alma leaves before Slonim is invaded, therefore before 1941 and has Isaac in 1940, so she would have have to have left sometime before 1940.",,,T,,,,T,,,,,,,,,,,,,,,,,,,,,
3,E Leo and Alma fall in love,1930-01-01,1940-01-01,T,E Alma (narrator),251.0,251.0,2000-10-21,0000-01-01,251.0,251.0,T,"""When they were ten he asked her to marry him"" (11) Alma and Leo were born in 1920, therefore when they were 10 the year would have been 1930. ""After she left, everything fell apart"" (8) ""In the summer of 1941 the Einsatzgruppen drove deeper east"" (12) Alma leaves before Slonim is invaded, therefore before 1941 and has Isaac in 1940, so she would have have to have left sometime before 1940.",,,T,,,,T,,,,,,,,,,,,,,,,,,,,,
3,E Leo and Alma fall in love,1930-01-01,1940-01-01,T,E Leo (narrator),129.0,129.0,2000-12-01,0000-01-01,119.0,134.0,T,"""When they were ten he asked her to marry him"" (11) Alma and Leo were born in 1920, therefore when they were 10 the year would have been 1930. ""After she left, everything fell apart"" (8) ""In the summer of 1941 the Einsatzgruppen drove deeper east"" (12) Alma leaves before Slonim is invaded, therefore before 1941 and has Isaac in 1940, so she would have have to have left sometime before 1940.",,,T,,,,T,,,,,,,,,,,,,,,,,,,,,
3,E Leo and Alma fall in love,1930-01-01,1940-01-01,T,E Leo (narrator),8.0,8.0,2000-12-01,0000-01-01,3.0,13.0,T,"""When they were ten he asked her to marry him"" (11) Alma and Leo were born in 1920, therefore when they were 10 the year would have been 1930. ""After she left, everything fell apart"" (8) ""In the summer of 1941 the Einsatzgruppen drove deeper east"" (12) Alma leaves before Slonim is invaded, therefore before 1941 and has Isaac in 1940, so she would have have to have left sometime before 1940.",,,T,,,,T,,,,,,,,,,,,,,,,,,,,,
4,E Zvi sees Leo and Alma kiss,1936-01-01,1936-01-01,T,E Zvi's Narrator,184.0,184.0,1980-01-01,0000-01-01,183.0,191.0,T,"""early in the summer of 1936"" (184)",,,T,,,,T,T,,,,,,,,,,,,,,,,,,,,
5,E Leo completes 'The History of Love',1940-01-01,1941-07-01,T,E Leo (narrator),7.0,7.0,2000-12-01,0000-01-01,3.0,13.0,T,"""I read the pages of the book that I had written as a young man.... A twenty-year-old in love"" (121) which would make the year 1940 and Leo stops writing when Slonim is invaded in 1941",,,,,,,T,,,,,,,,,,,,,,,,,,,,,
5,E Leo completes 'The History of Love',1940-01-01,1941-07-01,T,E Leo (narrator),8.0,8.0,2000-12-01,0000-01-01,3.0,13.0,T,"""I read the pages of the book that I had written as a young man.... A twenty-year-old in love"" (121) which would make the year 1940 and Leo stops writing when Slonim is invaded in 1941",,,,,,,T,,,,,,,,,,,,,,,,,,,,,
5,E Leo completes 'The History of Love',1940-01-01,1941-07-01,T,E Leo (narrator),12.0,12.0,2000-12-01,0000-01-01,3.0,13.0,T,"""I read the pages of the book that I had written as a young man.... A twenty-year-old in love"" (121) which would make the year 1940 and Leo stops writing when Slonim is invaded in 1941",,,,,,,T,,,,,,,,,,,,,,,,,,,,,
5,E Leo completes 'The History of Love',1940-01-01,1941-07-01,T,E Leo (narrator),121.0,121.0,2000-12-01,0000-01-01,119.0,134.0,T,"""I read the pages of the book that I had written as a young man.... A twenty-year-old in love"" (121) which would make the year 1940 and Leo stops writing when Slonim is invaded in 1941",,,,,,,T,,,,,,,,,,,,,,,,,,,,,
5,E Leo completes 'The History of Love',1940-01-01,1941-07-01,T,E Leo (narrator),244.0,244.0,2000-12-01,0000-01-01,244.0,244.0,T,"""I read the pages of the book that I had written as a young man.... A twenty-year-old in love"" (121) which would make the year 1940 and Leo stops writing when Slonim is invaded in 1941",,,,,,,T,,,,,,,,,,,,,,,,,,,,,
6,E Zvi steals Leo's obituary,1940-01-01,1941-07-01,T,E Zvi's Narrator,118.0,118.0,1980-01-01,0000-01-01,110.0,118.0,T,""" they discussed the movements of Hitler's armies"" (113) ""Because Litvinoff didn't know many people there"" (112) indicates they are not in Slonim, therefore before Leo is laid off and returns home, and it is before Slonim's invasion.",,,,,,,T,T,,,,,,,,,,,,,,,,,,,,
7,E Alma leaves for America,1940-01-01,1940-05-01,T,E Alma (narrator),140.0,140.0,2000-09-14,0000-01-01,140.0,141.0,T,"""the woman who had been a girl got on a boat to America and threw up the whole way, not because she was seasick but because she was pregnant""(12) Isaac was born after October 8 1940 and before November 1 1940, and as morning sickness occurs in the first trimester, Alma would have been getting sick between January and May of 1940",,,T,,,,,,,,,,,,,,,,,,,,,,,,,
7,E Alma leaves for America,1940-01-01,1940-05-01,T,E Alma (narrator),251.0,251.0,2000-10-21,0000-01-01,251.0,251.0,T,"""the woman who had been a girl got on a boat to America and threw up the whole way, not because she was seasick but because she was pregnant""(12) Isaac was born after October 8 1940 and before November 1 1940, and as morning sickness occurs in the first trimester, Alma would have been getting sick between January and May of 1940",,,T,,,,,,,,,,,,,,,,,,,,,,,,,
7,E Alma leaves for America,1940-01-01,1940-05-01,T,E Alma (narrator),171.0,171.0,2000-09-14,0000-01-01,171.0,171.0,T,"""the woman who had been a girl got on a boat to America and threw up the whole way, not because she was seasick but because she was pregnant""(12) Isaac was born after October 8 1940 and before November 1 1940, and as morning sickness occurs in the first trimester, Alma would have been getting sick between January and May of 1940",,,T,,,,,,,,,,,,,,,,,,,,,,,,,
7,E Alma leaves for America,1940-01-01,1940-05-01,T,E Leo (narrator),12.0,12.0,2000-12-01,0000-01-01,3.0,13.0,T,"""the woman who had been a girl got on a boat to America and threw up the whole way, not because she was seasick but because she was pregnant""(12) Isaac was born after October 8 1940 and before November 1 1940, and as morning sickness occurs in the first trimester, Alma would have been getting sick between January and May of 1940",,,T,,,,,,,,,,,,,,,,,,,,,,,,,
7,E Alma leaves for America,1940-01-01,1940-05-01,T,E Leo (narrator),11.0,11.0,2000-12-01,0000-01-01,3.0,13.0,T,"""the woman who had been a girl got on a boat to America and threw up the whole way, not because she was seasick but because she was pregnant""(12) Isaac was born after October 8 1940 and before November 1 1940, and as morning sickness occurs in the first trimester, Alma would have been getting sick between January and May of 1940",,,T,,,,,,,,,,,,,,,,,,,,,,,,,
7,E Alma leaves for America,1940-01-01,1940-05-01,T,E Leo (narrator),8.0,8.0,2000-12-01,0000-01-01,3.0,13.0,T,"""the woman who had been a girl got on a boat to America and threw up the whole way, not because she was seasick but because she was pregnant""(12) Isaac was born after October 8 1940 and before November 1 1940, and as morning sickness occurs in the first trimester, Alma would have been getting sick between January and May of 1940",,,T,,,,,,,,,,,,,,,,,,,,,,,,,
8,E Isaac is born,1940-10-08,1940-11-01,T,E Leo (narrator),13.0,13.0,2000-12-01,0000-01-01,3.0,13.0,T,"Isaac ""was 60"" when he died (77) which was October 7th 2000, and accounting for Leo and Alma's birthdays, he would have been born between October 8th and November",,,T,,,,,,T,T,,,,,,,,,,,,,,,,,,
8,E Isaac is born,1940-10-08,1940-11-01,T,E Leo (narrator),78.0,78.0,2000-12-01,0000-01-01,75.0,92.0,T,"Isaac ""was 60"" when he died (77) which was October 7th 2000, and accounting for Leo and Alma's birthdays, he would have been born between October 8th and November",,,T,,,,,,T,T,,,,,,,,,,,,,,,,,,
8,E Isaac is born,1940-10-08,1940-11-01,T,E Leo (narrator),164.0,164.0,2000-12-01,0000-01-01,160.0,169.0,T,"Isaac ""was 60"" when he died (77) which was October 7th 2000, and accounting for Leo and Alma's birthdays, he would have been born between October 8th and November",,,T,,,,,,T,T,,,,,,,,,,,,,,,,,,
9,E Zvi leaves with 'The History of Love',1941-01-01,1941-07-01,T,E Zvi's Narrator,112.0,112.0,1980-01-01,0000-01-01,110.0,118.0,T,"Leo gives Zvi ""The History of Love"" ""the day [Zvi] left Poland"" (111) and ""Zvi...moved to Chile in 1941"" (74) before Slonim was invaded.",,,,,,,T,T,,,,,,,,,,,,,,,,,,,,
9,E Zvi leaves with 'The History of Love',1941-01-01,1941-07-01,T,E Alma (narrator),55.0,55.0,2000-09-14,0000-01-01,55.0,57.0,T,"Leo gives Zvi ""The History of Love"" ""the day [Zvi] left Poland"" (111) and ""Zvi...moved to Chile in 1941"" (74) before Slonim was invaded.",,,,,,,T,T,,,,,,,,,,,,,,,,,,,,
9,E Zvi leaves with 'The History of Love',1941-01-01,1941-07-01,T,E Alma (narrator),141.0,141.0,2000-09-14,0000-01-01,140.0,141.0,T,"Leo gives Zvi ""The History of Love"" ""the day [Zvi] left Poland"" (111) and ""Zvi...moved to Chile in 1941"" (74) before Slonim was invaded.",,,,,,,T,T,,,,,,,,,,,,,,,,,,,,
9,E Zvi leaves with 'The History of Love',1941-01-01,1941-07-01,T,E Alma (narrator),148.0,148.0,2000-09-14,0000-01-01,148.0,149.0,T,"Leo gives Zvi ""The History of Love"" ""the day [Zvi] left Poland"" (111) and ""Zvi...moved to Chile in 1941"" (74) before Slonim was invaded.",,,,,,,T,T,,,,,,,,,,,,,,,,,,,,
9,E Zvi leaves with 'The History of Love',1941-01-01,1941-07-01,T,E Zvi's Narrator,110.0,110.0,1980-01-01,0000-01-01,110.0,118.0,T,"Leo gives Zvi ""The History of Love"" ""the day [Zvi] left Poland"" (111) and ""Zvi...moved to Chile in 1941"" (74) before Slonim was invaded.",,,,,,,T,T,,,,,,,,,,,,,,,,,,,,
9,E Zvi leaves with 'The History of Love',1941-01-01,1941-07-01,T,E Zvi's Narrator,153.0,153.0,1980-01-01,0000-01-01,153.0,159.0,T,"Leo gives Zvi ""The History of Love"" ""the day [Zvi] left Poland"" (111) and ""Zvi...moved to Chile in 1941"" (74) before Slonim was invaded.",,,,,,,T,T,,,,,,,,,,,,,,,,,,,,
9,E Zvi leaves with 'The History of Love',1941-01-01,1941-07-01,T,E Zvi's Narrator,154.0,154.0,1980-01-01,0000-01-01,153.0,159.0,T,"Leo gives Zvi ""The History of Love"" ""the day [Zvi] left Poland"" (111) and ""Zvi...moved to Chile in 1941"" (74) before Slonim was invaded.",,,,,,,T,T,,,,,,,,,,,,,,,,,,,,
9,E Zvi leaves with 'The History of Love',1941-01-01,1941-07-01,T,E Zvi's Narrator,74.0,74.0,1980-01-01,0000-01-01,65.0,74.0,T,"Leo gives Zvi ""The History of Love"" ""the day [Zvi] left Poland"" (111) and ""Zvi...moved to Chile in 1941"" (74) before Slonim was invaded.",,,,,,,T,T,,,,,,,,,,,,,,,,,,,,
10,E Nazis invade Slonim,1941-07-01,1941-07-01,T,E Leo (narrator),168.0,168.0,2000-12-01,0000-01-01,160.0,169.0,T,"""In the summer of 1941....On a bright hot day in July they entered Slonim"" (12)",,,,,,,,,,,T,,,,,,,,,,,,,,,,,
