
"id","Event <br />(choose)","Narrator <br />(choose)","Container <br />(choose)","Start page","End page","TellingTime <br />(choose)"
"154","R Alma and Misha kiss (for the second time ??)","R Alma (narrator)","R 10. THEN","141","0","R Not before 14 September 2000"
"155","R Zvi leaves for Chile with The History of Love","R Alma (narrator)","R 20. AWAKE IN THE DARK","148","0","R Not before 14 September 2000"
"156","R Alma realises Alma Mereminski had married","R Alma (narrator)","R 21. SHE MUST HAVE GOTTEN MARRIED!","149","0","R Not before 14 September 2000"
"157","R Leo receives The History of Love","R Leo (narrator)","R DIE LAUGHING","161","0","R Not before 1 December 2000"
"158","R Isaac dies","R Leo (narrator)","R DIE LAUGHING","161","0","R Not before 1 December 2000"
"159","R Alma Mereminski dies","R Leo (narrator)","R DIE LAUGHING","163","0","R Not before 1 December 2000"
"160","R Leo begins to write again","R Leo (narrator)","R DIE LAUGHING","167","0","R Not before 1 December 2000"
"161","R Leo escapes the Nazis","R Leo (narrator)","R DIE LAUGHING","168","0","R Not before 1 December 2000"
"162","R Alma Mereminski leaves for America","R Alma (narrator)","R 2. MY MOTHER LOOKS RIGHT THROUGH ME","171","0","R Not before 14 September 2000"
"163","R Alma reads Bird's journal","R Alma (narrator)","R 22. BEING NORMAL","149","0","R Not before 14 September 2000"
"164","R David Singer buys The History of Love","R Alma (narrator)","R 6. I KNOCK AND SHE ASNWERS","175","0","R Not before 14 September 2000"
"165","R Alma Mereminski dies","R Alma (narrator)","R 7. I'M SICK OF FAMOUS WRITERS","176","0","R Not before 14 September 2000"
"166","R Alma realises Alma Mereminski has died","R Alma (narrator)","R 7. I'M SICK OF FAMOUS WRITERS","176","0","R Not before 14 September 2000"
"167","R David Singer dies","R Alma (narrator)","R 12. I GAVE UP","181","0","R Not before 14 September 2000"
"168","R Alma realises Jacob Marcus is Isaac Moritz","R Alma (narrator)","R 9. HOLY COW","196","0","R Not before 14 September 2000"
"169","R Alma and Herman go to Isaac's house (Alma leaves her phone number there)","R Alma (narrator)","R 19. I JUST DO","200","0","R Not before 5 October 2000"
"170","R Alma learns of Isaac's death","R Alma (narrator)","R 22. I DECIDED THERE WAS NOTHING LEFT TO LOSE","202","0","R Not before 5 October 2000"
"171","R Leo learns that Isaac had published WORDS FOR EVERYTHING","R Leo (narrator)","R THE LAST TIME I SAW YOU","209","0","R Not before 1 December 2000"
"172","R Isaac dies","R Leo (narrator)","R THE LAST TIME I SAW YOU","209","0","R Not before 1 December 2000"
"173","R Isaac dies","R Leo (narrator)","R THE LAST TIME I SAW YOU","212","0","R Not before 1 December 2000"
"174","R Leo finds Bird's letter","R Leo (narrator)","R THE LAST TIME I SAW YOU","212","0","R Not before 1 December 2000"
"175","E Alma Mereminski is born","E Leo (narrator)","E UNTIL THE WRITING HAND HURTS","128","128","E Not before December 2000"
"176","E Leo is born","E Leo (narrator)","E THE DEATH OF LEOPOLD GURSKY","255","255","E Not before December 2000"
"177","E Leo and Alma fall in love","E Leo (narrator)","E THE DEATH OF LEOPOLD GURSKY","255","255","E Not before December 2000"
"178","E Leo and Alma fall in love","E Leo (narrator)","E THE LAST WORDS ON EARTH 1.1","8","8","E Not before December 2000"
"179","E Leo and Alma fall in love","E Leo (narrator)","E THE LAST WORDS ON EARTH 1.1","11","11","E Not before December 2000"
"180","E Leo and Alma fall in love","E Alma (narrator)","E 29. MY MOTHER USED TO READ TO ME FROM THE HISTORY OF LOVE","57","57","E Not before September 14 2000"
"181","E Leo and Alma fall in love","E Alma (narrator)","E 33. THE HISTORY OF LOVE, CHAPTER 10","62","62","E Not before September 14 2000"
"183","E Leo and Alma fall in love","E Alma (narrator)","E 33. THE HISTORY OF LOVE, CHAPTER 10","63","63","E Not before September 14 2000"
"185","E Leo and Alma fall in love","E Leo (narrator)","E A JOY FOREVER","80","80","E Not before December 2000"
"186","E Leo and Alma fall in love","E Leo (narrator)","E A JOY FOREVER","85","85","E Not before December 2000"
"187","E Leo and Alma fall in love","E Leo (narrator)","E A JOY FOREVER","90","90","E Not before December 2000"
"188","E Leo and Alma fall in love","E Leo (narrator)","E UNTIL THE WRITING HAND HURTS","126","126","E Not before December 2000"
"189","E Leo and Alma fall in love","E Leo (narrator)","E UNTIL THE WRITING HAND HURTS","127","127","E Not before December 2000"
"190","E Leo and Alma fall in love","E Leo (narrator)","E UNTIL THE WRITING HAND HURTS","128","128","E Not before December 2000"
"191","E Leo and Alma fall in love","E Leo (narrator)","E UNTIL THE WRITING HAND HURTS","129","129","E Not before December 2000"
"192","E Leo and Alma fall in love","E Leo (narrator)","E A + L 1.12","230","230","E Not before December 2000"
"193","E Leo and Alma fall in love","E Alma (narrator)","E A + L 1.31","251","251","E Not before October 21st 2000"
"194","E Zvi sees Leo and Alma kiss","E Zvi's Narrator","E THE LAST PAGE","184","184","E Unknown (Not before 1980)"
"195","E Alma leaves for America","E Leo (narrator)","E THE LAST WORDS ON EARTH 1.1","8","8","E Not before December 2000"
"196","E Alma leaves for America","E Leo (narrator)","E THE LAST WORDS ON EARTH 1.1","12","12","E Not before December 2000"
"197","E Alma leaves for America","E Alma (narrator)","E 2. MY MOTHER LOOKS RIGHT THROUGH ME","171","171","E Not before September 14 2000"
"198","E Alma leaves for America","E Alma (narrator)","E A + L 1.31","251","251","E Not before October 21st 2000"
"199","E Isaac is born","E Leo (narrator)","E THE LAST WORDS ON EARTH 1.1","13","13","E Not before December 2000"
"200","E Isaac is born","E Leo (narrator)","E A JOY FOREVER","78","78","E Not before December 2000"
"201","E Isaac is born","E Leo (narrator)","E DIE LAUGHING","164","164","E Not before December 2000"
"202","E Zvi steals Leo's obituary","E Zvi's Narrator","E THE TROUBLE WITH THINKING","118","118","E Unknown (Not before 1980)"
"203","E Leo completes 'The History of Love'","E Leo (narrator)","E THE LAST WORDS ON EARTH 1.1","7","7","E Not before December 2000"
