
"id","Event <br />(choose)","Narrator <br />(choose)","Container <br />(choose)","Start page","End page","TellingTime <br />(choose)"
"291","E Alma learns of Isaac's death","E Alma (narrator)","E 22. I DECIDED THERE WAS NOTHING LEFT TO LOSE","202","202","E Not before October 5th 2000"
"292","E Bernard calls for Alma (revealing Leo's identity to Bird)","E Bird (narrator)","E October 6","216","216","E October 6th 2000"
"294","E Leo attends Isaac's funeral","E Leo (narrator)","E A JOY FOREVER","84","84","E Not before December 2000"
"295","E Leo attends Isaac's funeral","E Leo (narrator)","E A JOY FOREVER","85","85","E Not before December 2000"
"296","E Leo recieves 'The History of Love'","E Leo (narrator)","E A JOY FOREVER","92","92","E Not before December 2000"
"297","E Leo recieves 'The History of Love'","E Leo (narrator)","E DIE LAUGHING","161","161","E Not before December 2000"
"298","E Leo goes to Isaac's house to retrieve 'Words for Everything'","E Leo (narrator)","E DIE LAUGHING","161","161","E Not before December 2000"
"299","E Leo goes to Isaac's house to retrieve 'Words for Everything'","E Leo (narrator)","E DIE LAUGHING","163","163","E Not before December 2000"
"300","E Alma receives Bird's letter","E Alma (narrator)","E A + L 1.1","219","219","E Not before October 21st 2000"
"301","E Alma receives Bird's letter","E Alma (narrator)","E A + L 1.15","233","233","E Not before October 21st 2000"
"302","E Leo learns that Isaac published 'Words for Everything'","E Leo (narrator)","E THE LAST TIME I SAW YOU","209","209","E Not before December 2000"
"303","E Leo receives Bird's letter","E Leo (narrator)","E THE LAST TIME I SAW YOU","212","212","E Not before December 2000"
"304","E Alma and Leo meet","E Alma (narrator)","E A + L 1.23","241","241","E Not before October 21st 2000"
"305","E Alma and Leo meet","E Leo (narrator)","E A + L 1.24","242","242","E Not before December 2000"
"306","E Alma realizes that Leo wrote 'The History of Love'","E Alma (narrator)","E A + L 1.31","251","251","E Not before October 21st 2000"
"307","E Zvi publishes 'The History of Love'","E Zvi's Narrator","E FORGIVE ME","67","67","E Unknown (Not before 1980)"
"308","E Zvi publishes 'The History of Love'","E Zvi's Narrator","E FORGIVE ME","70","70","E Unknown (Not before 1980)"
"309","E Zvi adds Leo's obituary to 'The History of Love'","E Zvi's Narrator","E THE LAST PAGE","189","189","E Unknown (Not before 1980)"
"311","Damuddy's death","Benjamin Compson (narrator)","April Seventh, 1928","17","17","Luster looks for a quarter (April seventh, 1928)"
"312","Damuddy's death","Benjamin Compson (narrator)","April Seventh, 1928","18","18","Luster looks for a quarter (April seventh, 1928)"
"313","Damuddy's death","Benjamin Compson (narrator)","April Seventh, 1928","19","19","Luster looks for a quarter (April seventh, 1928)"
"314","Damuddy's death","Benjamin Compson (narrator)","April Seventh, 1928","20","20","Luster looks for a quarter (April seventh, 1928)"
"315","Damuddy's death","Benjamin Compson (narrator)","April Seventh, 1928","22","22","Luster looks for a quarter (April seventh, 1928)"
"316","Damuddy's death","Benjamin Compson (narrator)","April Seventh, 1928","23","23","Luster looks for a quarter (April seventh, 1928)"
"317","Damuddy's death","Benjamin Compson (narrator)","April Seventh, 1928","24","24","Luster looks for a quarter (April seventh, 1928)"
"318","Damuddy's death","Benjamin Compson (narrator)","April Seventh, 1928","25","25","Luster looks for a quarter (April seventh, 1928)"
"319","Damuddy's death","Benjamin Compson (narrator)","April Seventh, 1928","26","26","Luster looks for a quarter (April seventh, 1928)"
"320","Damuddy's death","Benjamin Compson (narrator)","April Seventh, 1928","27","27","Luster looks for a quarter (April seventh, 1928)"
"321","Damuddy's death","Benjamin Compson (narrator)","April Seventh, 1928","32","32","Luster looks for a quarter (April seventh, 1928)"
"322","Damuddy's death","Benjamin Compson (narrator)","April Seventh, 1928","33","33","Luster looks for a quarter (April seventh, 1928)"
"323","Damuddy's death","Benjamin Compson (narrator)","April Seventh, 1928","35","35","Luster looks for a quarter (April seventh, 1928)"
"324","Damuddy's death","Benjamin Compson (narrator)","April Seventh, 1928","36","36","Luster looks for a quarter (April seventh, 1928)"
"325","Damuddy's death","Benjamin Compson (narrator)","April Seventh, 1928","39","39","Luster looks for a quarter (April seventh, 1928)"
"326","Damuddy's death","Benjamin Compson (narrator)","April Seventh, 1928","45","45","Luster looks for a quarter (April seventh, 1928)"
"327","Damuddy's death","Benjamin Compson (narrator)","April Seventh, 1928","46","46","Luster looks for a quarter (April seventh, 1928)"
"328","Changing Benjamin's name","Benjamin Compson (narrator)","April Seventh, 1928","56","56","Luster and Benjy eat cake for Benjy's birthday (April seventh, 1928)"
"329","Changing Benjamin's name","Benjamin Compson (narrator)","April Seventh, 1928","58","58","Luster and Benjy eat cake for Benjy's birthday (April seventh, 1928)"
"330","Changing Benjamin's name","Benjamin Compson (narrator)","April Seventh, 1928","61","61","Luster and Benjy eat cake for Benjy's birthday (April seventh, 1928)"
"331","Changing Benjamin's name","Benjamin Compson (narrator)","April Seventh, 1928","64","64","Luster and Benjy eat cake for Benjy's birthday (April seventh, 1928)"
"332","Changing Benjamin's name","Benjamin Compson (narrator)","April Seventh, 1928","65","65","Luster and Benjy eat cake for Benjy's birthday (April seventh, 1928)"
"333","Changing Benjamin's name","Benjamin Compson (narrator)","April Seventh, 1928","66","66","Luster and Benjy eat cake for Benjy's birthday (April seventh, 1928)"
"334","Changing Benjamin's name","Benjamin Compson (narrator)","April Seventh, 1928","69","69","The Compsons have supper (April seventh, 1928)"
"335","Changing Benjamin's name","Benjamin Compson (narrator)","April Seventh, 1928","70","70","The Compsons have supper (April seventh, 1928)"
"336","Caddy wears perfume, which upsets Benjamin","Benjamin Compson (narrator)","April Seventh, 1928","42","42","Luster looks for a quarter (April seventh, 1928)"
"337","Caddy wears perfume, which upsets Benjamin","Benjamin Compson (narrator)","April Seventh, 1928","43","43","Luster looks for a quarter (April seventh, 1928)"
"338","Patterson Affair","Benjamin Compson (narrator)","April Seventh, 1928","4","4","Luster looks for a quarter (April seventh, 1928)"
"339","Patterson Affair","Benjamin Compson (narrator)","April Seventh, 1928","13","13","Luster looks for a quarter (April seventh, 1928)"
"340","Patterson Affair","Benjamin Compson (narrator)","April Seventh, 1928","14","14","Luster looks for a quarter (April seventh, 1928)"
"341","Benjamin's pasture sold so Quentin can go to Harvard","Benjamin Compson (narrator)","April Seventh, 1928","19","19","Luster looks for a quarter (April seventh, 1928)"
"342","Caddy and Charlie hook up","Benjamin Compson (narrator)","April Seventh, 1928","47","47","Benjy sees Quentin Jr. with the band member wearing the red tie in the swing (April seventh, 1928)"
"343","Caddy and Charlie hook up","Benjamin Compson (narrator)","April Seventh, 1928","48","48","Benjy sees Quentin Jr. with the band member wearing the red tie in the swing (April seventh, 1928)"
"344","Caddy and Herbert's Wedding","Benjamin Compson (narrator)","April Seventh, 1928","21","21","Luster looks for a quarter (April seventh, 1928)"
"345","Caddy and Herbert's Wedding","Benjamin Compson (narrator)","April Seventh, 1928","39","39","Luster looks for a quarter (April seventh, 1928)"
"346","Caddy and Herbert's Wedding","Benjamin Compson (narrator)","April Seventh, 1928","40","40","Luster looks for a quarter (April seventh, 1928)"
"347","Caddy and Herbert's Wedding","Benjamin Compson (narrator)","April Seventh, 1928","51","51","Luster looks for a quarter (April seventh, 1928)"
"348","Benjamin attacks a girl and is castrated","Benjamin Compson (narrator)","April Seventh, 1928","52","52","Luster looks for a quarter (April seventh, 1928)"
"349","Benjamin attacks a girl and is castrated","Benjamin Compson (narrator)","April Seventh, 1928","53","53","Luster looks for a quarter (April seventh, 1928)"
"350","The Compson family visits the cemetery without Jason","Benjamin Compson (narrator)","April Seventh, 1928","9","9","Luster looks for a quarter (April seventh, 1928)"
"351","The Compson family visits the cemetery without Jason","Benjamin Compson (narrator)","April Seventh, 1928","10","10","Luster looks for a quarter (April seventh, 1928)"
"352","The Compson family visits the cemetery without Jason","Benjamin Compson (narrator)","April Seventh, 1928","11","11","Luster looks for a quarter (April seventh, 1928)"
"353","Roskus dies","Benjamin Compson (narrator)","April Seventh, 1928","33","33","Luster looks for a quarter (April seventh, 1928)"
"354","Benjamin's pasture sold so Quentin can go to Harvard","Jason Compson IV (narrator)","April Sixth, 1928.","197","197","Jason recieves Caddy's letter (April sixth 1928)"
"355","Benjamin's pasture sold so Quentin can go to Harvard","Jason Compson IV (narrator)","April Sixth, 1928.","233","233","Jason sees Quentin with the band member wearing the red tie (April sixth 1928)"
"356","Benjamin's pasture sold so Quentin can go to Harvard","Jason Compson IV (narrator)","April Sixth, 1928.","262","262","Jason goes home and Quentin speaks up about Jason following her in his car (April sixth 1928)"
"357","Caddy and Charlie hook up","Jason Compson IV (narrator)","April Sixth, 1928.","229","229","Jason gives his mother the forged check to burn and a letter from Uncle Maury (April sixth 1928)"
"358","Herbert Head promises Jason a bank job","Jason Compson IV (narrator)","April Sixth, 1928.","221","221","Jason gives his mother the forged check to burn and a letter from Uncle Maury (April sixth 1928)"
"359","Herbert Head promises Jason a bank job","Jason Compson IV (narrator)","April Sixth, 1928.","262","262","Jason goes home and Quentin speaks up about Jason following her in his car (April sixth 1928)"
"360","Caddy and Herbert's Wedding","Jason Compson IV (narrator)","April Sixth, 1928.","221","221","Jason gives his mother the forged check to burn and a letter from Uncle Maury (April sixth 1928)"
"361","Quentin commits suicide","Jason Compson IV (narrator)","April Sixth, 1928.","197","197","Jason recieves Caddy's letter (April sixth 1928)"
"362","Quentin commits suicide","Jason Compson IV (narrator)","_CHOOSE CONTAINER","200","200","Jason recieves Caddy's letter (April sixth 1928)"
"363","Quentin commits suicide","Jason Compson IV (narrator)","April Sixth, 1928.","203","203","Jason recieves Caddy's letter (April sixth 1928)"
"364","Quentin commits suicide","Jason Compson IV (narrator)","April Sixth, 1928.","226","226","Jason gives his mother the forged check to burn and a letter from Uncle Maury (April sixth 1928)"
"365","Quentin commits suicide","Jason Compson IV (narrator)","April Sixth, 1928.","233","233","Jason sees Quentin with the band member wearing the red tie (April sixth 1928)"
"366","Quentin commits suicide","Jason Compson IV (narrator)","April Sixth, 1928.","261","261","Jason goes home and Quentin speaks up about Jason following her in his car (April sixth 1928)"
"367","Quentin commits suicide","3rd Person Narrator (SaF)","April Eighth, 1928.","283","283","April Eighth, 1928"
"368","Quentin commits suicide","3rd Person Narrator (SaF)","April Eighth, 1928.","299","299","April Eighth, 1928"
"369","Benjamin attacks a girl and is castrated","Jason Compson IV (narrator)","April Sixth, 1928.","253","253","Jason goes home and Quentin speaks up about Jason following her in his car (April sixth 1928)"
"370","Benjamin attacks a girl and is castrated","Jason Compson IV (narrator)","April Sixth, 1928.","263","263","Jason goes home and Quentin speaks up about Jason following her in his car (April sixth 1928)"
"371","Herbert Head divorces Caddy","Jason Compson IV (narrator)","April Sixth, 1928.","198","198","Jason recieves Caddy's letter (April sixth 1928)"
"372","Herbert Head divorces Caddy","Jason Compson IV (narrator)","April Sixth, 1928.","220","220","Jason gives his mother the forged check to burn and a letter from Uncle Maury (April sixth 1928)"
"373","Herbert Head divorces Caddy","Jason Compson IV (narrator)","April Sixth, 1928.","233","233","Jason sees Quentin with the band member wearing the red tie (April sixth 1928)"
"374","Jason loses bank job","Jason Compson IV (narrator)","April Sixth, 1928.","202","202","Jason recieves Caddy's letter (April sixth 1928)"
"375","Jason loses bank job","Jason Compson IV (narrator)","April Sixth, 1928.","206","206","Jason recieves Caddy's letter (April sixth 1928)"
"376","Jason loses bank job","3rd Person Narrator (SaF)","April Eighth, 1928.","304","304","April Eighth, 1928"
"377","Jason loses bank job","3rd Person Narrator (SaF)","April Eighth, 1928.","306","306","April Eighth, 1928"
"378","Jason loses bank job","3rd Person Narrator (SaF)","April Eighth, 1928.","307","307","April Eighth, 1928"
"379","Quentin Jr. gets sent to live with the Compsons","Jason Compson IV (narrator)","April Seventh, 1928","196","196","Jason recieves Caddy's letter (April sixth 1928)"
"380","Quentin Jr. gets sent to live with the Compsons","Jason Compson IV (narrator)","April Sixth, 1928.","198","198","Jason recieves Caddy's letter (April sixth 1928)"
"381","Quentin Jr. gets sent to live with the Compsons","Jason Compson IV (narrator)","April Sixth, 1928.","199","199","Jason recieves Caddy's letter (April sixth 1928)"
"382","Quentin Jr. gets sent to live with the Compsons","Jason Compson IV (narrator)","April Sixth, 1928.","200","200","Jason recieves Caddy's letter (April sixth 1928)"
"383","Jason Compson III's funeral","Jason Compson IV (narrator)","April Sixth, 1928.","196","196","Jason recieves Caddy's letter (April sixth 1928)"
"384","Jason Compson III's funeral","Jason Compson IV (narrator)","April Sixth, 1928.","197","197","Jason recieves Caddy's letter (April sixth 1928)"
"385","Jason Compson III's funeral","Jason Compson IV (narrator)","April Sixth, 1928.","202","202","Jason recieves Caddy's letter (April sixth 1928)"
"386","Jason Compson III's funeral","Jason Compson IV (narrator)","April Sixth, 1928.","203","203","Jason recieves Caddy's letter (April sixth 1928)"
"387","Caddy pays Jason to see Quentin Jr.","Jason Compson IV (narrator)","April Sixth, 1928.","203","203","Jason recieves Caddy's letter (April sixth 1928)"
"388","Caddy pays Jason to see Quentin Jr.","Jason Compson IV (narrator)","April Sixth, 1928.","204","204","Jason recieves Caddy's letter (April sixth 1928)"
"389","Caddy pays Jason to see Quentin Jr.","Jason Compson IV (narrator)","April Sixth, 1928.","205","205","Jason recieves Caddy's letter (April sixth 1928)"
"390","Dilsey lets Caddy see Quentin Jr. and Jason finds out because Benjy bellows","Jason Compson IV (narrator)","April Sixth, 1928.","207","207","Jason recieves Caddy's letter (April sixth 1928)"
"391","Dilsey lets Caddy see Quentin Jr. and Jason finds out because Benjy bellows","Jason Compson IV (narrator)","April Sixth, 1928.","208","208","Jason recieves Caddy's letter (April sixth 1928)"
"392","Caddy visits Jason's office","Jason Compson IV (narrator)","April Sixth, 1928.","205","205","Jason recieves Caddy's letter (April sixth 1928)"
"393","Caddy visits Jason's office","Jason Compson IV (narrator)","April Sixth, 1928.","206","206","Jason recieves Caddy's letter (April sixth 1928)"
"394","Roskus dies","Jason Compson IV (narrator)","April Sixth, 1928.","251","251","Jason loses money at the stock market (April sixth 1928)"
"395","Jason takes Caddy's money, forges a check, and gives it to his mother to burn","Jason Compson IV (narrator)","April Sixth, 1928.","215","215","Quentin Jr. asks for money (April sixth 1928)"
"396","Jason takes Caddy's money, forges a check, and gives it to his mother to burn","Jason Compson IV (narrator)","April Sixth, 1928.","216","216","Jason forges a check (April sixth 1928)"
"397","Jason takes Caddy's money, forges a check, and gives it to his mother to burn","Jason Compson IV (narrator)","April Sixth, 1928.","218","218","Jason forges a check (April sixth 1928)"
"398","Jason takes Caddy's money, forges a check, and gives it to his mother to burn","Jason Compson IV (narrator)","April Sixth, 1928.","219","219","Jason gives his mother the forged check to burn and a letter from Uncle Maury (April sixth 1928)"
"399","Jason takes Caddy's money, forges a check, and gives it to his mother to burn","Jason Compson IV (narrator)","April Sixth, 1928.","220","220","Jason gives his mother the forged check to burn and a letter from Uncle Maury (April sixth 1928)"
"400","Jason takes Caddy's money, forges a check, and gives it to his mother to burn","Jason Compson IV (narrator)","April Sixth, 1928.","226","226","Jason gives his mother the forged check to burn and a letter from Uncle Maury (April sixth 1928)"
"401","Jason takes Caddy's money, forges a check, and gives it to his mother to burn","3rd Person Narrator (SaF)","April Eighth, 1928.","307","307","April Eighth, 1928"
"402","Jason chases Quentin and the band member with the red tie in his car","Jason Compson IV (narrator)","April Sixth, 1928.","238","238","Jason chases Quentin and the band member in the red tie in his car (April sixth 1928)"
"403","Jason chases Quentin and the band member with the red tie in his car","Jason Compson IV (narrator)","April Sixth, 1928.","239","239","Jason chases Quentin and the band member in the red tie in his car (April sixth 1928)"
"404","Jason chases Quentin and the band member with the red tie in his car","Jason Compson IV (narrator)","April Sixth, 1928.","240","240","Jason chases Quentin and the band member in the red tie in his car (April sixth 1928)"
"405","Jason chases Quentin and the band member with the red tie in his car","Jason Compson IV (narrator)","April Sixth, 1928.","241","241","Jason chases Quentin and the band member in the red tie in his car (April sixth 1928)"
"406","Jason chases Quentin and the band member with the red tie in his car","Jason Compson IV (narrator)","April Sixth, 1928.","242","242","Jason chases Quentin and the band member in the red tie in his car (April sixth 1928)"
"407","Jason chases Quentin and the band member with the red tie in his car","Jason Compson IV (narrator)","April Sixth, 1928.","243","243","Jason chases Quentin and the band member in the red tie in his car (April sixth 1928)"
"408","Jason chases Quentin and the band member with the red tie in his car","3rd Person Narrator (SaF)","April Sixth, 1928.","258","258","Jason goes home and Quentin speaks up about Jason following her in his car (April sixth 1928)"
"409","Jason chases Quentin and the band member with the red tie in his car","Jason Compson IV (narrator)","April Sixth, 1928.","260","260","Jason goes home and Quentin speaks up about Jason following her in his car (April sixth 1928)"
"410","Quentin Jr. runs away","Benjamin Compson (narrator)","April Seventh, 1928","74","74","Benjy watches Quentin run away (April seventh, 1928)"
"411","Quentin Jr. runs away","3rd Person Narrator (SaF)","April Eighth, 1928.","286","286","April Eighth, 1928"
"412","Quentin Jr. runs away","3rd Person Narrator (SaF)","April Eighth, 1928.","304","304","April Eighth, 1928"
"413","Quentin Jr. runs away","3rd Person Narrator (SaF)","April Eighth, 1928.","307","307","April Eighth, 1928"
"414","Quentin Jr. runs away","3rd Person Narrator (SaF)","April Eighth, 1928.","309","309","April Eighth, 1928"
"415","The Compsons discover Quentin is missing and Jason discovers his money is missing","3rd Person Narrator (SaF)","April Eighth, 1928.","280","280","April Eighth, 1928"
"416","The Compsons discover Quentin is missing and Jason discovers his money is missing","3rd Person Narrator (SaF)","April Eighth, 1928.","282","282","April Eighth, 1928"
"417","The Compsons discover Quentin is missing and Jason discovers his money is missing","3rd Person Narrator (SaF)","April Eighth, 1928.","283","283","April Eighth, 1928"
"418","The Compsons discover Quentin is missing and Jason discovers his money is missing","3rd Person Narrator (SaF)","April Eighth, 1928.","284","284","April Eighth, 1928"
"419","Dilsey, Frony, and Luster take Benjy to church","3rd Person Narrator (SaF)","April Eighth, 1928.","279","279","April Eighth, 1928"
"420","Dilsey, Frony, and Luster take Benjy to church","3rd Person Narrator (SaF)","April Eighth, 1928.","289","289","April Eighth, 1928"
"421","Dilsey, Frony, and Luster take Benjy to church","3rd Person Narrator (SaF)","April Eighth, 1928.","290","290","April Eighth, 1928"
"422","Dilsey, Frony, and Luster take Benjy to church","3rd Person Narrator (SaF)","April Eighth, 1928.","292","292","April Eighth, 1928"
"423","Dilsey, Frony, and Luster take Benjy to church","3rd Person Narrator (SaF)","April Eighth, 1928.","293","293","April Eighth, 1928"
"424","Dilsey, Frony, and Luster take Benjy to church","3rd Person Narrator (SaF)","April Eighth, 1928.","294","294","April Eighth, 1928"
"425","Dilsey, Frony, and Luster take Benjy to church","3rd Person Narrator (SaF)","April Eighth, 1928.","295","295","April Eighth, 1928"
"426","Dilsey, Frony, and Luster take Benjy to church","3rd Person Narrator (SaF)","April Eighth, 1928.","297","297","April Eighth, 1928"
"427","The sheriff refuses to help Jason","3rd Person Narrator (SaF)","April Eighth, 1928.","303","303","April Eighth, 1928"
"428","The sheriff refuses to help Jason","3rd Person Narrator (SaF)","April Eighth, 1928.","304","304","April Eighth, 1928"
"429","Jason chases Quentin to Mottson and gets in a fight with the man wearing the dirty apron; he learns that Quentin is not there and goes home","3rd Person Narrator (SaF)","April Eighth, 1928.","305","305","April Eighth, 1928"
"430","Jason chases Quentin to Mottson and gets in a fight with the man wearing the dirty apron; he learns that Quentin is not there and goes home","3rd Person Narrator (SaF)","April Eighth, 1928.","307","307","April Eighth, 1928"
"431","Jason chases Quentin to Mottson and gets in a fight with the man wearing the dirty apron; he learns that Quentin is not there and goes home","3rd Person Narrator (SaF)","April Eighth, 1928.","308","308","April Eighth, 1928"
"432","Jason chases Quentin to Mottson and gets in a fight with the man wearing the dirty apron; he learns that Quentin is not there and goes home","3rd Person Narrator (SaF)","April Eighth, 1928.","309","309","April Eighth, 1928"
"433","Jason chases Quentin to Mottson and gets in a fight with the man wearing the dirty apron; he learns that Quentin is not there and goes home","3rd Person Narrator (SaF)","April Eighth, 1928.","310","310","April Eighth, 1928"
"434","Jason chases Quentin to Mottson and gets in a fight with the man wearing the dirty apron; he learns that Quentin is not there and goes home","3rd Person Narrator (SaF)","April Eighth, 1928.","311","311","April Eighth, 1928"
"435","Jason chases Quentin to Mottson and gets in a fight with the man wearing the dirty apron; he learns that Quentin is not there and goes home","3rd Person Narrator (SaF)","April Eighth, 1928.","312","312","April Eighth, 1928"
"436","Jason chases Quentin to Mottson and gets in a fight with the man wearing the dirty apron; he learns that Quentin is not there and goes home","3rd Person Narrator (SaF)","April Eighth, 1928.","313","313","April Eighth, 1928"
"437","Luster drives Benjy an alternate route in the carriage and Jason attacks Luster","3rd Person Narrator (SaF)","April Eighth, 1928.","320","320","April Eighth, 1928"
"438","Damuddy's death","Quentin Compson III (narrator)","June Second, 1910","90","90","Quentin sends his note to his father (June second 1910)"
"439","Damuddy's death","Quentin Compson III (narrator)","June Second, 1910","101","101","Quentin gives Shreve's note to Deacon (June second 1910)"
"440","Damuddy's death","Quentin Compson III (narrator)","June Second, 1910","151","151","Quentin gets arrested for taking the little Italian girl (June second 1910)"
"441","Damuddy's death","Quentin Compson III (narrator)","June Second, 1910","152","152","Quentin gets arrested for taking the little Italian girl (June second 1910)"
"442","Changing Benjamin's name","Quentin Compson III (narrator)","June Second, 1910","88","88","Quentin sends his note to his father (June second 1910)"
"443","Changing Benjamin's name","Quentin Compson III (narrator)","June Second, 1910","89","89","Quentin sends his note to his father (June second 1910)"
"444","Changing Benjamin's name","Quentin Compson III (narrator)","June Second, 1910","170","170","Quentin fights Gerald (June second 1910)"
"445","Caddy wears perfume, which upsets Benjamin","Quentin Compson III (narrator)","June Second, 1910","176","176","Quentin dresses up (June second 1910)"
"446","Patterson Affair","Quentin Compson III (narrator)","June Second, 1910","175","175","Quentin dresses up (June second 1910)"
"447","Benjamin's pasture sold so Quentin can go to Harvard","Quentin Compson III (narrator)","June Second, 1910","94","94","Quentin sends his note to his father (June second 1910)"
"448","Benjamin's pasture sold so Quentin can go to Harvard","Quentin Compson III (narrator)","June Second, 1910","102","102","Quentin gives Shreve's note to Deacon (June second 1910)"
"449","Benjamin's pasture sold so Quentin can go to Harvard","Quentin Compson III (narrator)","June Second, 1910","124","124","Quentin buys tire irons and hides them (June second 1910)"
"450","Benjamin's pasture sold so Quentin can go to Harvard","Quentin Compson III (narrator)","June Second, 1910","174","174","Quentin dresses up (June second 1910)"
"451","Quentin sees Caddy and Dalton","Quentin Compson III (narrator)","June Second, 1910","80","80","Quentin breaks his watch (June second 1910)"
"452","Quentin sees Caddy and Dalton","Quentin Compson III (narrator)","June Second, 1910","88","88","Quentin sends his note to his father (June second 1910)"
"453","Quentin sees Caddy and Dalton","Quentin Compson III (narrator)","June Second, 1910","96","96","Quentin sends his note to his father (June second 1910)"
"454","Quentin sees Caddy and Dalton","Quentin Compson III (narrator)","June Second, 1910","111","111","Quentin gives Shreve's note to Deacon (June second 1910)"
"455","Quentin sees Caddy and Dalton","Quentin Compson III (narrator)","June Second, 1910","124","124","Quentin buys tire irons and hides them (June second 1910)"
"456","Quentin sees Caddy and Dalton","Quentin Compson III (narrator)","June Second, 1910","129","129","Quentin finds the little Italian girl (June second 1910)"
"457","Quentin sees Caddy and Dalton","Quentin Compson III (narrator)","June Second, 1910","149","149","Quentin gets arrested for taking the little Italian girl (June second 1910)"
"458","Quentin sees Caddy and Dalton","Quentin Compson III (narrator)","June Second, 1910","174","174","Quentin dresses up (June second 1910)"
"459","Quentin sees Caddy and Dalton","Quentin Compson III (narrator)","June Second, 1910","175","175","Quentin dresses up (June second 1910)"
"460","Quentin confronts Caddy at the creek","Quentin Compson III (narrator)","June Second, 1910","147","147","Quentin gets arrested for taking the little Italian girl (June second 1910)"
"461","Quentin confronts Caddy at the creek","Quentin Compson III (narrator)","June Second, 1910","149","149","Quentin gets arrested for taking the little Italian girl (June second 1910)"
"462","Quentin confronts Caddy at the creek","Quentin Compson III (narrator)","June Second, 1910","150","150","Quentin gets arrested for taking the little Italian girl (June second 1910)"
"463","Quentin confronts Caddy at the creek","Quentin Compson III (narrator)","June Second, 1910","151","151","Quentin gets arrested for taking the little Italian girl (June second 1910)"
"464","Quentin confronts Caddy at the creek","Quentin Compson III (narrator)","June Second, 1910","152","152","Quentin gets arrested for taking the little Italian girl (June second 1910)"
"465","Quentin confronts Caddy at the creek","Quentin Compson III (narrator)","June Second, 1910","153","153","Quentin gets arrested for taking the little Italian girl (June second 1910)"
"466","Quentin confronts Caddy at the creek","Quentin Compson III (narrator)","June Second, 1910","154","154","Quentin gets arrested for taking the little Italian girl (June second 1910)"
"467","Quentin confronts Caddy at the creek","Quentin Compson III (narrator)","June Second, 1910","155","155","Quentin gets arrested for taking the little Italian girl (June second 1910)"
"468","Quentin confronts Caddy at the creek","Quentin Compson III (narrator)","June Second, 1910","156","156","Quentin gets arrested for taking the little Italian girl (June second 1910)"
"469","Quentin confronts Caddy at the creek","Quentin Compson III (narrator)","June Second, 1910","157","157","Quentin gets arrested for taking the little Italian girl (June second 1910)"
"470","Quentin confronts Caddy at the creek","Quentin Compson III (narrator)","June Second, 1910","158","158","Quentin gets arrested for taking the little Italian girl (June second 1910)"
"471","Quentin confronts Dalton","Quentin Compson III (narrator)","June Second, 1910","79","79","Quentin breaks his watch (June second 1910)"
"472","Quentin confronts Dalton","Quentin Compson III (narrator)","June Second, 1910","92","92","Quentin sends his note to his father (June second 1910)"
"473","Quentin confronts Dalton","Quentin Compson III (narrator)","June Second, 1910","158","158","Quentin gets arrested for taking the little Italian girl (June second 1910)"
"474","Quentin confronts Dalton","Quentin Compson III (narrator)","June Second, 1910","159","159","Quentin gets arrested for taking the little Italian girl (June second 1910)"
"475","Quentin confronts Dalton","Quentin Compson III (narrator)","June Second, 1910","160","160","Quentin fights Gerald (June second 1910)"
"476","Quentin confronts Dalton","Quentin Compson III (narrator)","June Second, 1910","161","161","Quentin fights Gerald (June second 1910)"
"477","Quentin confronts Dalton","Quentin Compson III (narrator)","June Second, 1910","162","162","Quentin fights Gerald (June second 1910)"
"478","Quentin confronts Dalton","Quentin Compson III (narrator)","June Second, 1910","163","163","Quentin fights Gerald (June second 1910)"
"479","Quentin tells his father he has committed incest","Quentin Compson III (narrator)","June Second, 1910","77","77","Quentin breaks his watch (June second 1910)"
"480","Quentin tells his father he has committed incest","Quentin Compson III (narrator)","June Second, 1910","79","79","Quentin breaks his watch (June second 1910)"
"481","Quentin tells his father he has committed incest","Quentin Compson III (narrator)","June Second, 1910","95","95","Quentin sends his note to his father (June second 1910)"
"482","Quentin tells his father he has committed incest","Quentin Compson III (narrator)","June Second, 1910","148","148","Quentin gets arrested for taking the little Italian girl (June second 1910)"
"483","Quentin tells his father he has committed incest","Quentin Compson III (narrator)","June Second, 1910","176","176","Quentin dresses up (June second 1910)"
"484","Quentin tells his father he has committed incest","Quentin Compson III (narrator)","June Second, 1910","177","177","Quentin dresses up (June second 1910)"
"485","Herbert Head promises Jason a bank job","Quentin Compson III (narrator)","June Second, 1910","93","93","Quentin sends his note to his father (June second 1910)"
"486","Herbert Head promises Jason a bank job","Quentin Compson III (narrator)","June Second, 1910","94","94","Quentin sends his note to his father (June second 1910)"
"487","Quentin recieves Caddy and Herbert's wedding announcement","Quentin Compson III (narrator)","June Second, 1910","77","77","Quentin breaks his watch (June second 1910)"
"488","Quentin recieves Caddy and Herbert's wedding announcement","Quentin Compson III (narrator)","June Second, 1910","93","93","Quentin sends his note to his father (June second 1910)"
"489","Quentin recieves Caddy and Herbert's wedding announcement","Quentin Compson III (narrator)","June Second, 1910","94","94","Quentin sends his note to his father (June second 1910)"
"490","Quentin recieves Caddy and Herbert's wedding announcement","Quentin Compson III (narrator)","June Second, 1910","174","174","Quentin dresses up (June second 1910)"
"491","Quentin meets Herbert Head","Quentin Compson III (narrator)","June Second, 1910","93","93","Quentin sends his note to his father (June second 1910)"
