Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,id_x,Novel_x,Duration,Preceding Event,id_y,Container,TT Description,id,Novel_y,Preceding t-t
,Caddy and Herbert's Wedding,1910-04-25,1910-04-25,T,Quentin Compson III (narrator),100,100,1910-06-02,1910-06-02,76,179,F,"Dates collected from Ross and Polk, ""Mr. and Mrs. Jason Richmond Compson announce the marriage of their daughter Candace to Mr. Sydney Herbert Head on the twenty-fifth of April one thousand nine hundred and ten"" (93)",193,The Sound and the Fury,0,The night before Caddy's wedding and Quentin confronts Herbert Head,510,"June Second, 1910",Quentin gives Shreve's note to Deacon (June second 1910),24,The Sound and the Fury,Quentin sends his note to his father (June second 1910)
,Caddy and Herbert's Wedding,1910-04-25,1910-04-25,T,Jason Compson IV (narrator),221,221,1928-04-06,1928-04-06,180,264,F,"Dates collected from Ross and Polk, ""Mr. and Mrs. Jason Richmond Compson announce the marriage of their daughter Candace to Mr. Sydney Herbert Head on the twenty-fifth of April one thousand nine hundred and ten"" (93)",193,The Sound and the Fury,0,The night before Caddy's wedding and Quentin confronts Herbert Head,360,"April Sixth, 1928.",Jason gives his mother the forged check to burn and a letter from Uncle Maury (April sixth 1928),35,The Sound and the Fury,Jason forges a check (April sixth 1928)
,Caddy pays Jason to see Quentin Jr.,1912-01-01,1912-01-01,T,Jason Compson IV (narrator),203,203,1928-04-06,1928-04-06,180,264,F,"Occurs at and after the funeral: ""I was pretty near there, standing there in a black cloak, looking at the flowers. I knew who it was right off, before she turned and looked at me and lifted up her veil."" (202)",200,The Sound and the Fury,0,Jason Compson III's funeral,387,"April Sixth, 1928.",Jason recieves Caddy's letter (April sixth 1928),32,The Sound and the Fury,Jason drives Quentin Jr. to school (April sixth 1928)
,Caddy pays Jason to see Quentin Jr.,1912-01-01,1912-01-01,T,Jason Compson IV (narrator),204,204,1928-04-06,1928-04-06,180,264,F,"Occurs at and after the funeral: ""I was pretty near there, standing there in a black cloak, looking at the flowers. I knew who it was right off, before she turned and looked at me and lifted up her veil."" (202)",200,The Sound and the Fury,0,Jason Compson III's funeral,388,"April Sixth, 1928.",Jason recieves Caddy's letter (April sixth 1928),32,The Sound and the Fury,Jason drives Quentin Jr. to school (April sixth 1928)
,Caddy pays Jason to see Quentin Jr.,1912-01-01,1912-01-01,T,Jason Compson IV (narrator),205,205,1928-04-06,1928-04-06,180,264,F,"Occurs at and after the funeral: ""I was pretty near there, standing there in a black cloak, looking at the flowers. I knew who it was right off, before she turned and looked at me and lifted up her veil."" (202)",200,The Sound and the Fury,0,Jason Compson III's funeral,389,"April Sixth, 1928.",Jason recieves Caddy's letter (April sixth 1928),32,The Sound and the Fury,Jason drives Quentin Jr. to school (April sixth 1928)
,Caddy visits Jason's office,1912-01-01,1913-01-01,T,Jason Compson IV (narrator),205,205,1928-04-06,1928-04-06,180,264,F,"Occurs the day after the funeral: ""the next morning dam if she didn't walk right into the store, only she had sense enough to wear the veil and not speak to anybody. It was Saturday morning, because I was at the store, and she came right on back to the desk where I was, walking fast"" (205)",203,The Sound and the Fury,0,Dilsey lets Caddy see Quentin Jr. and Jason finds out because Benjy bellows,392,"April Sixth, 1928.",Jason recieves Caddy's letter (April sixth 1928),32,The Sound and the Fury,Jason drives Quentin Jr. to school (April sixth 1928)
,Caddy visits Jason's office,1912-01-01,1913-01-01,T,Jason Compson IV (narrator),206,206,1928-04-06,1928-04-06,180,264,F,"Occurs the day after the funeral: ""the next morning dam if she didn't walk right into the store, only she had sense enough to wear the veil and not speak to anybody. It was Saturday morning, because I was at the store, and she came right on back to the desk where I was, walking fast"" (205)",203,The Sound and the Fury,0,Dilsey lets Caddy see Quentin Jr. and Jason finds out because Benjy bellows,393,"April Sixth, 1928.",Jason recieves Caddy's letter (April sixth 1928),32,The Sound and the Fury,Jason drives Quentin Jr. to school (April sixth 1928)
,"Caddy wears perfume, which upsets Benjamin",1906-01-01,1906-01-01,T,Benjamin Compson (narrator),42,42,1928-04-07,1928-04-07,3,75,F,Dates collected from Ross and Polk,181,The Sound and the Fury,0,Changing Benjamin's name,336,"April Seventh, 1928","Luster looks for a quarter (April seventh, 1928)",40,The Sound and the Fury,Jason goes home and Quentin speaks up about Jason following her in his car (April sixth 1928)
,"Caddy wears perfume, which upsets Benjamin",1906-01-01,1906-01-01,T,Benjamin Compson (narrator),43,43,1928-04-07,1928-04-07,3,75,F,Dates collected from Ross and Polk,181,The Sound and the Fury,0,Changing Benjamin's name,337,"April Seventh, 1928","Luster looks for a quarter (April seventh, 1928)",40,The Sound and the Fury,Jason goes home and Quentin speaks up about Jason following her in his car (April sixth 1928)
,"Caddy wears perfume, which upsets Benjamin",1906-01-01,1906-01-01,T,Quentin Compson III (narrator),176,176,1910-06-02,1910-06-02,76,179,F,Dates collected from Ross and Polk,181,The Sound and the Fury,0,Changing Benjamin's name,445,"June Second, 1910",Quentin dresses up (June second 1910),29,The Sound and the Fury,Quentin fights Gerald (June second 1910)
,Changing Benjamin's name,1900-01-01,1900-01-01,T,Benjamin Compson (narrator),56,56,1928-04-07,1928-04-07,3,75,F,"(includes the decision to change his name, Caddy explaining it to Benjamin, and Jason cutting up the paper dolls) Dates collected from Ross and Polk",180,The Sound and the Fury,0,Damuddy's death,328,"April Seventh, 1928","Luster and Benjy eat cake for Benjy's birthday (April seventh, 1928)",42,The Sound and the Fury,"Benjy sees Quentin Jr. with the band member wearing the red tie in the swing (April seventh, 1928)"
,Changing Benjamin's name,1900-01-01,1900-01-01,T,Benjamin Compson (narrator),58,58,1928-04-07,1928-04-07,3,75,F,"(includes the decision to change his name, Caddy explaining it to Benjamin, and Jason cutting up the paper dolls) Dates collected from Ross and Polk",180,The Sound and the Fury,0,Damuddy's death,329,"April Seventh, 1928","Luster and Benjy eat cake for Benjy's birthday (April seventh, 1928)",42,The Sound and the Fury,"Benjy sees Quentin Jr. with the band member wearing the red tie in the swing (April seventh, 1928)"
,Changing Benjamin's name,1900-01-01,1900-01-01,T,Benjamin Compson (narrator),61,61,1928-04-07,1928-04-07,3,75,F,"(includes the decision to change his name, Caddy explaining it to Benjamin, and Jason cutting up the paper dolls) Dates collected from Ross and Polk",180,The Sound and the Fury,0,Damuddy's death,330,"April Seventh, 1928","Luster and Benjy eat cake for Benjy's birthday (April seventh, 1928)",42,The Sound and the Fury,"Benjy sees Quentin Jr. with the band member wearing the red tie in the swing (April seventh, 1928)"
,Changing Benjamin's name,1900-01-01,1900-01-01,T,Benjamin Compson (narrator),64,64,1928-04-07,1928-04-07,3,75,F,"(includes the decision to change his name, Caddy explaining it to Benjamin, and Jason cutting up the paper dolls) Dates collected from Ross and Polk",180,The Sound and the Fury,0,Damuddy's death,331,"April Seventh, 1928","Luster and Benjy eat cake for Benjy's birthday (April seventh, 1928)",42,The Sound and the Fury,"Benjy sees Quentin Jr. with the band member wearing the red tie in the swing (April seventh, 1928)"
,Changing Benjamin's name,1900-01-01,1900-01-01,T,Benjamin Compson (narrator),65,65,1928-04-07,1928-04-07,3,75,F,"(includes the decision to change his name, Caddy explaining it to Benjamin, and Jason cutting up the paper dolls) Dates collected from Ross and Polk",180,The Sound and the Fury,0,Damuddy's death,332,"April Seventh, 1928","Luster and Benjy eat cake for Benjy's birthday (April seventh, 1928)",42,The Sound and the Fury,"Benjy sees Quentin Jr. with the band member wearing the red tie in the swing (April seventh, 1928)"
,Changing Benjamin's name,1900-01-01,1900-01-01,T,Benjamin Compson (narrator),66,66,1928-04-07,1928-04-07,3,75,F,"(includes the decision to change his name, Caddy explaining it to Benjamin, and Jason cutting up the paper dolls) Dates collected from Ross and Polk",180,The Sound and the Fury,0,Damuddy's death,333,"April Seventh, 1928","Luster and Benjy eat cake for Benjy's birthday (April seventh, 1928)",42,The Sound and the Fury,"Benjy sees Quentin Jr. with the band member wearing the red tie in the swing (April seventh, 1928)"
,Changing Benjamin's name,1900-01-01,1900-01-01,T,Benjamin Compson (narrator),69,69,1928-04-07,1928-04-07,3,75,F,"(includes the decision to change his name, Caddy explaining it to Benjamin, and Jason cutting up the paper dolls) Dates collected from Ross and Polk",180,The Sound and the Fury,0,Damuddy's death,334,"April Seventh, 1928","The Compsons have supper (April seventh, 1928)",43,The Sound and the Fury,"Luster and Benjy eat cake for Benjy's birthday (April seventh, 1928)"
,Changing Benjamin's name,1900-01-01,1900-01-01,T,Benjamin Compson (narrator),70,70,1928-04-07,1928-04-07,3,75,F,"(includes the decision to change his name, Caddy explaining it to Benjamin, and Jason cutting up the paper dolls) Dates collected from Ross and Polk",180,The Sound and the Fury,0,Damuddy's death,335,"April Seventh, 1928","The Compsons have supper (April seventh, 1928)",43,The Sound and the Fury,"Luster and Benjy eat cake for Benjy's birthday (April seventh, 1928)"
,Changing Benjamin's name,1900-01-01,1900-01-01,T,Quentin Compson III (narrator),88,88,1910-06-02,1910-06-02,76,179,F,"(includes the decision to change his name, Caddy explaining it to Benjamin, and Jason cutting up the paper dolls) Dates collected from Ross and Polk",180,The Sound and the Fury,0,Damuddy's death,442,"June Second, 1910",Quentin sends his note to his father (June second 1910),23,The Sound and the Fury,Quentin writes notes to his father and Shreve (June second 1910)
,Changing Benjamin's name,1900-01-01,1900-01-01,T,Quentin Compson III (narrator),89,89,1910-06-02,1910-06-02,76,179,F,"(includes the decision to change his name, Caddy explaining it to Benjamin, and Jason cutting up the paper dolls) Dates collected from Ross and Polk",180,The Sound and the Fury,0,Damuddy's death,443,"June Second, 1910",Quentin sends his note to his father (June second 1910),23,The Sound and the Fury,Quentin writes notes to his father and Shreve (June second 1910)
,Changing Benjamin's name,1900-01-01,1900-01-01,T,Quentin Compson III (narrator),170,170,1910-06-02,1910-06-02,76,179,F,"(includes the decision to change his name, Caddy explaining it to Benjamin, and Jason cutting up the paper dolls) Dates collected from Ross and Polk",180,The Sound and the Fury,0,Damuddy's death,444,"June Second, 1910",Quentin fights Gerald (June second 1910),28,The Sound and the Fury,Quentin gets arrested for taking the little Italian girl (June second 1910)
,Cholly burns down the Breedlove’s house,1940-10-01,1940-12-22,T,Claudia (narrator),17,17,1943-01-01,1993-01-01,9,32,T,"After the Breedloves fight about coal, but before ""Winter"" (59)",226,The Bluest Eye,1,Pecola prays for blue eyes (each night),613,"""Nuns go by quiet as lust, and drunken men and sober eyes sing in the lobby of the Greek hotel."" [Autumn 1]",Not before 1943 (Claudia),47,The Bluest Eye,_CHOOSE A TELLING TIME
