source,target,startPage,Character 1,Character 2,type,weight,category
2511.0,1711.0,18,,,,,
2511.0,1713.0,18,,,,,
1713.0,1710.0,18,,,,,
1711.0,1710.0,18,,,,,
897.0,1715.0,19,,,,,
897.0,1759.0,19,,,,,
897.0,902.0,19,,,,,
897.0,899.0,19,,,,,
897.0,904.0,19,,,,,
897.0,901.0,19,,,,,
897.0,1716.0,19,,,,,
897.0,903.0,19,,,,,
897.0,905.0,19,,,,,
897.0,906.0,19,,,,,
897.0,907.0,19,,,,,
899.0,902.0,19,,,,,
899.0,1715.0,19,,,,,
899.0,1759.0,19,,,,,
899.0,904.0,19,,,,,
899.0,901.0,19,,,,,
899.0,1716.0,19,,,,,
899.0,903.0,19,,,,,
906.0,907.0,19,,,,,
905.0,907.0,19,,,,,
905.0,906.0,19,,,,,
903.0,907.0,19,,,,,
903.0,906.0,19,,,,,
903.0,905.0,19,,,,,
1716.0,907.0,19,,,,,
1716.0,906.0,19,,,,,
1716.0,905.0,19,,,,,
1716.0,903.0,19,,,,,
901.0,907.0,19,,,,,
901.0,906.0,19,,,,,
901.0,905.0,19,,,,,
901.0,903.0,19,,,,,
901.0,1716.0,19,,,,,
904.0,907.0,19,,,,,
904.0,906.0,19,,,,,
904.0,905.0,19,,,,,
904.0,903.0,19,,,,,
904.0,1716.0,19,,,,,
904.0,901.0,19,,,,,
1759.0,907.0,19,,,,,
1759.0,906.0,19,,,,,
1759.0,905.0,19,,,,,
1759.0,903.0,19,,,,,
1759.0,1716.0,19,,,,,
1759.0,901.0,19,,,,,
1759.0,904.0,19,,,,,
1715.0,907.0,19,,,,,
1715.0,906.0,19,,,,,
1715.0,905.0,19,,,,,
1715.0,903.0,19,,,,,
899.0,905.0,19,,,,,
899.0,906.0,19,,,,,
899.0,907.0,19,,,,,
902.0,1715.0,19,,,,,
902.0,1759.0,19,,,,,
902.0,904.0,19,,,,,
902.0,901.0,19,,,,,
902.0,1716.0,19,,,,,
902.0,903.0,19,,,,,
902.0,905.0,19,,,,,
902.0,906.0,19,,,,,
902.0,907.0,19,,,,,
1715.0,1759.0,19,,,,,
1715.0,904.0,19,,,,,
1715.0,901.0,19,,,,,
1715.0,1716.0,19,,,,,
899.0,2512.0,20,,,,,
899.0,1715.0,20,,,,,
899.0,1712.0,20,,,,,
897.0,1712.0,20,,,,,
