Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Participating Characters,Cholly Breedlove,Cholly's Mother,Aunt Jimmy,White men,Darlene,Pauline Breedlove,Pecola Breedlove,Mr. Henry,Claudia,Frieda,Mrs. MacTeer (Claudia's Mother),Mr. MacTeer (Claudia's Father),Maureen Peal,Louis Junior,Geraldine,Soaphead Church,Pecola's Baby
13,Pauline and Cholly fight (about coal),1940-10-01,1940-10-01,T,3rd Person Narrator (The Bluest Eye),40,40,,,,,,"""on a Saturday morning in October"" (39)",,T,,,,,T,T,,,,,,,,,,
13,Pauline and Cholly fight (about coal),1940-10-01,1940-10-01,T,3rd Person Narrator (The Bluest Eye),44,44,,,,,,"""on a Saturday morning in October"" (39)",,T,,,,,T,T,,,,,,,,,,
16,Pecola prays for blue eyes (each night),1940-10-01,1940-10-01,T,3rd Person Narrator (The Bluest Eye),46,46,,,,,,"""on a Saturday morning in October""(39)",,,,,,,,T,,,,,,,,,,
13,Pauline and Cholly fight (about coal),1940-10-01,1940-10-01,T,3rd Person Narrator (The Bluest Eye),43,43,,,,,,"""on a Saturday morning in October"" (39)",,T,,,,,T,T,,,,,,,,,,
13,Pauline and Cholly fight (about coal),1940-10-01,1940-10-01,T,3rd Person Narrator (The Bluest Eye),41,41,,,,,,"""on a Saturday morning in October"" (39)",,T,,,,,T,T,,,,,,,,,,
18,Junior tricks Pecola and blames her for killing the cat,1941-03-01,1941-03-01,T,3rd Person Narrator (The Bluest Eye),89,89,,,,,,"""Outside, the March wind blew into the rip in her dress"" (93)",,,,,,,,T,,,,,,,T,T,,
18,Junior tricks Pecola and blames her for killing the cat,1941-03-01,1941-03-01,T,3rd Person Narrator (The Bluest Eye),90,90,,,,,,"""Outside, the March wind blew into the rip in her dress"" (93)",,,,,,,,T,,,,,,,T,T,,
18,Junior tricks Pecola and blames her for killing the cat,1941-03-01,1941-03-01,T,3rd Person Narrator (The Bluest Eye),94,94,,,,,,"""Outside, the March wind blew into the rip in her dress"" (93)",,,,,,,,T,,,,,,,T,T,,
18,Junior tricks Pecola and blames her for killing the cat,1941-03-01,1941-03-01,T,3rd Person Narrator (The Bluest Eye),91,91,,,,,,"""Outside, the March wind blew into the rip in her dress"" (93)",,,,,,,,T,,,,,,,T,T,,
19,Pecola asks Soaphead Church for blue eyes,1941-03-20,1941-06-21,T,3rd Person Narrator (The Bluest Eye),182,182,,,,,,"Occurs in on""one late hot afternoon"" (173) the section ""Spring""",,,,,,,,T,,,,,,,,,T,
19,Pecola asks Soaphead Church for blue eyes,1941-03-20,1941-06-21,T,3rd Person Narrator (The Bluest Eye),176,176,,,,,,"Occurs in on""one late hot afternoon"" (173) the section ""Spring""",,,,,,,,T,,,,,,,,,T,
19,Pecola asks Soaphead Church for blue eyes,1941-03-20,1941-06-21,T,3rd Person Narrator (The Bluest Eye),175,175,,,,,,"Occurs in on""one late hot afternoon"" (173) the section ""Spring""",,,,,,,,T,,,,,,,,,T,
19,Pecola asks Soaphead Church for blue eyes,1941-03-20,1941-06-21,T,3rd Person Narrator (The Bluest Eye),174,174,,,,,,"Occurs in on""one late hot afternoon"" (173) the section ""Spring""",,,,,,,,T,,,,,,,,,T,
19,Pecola asks Soaphead Church for blue eyes,1941-03-20,1941-06-21,T,3rd Person Narrator (The Bluest Eye),173,173,,,,,,"Occurs in on""one late hot afternoon"" (173) the section ""Spring""",,,,,,,,T,,,,,,,,,T,
21,Cholly rapes Pecola and impregnates her,1941-03-20,1941-06-21,T,3rd Person Narrator (The Bluest Eye),161,161,,,,,,"""in the thin light of spring""(161)",,T,,,,,,T,,,,,,,,,,
21,Cholly rapes Pecola and impregnates her,1941-03-20,1941-06-21,T,3rd Person Narrator (The Bluest Eye),163,163,,,,,,"""in the thin light of spring""(161)",,T,,,,,,T,,,,,,,,,,
21,Cholly rapes Pecola and impregnates her,1941-03-20,1941-06-21,T,3rd Person Narrator (The Bluest Eye),162,162,,,,,,"""in the thin light of spring""(161)",,T,,,,,,T,,,,,,,,,,
24,Pecola imagines herself a friend,1941-09-01,1941-09-22,T,3rd Person Narrator (The Bluest Eye),204,204,,,,,,"""After the first day of school""(197)",,,,,,,,T,,,,,,,,,,
11,Mr. Henry moves in with the Macteers,1940-09-22,1940-12-22,T,Claudia,12,12,1943-01-01,1943-01-01,9,32,T,"""It was autumn too when Mr. Henry came"" (12)",,,,,,,,,T,T,T,T,T,,,,,
11,Mr. Henry moves in with the Macteers,1940-09-22,1940-12-22,T,Claudia,13,13,1943-01-01,1943-01-01,9,32,T,"""It was autumn too when Mr. Henry came"" (12)",,,,,,,,,T,T,T,T,T,,,,,
11,Mr. Henry moves in with the Macteers,1940-09-22,1940-12-22,T,Claudia,15,15,1943-01-01,1943-01-01,9,32,T,"""It was autumn too when Mr. Henry came"" (12)",,,,,,,,,T,T,T,T,T,,,,,
12,Pecola starts mensturating,1940-10-01,1940-12-22,T,Claudia,32,32,1943-01-01,1943-01-01,9,32,T,"Occurs in the period of time Pecola lives with the Macteers and in the section ""Autumn""",,,,,,,,T,,T,T,T,,,,,,
14,Cholly burns down the Breedlove's house,1940-10-01,1940-12-22,T,Claudia,17,17,1943-01-01,1943-01-01,9,32,T,"After the Breedloves fight about coal, but before ""Winter"" (59)",,T,,,,,T,T,,,,,,,,,,
15,Pecola moves in with the Macteers,1940-10-01,1940-12-22,T,Claudia,16,16,1943-01-01,1943-01-01,9,32,T,"Pecola moves in around the same time as Mr. Henry: ""Mama had told us two days earlier that a 'case' was coming- a girl who had no place to go"" (16), and it must be after October as the Breedlove's house is still intact in October (39)",,,,,,,,T,,T,T,T,T,,,,,
