id,Type of Relationship,Character 1,Character 2,Is Reciprocal?,Narrative Container,Start Page,End Page
238,"Exchange","Miss Caroline Fisher","Walter Cunningham Jr.","1","2","25","26"
239,"Exchange","Scout Finch","Walter Cunningham Jr.","1","2","25","26"
240,"Exchange","Walter Cunningham Jr.","The first grade","1","2","25","26"
241,"Knows","Scout Finch","The Cunninghams","1","2","26","27"
242,"Knows of","Miss Caroline Fisher","The Cunninghams","0","2","26","26"
243,"Knows","Scout Finch","Walter Cunningham Sr.","1","2","26","28"
244,"Exchange","Atticus Finch","Walter Cunningham Sr.","1","2","26","28"
245,"Knows","Atticus Finch","The Cunninghams","1","2","26","27"
246,"Exchange","Scout Finch","Jem Finch","1","2","27","27"
247,"Exchange","Scout Finch","Atticus Finch","1","2","27","27"
248,"Knows","Jem Finch","Walter Cunningham Sr.","1","2","27","28"
249,"Knows of","Atticus Finch","Farmers","1","2","27","27"
250,"Knows of","Scout Finch","Farmers","1","2","27","27"
251,"Knows of","Scout Finch","Doctors","1","2","27","27"
252,"Knows of","Scout Finch","Dentists","1","2","27","27"
253,"Knows of","Scout Finch","Lawyers","1","2","27","27"
254,"Knows of","Atticus Finch","Doctors","1","2","27","27"
255,"Knows of","Atticus Finch","Dentists","1","2","27","27"
256,"Knows of","Atticus Finch","Lawyers","1","2","27","27"
257,"Exchange","Scout Finch","Atticus Finch","1","2","28","28"
258,"Exchange","Miss Caroline Fisher","Walter Cunningham Jr.","1","2","28","28"
259,"Knows","Atticus Finch","Dr. Reynolds","1","2","28","28"
260,"Knows","Scout Finch","Dr. Reynolds","1","2","28","28"
261,"Knows","Atticus Finch","Jem Finch","1","2","28","28"
262,"Knows","Scout Finch","Jem Finch","1","2","28","28"
263,"Exchange","Scout Finch","Walter Cunningham Jr.","1","2","28","29"
264,"Exchange","Scout Finch","The first grade","1","2","28","29"
265,"Exchange","Scout Finch","Miss Blount","1","2","28","29"
266,"Exchange","Miss Blount","Miss Caroline Fisher","1","2","28","29"
267,"Exchange","Miss Blount","The first grade","1","2","28","29"
268,"Knows","Miss Blount","The sixth grade","1","2","29","29"
269,"Knows","Miss Caroline Fisher","The sixth grade","1","2","29","29"
270,"Knows","The first grade","The sixth grade","1","2","29","29"
271,"Knows","Scout Finch","The sixth grade","1","2","29","29"
273,"Exchange","Alexandra Finch","Jem Finch","1","15","194","195"
274,"Exchange","Atticus Finch","Heck Tate","1","15","194","194"
275,"Exchange","Heck Tate","Scout Finch","1","15","194","194"
276,"Knows","Heck Tate","Tom Robinson","1","15","194","194"
277,"Knows","Atticus Finch","Tom Robinson","1","15","194","195"
278,"Knows","Atticus Finch","Tom Robinson's Trial","1","15","194","194"
279,"Exchange","Link Deas","Atticus Finch","1","15","194","195"
280,"Exchange","Link Deas","Heck Tate","1","15","194","194"
281,"Knows","Link Deas","Old Sarum Bunch","1","15","194","194"
282,"Knows","Atticus Finch","Old Sarum Bunch","1","15","194","194"
283,"Exchange","Atticus Finch","""someone""","1","15","194","194"
284,"Exchange","Atticus Finch","Scout Finch","1","15","195","197"
285,"Exchange","Atticus Finch","Jem Finch","1","15","195","196"
286,"Knows of","Atticus Finch","Henry W. Grady","0","15","195","195"
287,"Knows of","Jem Finch","Henry W. Grady","0","15","195","195"
288,"Exchange","Link Deas","Scout Finch","1","15","195","195"
289,"Knows","Heck Tate","Link Deas","1","15","195","195"
290,"Knows","Heck Tate","Dr. Reynolds","1","15","195","195"
291,"Knows","Heck Tate","Mr. Avery","1","15","195","195"
292,"Knows","Link Deas","Dr. Reynolds","1","15","195","195"
293,"Knows","Link Deas","Mr. Avery","1","15","195","195"
294,"Knows","Mr. Avery","Dr. Reynolds","1","15","195","195"
295,"Knows","Jem Finch","Heck Tate","1","15","196","196"
296,"Knows","Jem Finch","Link Deas","1","15","196","196"
297,"Knows","Jem Finch","Dr. Reynolds","1","15","196","196"
298,"Knows","Jem Finch","Mr. Avery","1","15","196","196"
299,"Knows","Atticus Finch","Heck Tate","1","15","196","196"
300,"Knows","Atticus Finch","Link Deas","1","15","196","196"
301,"Knows","Atticus Finch","Dr. Reynolds","1","15","196","196"
302,"Knows","Atticus Finch","Mr. Avery","1","15","196","196"
303,"Knows of","Atticus Finch","Ku Klux Klan","0","15","196","196"
304,"Knows of","Atticus Finch","Sam Levy","0","15","196","196"
305,"Exchange","Ku Klux Klan","Sam Levy","1","15","196","196"
306,"Knows","Scout Finch","The Levy family","1","15","196","196"
307,"Knows","Scout Finch","Dill Harris","1","15","196","196"
308,"Exchange","Atticus Finch","Alexandra Finch","1","15","196","197"
309,"Exchange","Scout Finch","Jem Finch","1","15","195","197"
310,"Knows","Jem Finch","Atticus Finch","1","15","197","197"
311,"Knows","Jem Finch","Alexandra Finch","1","15","197","197"
312,"Knows of","Jem Finch","Tom Robinson","0","15","197","197"
313,"Knows","Atticus Finch","Tom Robinson","1","15","197","197"
314,"Knows of","Alexandra Finch","Tom Robinson","0","15","197","197"
315,"Knows","Atticus Finch","Heck Tate","1","15","197","197"
316,"Knows","Atticus Finch","Mr. Underwood","1","15","197","197"
317,"Knows","Heck Tate","Mr. Underwood","1","15","197","197"
318,"Knows","Atticus Finch","God","1","15","197","197"
319,"Knows","Alexandra Finch","Atticus Finch","1","15","198","198"
320,"Knows","Alexandra Finch","Jem Finch","1","15","198","199"
321,"Knows","Alexandra Finch","Dill Harris","1","15","198","198"
322,"Exchange","Atticus Finch","Jem Finch","1","15","198","198"
323,"Knows","Atticus Finch","Dill Harris","1","15","198","198"
324,"Knows","Jem Finch","Dill Harris","1","15","198","198"
325,"Exchange","Dill Harris","Scout Finch","1","15","198","199"
326,"Knows of","Dill Harris","Boo Radley","1","15","198","198"
327,"Knows of","Scout Finch","Boo Radley","1","15","198","198"
328,"Exchange","Atticus Finch","Scout Finch","1","15","198","198"
329,"Exchange","Jem Finch","Scout Finch","1","15","198","202"
330,"Exchange","Scout Finch","Alexandra Finch","1","15","199","199"
331,"Exchange","Dill Harris","Jem Finch","1","15","199","202"
332,"Knows","Scout Finch","Calpurnia","1","15","199","199"
333,"Knows","Calpurnia","Jem Finch","1","15","199","199"
334,"Knows","Jem Finch","Mrs. Dubose","1","15","199","199"
335,"Knows","Dill Harris","Mrs. Dubose","1","15","199","199"
336,"Knows","Jem Finch","Atticus Finch","1","15","200","201"
337,"Knows","Jem Finch","Mr. Underwood","1","15","200","200"
338,"Knows","Atticus Finch","Mr. Underwood","1","15","200","200"
339,"Exchange","Atticus Finch","Scout Finch","1","15","200","207"
340,"Knows","Atticus Finch","Cousin Joshua St. Clair","1","15","200","200"
341,"Exchange","Dill Harris","Scout Finch","1","15","201","201"
342,"Knows","Atticus Finch","Heck Tate","1","15","202","202"
343,"Knows","Walter Cunningham Sr.","Heck Tate","1","15","202","202"
344,"Exchange","Atticus Finch","Walter Cunningham Sr.","1","15","202","202"
345,"Exchange","Atticus Finch","Old Sarum Bunch","1","15","202","204"
346,"Exchange","Walter Cunningham Sr.","Old Sarum Bunch","1","15","202","203"
347,"Knows","Dill Harris","Jem Finch","1","15","203","203"
348,"Exchange","Scout Finch","Old Sarum Bunch","1","15","203","204"
349,"Knows","Scout Finch","Heck Tate","1","15","203","203"
350,"Knows","Scout Finch","Mr. Avery","1","15","203","203"
351,"Knows","Scout Finch","Mr. Underwood","1","15","203","203"
352,"Knows","Atticus Finch","Dill Harris","1","15","203","203"
353,"Exchange","Atticus Finch","Jem Finch","1","15","203","204"
354,"Exchange","Old Sarum Bunch","Jem Finch","1","15","203","204"
355,"Exchange","Scout Finch","Walter Cunningham Sr.","1","15","204","206"
356,"Knows","Scout Finch","Walter Cunningham Jr.","1","15","205","206"
357,"Knows","Walter Cunningham Jr.","Walter Cunningham Sr.","1","15","205","206"
358,"Knows","Scout Finch","Jem Finch","1","15","205","205"
359,"Knows","Atticus Finch","Jem Finch","1","15","205","205"
360,"Knows","Atticus Finch","Walter Cunningham Jr.","1","15","205","205"
361,"Knows","Jem Finch","Walter Cunningham Jr.","1","15","205","205"
362,"Exchange","Scout Finch","Old Sarum Bunch","1","15","205","206"
363,"Exchange","Walter Cunningham Sr.","Old Sarum Bunch","1","15","206","206"
