,id_cont,Title <br />(100 chars),Level <br />(choose),Start Page_cont,End Page_cont,Narrator <br />(choose),Protagonist <br />(choose),Embed. Type <br />(choose),id_rel,Type of Relationship <br />(choose),Character 1 <br />(choose),Character 2 <br />(choose),Is Reciprocal? <br />(choose),Narrative Container <br />(choose),Start Page_rel,End Page_rel,index
60,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,236,Knows of,Evelina Harp,William Hotchkiss,0,Mustache Maude,17,17.0,
61,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,237,Knows of,Evelina Harp,Emil Buckendorf,0,Mustache Maude,17,17.0,
62,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,248,Knows of,Evelina Harp,Buckendorf Family,0,Mustache Maude,17,17.0,
63,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,261,Knows of,Evelina Harp,Woman (murdered a couple farms over),0,Mustache Maude,17,18.0,
64,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,262,Knows of,Evelina Harp,Husband (of the woman murdered a couple farms over,0,Mustache Maude,17,18.0,
65,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,263,Knows of,Evelina Harp,Neighbours (of Maude Black),0,Mustache Maude,17,18.0,
66,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,268,Knows of,Evelina Harp,Ott Black,0,Mustache Maude,18,18.0,
67,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,269,Knows of,Evelina Harp,Man (that Ott shot in the leg),0,Mustache Maude,18,18.0,
68,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,272,Knows of,Evelina Harp,Doctor (Maude sent for),0,Mustache Maude,18,18.0,
69,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,348,Knows,Evelina Harp,Junesse Malaterre,0,Mustache Maude,19,19.0,
70,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,351,Knows,Evelina Harp,Clemence Harp,1,Mustache Maude,19,19.0,
71,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,354,Knows,Evelina Harp,Geraldine Milk,1,Mustache Maude,19,19.0,
72,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,357,Knows,Evelina Harp,Uncle Whitey,1,Mustache Maude,19,19.0,
73,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,360,Knows of,Evelina Harp,Seraph and Junesse's other children,0,Mustache Maude,19,19.0,
74,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,362,Knows,Evelina Harp,Edward Harp,1,Mustache Maude,19,19.0,
75,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,363,Knows,Evelina Harp,Joseph Harp,1,Mustache Maude,19,19.0,
76,34,Story,level 3 (sub-sub-section),19,20,Evelina Harp,[NULL],[NULL],366,Knows of,Evelina Harp,Ott Black,0,Story,19,19.0,
