Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Essun,Damaya,Syenite,Alabaster,Hoa,Schaffa,,,,,,
5,Damaya and Binof find the pit,16-07-2814,16-07-2814,T,3rd-Person,320,320,,,297,331,T,Tapering to a point at the very bottom.,F,T,F,F,F,F,,,,,,
5,Damaya and Binof find the pit,16-07-2814,16-07-2814,T,Hoa,390,390,01-01-2844,01-01-2844,297,331,T,"""...that socket, which we found in the Fulcrum.""",F,T,F,F,F,F,,,,,,
6,Damaya becomes Syenite,16-07-2814,16-07-2814,T,Hoa,172,172,01-01-2844,01-01-2844,172,190,T,"You could become someone new, maybe.",F,T,T,F,F,T,,,,,,
6,Damaya becomes Syenite,16-07-2814,16-07-2814,T,3rd-Person,331,331,,,297,331,T,"""Syenite.""",F,T,T,F,F,T,,,,,,
7,Syenite apprentices with Alabaster,01-06-2827,01-06-2827,T,3rd-Person,62,62,,,61,76,T,"""I appreicate that you have assigned me a mentor, senior.""",F,F,T,T,F,F,,,,,,
8,Syenite and Alabaster visit the node maintiner,21-06-2827,21-06-2827,T,3rd-Person,139,139,,,116,149,T,"The node maintainer is seated in it, anyway, so it must be",F,F,T,T,F,F,,,,,,
8,Syenite and Alabaster visit the node maintiner,21-06-2827,21-06-2827,T,3rd-Person,140,140,,,116,149,T,...a body alive like this...,F,F,T,T,F,F,,,,,,
8,Syenite and Alabaster visit the node maintiner,21-06-2827,21-06-2827,T,3rd-Person,141,141,,,116,149,T,"Syen can't take her eyes off the body's, the boy's, face.",F,F,T,T,F,F,,,,,,
8,Syenite and Alabaster visit the node maintiner,21-06-2827,21-06-2827,T,3rd-Person,142,142,,,116,149,T,"""...keep him alive enough to function...""",F,F,T,T,F,F,,,,,,
8,Syenite and Alabaster visit the node maintiner,21-06-2827,21-06-2827,T,3rd-Person,143,143,,,116,149,T,It's wrong. It's all so wrong.,F,F,T,T,F,F,,,,,,
8,Syenite and Alabaster visit the node maintiner,21-06-2827,21-06-2827,T,3rd-Person,144,144,,,116,149,T,"After a moment, Alabaster turns and leaves the room.",F,F,T,T,F,F,,,,,,
8,Syenite and Alabaster visit the node maintiner,21-06-2827,21-06-2827,T,3rd-Person,145,145,,,116,149,T,...the boy in the wire chare...,F,F,T,T,F,F,,,,,,
8,Syenite and Alabaster visit the node maintiner,21-06-2827,21-06-2827,T,3rd-Person,147,147,,,116,149,T,"""That thing in the chair wasn't a child.""",F,F,T,T,F,F,,,,,,
8,Syenite and Alabaster visit the node maintiner,21-06-2827,21-06-2827,T,3rd-Person,148,148,,,116,149,T,"...his half-dead, half-grown son...",F,F,T,T,F,F,,,,,,
8,Syenite and Alabaster visit the node maintiner,21-06-2827,21-06-2827,T,3rd-Person,169,169,,,152,171,T,Or to save his son?,F,F,T,T,F,F,,,,,,
8,Syenite and Alabaster visit the node maintiner,21-06-2827,21-06-2827,T,3rd-Person,254,254,,,244,263,T,...the dead child in the node station...,F,F,T,T,F,F,,,,,,
8,Syenite and Alabaster visit the node maintiner,21-06-2827,21-06-2827,T,3rd-Person,433,433,,,413,443,T,A wire-frame chair in a darkened node station...,F,F,T,T,F,F,,,,,,
9,Somebody poisons Alabaster,28-06-2827,28-06-2827,T,3rd-Person,162,162,,,152,171,T,She finds his mouth full of spit; he's drowning on his own damn drool.,F,F,T,T,F,F,,,,,,
9,Somebody poisons Alabaster,28-06-2827,28-06-2827,T,3rd-Person,163,163,,,152,171,T,He's struggling,F,F,T,T,F,F,,,,,,
9,Somebody poisons Alabaster,28-06-2827,28-06-2827,T,3rd-Person,164,164,,,152,171,T,...she hears Alabaster make a harsh sound...,F,F,T,T,F,F,,,,,,
9,Somebody poisons Alabaster,28-06-2827,28-06-2827,T,3rd-Person,165,165,,,152,171,T,Alabaster makes a harsh sound...,F,F,T,T,F,F,,,,,,
9,Somebody poisons Alabaster,28-06-2827,28-06-2827,T,3rd-Person,166,166,,,152,171,T,a contaminant,F,F,T,T,F,F,,,,,,
9,Somebody poisons Alabaster,28-06-2827,28-06-2827,T,3rd-Person,169,169,,,152,171,T,...more than enough to kill one annoying middle-aged rogga.,F,F,T,T,F,F,,,,,,
9,Somebody poisons Alabaster,28-06-2827,28-06-2827,T,3rd-Person,170,170,,,152,171,T,Could it have been an accident?,F,F,T,T,F,F,,,,,,
9,Somebody poisons Alabaster,28-06-2827,28-06-2827,T,3rd-Person,212,212,,,212,231,T,"""My colleague is ill""",F,F,T,T,F,F,,,,,,
9,Somebody poisons Alabaster,28-06-2827,28-06-2827,T,3rd-Person,214,214,,,212,231,T,...who in Allia might want Alabaster dead...,F,F,T,T,F,F,,,,,,
9,Somebody poisons Alabaster,28-06-2827,28-06-2827,T,3rd-Person,248,248,,,244,263,T,...where someone's already tried to kill one of us...,F,F,T,T,F,F,,,,,,
9,Somebody poisons Alabaster,28-06-2827,28-06-2827,T,3rd-Person,249,249,,,244,263,T,...his near-death brush,F,F,T,T,F,F,,,,,,
10,Syenite moves the garnet obelisk,28-06-2827,28-06-2827,T,3rd-Person,227,227,,,212,231,T,So she stabs the fulcrum of her power into the earth...,F,F,T,F,F,F,,,,,,
10,Syenite moves the garnet obelisk,28-06-2827,28-06-2827,T,3rd-Person,228,228,,,212,231,T,Something like what she felt last night...,F,F,T,F,F,F,,,,,,
10,Syenite moves the garnet obelisk,28-06-2827,28-06-2827,T,3rd-Person,229,229,,,212,231,T,The thing isn't doing what she wants it to do.,F,F,T,F,F,F,,,,,,
10,Syenite moves the garnet obelisk,28-06-2827,28-06-2827,T,3rd-Person,230,230,,,212,231,T,It's different from the one Syen saw last night.,F,F,T,F,F,F,,,,,,
10,Syenite moves the garnet obelisk,28-06-2827,28-06-2827,T,3rd-Person,231,231,,,212,231,T,...a broken obelisk that has lain unknown on the floor...,F,F,T,F,F,F,,,,,,
10,Syenite moves the garnet obelisk,28-06-2827,28-06-2827,T,3rd-Person,244,244,,,244,263,T,...the garnet obelisk...,F,F,T,F,F,F,,,,,,
10,Syenite moves the garnet obelisk,28-06-2827,28-06-2827,T,3rd-Person,246,246,,,244,263,T,..the effect tht an obelisk so close will have on Allia's population.,F,F,T,F,F,F,,,,,,
10,Syenite moves the garnet obelisk,28-06-2827,28-06-2827,T,3rd-Person,247,247,,,244,263,T,No one needs to know that you can connect to the obelisks.,F,F,T,F,F,F,,,,,,
10,Syenite moves the garnet obelisk,28-06-2827,28-06-2827,T,3rd-Person,249,249,,,244,263,T,...ever since Syenite raised it.,F,F,T,F,F,F,,,,,,
10,Syenite moves the garnet obelisk,28-06-2827,28-06-2827,T,3rd-Person,251,251,,,244,263,T,"""You raised it.""",F,F,T,F,F,F,,,,,,
10,Syenite moves the garnet obelisk,28-06-2827,28-06-2827,T,3rd-Person,252,252,,,244,263,T,"""It raised itself.""",F,F,T,F,F,F,,,,,,
10,Syenite moves the garnet obelisk,28-06-2827,28-06-2827,T,3rd-Person,256,256,,,244,263,T,"""I did this job, Guardian. Is there some problem with my work?""",F,F,T,F,F,F,,,,,,
11,Syenite shatters the garnet obelisk,05-07-2827,05-07-2827,T,3rd-Person,263,263,,,244,263,T,And then / the obelisk / shatters.,F,F,T,T,F,F,,,,,,
11,Syenite shatters the garnet obelisk,05-07-2827,05-07-2827,T,3rd-Person,286,286,,,277,296,T,"""And since all it took to reactive it was a four-ringer...""",F,F,T,T,F,F,,,,,,
11,Syenite shatters the garnet obelisk,05-07-2827,05-07-2827,T,3rd-Person,386,386,,,362,387,T,...Allia before her folly destroyed it.,F,F,T,T,F,F,,,,,,
11,Syenite shatters the garnet obelisk,05-07-2827,05-07-2827,T,Hoa,448,448,01-01-2844,01-01-2844,444,449,T,"""You drew on the garnet at Allia.""",F,F,T,T,F,F,,,,,,
12,Antimony transports Syenite and Alabaster to Meov,05-07-2827,05-07-2827,T,3rd-Person,280,280,,,277,296,T,"""I brought you.""",F,F,T,T,F,F,,,,,,
12,Antimony transports Syenite and Alabaster to Meov,05-07-2827,05-07-2827,T,3rd-Person,281,281,,,277,296,T,"""I saved your life.""",F,F,T,T,F,F,,,,,,
12,Antimony transports Syenite and Alabaster to Meov,05-07-2827,05-07-2827,T,3rd-Person,282,282,,,277,296,T,"""Why did she bring us here?""",F,F,T,T,F,F,,,,,,
12,Antimony transports Syenite and Alabaster to Meov,05-07-2827,05-07-2827,T,3rd-Person,283,283,,,277,296,T,"""If she saved our lives?""",F,F,T,T,F,F,,,,,,
13,"Syenite, Alabaster, and Innon become a polycule",08-07-2827,08-07-2827,T,3rd-Person,360,360,,,344,360,T,Syenite falls asleep like this.,F,F,T,T,F,F,,,,,,
14,Syenite gives birth to Corundum,,,T,3rd-Person,362,362,,,362,387,T,"""...when you just had a baby.""",F,F,T,T,F,F,,,,,,
14,Syenite gives birth to Corundum,01-04-2828,01-04-2828,T,3rd-Person,365,365,,,362,387,T,"""Corundum is your son, Syenite.""",F,F,T,T,F,F,,,,,,
15,Syenite sees a Guardian in Allia,01-04-2830,01-04-2830,T,3rd-Person,387,387,,,362,387,T,...the walking figure is wearing a burgundy uniform.,F,F,T,F,F,F,,,,,,
15,Syenite sees a Guardian in Allia,01-04-2830,01-04-2830,T,3rd-Person,419,419,,,413,443,T,"""I thought I saw a Guardian,"" she says after a while.",F,F,T,F,F,F,,,,,,
16,The Guardians attack Meov,06-04-2830,06-04-2830,T,3rd-Person,422,422,,,413,443,T,Of course it cannot last.,F,F,T,T,F,T,,,,,,
16,The Guardians attack Meov,06-04-2830,06-04-2830,T,3rd-Person,424,424,,,413,443,T,Wearing burgundy.,F,F,T,T,F,T,,,,,,
16,The Guardians attack Meov,06-04-2830,06-04-2830,T,3rd-Person,425,425,,,413,443,T,"""Guardians.""",F,F,T,T,F,T,,,,,,
16,The Guardians attack Meov,06-04-2830,06-04-2830,T,3rd-Person,426,426,,,413,443,T,...she's going to show these rusting Guardians...,F,F,T,T,F,T,,,,,,
16,The Guardians attack Meov,06-04-2830,06-04-2830,T,3rd-Person,427,427,,,413,443,T,The wall splinters...,F,F,T,T,F,T,,,,,,
16,The Guardians attack Meov,06-04-2830,06-04-2830,T,3rd-Person,428,428,,,413,443,T,The ships are much closer...,F,F,T,T,F,T,,,,,,
16,The Guardians attack Meov,06-04-2830,06-04-2830,T,3rd-Person,429,429,,,413,443,T,But the other two ships have split up...,F,F,T,T,F,T,,,,,,
16,The Guardians attack Meov,06-04-2830,06-04-2830,T,3rd-Person,430,430,,,413,443,T,So she throws herself down.,F,F,T,T,F,T,,,,,,
16,The Guardians attack Meov,06-04-2830,06-04-2830,T,3rd-Person,431,431,,,413,443,T,The finger of rock has landed squarely on the ship.,F,F,T,T,F,T,,,,,,
16,The Guardians attack Meov,06-04-2830,06-04-2830,T,3rd-Person,432,432,,,413,443,T,"""I took out the other ship""",F,F,T,T,F,T,,,,,,
16,The Guardians attack Meov,06-04-2830,06-04-2830,T,3rd-Person,433,433,,,413,443,T,The stone eater has made his body pass through solid stone...,F,F,T,T,F,T,,,,,,
16,The Guardians attack Meov,06-04-2830,06-04-2830,T,3rd-Person,434,434,,,413,443,T,...where she can see the remaining ship.,F,F,T,T,F,T,,,,,,
16,The Guardians attack Meov,06-04-2830,06-04-2830,T,3rd-Person,435,435,,,413,443,T,...the Guardians' rogga...,F,F,T,T,F,T,,,,,,
16,The Guardians attack Meov,06-04-2830,06-04-2830,T,3rd-Person,436,436,,,413,443,T,Innon shouts and one of  the catapult crews...,F,F,T,T,F,T,,,,,,
16,The Guardians attack Meov,06-04-2830,06-04-2830,T,3rd-Person,437,437,,,413,443,T,The mast creaks and goes over like a felled tree...,F,F,T,T,F,T,,,,,,
16,The Guardians attack Meov,06-04-2830,06-04-2830,T,3rd-Person,438,438,,,413,443,T,It's the same everywhere. They're losing.,F,F,T,T,F,T,,,,,,
16,The Guardians attack Meov,06-04-2830,06-04-2830,T,3rd-Person,439,439,,,413,443,T,The Guardian who has killed him stands there...,F,F,T,T,F,T,,,,,,
16,The Guardians attack Meov,06-04-2830,06-04-2830,T,3rd-Person,440,440,,,413,443,T,Schaffa blinks and looks surprised.,F,F,T,T,F,T,,,,,,
16,The Guardians attack Meov,06-04-2830,06-04-2830,T,Hoa,445,445,01-01-2844,01-01-2844,444,449,T,...at the end of Meov.,F,F,T,T,F,T,,,,,,
17,Syenite connects to the amethyst obelisk,30-04-2830,30-04-2830,T,3rd-Person,440,440,,,413,443,T,There are moments when everything changes...,F,F,T,F,F,T,,,,,,
17,Syenite connects to the amethyst obelisk,30-04-2830,30-04-2830,T,3rd-Person,441,441,,,413,443,T,So she reaches up.,F,F,T,F,F,T,,,,,,
17,Syenite connects to the amethyst obelisk,30-04-2830,30-04-2830,T,3rd-Person,442,442,,,413,443,T,She reaches for it now...,F,F,T,F,F,T,,,,,,
17,Syenite connects to the amethyst obelisk,30-04-2830,30-04-2830,T,3rd-Person,443,443,,,413,443,T,When all the death is done and the obelisk is calm...,F,F,T,F,F,T,,,,,,
17,Syenite connects to the amethyst obelisk,30-04-2830,30-04-2830,T,Hoa,448,448,01-01-2844,01-01-2844,444,449,T,"""You must have used the amethyst at Meov...""",F,F,T,F,F,T,,,,,,
18,Syenite becomes Essun,30-04-2832,30-04-2832,T,Hoa,172,172,01-01-2844,01-01-2844,172,190,T,"You could become someone new, maybe.",T,F,T,F,T,F,,,,,,
18,Syenite becomes Essun,30-04-2832,30-04-2832,T,Hoa,392,392,01-01-2844,01-01-2844,388,412,T,"""I died to get away from them...""",T,F,T,F,T,F,,,,,,
18,Syenite becomes Essun,30-04-2832,30-04-2832,T,3rd-Person,443,443,,,413,443,T,I was glad when she found the little town called Tirimo...,T,F,T,F,T,F,,,,,,
19,Alabaster starts the fifth season,30-04-2842,30-04-2842,T,3rd-Person,6,6,,,1,14,T,"""End,"" he says. ""Please.""",F,F,F,T,F,F,,,,,,
19,Alabaster starts the fifth season,30-04-2842,30-04-2842,T,3rd-Person,7,7,,,1,14,T,Then he breaks it.,F,F,F,T,F,F,,,,,,
19,Alabaster starts the fifth season,30-04-2842,30-04-2842,T,Hoa,19,19,01-01-2844,01-01-2844,15,24,T,"""Something happened up north,"" Lerna tells you.",F,F,F,T,F,F,,,,,,
19,Alabaster starts the fifth season,30-04-2842,30-04-2842,T,Hoa,20,20,01-01-2844,01-01-2844,15,24,T,a convulsion of the earth so powerful you have never sessed its like.,F,F,F,T,F,F,,,,,,
19,Alabaster starts the fifth season,30-04-2842,30-04-2842,T,Hoa,21,21,01-01-2844,01-01-2844,15,24,T,It has come to that.,F,F,F,T,F,F,,,,,,
19,Alabaster starts the fifth season,30-04-2842,30-04-2842,T,Hoa,24,24,01-01-2844,01-01-2844,15,24,T,"Something happened up North, Lerna said.",F,F,F,T,F,F,,,,,,
19,Alabaster starts the fifth season,30-04-2842,30-04-2842,T,Hoa,42,42,01-01-2844,01-01-2844,42,60,T,"""Even though the big shake from the north missed Tirimo...""",F,F,F,T,F,F,,,,,,
19,Alabaster starts the fifth season,30-04-2842,30-04-2842,T,Hoa,173,173,01-01-2844,01-01-2844,172,190,T,"""...the Season...""",F,F,F,T,F,F,,,,,,
19,Alabaster starts the fifth season,30-04-2842,30-04-2842,T,Hoa,181,181,01-01-2844,01-01-2844,172,190,T,"""That shake from the north,"" she says.",F,F,F,T,F,F,,,,,,
19,Alabaster starts the fifth season,30-04-2842,30-04-2842,T,Hoa,233,233,01-01-2844,01-01-2844,232,243,T,...everything changes in a Season...,F,F,F,T,F,F,,,,,,
19,Alabaster starts the fifth season,30-04-2842,30-04-2842,T,Hoa,236,236,01-01-2844,01-01-2844,232,243,T,You ask them what happened up north.,F,F,F,T,F,F,,,,,,
19,Alabaster starts the fifth season,30-04-2842,30-04-2842,T,Hoa,237,237,01-01-2844,01-01-2844,232,243,T,"""We saw something sort of—tear, off to the north.""",F,F,F,T,F,F,,,,,,
19,Alabaster starts the fifth season,30-04-2842,30-04-2842,T,Hoa,238,238,01-01-2844,01-01-2844,232,243,T,"""It was evening, after a beautiful day.""",F,F,F,T,F,F,,,,,,
19,Alabaster starts the fifth season,30-04-2842,30-04-2842,T,Hoa,266,266,01-01-2844,01-01-2844,264,276,T,A little less since the ash started to fall.,F,F,F,T,F,F,,,,,,
19,Alabaster starts the fifth season,30-04-2842,30-04-2842,T,Hoa,273,273,01-01-2844,01-01-2844,264,276,T,But I don't think this Season will be short.,F,F,F,T,F,F,,,,,,
19,Alabaster starts the fifth season,30-04-2842,30-04-2842,T,Hoa,332,332,01-01-2844,01-01-2844,332,343,T,Maybe until the Season began.,F,F,F,T,F,F,,,,,,
19,Alabaster starts the fifth season,30-04-2842,30-04-2842,T,Hoa,336,336,01-01-2844,01-01-2844,332,343,T,"""That northern shake...""",F,F,F,T,F,F,,,,,,
19,Alabaster starts the fifth season,30-04-2842,30-04-2842,T,Hoa,393,393,01-01-2844,01-01-2844,388,412,T,"""But then this thing happened up north...""",F,F,F,T,F,F,,,,,,
20,Jija murders Uche,01-05-2842,01-05-2842,T,3rd-Person,1,1,,,1,14,T,"""...her son died...""",F,F,F,F,F,F,,,,,,
20,Jija murders Uche,01-05-2842,01-05-2842,T,3rd-Person,9,9,,,1,14,T,"""...whose son is dead...""",F,F,F,F,F,F,,,,,,
20,Jija murders Uche,01-05-2842,01-05-2842,T,3rd-Person,10,10,,,1,14,T,His father has beaten him to death.,F,F,F,F,F,F,,,,,,
20,Jija murders Uche,01-05-2842,01-05-2842,T,Hoa,15,15,01-01-2844,01-01-2844,15,24,T,The woman whose son is dead.,F,F,F,F,F,F,,,,,,
20,Jija murders Uche,01-05-2842,01-05-2842,T,Hoa,16,16,01-01-2844,01-01-2844,15,24,T,"""...one of them is dead...""",F,F,F,F,F,F,,,,,,
20,Jija murders Uche,01-05-2842,01-05-2842,T,Hoa,19,19,01-01-2844,01-01-2844,15,24,T,"In the dream, you're in the room while Jija does it.",F,F,F,F,F,F,,,,,,
20,Jija murders Uche,01-05-2842,01-05-2842,T,Hoa,20,20,01-01-2844,01-01-2844,15,24,T,...the ruin of your child.,F,F,F,F,F,F,,,,,,
20,Jija murders Uche,01-05-2842,01-05-2842,T,Hoa,21,21,01-01-2844,01-01-2844,15,24,T,...that dream of Jija.,F,F,F,F,F,F,,,,,,
20,Jija murders Uche,01-05-2842,01-05-2842,T,Hoa,23,23,01-01-2844,01-01-2844,15,24,T,"""...a father to murder his own child.""",F,F,F,F,F,F,,,,,,
20,Jija murders Uche,01-05-2842,01-05-2842,T,Hoa,24,24,01-01-2844,01-01-2844,15,24,T,"""But then, Jija thought it.""",F,F,F,F,F,F,,,,,,
20,Jija murders Uche,01-05-2842,01-05-2842,T,Hoa,42,42,01-01-2844,01-01-2844,42,60,T,"""that woman died with Uche.""",F,F,F,F,F,F,,,,,,
20,Jija murders Uche,01-05-2842,01-05-2842,T,Hoa,43,43,01-01-2844,01-01-2844,42,60,T,...Uche was beaten to death...,F,F,F,F,F,F,,,,,,
20,Jija murders Uche,01-05-2842,01-05-2842,T,Hoa,49,49,01-01-2844,01-01-2844,42,60,T,"""He killed the kid?""",F,F,F,F,F,F,,,,,,
20,Jija murders Uche,01-05-2842,01-05-2842,T,Hoa,50,50,01-01-2844,01-01-2844,42,60,T,"""—the killing—""",F,F,F,F,F,F,,,,,,
20,Jija murders Uche,01-05-2842,01-05-2842,T,Hoa,54,54,01-01-2844,01-01-2844,42,60,T,"""Sorry about—about Jija,"" he said.",F,F,F,F,F,F,,,,,,
20,Jija murders Uche,01-05-2842,01-05-2842,T,Hoa,57,57,01-01-2844,01-01-2844,42,60,T,Jija's the one to blame for Uche.,F,F,F,F,F,F,,,,,,
20,Jija murders Uche,01-05-2842,01-05-2842,T,Hoa,58,58,01-01-2844,01-01-2844,42,60,T,(He.) / Killed your son.,F,F,F,F,F,F,,,,,,
20,Jija murders Uche,01-05-2842,01-05-2842,T,Hoa,59,59,01-01-2844,01-01-2844,42,60,T,(Jija killed your son.),F,F,F,F,F,F,,,,,,
20,Jija murders Uche,01-05-2842,01-05-2842,T,Hoa,79,79,01-01-2844,01-01-2844,77,83,T,"""...a man who would beat his own child to death...""",F,F,F,F,F,F,,,,,,
20,Jija murders Uche,01-05-2842,01-05-2842,T,Hoa,80,80,01-01-2844,01-01-2844,77,83,T,There is nothing in stonelore about husbands killing children.,F,F,F,F,F,F,,,,,,
20,Jija murders Uche,01-05-2842,01-05-2842,T,Hoa,266,266,01-01-2844,01-01-2844,264,276,T,Two months since Uche.,F,F,F,F,F,F,,,,,,
20,Jija murders Uche,01-05-2842,01-05-2842,T,Hoa,272,272,01-01-2844,01-01-2844,264,276,T,"Then if the urge to kill a rogga had hit him, he would've inflicte it on you, not Uche",F,F,F,F,F,F,,,,,,
20,Jija murders Uche,01-05-2842,01-05-2842,T,Hoa,397,397,01-01-2844,01-01-2844,388,412,T,"""...Uche's death.""",F,F,F,F,F,F,,,,,,
21,Essun saves Tirimo from the fifth season,02-05-2842,02-05-2842,T,3rd-Person,11,11,,,1,14,T,...the rest of the valley [...] was unscathed.,T,F,F,F,F,F,,,,,,
21,Essun saves Tirimo from the fifth season,02-05-2842,02-05-2842,T,Hoa,21,21,01-01-2844,01-01-2844,15,24,T,"""That shake didn't hit us, Essun.""",T,F,F,F,F,F,,,,,,
21,Essun saves Tirimo from the fifth season,02-05-2842,02-05-2842,T,Hoa,22,22,01-01-2844,01-01-2844,15,24,T,"""Everything in and around the town is fine, though.""",T,F,F,F,F,F,,,,,,
21,Essun saves Tirimo from the fifth season,02-05-2842,02-05-2842,T,Hoa,23,23,01-01-2844,01-01-2844,15,24,T,"""...the center of the circle was this neighbourhood.""",T,F,F,F,F,F,,,,,,
21,Essun saves Tirimo from the fifth season,02-05-2842,02-05-2842,T,Hoa,42,42,01-01-2844,01-01-2844,42,60,T,"""Even though the big shake from the north missed Tirimo...""",T,F,F,F,F,F,,,,,,
22,Hoa is born,03-05-2842,03-05-2842,T,3rd-Person,12,12,,,1,14,T,...the object groans faintly and then splits...,F,F,F,F,T,F,,,,,,
22,Hoa is born,03-05-2842,03-05-2842,T,3rd-Person,13,13,,,1,14,T,The body that the geode contained lies facedown...,F,F,F,F,T,F,,,,,,
