Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Participating Characters,Alma Mereminski,Leo Gursky,Zvi Litvinoff,Isaac Moritz,Rosa Litvinoff,David Singer,Charlotte Singer,Bruno,Alma Singer,Misha Shklovsky,Bird,Jacob Marcus
15,Leo and Bruno reunite,1945-10-01,1998-01-01,T,Leo Gurksy,6,0,2000-12-01,2001-01-31,3,13,T,"This event happened afteAlma refuses Leo, but before the events of the book. Note: the date is closeto 1998 than 1945 because Bruno's ""haiwas white and thin"" (6).",,,T,,,,,,T,,,,
20,Rosa destroys the manuscript of The History of Love,1954-09-01,1964-01-01,T,Leo Gurksy,248,0,2000-12-01,2001-01-31,248,250,T,This event happened aftethe publication of The History of Love; re: 1964.,,,,,,T,,,,,,,
20,Rosa destroys the manuscript of The History of Love,1954-09-01,1964-01-01,T,Leo Gurksy,122,0,2000-12-01,2001-01-31,119,129,T,This event happened aftethe publication of The History of Love; re: 1964.,,,,,,T,,,,,,,
20,Rosa destroys the manuscript of The History of Love,1954-09-01,1964-01-01,T,Leo Gurksy,121,0,2000-12-01,2001-01-31,119,129,T,This event happened aftethe publication of The History of Love; re: 1964.,,,,,,T,,,,,,,
27,Alma Mereminski dies,1995-01-01,1995-12-31,T,Leo Gurksy,85,0,2000-12-01,2001-01-31,75,92,T,"She ""died five years ago"" (85). Leo narrates from the yea2000.",,T,,,,,,,,,,,
27,Alma Mereminski dies,1995-01-01,1995-12-31,T,Leo Gurksy,168,0,2000-12-01,2001-01-31,160,169,T,"She ""died five years ago"" (85). Leo narrates from the yea2000.",,T,,,,,,,,,,,
27,Alma Mereminski dies,1995-01-01,1995-12-31,T,Leo Gurksy,163,0,2000-12-01,2001-01-31,160,169,T,"She ""died five years ago"" (85). Leo narrates from the yea2000.",,T,,,,,,,,,,,
29,Leo begins to write again,1998-01-01,1998-12-31,T,Leo Gurksy,9,0,2000-12-01,2001-01-31,3,13,T,"""A couple of months aftemy heart attack, fifty-seven years afteI'd given it up, I started to write again"" (9).",,,T,,,,,,,,,,
29,Leo begins to write again,1998-01-01,1998-12-31,T,Leo Gurksy,209,0,2000-12-01,2001-01-31,208,212,T,"""A couple of months aftemy heart attack, fifty-seven years afteI'd given it up, I started to write again"" (9).",,,T,,,,,,,,,,
29,Leo begins to write again,1998-01-01,1998-12-31,T,Leo Gurksy,167,0,2000-12-01,2001-01-31,160,169,T,"""A couple of months aftemy heart attack, fifty-seven years afteI'd given it up, I started to write again"" (9).",,,T,,,,,,,,,,
29,Leo begins to write again,1998-01-01,1998-12-31,T,Leo Gurksy,124,0,2000-12-01,2001-01-31,119,129,T,"""A couple of months aftemy heart attack, fifty-seven years afteI'd given it up, I started to write again"" (9).",,,T,,,,,,,,,,
37,Leo sends WORDS FOEVERYTHING to Isaac,2000-09-20,0000-01-01,T,Leo Gurksy,34,0,2000-12-01,2001-01-31,14,34,T,,,,T,,T,,,,,,,,
39,Isaac dies,2000-10-03,0000-01-01,T,Leo Gurksy,212,0,2000-12-01,2001-01-31,208,212,T,"He died the ""Tuesday night"" (77) before ""Saturday, Octobe7"" (80).",,,,,T,,,,,,,,
39,Isaac dies,2000-10-03,0000-01-01,T,Leo Gurksy,77,0,2000-12-01,2001-01-31,75,92,T,"He died the ""Tuesday night"" (77) before ""Saturday, Octobe7"" (80).",,,,,T,,,,,,,,
39,Isaac dies,2000-10-03,0000-01-01,T,Leo Gurksy,161,0,2000-12-01,2001-01-31,160,169,T,"He died the ""Tuesday night"" (77) before ""Saturday, Octobe7"" (80).",,,,,T,,,,,,,,
39,Isaac dies,2000-10-03,0000-01-01,T,Leo Gurksy,169,0,2000-12-01,2001-01-31,160,169,T,"He died the ""Tuesday night"" (77) before ""Saturday, Octobe7"" (80).",,,,,T,,,,,,,,
39,Isaac dies,2000-10-03,0000-01-01,T,Leo Gurksy,209,0,2000-12-01,2001-01-31,208,212,T,"He died the ""Tuesday night"" (77) before ""Saturday, Octobe7"" (80).",,,,,T,,,,,,,,
41,Leo learns of Isaac's death,2000-10-05,0000-01-01,T,Leo Gurksy,77,0,2000-12-01,2001-01-31,75,92,T,"He reads the article the day before Friday, Octobe6th (80).",,,T,,T,,,,,,,,
46,Leo attends Isaac's funeral,2000-10-07,0000-01-01,T,Leo Gurksy,87,0,2000-12-01,2001-01-31,75,92,T,"""A memorial service will be held Saturday, Octobe7, a 10 AM at Central Synagogue"" (80).",,,T,,T,,,,,,,,
47,Leo receives The History of Love,2000-10-07,0000-01-01,T,Leo Gurksy,92,0,2000-12-01,2001-01-31,75,92,T,Pg. 92.,,,T,,,,,,,,,T,
47,Leo receives The History of Love,2000-10-07,0000-01-01,T,Leo Gurksy,161,0,2000-12-01,2001-01-31,160,169,T,Pg. 92.,,,T,,,,,,,,,T,
46,Leo attends Isaac's funeral,2000-10-07,0000-01-01,T,Leo Gurksy,89,0,2000-12-01,2001-01-31,75,92,T,"""A memorial service will be held Saturday, Octobe7, a 10 AM at Central Synagogue"" (80).",,,T,,T,,,,,,,,
46,Leo attends Isaac's funeral,2000-10-07,0000-01-01,T,Leo Gurksy,84,0,2000-12-01,2001-01-31,75,92,T,"""A memorial service will be held Saturday, Octobe7, a 10 AM at Central Synagogue"" (80).",,,T,,T,,,,,,,,
46,Leo attends Isaac's funeral,2000-10-07,0000-01-01,T,Leo Gurksy,85,0,2000-12-01,2001-01-31,75,92,T,"""A memorial service will be held Saturday, Octobe7, a 10 AM at Central Synagogue"" (80).",,,T,,T,,,,,,,,
46,Leo attends Isaac's funeral,2000-10-07,0000-01-01,T,Leo Gurksy,86,0,2000-12-01,2001-01-31,75,92,T,"""A memorial service will be held Saturday, Octobe7, a 10 AM at Central Synagogue"" (80).",,,T,,T,,,,,,,,
46,Leo attends Isaac's funeral,2000-10-07,0000-01-01,T,Leo Gurksy,88,0,2000-12-01,2001-01-31,75,92,T,"""A memorial service will be held Saturday, Octobe7, a 10 AM at Central Synagogue"" (80).",,,T,,T,,,,,,,,
