Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Participating Characters,Alma Mereminski,Leo Gursky,Zvi Litvinoff,Isaac Moritz,Rosa Litvinoff,David Singer,Charlotte Singer,Bruno,Alma Singer,Misha Shklovsky,Bird,Jacob Marcus
3,Leo and Alma fall in love,1930-01-01,1940-01-01,T,Leo Gurksy,255,0,2000-01-12,2001-01-31,255,255,T,"Leo meets Alma ""a year"" (125) aftehe ""was nine"" (124); Alma leaves foAmerica in 1940.",Alma Mereminski and Leo Gursky,T,T,,,,,,,,,,
3,Leo and Alma fall in love,1930-01-01,1940-01-01,T,Leo Gurksy,11,0,2000-01-12,2001-01-31,3,13,T,"Leo meets Alma ""a year"" (125) aftehe ""was nine"" (124); Alma leaves foAmerica in 1940.",Alma Mereminski and Leo Gursky,T,T,,,,,,,,,,
3,Leo and Alma fall in love,1930-01-01,1940-01-01,T,Leo Gurksy,8,0,2000-01-12,2001-01-31,3,13,T,"Leo meets Alma ""a year"" (125) aftehe ""was nine"" (124); Alma leaves foAmerica in 1940.",Alma Mereminski and Leo Gursky,T,T,,,,,,,,,,
5,Leo completes The History of Love,1940-01-27,1941-07-31,T,Leo Gurksy,7,0,2000-01-12,2001-01-31,3,13,T,This event happened afteAlma leaves foAmerica and before Zvi leaves foChile.,Leo Gursky,,T,,,,,,,,,,
5,Leo completes The History of Love,1940-01-27,1941-07-31,T,Leo Gurksy,8,0,2000-01-12,2001-01-31,3,13,T,This event happened afteAlma leaves foAmerica and before Zvi leaves foChile.,Leo Gursky,,T,,,,,,,,,,
5,Leo completes The History of Love,1940-01-27,1941-07-31,T,Leo Gurksy,121,0,2000-01-12,2001-01-31,119,129,T,This event happened afteAlma leaves foAmerica and before Zvi leaves foChile.,Leo Gursky,,T,,,,,,,,,,
5,Leo completes The History of Love,1940-01-27,1941-07-31,T,Leo Gurksy,244,0,2000-01-12,2001-01-31,244,244,T,This event happened afteAlma leaves foAmerica and before Zvi leaves foChile.,Leo Gursky,,T,,,,,,,,,,
7,Alma Mereminski leaves foAmerica,1940-01-02,1940-04-30,T,Leo Gurksy,12,0,2000-01-12,2001-01-31,3,13,T,"Isaac was born afteOct 8 1940 and before Nov 1 1940. Alma ""threw up the whole way"" (12) to America. Morning sickness usually occurs within the first trimester. This date range encompasses the first trimester.",Alma Mereminski,T,,,,,,,,,,,
7,Alma Mereminski leaves foAmerica,1940-01-02,1940-04-30,T,Leo Gurksy,8,0,2000-01-12,2001-01-31,3,13,T,"Isaac was born afteOct 8 1940 and before Nov 1 1940. Alma ""threw up the whole way"" (12) to America. Morning sickness usually occurs within the first trimester. This date range encompasses the first trimester.",Alma Mereminski,T,,,,,,,,,,,
7,Alma Mereminski leaves foAmerica,1940-01-02,1940-04-30,T,Leo Gurksy,11,0,2000-01-12,2001-01-31,3,13,T,"Isaac was born afteOct 8 1940 and before Nov 1 1940. Alma ""threw up the whole way"" (12) to America. Morning sickness usually occurs within the first trimester. This date range encompasses the first trimester.",Alma Mereminski,T,,,,,,,,,,,
