Relative Order,Event Name,Start Date ST,End Date ST,Is Approximate ST,Narrator,Start Page Mention,End Page Mention,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT,Evidence,Sasha,Bennie,Scotty,Lou,Rob,Lulu,,,,,,
10,Rolph commits suicide,6-1-1990,6-1-1990,T,3rd-Person,82,82,2021-01-01,2031-12-31,59,83,T,Rolph has shot himself in the head...,F,F,F,T,F,F,,,,,,
10,Rolph commits suicide,6-1-1990,6-1-1990,T,Jocelyn,89,89,9-1-2006,12-31-2006,84,91,T,And when it happened...,F,F,F,T,F,F,,,,,,
10,Rolph commits suicide,6-1-1990,6-1-1990,T,Jocelyn,90,90,9-1-2006,12-31-2006,84,91,T,...I already knew about Rolph,F,F,F,T,F,F,,,,,,
11,Sasha meets Rob,9-3-1991,9-3-1991,T,Rob,192,192,3-1-1993,3-1-1993,186,207,T,Sasha picked you out the first day...,T,F,F,F,T,F,,,,,,
12,Rob drowns,3-1-1993,3-1-1993,T,3rd-Person,14,14,2021-01-01,2031-12-31,3,18,T,Sasha's friend who had drowned in college...,T,F,F,F,T,F,,,,,,
12,Rob drowns,3-1-1993,3-1-1993,T,Rob,207,207,3-1-1993,3-1-1993,186,207,T,Fight! Fight! Fight!,T,F,F,F,T,F,,,,,,
12,Rob drowns,3-1-1993,3-1-1993,T,Alison,272,272,2021-01-01,2031-12-31,234,309,T,...and Rob drowned.,T,F,F,F,T,F,,,,,,
12,Rob drowns,3-1-1993,3-1-1993,T,Alison,273,273,2021-01-01,2031-12-31,234,309,T,"""...he got caught in a current.""",T,F,F,F,T,F,,,,,,
12,Rob drowns,3-1-1993,3-1-1993,T,Alison,290,290,2021-01-01,2031-12-31,234,309,T,"""Did she forgive you when Rob drowned?""",T,F,F,F,T,F,,,,,,
12,Rob drowns,3-1-1993,3-1-1993,T,Alison,292,292,2021-01-01,2031-12-31,234,309,T,"""But it wasn't your fault, right?""",T,F,F,F,T,F,,,,,,
13,Sasha works for Bennie,3-1-1993,3-31-2005,T,3rd-Person,5,5,2021-01-01,2031-12-31,3,18,T,"Bennie Salazar, her old boss......",T,T,F,F,T,F,,,,,,
13,Sasha works for Bennie,3-1-1993,3-31-2005,T,3rd-Person,12,12,2021-01-01,2031-12-31,3,18,T,...she'd worked for twelve years...,T,T,F,F,T,F,,,,,,
13,Sasha works for Bennie,3-1-1993,3-31-2005,T,3rd-Person,21,21,2021-01-01,2031-12-31,19,38,T,"Bennie's assistant, Sasha...",T,T,F,F,T,F,,,,,,
13,Sasha works for Bennie,3-1-1993,3-31-2005,T,3rd-Person,22,22,2021-01-01,2031-12-31,19,38,T,...and glanced at Sasha's breasts...,T,T,F,F,T,F,,,,,,
13,Sasha works for Bennie,3-1-1993,3-31-2005,T,3rd-Person,27,27,2021-01-01,2031-12-31,19,38,T,He found Sasha waiting at the door...,T,T,F,F,T,F,,,,,,
13,Sasha works for Bennie,3-1-1993,3-31-2005,T,3rd-Person,28,28,2021-01-01,2031-12-31,19,38,T,...he knew few specifics of her life.,T,T,F,F,T,F,,,,,,
13,Sasha works for Bennie,3-1-1993,3-31-2005,T,3rd-Person,29,29,2021-01-01,2031-12-31,19,38,T,"""Coffee?"" Sasha asked him.",T,T,F,F,T,F,,,,,,
13,Sasha works for Bennie,3-1-1993,3-31-2005,T,3rd-Person,30,30,2021-01-01,2031-12-31,19,38,T,...Sasha's lotion smell...,T,T,F,F,T,F,,,,,,
13,Sasha works for Bennie,3-1-1993,3-31-2005,T,3rd-Person,31,31,2021-01-01,2031-12-31,19,38,T,...he concentrated on Sasha...,T,T,F,F,T,F,,,,,,
13,Sasha works for Bennie,3-1-1993,3-31-2005,T,3rd-Person,32,32,2021-01-01,2031-12-31,19,38,T,"""You okay?"" Sasha asked, alarmed.",T,T,F,F,T,F,,,,,,
13,Sasha works for Bennie,3-1-1993,3-31-2005,T,3rd-Person,33,33,2021-01-01,2031-12-31,19,38,T,He was driving Sasha to the city...,T,T,F,F,T,F,,,,,,
13,Sasha works for Bennie,3-1-1993,3-31-2005,T,3rd-Person,34,34,2021-01-01,2031-12-31,19,38,T,"""Four days.""",T,T,F,F,T,F,,,,,,
13,Sasha works for Bennie,3-1-1993,3-31-2005,T,3rd-Person,35,35,2021-01-01,2031-12-31,19,38,T,"""Um, okay,"" she said.",T,T,F,F,T,F,,,,,,
13,Sasha works for Bennie,3-1-1993,3-31-2005,T,3rd-Person,36,36,2021-01-01,2031-12-31,19,38,T,But Sasha knew better...,T,T,F,F,T,F,,,,,,
13,Sasha works for Bennie,3-1-1993,3-31-2005,T,3rd-Person,37,37,2021-01-01,2031-12-31,19,38,T,"""I know.""",T,T,F,F,T,F,,,,,,
13,Sasha works for Bennie,3-1-1993,3-31-2005,T,3rd-Person,38,38,2021-01-01,2031-12-31,19,38,T,"""Listen, Sasha.""",T,T,F,F,T,F,,,,,,
13,Sasha works for Bennie,3-1-1993,3-31-2005,T,Scotty,95,95,4-1-1997,4-1-1997,92,108,T,"She (reddish hair, green eyes...)",T,T,F,F,T,F,,,,,,
13,Sasha works for Bennie,3-1-1993,3-31-2005,T,Scotty,98,98,4-1-1997,4-1-1997,92,108,T,...the russet haired receptionist...,T,T,F,F,T,F,,,,,,
13,Sasha works for Bennie,3-1-1993,3-31-2005,T,Scotty,99,99,4-1-1997,4-1-1997,92,108,T,He's officially not my problem anymore.,T,T,F,F,T,F,,,,,,
13,Sasha works for Bennie,3-1-1993,3-31-2005,T,Scotty,104,104,4-1-1997,4-1-1997,92,108,T,...where Sasha sat...,T,T,F,F,T,F,,,,,,
13,Sasha works for Bennie,3-1-1993,3-31-2005,T,3rd-Person,325,325,2021-01-01,2031-12-31,310,340,T,...the girl who had worked for Bennie Salazar: Sasha.,T,T,F,F,T,F,,,,,,
13,Sasha works for Bennie,3-1-1993,3-31-2005,T,3rd-Person,337,337,2021-01-01,2031-12-31,310,340,T,"""She was my assistant.""",T,T,F,F,T,F,,,,,,
13,Sasha works for Bennie,3-1-1993,3-31-2005,T,3rd-Person,326,326,2021-01-01,2031-12-31,310,340,T,"""She was great,"" Bennie said.",T,T,F,F,T,F,,,,,,
14,Scotty and Bennie reconnect,4-1-1997,4-1-1997,T,3rd-Person,23,23,2021-01-01,2031-12-31,19,38,T,...a disturbing encounter with Scotty...,F,T,T,F,F,F,,,,,,
14,Scotty and Bennie reconnect,4-1-1997,4-1-1997,T,Scotty,98,98,4-1-1997,4-1-1997,92,108,T,"""Scotty, man, how goes it?""",F,T,T,F,F,F,,,,,,
14,Scotty and Bennie reconnect,4-1-1997,4-1-1997,T,Scotty,99,99,4-1-1997,4-1-1997,92,108,T,"""Here, c'mon back to my office...""",F,T,T,F,F,F,,,,,,
14,Scotty and Bennie reconnect,4-1-1997,4-1-1997,T,Scotty,100,100,4-1-1997,4-1-1997,92,108,T,"""You're giving me a fish?""",F,T,T,F,F,F,,,,,,
14,Scotty and Bennie reconnect,4-1-1997,4-1-1997,T,Scotty,101,101,4-1-1997,4-1-1997,92,108,T,"""Scotty, you still there?""",F,T,T,F,F,F,,,,,,
14,Scotty and Bennie reconnect,4-1-1997,4-1-1997,T,Scotty,102,102,4-1-1997,4-1-1997,92,108,T,I rose from my chair...,F,T,T,F,F,F,,,,,,
14,Scotty and Bennie reconnect,4-1-1997,4-1-1997,T,Scotty,103,103,4-1-1997,4-1-1997,92,108,T,I took a long inhale and turned to Bennie.,F,T,T,F,F,F,,,,,,
14,Scotty and Bennie reconnect,4-1-1997,4-1-1997,T,Scotty,104,104,4-1-1997,4-1-1997,92,108,T,"""Hey, Scotty, hold on...""",F,T,T,F,F,F,,,,,,
14,Scotty and Bennie reconnect,4-1-1997,4-1-1997,T,3rd-Person,333,333,2021-01-01,2031-12-31,310,340,T,"""You brought me a fish.""",F,T,T,F,F,F,,,,,,
15,Jules Jones assaults Kitty Jackson,6-1-1999,6-1-1999,T,3rd-Person,115,115,2021-01-01,2031-12-31,111,136,T,...the celebrity reporter who had...,F,F,F,F,F,F,,,,,,
15,Jules Jones assaults Kitty Jackson,6-1-1999,6-1-1999,T,3rd-Person,119,119,2021-01-01,2031-12-31,111,136,T,...attempted rape of Kitty Jackson...,F,F,F,F,F,F,,,,,,
15,Jules Jones assaults Kitty Jackson,6-1-1999,6-1-1999,T,3rd-Person,144,144,2021-01-01,2031-12-31,137,165,T,...Jules Jones [...] had attacked her...,F,F,F,F,F,F,,,,,,
15,Jules Jones assaults Kitty Jackson,6-1-1999,6-1-1999,T,Jules,181,181,1999-08-15,1999-08-15,166,185,T,"I have an urge to push her backward onto the grass, and I do.",F,F,F,F,F,F,,,,,,
15,Jules Jones assaults Kitty Jackson,6-1-1999,6-1-1999,T,Jules,182,182,1999-08-15,1999-08-15,166,185,T,"""Pretend you're riding Nixon,"" I say.",F,F,F,F,F,F,,,,,,
15,Jules Jones assaults Kitty Jackson,6-1-1999,6-1-1999,T,Jules,183,183,1999-08-15,1999-08-15,166,185,T,...one hand covering Kitty's mouth...,F,F,F,F,F,F,,,,,,
15,Jules Jones assaults Kitty Jackson,6-1-1999,6-1-1999,T,Jules,184,184,1999-08-15,1999-08-15,166,185,T,"...attempted rape, kidnapping, and aggravated assault...",F,F,F,F,F,F,,,,,,
16,Jules Jones is incarcerated,1-1-1999,3-20-2004,T,3rd-Person,119,119,2021-01-01,2031-12-31,111,136,T,He'd been gone five years...,F,F,F,F,F,F,,,,,,
16,Jules Jones is incarcerated,1-1-1999,3-20-2004,T,Jules,184,184,1999-08-15,1999-08-15,166,185,T,...a presentation before the grand jury followed my indictment...,F,F,F,F,F,F,,,,,,
17,9-11,9-11-2001,9-11-2001,F,3rd-Person,12,12,2021-01-01,2031-12-31,3,18,T,...without the World Trade Center...,F,F,F,F,F,F,,,,,,
17,9-11,9-11-2001,9-11-2001,F,3rd-Person,33,33,2021-01-01,2031-12-31,19,38,T,"""How close to--""",F,F,F,F,F,F,,,,,,
17,9-11,9-11-2001,9-11-2001,F,3rd-Person,34,34,2021-01-01,2031-12-31,19,38,T,"""Four days.""",F,F,F,F,F,F,,,,,,
17,9-11,9-11-2001,9-11-2001,F,3rd-Person,36,36,2021-01-01,2031-12-31,19,38,T,"""...there's just nothing there.""",F,F,F,F,F,F,,,,,,
17,9-11,9-11-2001,9-11-2001,F,3rd-Person,119,119,2021-01-01,2031-12-31,111,136,T,...the impact of 9/11 on the lives of inmates...,F,F,F,F,F,F,,,,,,
17,9-11,9-11-2001,9-11-2001,F,3rd-Person,123,123,2021-01-01,2031-12-31,111,136,T,"""Buildings are missing.""",F,F,F,F,F,F,,,,,,
17,9-11,9-11-2001,9-11-2001,F,3rd-Person,331,331,2021-01-01,2031-12-31,310,340,T,The weight of what had happened here...,F,F,F,F,F,F,,,,,,
18,Bennie sells Sow's Ear,6-1-2002,6-1-2002,T,3rd-Person,23,23,2021-01-01,2031-12-31,19,38,T,...he'd sold his label...,F,T,F,F,F,F,,,,,,
18,Bennie sells Sow's Ear,6-1-2002,6-1-2002,T,3rd-Person,113,113,2021-01-01,2031-12-31,111,136,T,He'd sold his record label last year...,F,T,F,F,F,F,,,,,,
18,Bennie sells Sow's Ear,6-1-2002,6-1-2002,T,3rd-Person,312,312,2021-01-01,2031-12-31,310,340,T,...Bennie had gotten canned from his own label...,F,T,F,F,F,F,,,,,,
18,Bennie sells Sow's Ear,6-1-2002,6-1-2002,T,3rd-Person,333,333,2021-01-01,2031-12-31,310,340,T,"""...and I got fired from Sow's Ear...""",F,T,F,F,F,F,,,,,,
19,Bennie and Stephanie move to Crandale,6-21-2003,9-23-2003,T,3rd-Person,111,111,2021-01-01,2031-12-31,111,136,T,Stephanie and Bennie had lived in Crandale...,F,T,F,F,F,F,,,,,,
19,Bennie and Stephanie move to Crandale,6-21-2003,9-23-2003,T,3rd-Person,117,117,2021-01-01,2031-12-31,111,136,T,"""Moving to a place like this.""",F,T,F,F,F,F,,,,,,
20,"Jules Jones is paroled, lives with Bennie and Stephanie",3-20-2004,6-20-2004,T,3rd-Person,119,119,2021-01-01,2031-12-31,111,136,T,Jules [...] came to live with them.,F,T,F,F,F,F,,,,,,
21,Bennie allegedly cheats on Stephanie,6-21-2004,6-21-2004,T,3rd-Person,134,134,2021-01-01,2031-12-31,111,136,T,He'd slept with Kathy.,F,T,F,F,F,F,,,,,,
22,Stephanie divorces Bennie,6-21-2004,12-31-2004,T,3rd-Person,21,21,2021-01-01,2031-12-31,19,38,T,The divorce from Stephanie?,F,T,F,F,F,F,,,,,,
22,Stephanie divorces Bennie,6-21-2004,12-31-2004,T,3rd-Person,333,333,2021-01-01,2031-12-31,310,340,T,"""...when Steph threw me out...""",F,T,F,F,F,F,,,,,,
23,Sasha goes on a date with Alex,2-1-2005,2-1-2005,T,3rd-Person,5,5,2021-01-01,2031-12-31,3,18,T,...cocked her head at Alex.,T,F,F,F,F,F,,,,,,
23,Sasha goes on a date with Alex,2-1-2005,2-1-2005,T,3rd-Person,6,6,2021-01-01,2031-12-31,3,18,T,The yes/no smile was amazingly effective.,T,F,F,F,F,F,,,,,,
23,Sasha goes on a date with Alex,2-1-2005,2-1-2005,T,3rd-Person,9,9,2021-01-01,2031-12-31,3,18,T,Sasha and Alex...,T,F,F,F,F,F,,,,,,
23,Sasha goes on a date with Alex,2-1-2005,2-1-2005,T,3rd-Person,10,10,2021-01-01,2031-12-31,3,18,T,"""Is someone helping this person?"" she heard Alex ask.",T,F,F,F,F,F,,,,,,
