Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Participating Characters,Rafaela,Bobby,Emi,Buzzworm,Manzanar,Gabriel,Arcangel,Sol,The Orange,Hernando
17,First car accident,1998-06-23,1998-06-23,F,Manzanar,55,55,1998-06-23,1998-06-23,55,57,F,"""It was a red convertible Porsche [...] All of this played against the metallic crash and crunch of the unfortunate who shared the same lanes, the snap of delicate necks, the squish of flesh and blood."" (55)",,F,F,F,F,F,F,F,F,F,F
18,Second car accident,1998-06-23,1998-06-23,F,Gabriel,112,112,1998-06-24,1998-06-24,107,114,F,"""Where have you been? Turns out a second semi—no apparent relation to the first—knifed a few minutes later about a mile back of the first."" (112)",,F,F,F,F,F,F,F,F,F,F
20,Arcangel Takes Orange,1998-06-23,1998-06-23,F,Arcangel,75,75,1998-06-23,1998-06-23,70,75,F,“He opened his suitcase and put the orange and the bag of cactus leaves in one corner” (75),"Arcangel, Hernando, and The Orange",,,,,,,T,,T,T
21,Bobby receives letter about cousin,1998-06-23,1998-06-23,F,Bobby,76,76,1998-06-23,1998-06-23,76,80,F,"""Letter came today. Go figure."" (76)",Bobby,,T,,,,,,,,
21,Bobby receives letter about cousin,1998-06-23,1998-06-23,F,Bobby,100,101,1998-06-24,1998-06-24,97,102,F,"""Letter came today. Go figure."" (76)",Bobby,,T,,,,,,,,
22,Buzzworm buys orange from Margarita,1998-06-23,1998-06-23,F,Buzzworm,85,85,1998-06-23,1998-06-23,80,86,F,“Buzzworm walked away [...] Orange in his pocket” (86) and ,Buzzworm,,,,T,,,,,,
22,Buzzworm buys orange from Margarita,1998-06-23,1998-06-23,F,Buzzworm,139,139,1998-06-25,1998-06-25,137,141,F,“Buzzworm walked away [...] Orange in his pocket” (86) and “One free naranja imported from Florida” (139),Buzzworm,,,,T,,,,,,
23,Boy dies,1998-06-24,1998-06-24,F,Buzzworm,104,104,1998-06-24,1998-06-24,102,107,F,"""Direct cause of death: high doses of a very pure form of cocaine and unidentified chemicals"" (104) from the ""One free naranja imported from Florida. [Buzzworm'd] given it to that righteous little homey."" (139)",Buzzworm,,,,T,,,,,,
23,Boy dies,1998-06-24,1998-06-24,F,Buzzworm,139,139,1998-06-25,1998-06-25,137,141,F,"""Direct cause of death: high doses of a very pure form of cocaine and unidentified chemicals"" (104) from the ""One free naranja imported from Florida. [Buzzworm'd] given it to that righteous little homey."" (139)",Buzzworm,,,,T,,,,,,
24,Margarita Dies,1998-06-24,1998-06-24,F,Buzzworm,106,106,1998-06-24,1998-06-24,102,107,F,"“Margarita was dead. He got the page.” (106) and ""Maybe Margarita and the little homey had made it home the same way"" (138)",Buzzworm,,,,T,,,,,,
24,Margarita Dies,1998-06-24,1998-06-24,F,Buzzworm,138,138,1998-06-25,1998-06-25,137,141,F,"“Margarita was dead. He got the page.” (106) and ""Maybe Margarita and the little homey had made it home the same way"" (138)",Buzzworm,,,,T,,,,,,
25,Gabriel interviews Manzanar,1998-06-24,1998-06-24,F,Gabriel,107,110,1998-06-24,1998-06-24,107,111,F,"""Like Buzzworm promised, I got my interview with the homeless conductor"" (107)","Buzzworm, Gabriel, and Manzanar",,,,T,T,T,,,,
26,Rafaela steals organ cooler,1998-06-24,1998-06-24,F,Rafaela,118,119,1998-06-24,1998-06-24,114,119,F,“Racing toward the field of corn with her new possession feeling very heavy” (118-119),Hernando and Rafaela,T,,,,,,,,,T
27,Rafaela runs and hugs Sol,1998-06-24,1998-06-25,F,Rafaela,119,119,1998-06-24,1998-06-24,114,119,F,"Rafaela starts running towards her son on Thursday ""Breathless, she stretched her arms reaching towards Sol"" (119) and yet she does not reach him until Friday, even though “It’s been less than five minutes. No. It’s been an eternity. I can’t explain it.” (148). By representing this event as spanning two days, we can represent the time manipulation beginning in the text.",Rafaela and Sol,T,,,,,,,T,,
27,Rafaela runs and hugs Sol,1998-06-24,1998-06-25,F,Rafaela,148,148,1998-06-25,1998-06-25,148,154,F,"Rafaela starts running towards her son on Thursday ""Breathless, she stretched her arms reaching towards Sol"" (119) and yet she does not reach him until Friday, even though “It’s been less than five minutes. No. It’s been an eternity. I can’t explain it.” (148). By representing this event as spanning two days, we can represent the time manipulation beginning in the text.",Rafaela and Sol,T,,,,,,,T,,
28,El Gran Mojado challenges SUPERNAFTA,1998-06-24,1998-06-24,F,Arcangel,133,133,1998-06-24,1998-06-24,130,134,F,"""I have made a challenge to this super-fake no one has ever seen."" (133)",Arcangel,,,,,,,T,,,
29,Time Stops Thursday at noon,1998-06-25,1998-06-25,F,Buzzworm,137,137,1998-06-25,1998-06-25,137,141,F,Buzzworm witnesses “Second hands on the watches never moved. Seconds on LCD displays neither. Twelve noon just standing there” (137) as Rafaela experiences the time extension (148),Buzzworm and Rafaela,T,,,T,,,,,,
29,Time Stops Thursday at noon,1998-06-25,1998-06-25,F,Rafaela,148,148,1998-06-25,1998-06-25,148,154,F,Buzzworm witnesses “Second hands on the watches never moved. Seconds on LCD displays neither. Twelve noon just standing there” (137) as Rafaela experiences the time extension (148),Buzzworm and Rafaela,T,,,T,,,,,,
30,"Rafaela mails cooler, calls Gabriel",1998-06-25,1998-06-25,F,Rafaela,151,151,1998-06-25,1998-06-25,148,154,F,"""[Rafaela] hung up and dialed again"" (150); ""[Gabriel tried to reconstruct the conversation onto [his] notepad just as [he] had heard it"" (154)",Gabriel and Rafaela,T,,,,,T,,,,
30,"Rafaela mails cooler, calls Gabriel",1998-06-25,1998-06-25,F,Gabriel,154,154,1998-06-25,1998-06-25,154,158,F,"""[Rafaela] hung up and dialed again"" (150); ""[Gabriel tried to reconstruct the conversation onto [his] notepad just as [he] had heard it"" (154)",Gabriel and Rafaela,T,,,,,T,,,,
31,Gabriel calls Bobby,1998-06-25,1998-06-25,F,Gabriel,155,158,1998-06-25,1998-06-25,154,158,F,"""But later in the day, Buzzworm was more emphatic [...] phone's cellular, Buzz. Better keep it to yourself"" (155-158) and later Buzzoworm states he's ""Gotta answer the beep. [...] It's Gabriel, the Chicano reporter."" (160)",Buzzworm and Gabriel,,,,T,,T,,,,
31,Gabriel calls Bobby,1998-06-25,1998-06-25,F,Buzzworm,160,161,1998-06-25,1998-06-25,158,162,F,"""But later in the day, Buzzworm was more emphatic [...] phone's cellular, Buzz. Better keep it to yourself"" (155-158) and later Buzzoworm states he's ""Gotta answer the beep. [...] It's Gabriel, the Chicano reporter."" (160)",Buzzworm and Gabriel,,,,T,,T,,,,
32,Emi meets Buzzworm,1998-06-25,1998-06-25,F,Third Person (Emi),165,165,1998-06-25,1998-06-25,162,167,F,"""'Balboa, this is your replacement?' 'I am not a replacement,' Emi sneered"" (165)","Buzzworm, Emi, and Gabriel",,,T,T,,T,,,,
33,Buzzworm goes on-air,1998-06-26,1998-06-26,F,Third Person (Emi),177,179,1998-06-26,1998-06-26,175,180,F,"""Cut to station identification and... Buzzworm?"" (177)",Buzzworm and Emi,,,T,T,,,,,,
34,Hernando kidnaps Rafaela,1998-06-26,1998-06-27,F,Rafaela,186,186,1998-06-26,1998-06-26,181,186,F,"""The strong hand of the villian reached out and clutched her arm, covered her screams and pulled her away."" (186)",Hernando and Rafaela,T,,,,,,,,,T
35,"Arcangel takes Sol (30, 186)",1998-06-26,1998-06-27,F,Rafaela,186,186,1998-06-26,1998-06-26,181,186,F,"""Arcangel took the boy by the hand and stepped lightly into the bus"" (186)",Arcangel and Sol,,,,,,,T,T,,
36,Buzzworm receives cooler,1998-06-26,1998-06-26,F,Gabriel,194,194,1998-06-26,1998-06-26,192,196,F,"Emi receives the package and Gabriel directs her to give it to Buzzworm. Buzzworm is still carrying it on Saturday as he ""made his way up to the overpass, nonchalant-like. He was totin' a thing lookin' like a baby replica of a beer cooler"" (214).","Buzzworm, Emi, and Gabriel",,,T,T,,T,,,,
36,Buzzworm receives cooler,1998-06-26,1998-06-26,F,Buzzworm,214,214,1998-06-26,1998-06-26,214,220,F,"Emi receives the package and Gabriel directs her to give it to Buzzworm. Buzzworm is still carrying it on Saturday as he ""made his way up to the overpass, nonchalant-like. He was totin' a thing lookin' like a baby replica of a beer cooler"" (214).","Buzzworm, Emi, and Gabriel",,,T,T,,T,,,,
37,Rafaela kills Hernando,1998-06-26,1998-06-27,F,Rafaela,220,221,1998-06-27,1998-06-27,220,222,F,"""As night fell, they began their horrific dance with death"" (221) and Rafaela wakes with Hernando's ear in her hand.",Hernando and Rafaela,T,,,,,,,,,T
38,Gabriel rescues Rafaela,1998-06-27,1998-06-27,F,Gabriel,223,223,1998-06-27,1998-06-27,222,228,F,"""I don't know why I even recognized her body on the side of the road"" (223)",Gabriel and Rafaela,T,,,,,T,,,,
39,Bobby walks to the UWC,1998-06-27,1998-06-28,F,Bobby,233,233,1998-06-27,1998-06-27,228,233,F,"""Pacific Rim Auditorium's not far. Something tells him he'd better go on foot. And he better leave now to make it by tomorrow"" (233)",Bobby,,T,,,,,,,,
40,Emi is shot,1998-06-27,1998-06-28,F,Buzzworm,237,237,1998-06-27,1998-06-27,234,237,F,"""the dull crack of a small but sharp thunder rumbled above his head. This sound was all too familiar"" (237) and Buzzworm shoves the NewsNow engineer ""into the van with Emi slumped in the front seat"" (249)",Buzzworm and Emi,,,T,T,,,,,,
40,Emi is shot,1998-06-27,1998-06-28,F,Buzzworm,249,249,1998-06-28,1998-06-28,249,252,F,"""the dull crack of a small but sharp thunder rumbled above his head. This sound was all too familiar"" (237) and Buzzworm shoves the NewsNow engineer ""into the van with Emi slumped in the front seat"" (249)",Buzzworm and Emi,,,T,T,,,,,,
41,The orange travels north,1998-06-27,1998-06-27,F,Manzanar,238,238,1998-06-27,1998-06-27,237,240,F,"""The entire City of Angels seemed to have opened its singular voice to herald a naked old man and little boy with an orange"" (238)","Arcangel, Sol, and The Orange",,,,,,,T,T,T,
42,Manzanar goes to Hospital w/ Emi,1998-06-28,1998-06-28,F,Manzanar,255,256,1998-06-28,1998-06-28,254,256,F,"""Manzanar saw the words formed clearly on his lips and obeyed, climbing onto the gurney with his granddaughter."" (255)",Emi and Manzanar,,,T,,T,,,,,
43,Gabriel sets up newsgroups,1998-06-28,1998-06-28,F,Gabriel,246,246,1998-06-28,1998-06-28,243,249,F,"""For every budget, I set up a newsgroup over the net"" (246)",Gabriel,,,,,,T,,,,
44,Bobby and Rafaela reunite,1998-06-28,1998-06-28,F,Rafaela,253,254,1998-06-28,1998-06-28,252,254,F,"""They both walked and ran forever."" (253)",Bobby and Rafaela,T,T,,,,,,,,
45,Airbags explode,1998-06-28,1998-06-28,F,Manzanar,255,256,1998-06-28,1998-06-28,254,256,F,"""All the airbags in L.A. ruptured forth"" (256) and ""somethin' about all those airbags burstin' on some kinda cue freaked out the population"" (263)",Buzzworm and Manzanar,,,,T,T,,,,,
45,Airbags explode,1998-06-28,1998-06-28,F,Buzzworm,263,263,1998-06-28,1998-06-28,263,265,F,"""All the airbags in L.A. ruptured forth"" (256) and ""somethin' about all those airbags burstin' on some kinda cue freaked out the population"" (263)",Buzzworm and Manzanar,,,,T,T,,,,,
46,The Ultimate Wrestling Championship ,1998-06-28,1998-06-28,F,Bobby,232,232,1998-06-27,1998-06-27,232,232,F,"""Pacific Rim Auditorium. Noon. Sunday. June 28th. Tomorrow!"" (232)","Arcangel, Bobby, Rafaela, Sol, and The Orange",T,T,,,,,T,T,T,
46,The Ultimate Wrestling Championship,1998-06-28,1998-06-28,F,Arcangel,256,263,1998-06-28,1998-06-28,256,263,F,"""Pacific Rim Auditorium. Noon. Sunday. June 28th. Tomorrow!"" (232)","Arcangel, Bobby, Rafaela, Sol, and The Orange",T,T,,,,,T,T,T,
47,Sol and Bobby reunite (Bobby catches Orange),1998-06-28,1998-06-28,F,Arcangel,261,261,1998-06-28,1998-06-28,256,263,F,"""The wrestler slung the child over the ring and into his father's arms"" (261)","Arcangel, Bobby, Sol, and The Orange",,T,,,,,T,T,T,
48,Buzzworm stops listening to the radio,1998-06-28,1998-06-28,F,Buzzworm,265,265,1998-06-28,1998-06-28,263,265,F,"""Radio was more tripped up than his own mind. He pulled the plug"" (265)",Buzzworm,,,,T,,,,,,
49,Bobby cuts the Orange,1998-06-28,1998-06-28,F,Bobby,267,267,1998-06-28,1998-06-28,266,268,F,"""He cuts it. But then he sees it too. He see the line where it gets cut through the orange. So he grabs the two ends."" (267)",Bobby and The Orange,,T,,,,,,,T,
50,Bobby lets go of the lines,1998-06-28,1998-06-28,F,Bobby,268,268,1998-06-28,1998-06-28,266,268,F,"""That's when he lets go. Lets the lines slither around his wrists, past his palms, through his fingers. Lets go."" (268)",Bobby,,T,,,,,,,,
