Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Participating Characters,Evelina Harp,Judge Antone Bazil Coutts,Marn Wolde,Doctor Cordelia Lochren,Seraph Milk,Corwin Peace,Billy Peace,Warren Wolde,Shamengwa Milk,Henri Peace,Lafayette Peace
38,Boots brought back to tree,1973-05-05,1973-05-05,T,Evelina Harp,253,253,1986-07-02,1986-07-02,219,268,T,This happens in direct succession to learning that Seraph spilled about the murder. ,Evelina Harp and Seraph Milk,T,,,,T,,,,,,
38,Boots brought back to tree,1973-05-05,1973-05-05,T,Evelina Harp,254,254,1986-07-02,1986-07-02,219,268,T,This happens in direct succession to learning that Seraph spilled about the murder. ,Evelina Harp and Seraph Milk,T,,,,T,,,,,,
30,Shamengwa dies,1972-08-16,1972-08-16,T,Evelina Harp,256,256,1986-07-02,1986-07-02,219,268,T,"“The summer went” (210), Shamengwa passes at the end of the summer but before fall of 1972. ",Shamengwa Milk,  ,,,,,,,,T,,
40,Edward loses his stamps,1974-03-23,1974-03-23,T,Evelina Harp,266,266,1986-07-02,1986-07-02,219,268,T,"“In late March” (266). Evelina describes this happening the following spring after she leaves the hospital, which would be March 1974.",,,,,,,,,,,,
30,Shamengwa dies,1972-08-16,1972-08-16,T,Evelina Harp,267,267,1986-07-02,1986-07-02,219,268,T,"“The summer went” (210), Shamengwa passes at the end of the summer but before fall of 1972. ",Shamengwa Milk,  ,,,,,,,,T,,
41,Bazil and Geraldine marry,1974-05-01,1974-05-01,T,Evelina Harp,267,267,1986-07-02,1986-07-02,219,268,T,"Coutts and Geraldine marry when Father Cassidy is still in Pluto: ""Father Cassidy said he would not solemnize thier vows"" (267), and after Evelina comes back from the hospital, as she attends thier wedding. When Evelina goes with Seraph to the hospital on Halloween following her return home (October 31st 1973) she says that ""[a] year later"" Father Cassidy ""quit the priesthood, went home, grew a beard, and became an entreprener""(261). Therefore, in order for Evelina and Father Cassidy to be in Pluto at the time of the wedding, it would've had to take place between October 31st 1973 and October 31st 1974. ","Corwin Peace, Evelina Harp, Judge Antone Bazil Coutts, and Seraph Milk",T,T,,,T,T,,,,,
16,Bazil woosGeraldine,1951-01-01,1966-10-01,T,Evelina Harp,268,268,1986-07-02,1986-07-02,219,268,T,"Coutts and Geraldine are already together by the time Evelina learns about the lynching, as Geraldine is heard saying ""[w]ho told you?"" to Clemence regarding her relations with the judge, therefore they begin courting prior to September 1966 (*see Evelina learns of the lynching). The courting also must begin after Coutts and Cordelia's affair ends, as Coutts mentions his ""pains in that department"" (89), alluding to the end of his affair, therefore, Coutts courts Geraldine before October 1966 and after 1951. ",Judge Antone Bazil Coutts,,T,,,,,,,,,
41,Bazil and Geraldine marry,1974-05-01,1974-05-01,T,Evelina Harp,268,268,1986-07-02,1986-07-02,219,268,T,"Coutts and Geraldine marry when Father Cassidy is still in Pluto: ""Father Cassidy said he would not solemnize thier vows"" (267), and after Evelina comes back from the hospital, as she attends thier wedding. When Evelina goes with Seraph to the hospital on Halloween following her return home (October 31st 1973) she says that ""[a] year later"" Father Cassidy ""quit the priesthood, went home, grew a beard, and became an entreprener""(261). Therefore, in order for Evelina and Father Cassidy to be in Pluto at the time of the wedding, it would've had to take place between October 31st 1973 and October 31st 1974. ","Corwin Peace, Evelina Harp, Judge Antone Bazil Coutts, and Seraph Milk",T,T,,,T,T,,,,,
41,Bazil and Geraldine marry,1974-05-01,1974-05-01,T,Judge Antone Bazil Coutts,271,271,1980-11-30,1980-11-30,269,292,T,"Coutts and Geraldine marry when Father Cassidy is still in Pluto: ""Father Cassidy said he would not solemnize thier vows"" (267), and after Evelina comes back from the hospital, as she attends thier wedding. When Evelina goes with Seraph to the hospital on Halloween following her return home (October 31st 1973) she says that ""[a] year later"" Father Cassidy ""quit the priesthood, went home, grew a beard, and became an entreprener""(261). Therefore, in order for Evelina and Father Cassidy to be in Pluto at the time of the wedding, it would've had to take place between October 31st 1973 and October 31st 1974. ","Corwin Peace, Evelina Harp, Judge Antone Bazil Coutts, and Seraph Milk", T,T,,,T,T,,,,,
16,Bazil woosGeraldine,1951-01-01,1966-10-01,T,Judge Antone Bazil Coutts,271,271,1980-11-30,1980-11-30,269,292,T,"Coutts and Geraldine are already together by the time Evelina learns about the lynching, as Geraldine is heard saying ""[w]ho told you?"" to Clemence regarding her relations with the judge, therefore they begin courting prior to September 1966 (*see Evelina learns of the lynching). The courting also must begin after Coutts and Cordelia's affair ends, as Coutts mentions his ""pains in that department"" (89), alluding to the end of his affair, therefore, Coutts courts Geraldine before October 1966 and after 1951. ",Judge Antone Bazil Coutts,,T,,,,,,,,,
41,Bazil and Geraldine marry,1974-05-01,1974-05-01,T,Judge Antone Bazil Coutts,272,272,1980-11-30,1980-11-30,269,292,T,"Coutts and Geraldine marry when Father Cassidy is still in Pluto: ""Father Cassidy said he would not solemnize thier vows"" (267), and after Evelina comes back from the hospital, as she attends thier wedding. When Evelina goes with Seraph to the hospital on Halloween following her return home (October 31st 1973) she says that ""[a] year later"" Father Cassidy ""quit the priesthood, went home, grew a beard, and became an entreprener""(261). Therefore, in order for Evelina and Father Cassidy to be in Pluto at the time of the wedding, it would've had to take place between October 31st 1973 and October 31st 1974. ","Corwin Peace, Evelina Harp, Judge Antone Bazil Coutts, and Seraph Milk", T,T,,,T,T,,,,,
