Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Participating Characters,Scout,Jem,Dill,Atticus,Tom Robinson,Boo Radley
6,Mayella is assaulted,1934-01-12,1934-01-12,T,Scout,236,236,1936-07-30,1936-07-30,3,376,T,"""Her eye was blacked and she was mighty beat up.""","Atticus, Scout, and Tom Robinson",T,F,F,T,T,F
6,Mayella is assaulted,1934-01-12,1934-01-12,T,Scout,238,238,1936-07-30,1936-07-30,3,376,T,...Mr. Ewell could have beaten up Mayella.,"Atticus, Scout, and Tom Robinson",T,F,F,T,T,F
6,Mayella is assaulted,1934-01-12,1934-01-12,T,Scout,241,241,1936-07-30,1936-07-30,3,376,T,"""I fought'n'hollered, but he had me round the neck.""","Atticus, Scout, and Tom Robinson",T,F,F,T,T,F
6,Mayella is assaulted,1934-01-12,1934-01-12,T,Scout,242,242,1936-07-30,1936-07-30,3,376,T,"""You say you fought him off as hard as you could?""","Atticus, Scout, and Tom Robinson",T,F,F,T,T,F
6,Mayella is assaulted,1934-01-12,1934-01-12,T,Scout,247,247,1936-07-30,1936-07-30,3,376,T,"""Do you remember him beating you about the face?""","Atticus, Scout, and Tom Robinson",T,F,F,T,T,F
6,Mayella is assaulted,1934-01-12,1934-01-12,T,Scout,248,248,1936-07-30,1936-07-30,3,376,T,"""I mean yes I do, he hit me.""","Atticus, Scout, and Tom Robinson",T,F,F,T,T,F
6,Mayella is assaulted,1934-01-12,1934-01-12,T,Scout,249,249,1936-07-30,1936-07-30,3,376,T,"""It most certainly is.""","Atticus, Scout, and Tom Robinson",T,F,F,T,T,F
6,Mayella is assaulted,1934-01-12,1934-01-12,T,Scout,250,250,1936-07-30,1936-07-30,3,376,T,"""I said he hit me.""","Atticus, Scout, and Tom Robinson",T,F,F,T,T,F
6,Mayella is assaulted,1934-01-12,1934-01-12,T,Scout,251,251,1936-07-30,1936-07-30,3,376,T,"""Who beat you up? Tom Robinson or your father?""","Atticus, Scout, and Tom Robinson",T,F,F,T,T,F
6,Mayella is assaulted,1934-01-12,1934-01-12,T,Scout,260,260,1936-07-30,1936-07-30,3,376,T,"""Tom, did you rape Mayella Ewell?""","Atticus, Scout, and Tom Robinson",T,F,F,T,T,F
7,Atticus tells Scout he's defending Tom Robinson,1934-02-12,1934-02-12,T,Scout,100,100,1936-07-30,1936-07-30,3,376,T,"""I'm simply defending a N****""","Atticus, Scout, and Tom Robinson",T,F,F,T,T,F
7,Atticus tells Scout he's defending Tom Robinson,1934-02-12,1934-02-12,T,Scout,101,101,1936-07-30,1936-07-30,3,376,T,"""...every lawyer gets at least one case in his lifetime that affects him personally.""","Atticus, Scout, and Tom Robinson",T,F,F,T,T,F
7,Atticus tells Scout he's defending Tom Robinson,1934-02-12,1934-02-12,T,Scout,102,102,1936-07-30,1936-07-30,3,376,T,"""...no matter how bitter things get...""","Atticus, Scout, and Tom Robinson",T,F,F,T,T,F
8,Scout goes to Finch's Landing,1934-12-25,1934-12-25,T,Scout,102,102,1936-07-30,1936-07-30,3,376,T,Jem and I viewed Christmas with mixed feelings.,"Atticus, Jem, and Scout",T,T,F,T,F,F
8,Scout goes to Finch's Landing,1934-12-25,1934-12-25,T,Scout,103,103,1936-07-30,1936-07-30,3,376,T,No amount of sighing could induce Atticus to let us spend Christmas at home.,"Atticus, Jem, and Scout",T,T,F,T,F,F
8,Scout goes to Finch's Landing,1934-12-25,1934-12-25,T,Scout,104,104,1936-07-30,1936-07-30,3,376,T,"""What's i those packages?"" I asked him.","Atticus, Jem, and Scout",T,T,F,T,F,F
8,Scout goes to Finch's Landing,1934-12-25,1934-12-25,T,Scout,105,105,1936-07-30,1936-07-30,3,376,T,But at supper that evening...,"Atticus, Jem, and Scout",T,T,F,T,F,F
8,Scout goes to Finch's Landing,1934-12-25,1934-12-25,T,Scout,106,106,1936-07-30,1936-07-30,3,376,T,It took Atticus's courtroom voice to drag us away from the tree.,"Atticus, Jem, and Scout",T,T,F,T,F,F
8,Scout goes to Finch's Landing,1934-12-25,1934-12-25,T,Scout,107,107,1936-07-30,1936-07-30,3,376,T,There went with the house the usual legend about the Yankees...,"Atticus, Jem, and Scout",T,T,F,T,F,F
8,Scout goes to Finch's Landing,1934-12-25,1934-12-25,T,Scout,108,108,1936-07-30,1936-07-30,3,376,T,Aunt Alexandra was fanatical on the subject of my attire.,"Atticus, Jem, and Scout",T,T,F,T,F,F
8,Scout goes to Finch's Landing,1934-12-25,1934-12-25,T,Scout,109,109,1936-07-30,1936-07-30,3,376,T,"Afterwards, the adults made for the livingroom and sat around in a dazed condition.","Atticus, Jem, and Scout",T,T,F,T,F,F
8,Scout goes to Finch's Landing,1934-12-25,1934-12-25,T,Scout,110,110,1936-07-30,1936-07-30,3,376,T,"""Francis, that's not so!""","Atticus, Jem, and Scout",T,T,F,T,F,F
8,Scout goes to Finch's Landing,1934-12-25,1934-12-25,T,Scout,111,111,1936-07-30,1936-07-30,3,376,T,"Francis shot back into the kitchen, so I retired to the steps.","Atticus, Jem, and Scout",T,T,F,T,F,F
8,Scout goes to Finch's Landing,1934-12-25,1934-12-25,T,Scout,112,112,1936-07-30,1936-07-30,3,376,T,"This time, I split my knuckle to the bone on his front teeth.","Atticus, Jem, and Scout",T,T,F,T,F,F
9,Atticus shoots the mad dog,1935-02-14,1935-02-14,T,Scout,127,127,1936-07-30,1936-07-30,3,376,T,The rifled cracked.,"Atticus, Jem, and Scout",T,T,F,T,F,F
9,Atticus shoots the mad dog,1935-02-14,1935-02-14,T,Scout,128,128,1936-07-30,1936-07-30,3,376,T,"""You haven't forgot much, Mr. Finch. They say it never leaves you.""","Atticus, Jem, and Scout",T,T,F,T,F,F
9,Atticus shoots the mad dog,1935-02-14,1935-02-14,T,Scout,129,129,1936-07-30,1936-07-30,3,376,T,"""'d you see him, Scout?""","Atticus, Jem, and Scout",T,T,F,T,F,F
10,Scout and Jem read to Mrs. Dubose,1935-01-03,1935-05-31,T,Scout,140,140,1936-07-30,1936-07-30,3,376,T,"""Atticus,"" he said, ""she wants me to read to her.""",Jem and Scout,T,T,F,F,F,F
10,Scout and Jem read to Mrs. Dubose,1935-01-03,1935-05-31,T,Scout,141,141,1936-07-30,1936-07-30,3,376,T,...Jem and I climbed the steep front steps to Mrs. Dubose's house...,Jem and Scout,T,T,F,F,F,F
10,Scout and Jem read to Mrs. Dubose,1935-01-03,1935-05-31,T,Scout,142,142,1936-07-30,1936-07-30,3,376,T,Jem reopened Ivanhoe and began reading.,Jem and Scout,T,T,F,F,F,F
10,Scout and Jem read to Mrs. Dubose,1935-01-03,1935-05-31,T,Scout,143,143,1936-07-30,1936-07-30,3,376,T,Her mouth seemed to have a private existence of its own.,Jem and Scout,T,T,F,F,F,F
10,Scout and Jem read to Mrs. Dubose,1935-01-03,1935-05-31,T,Scout,144,144,1936-07-30,1936-07-30,3,376,T,The next afternoon at Mrs. Dubose's wa the same as the first...,Jem and Scout,T,T,F,F,F,F
10,Scout and Jem read to Mrs. Dubose,1935-01-03,1935-05-31,T,Scout,145,145,1936-07-30,1936-07-30,3,376,T,One afternoon a month later...,Jem and Scout,T,T,F,F,F,F
10,Scout and Jem read to Mrs. Dubose,1935-01-03,1935-05-31,T,Scout,146,146,1936-07-30,1936-07-30,3,376,T,The following week found us back at Mrs. Dubose's.,Jem and Scout,T,T,F,F,F,F
10,Scout and Jem read to Mrs. Dubose,1935-01-03,1935-05-31,T,Scout,147,147,1936-07-30,1936-07-30,3,376,T,"""I'm going down to Mrs. Dubose's for a while,"" he said.",Jem and Scout,T,T,F,F,F,F
10,Scout and Jem read to Mrs. Dubose,1935-01-03,1935-05-31,T,Scout,148,148,1936-07-30,1936-07-30,3,376,T,"""Most of the time you were reading to her...""",Jem and Scout,T,T,F,F,F,F
10,Scout and Jem read to Mrs. Dubose,1935-01-03,1935-05-31,T,Scout,149,149,1936-07-30,1936-07-30,3,376,T,"""...son, I told you that if you hadn't lost your head, I'd have made you go read to her.""",Jem and Scout,T,T,F,F,F,F
10,Scout and Jem go to Calpurnia's church,1935-07-30,1935-07-30,T,Scout,156,156,1936-07-30,1936-07-30,3,376,T,"""How'd you and Mister Jem like to come to church with me tomorrow?""",Jem and Scout,T,T,F,F,F,F
10,Scout and Jem go to Calpurnia's church,1935-07-30,1935-07-30,T,Scout,157,157,1936-07-30,1936-07-30,3,376,T,First Purchase African M.E. Church...,Jem and Scout,T,T,F,F,F,F
10,Scout and Jem go to Calpurnia's church,1935-07-30,1935-07-30,T,Scout,158,158,1936-07-30,1936-07-30,3,376,T,They parted and made a small pathway to the church door for us.,Jem and Scout,T,T,F,F,F,F
10,Scout and Jem go to Calpurnia's church,1935-07-30,1935-07-30,T,Scout,159,159,1936-07-30,1936-07-30,3,376,T,I agreed; they did not want us here.,Jem and Scout,T,T,F,F,F,F
10,Scout and Jem go to Calpurnia's church,1935-07-30,1935-07-30,T,Scout,160,160,1936-07-30,1936-07-30,3,376,T,"""We've got ours,"" he whispered.",Jem and Scout,T,T,F,F,F,F
