Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Participating Characters,Sasha,Bennie,Scotty,Lou,Rob,Lulu
21,Bennie allegedly cheats on Stephanie,2004-06-21,2004-06-21,T,3rd-Person,134,134,,,111,136,T,He'd slept with Kathy.,Bennie,F,T,F,F,F,F
19,Bennie and Stephanie move to Crandale,2003-06-21,2003-09-23,T,3rd-Person,111,111,,,111,136,T,Stephanie and Bennie had lived in Crandale...,Bennie,F,T,F,F,F,F
19,Bennie and Stephanie move to Crandale,2003-06-21,2003-09-23,T,3rd-Person,117,117,,,111,136,T,"""Moving to a place like this.""",Bennie,F,T,F,F,F,F
18,Bennie sells Sow's Ear,2002-06-01,2002-06-01,T,3rd-Person,23,23,,,19,38,T,...he'd sold his label...,Bennie,F,T,F,F,F,F
18,Bennie sells Sow's Ear,2002-06-01,2002-06-01,T,3rd-Person,113,113,,,111,136,T,He'd sold his record label last year...,Bennie,F,T,F,F,F,F
18,Bennie sells Sow's Ear,2002-06-01,2002-06-01,T,3rd-Person,312,312,,,310,340,T,...Bennie had gotten canned from his own label...,Bennie,F,T,F,F,F,F
18,Bennie sells Sow's Ear,2002-06-01,2002-06-01,T,3rd-Person,333,333,,,310,340,T,"""...and I got fired from Sow's Ear...""",Bennie,F,T,F,F,F,F
28,Bennie tells Sasha he's crazy about her,2007-05-01,2007-05-01,T,3rd-Person,38,38,,,19,38,T,"""I'm crazy about you, Sasha.""",Bennie and Sasha,T,T,F,F,F,F
27,Dolly is incarcerated for 6 months,2007-01-01,2007-06-30,T,3rd-Person,22,22,,,19,38,T,"Stephanie's former boss, who was now doing jail time?",,F,F,F,F,F,F
27,Dolly is incarcerated for 6 months,2007-01-01,2007-06-30,T,3rd-Person,142,142,,,137,165,T,...six months for criminal negligence...,,F,F,F,F,F,F
29,"Dolly, Lulu, and Kitty visit the General",2008-07-01,2008-07-31,T,3rd-Person,149,149,,,137,165,T,...the general's compound.,Lulu,F,F,F,F,F,T
29,"Dolly, Lulu, and Kitty visit the General",2008-07-01,2008-07-31,T,3rd-Person,150,150,,,137,165,T,...emerged from the compound...,Lulu,F,F,F,F,F,T
29,"Dolly, Lulu, and Kitty visit the General",2008-07-01,2008-07-31,T,3rd-Person,151,151,,,137,165,T,"""The general was impressed.""",Lulu,F,F,F,F,F,T
29,"Dolly, Lulu, and Kitty visit the General",2008-07-01,2008-07-31,T,3rd-Person,152,152,,,137,165,T,Dolly and Lulu rode with Arc...,Lulu,F,F,F,F,F,T
29,"Dolly, Lulu, and Kitty visit the General",2008-07-01,2008-07-31,T,3rd-Person,153,153,,,137,165,T,Arc led the way inside a crowded tea shop.,Lulu,F,F,F,F,F,T
