character_id,character_name,character_novel_id_fk
384,R Kafka,7
385,R Woman (disease of the blood),7
386,R Little boy (in polished boots),7
387,R Man (in a secondhand shop),7
388,R Fritzy,7
389,R Sari Gursky,7
390,R Charlotte's cousin,7
391,R Charlotte's cousin's husband,7
392,R Man (City Clerk's Office),7
393,R Arthur Goldfarb,7
394,R Arthur Goldfarb's grandniece,7
395,R Man's wife (City Clerk's Office),7
396,R Rabbi Greenberg,7
397,R Mordecai's father,7
398,R Information Woman,7
399,R Doorman (Alma Mereminski's building),7
400,R Great Aunt Dora,7
401,R Rembrandt,7
402,R Wittgenstein,7
403,R Zvi's landlady's son,7
404,R Zvi's father's friend,7
405,R Zvi's brother,7
406,R Zvi's nurse,7
407,R Rosa's mother,7
408,R Portuguese ambassador,7
409,R Alfonso,7
410,R Charlotte's publisher(s),7
411,"R Woman (sagging breasts, frizzy hair, red knees)",7
412,R Marsha,7
413,R Joe,7
414,R John Lennon,7
415,R Paul McCartney,7
416,R Ringo Starr,7
417,R Herman's father,7
418,R Jacques Cousteau,7
419,R Bedouin(s),7
420,R Dr. Vishnubakat,7
421,R Woman (at the airport),7
422,R Police,7
423,R Firemen,7
424,R Garbage man,7
425,R Someone (from the Daleds),7
426,R Louis,7
427,R Mr. Hintz,7
428,R Switchboard,7
429,R Young man (Fiction Department),7
430,R Roger Thornhill,7
431,R Little boy (throwing pebbles),7
432,R Boy(s) (from Leo's class),7
433,R THE MANAGEMENT,7
434,R Policeman (talking to Leo),7
435,R Man (at the zoo) [1],7
436,R SS Officer [1],7
437,R SS Officer [2],7
438,R SS Officer's wife [1],7
439,R Woman (at the zoo) [1],7
440,R Woman (at the zoo) [2],7
441,R Mother (at the zoo),7
442,R Couple (at the zoo),7
443,R Man (at the zoo) [2],7
444,E Old Man (that offers Alma vodka),5
445,E Bar Mitzvah Guests,5
446,E Mr. Shklovsky,5
447,E Mrs. Shklovsky,5
448,E Louis,5
449,E Isaac Moritz's Ex-Wife,5
450,E Isaac Moritz's Friend,5
451,E Isaac Moritz's Neighbor,5
452,E Isaac Moritz's Gardener,5
453,E Isaac Moritz's Neighbor's Child,5
454,E Woman (who left Nicanor Parra for another),5
455,E Greg Feldman,5
456,E Marx,5
457,E Malevich,5
458,E Leo's Landlord,5
459,E Hitler,5
460,E Hitler's armies,5
461,E Pretty Girl (that lived across the street from L,5
462,E Moscow's Secret Police,5
463,E Litvinoff's Editor,5
