source,target,startPage,Character 1,Character 2,type,weight,category
901,905,26,,,,,
901,903,26,,,,,
901,902,26,,,,,
2515,907,26,,,,,
906,907,26,,,,,
2514,2515,26,,,,,
2514,907,26,,,,,
901,1713,27,,,,,
903,1712,27,,,,,
1712,1713,27,,,,,
903,1713,27,,,,,
901,903,27,,,,,
901,1712,27,,,,,
897,1713,28,,,,,
897,903,28,,,,,
1713,903,28,,,,,
897,1712,28,,,,,
903,1712,28,,,,,
1713,1712,28,,,,,
2518,1718,29,,,,,
907,2516,29,,,,,
907,2518,29,,,,,
907,1718,29,,,,,
2516,2518,29,,,,,
905,897,29,,,,,
905,1717,29,,,,,
905,1756,29,,,,,
897,1717,29,,,,,
897,1756,29,,,,,
897,2516,29,,,,,
897,2518,29,,,,,
897,1718,29,,,,,
1717,1756,29,,,,,
1717,2516,29,,,,,
1717,2518,29,,,,,
1717,1718,29,,,,,
1756,2516,29,,,,,
1756,2518,29,,,,,
1756,1718,29,,,,,
907,1756,29,,,,,
903,1717,29,,,,,
903,1756,29,,,,,
903,2516,29,,,,,
903,2518,29,,,,,
903,1718,29,,,,,
904,905,29,,,,,
904,906,29,,,,,
904,907,29,,,,,
904,897,29,,,,,
904,1717,29,,,,,
904,1756,29,,,,,
904,2516,29,,,,,
904,2518,29,,,,,
904,1718,29,,,,,
905,906,29,,,,,
2516,1718,29,,,,,
905,907,29,,,,,
896,903,29,,,,,
896,904,29,,,,,
905,2516,29,,,,,
905,2518,29,,,,,
905,1718,29,,,,,
906,907,29,,,,,
906,897,29,,,,,
906,1717,29,,,,,
906,1756,29,,,,,
906,2516,29,,,,,
906,2518,29,,,,,
906,1718,29,,,,,
907,897,29,,,,,
907,1717,29,,,,,
903,906,29,,,,,
903,905,29,,,,,
903,904,29,,,,,
896,1718,29,,,,,
896,2518,29,,,,,
896,2516,29,,,,,
896,1756,29,,,,,
896,1717,29,,,,,
896,897,29,,,,,
896,907,29,,,,,
896,906,29,,,,,
896,905,29,,,,,
903,897,29,,,,,
903,907,29,,,,,
907,1748,30,,,,,
907,2519,30,,,,,
907,1717,30,,,,,
907,1718,30,,,,,
907,1719,30,,,,,
907,2518,30,,,,,
907,2520,30,,,,,
899,901,30,,,,,
899,903,30,,,,,
899,904,30,,,,,
899,906,30,,,,,
899,1748,30,,,,,
899,2519,30,,,,,
899,1717,30,,,,,
903,1748,30,,,,,
907,906,30,,,,,
903,1717,30,,,,,
903,1718,30,,,,,
903,1719,30,,,,,
903,2518,30,,,,,
903,2520,30,,,,,
904,906,30,,,,,
904,1748,30,,,,,
904,2519,30,,,,,
904,1717,30,,,,,
904,1718,30,,,,,
904,1719,30,,,,,
904,2518,30,,,,,
904,2520,30,,,,,
906,1748,30,,,,,
906,2519,30,,,,,
899,1719,30,,,,,
906,1718,30,,,,,
906,1719,30,,,,,
906,2518,30,,,,,
906,2520,30,,,,,
1748,2519,30,,,,,
1748,1717,30,,,,,
1748,1718,30,,,,,
1748,1719,30,,,,,
1748,2518,30,,,,,
1748,2520,30,,,,,
2519,1717,30,,,,,
2519,1718,30,,,,,
2519,1719,30,,,,,
2519,2518,30,,,,,
2519,2520,30,,,,,
903,2519,30,,,,,
1717,1719,30,,,,,
1717,2518,30,,,,,
1717,2520,30,,,,,
1718,1719,30,,,,,
1718,2518,30,,,,,
1718,2520,30,,,,,
1719,2518,30,,,,,
1719,2520,30,,,,,
2518,2520,30,,,,,
907,904,30,,,,,
896,2520,30,,,,,
897,905,30,,,,,
897,907,30,,,,,
897,899,30,,,,,
897,901,30,,,,,
897,903,30,,,,,
897,904,30,,,,,
897,906,30,,,,,
897,1748,30,,,,,
897,2519,30,,,,,
897,1717,30,,,,,
897,1718,30,,,,,
897,1719,30,,,,,
897,2518,30,,,,,
906,1717,30,,,,,
905,901,30,,,,,
905,903,30,,,,,
905,904,30,,,,,
905,906,30,,,,,
905,1748,30,,,,,
905,2519,30,,,,,
905,1717,30,,,,,
905,1718,30,,,,,
905,1719,30,,,,,
905,2518,30,,,,,
905,2520,30,,,,,
907,899,30,,,,,
907,901,30,,,,,
907,903,30,,,,,
1717,1718,30,,,,,
899,1718,30,,,,,
905,899,30,,,,,
899,2518,30,,,,,
899,2520,30,,,,,
901,903,30,,,,,
901,904,30,,,,,
901,906,30,,,,,
901,1748,30,,,,,
901,2519,30,,,,,
901,1717,30,,,,,
901,1718,30,,,,,
901,1719,30,,,,,
901,2518,30,,,,,
901,2520,30,,,,,
903,904,30,,,,,
903,906,30,,,,,
897,2520,30,,,,,
905,907,30,,,,,
896,897,30,,,,,
896,905,30,,,,,
896,907,30,,,,,
896,899,30,,,,,
896,901,30,,,,,
896,903,30,,,,,
896,904,30,,,,,
896,906,30,,,,,
896,1748,30,,,,,
896,2519,30,,,,,
896,1717,30,,,,,
896,1718,30,,,,,
896,1719,30,,,,,
896,2518,30,,,,,
899,1713,31,,,,,
899,1712,31,,,,,
899,1710,31,,,,,
904,1717,31,,,,,
904,2521,31,,,,,
904,1711,31,,,,,
904,907,31,,,,,
904,906,31,,,,,
904,905,31,,,,,
904,2518,31,,,,,
904,1713,31,,,,,
904,1712,31,,,,,
904,1710,31,,,,,
904,899,31,,,,,
896,1713,31,,,,,
897,2521,31,,,,,
1710,1717,31,,,,,
1710,2521,31,,,,,
1710,1711,31,,,,,
1710,907,31,,,,,
1710,906,31,,,,,
1710,905,31,,,,,
1710,2518,31,,,,,
1710,1713,31,,,,,
1710,1712,31,,,,,
899,1717,31,,,,,
899,2521,31,,,,,
899,1711,31,,,,,
899,907,31,,,,,
899,906,31,,,,,
903,906,31,,,,,
899,2518,31,,,,,
2518,905,31,,,,,
1713,1717,31,,,,,
1713,2521,31,,,,,
1713,1711,31,,,,,
1713,907,31,,,,,
1713,906,31,,,,,
1713,905,31,,,,,
1713,2518,31,,,,,
1712,1717,31,,,,,
1712,2521,31,,,,,
1712,1711,31,,,,,
1712,907,31,,,,,
1712,906,31,,,,,
1712,905,31,,,,,
897,1717,31,,,,,
1712,1713,31,,,,,
907,2521,31,,,,,
907,1711,31,,,,,
906,1717,31,,,,,
906,2521,31,,,,,
906,1711,31,,,,,
906,907,31,,,,,
905,1717,31,,,,,
905,2521,31,,,,,
905,1711,31,,,,,
905,907,31,,,,,
905,906,31,,,,,
2518,1717,31,,,,,
2518,2521,31,,,,,
2518,1711,31,,,,,
899,905,31,,,,,
2518,906,31,,,,,
2521,1717,31,,,,,
1711,1717,31,,,,,
1712,2518,31,,,,,
907,1717,31,,,,,
2518,907,31,,,,,
897,1713,31,,,,,
897,1712,31,,,,,
897,1710,31,,,,,
897,899,31,,,,,
897,904,31,,,,,
903,1717,31,,,,,
903,2521,31,,,,,
903,1711,31,,,,,
903,907,31,,,,,
903,905,31,,,,,
1711,2521,31,,,,,
897,1711,31,,,,,
897,907,31,,,,,
897,906,31,,,,,
897,905,31,,,,,
897,2518,31,,,,,
896,1711,31,,,,,
896,2521,31,,,,,
896,906,31,,,,,
896,1717,31,,,,,
903,897,31,,,,,
903,899,31,,,,,
903,904,31,,,,,
903,1710,31,,,,,
903,1712,31,,,,,
903,1713,31,,,,,
903,2518,31,,,,,
896,1710,31,,,,,
896,1712,31,,,,,
896,905,31,,,,,
896,2518,31,,,,,
896,907,31,,,,,
896,904,31,,,,,
896,899,31,,,,,
896,903,31,,,,,
896,897,31,,,,,
903,2522,32,,,,,
903,907,32,,,,,
903,2523,32,,,,,
904,1711,32,,,,,
903,904,32,,,,,
903,1713,32,,,,,
903,1745,32,,,,,
897,1713,32,,,,,
897,2522,32,,,,,
897,907,32,,,,,
897,2523,32,,,,,
903,1711,32,,,,,
897,1711,32,,,,,
897,903,32,,,,,
897,904,32,,,,,
896,1713,32,,,,,
896,1745,32,,,,,
896,2522,32,,,,,
896,907,32,,,,,
896,897,32,,,,,
896,903,32,,,,,
896,904,32,,,,,
896,2523,32,,,,,
897,1745,32,,,,,
2522,2523,32,,,,,
1745,2523,32,,,,,
2522,907,32,,,,,
1745,2522,32,,,,,
1713,2523,32,,,,,
1713,907,32,,,,,
1745,907,32,,,,,
1713,2522,32,,,,,
1713,1745,32,,,,,
1711,907,32,,,,,
1711,2523,32,,,,,
1711,2522,32,,,,,
1711,1745,32,,,,,
1711,1713,32,,,,,
904,907,32,,,,,
896,1711,32,,,,,
904,2522,32,,,,,
904,1713,32,,,,,
904,1745,32,,,,,
907,2523,32,,,,,
904,2523,32,,,,,
906,1711,33,,,,,
906,1710,33,,,,,
906,907,33,,,,,
1710,1712,33,,,,,
1710,1711,33,,,,,
907,2523,33,,,,,
907,1719,33,,,,,
907,1713,33,,,,,
904,905,33,,,,,
903,2523,33,,,,,
903,1719,33,,,,,
903,1713,33,,,,,
903,1712,33,,,,,
1711,1712,33,,,,,
903,1711,33,,,,,
903,907,33,,,,,
1713,2523,33,,,,,
1719,2523,33,,,,,
904,1712,33,,,,,
904,1713,33,,,,,
904,1719,33,,,,,
904,2523,33,,,,,
905,906,33,,,,,
905,907,33,,,,,
903,1710,33,,,,,
1711,1713,33,,,,,
1711,1719,33,,,,,
1711,2523,33,,,,,
1712,1713,33,,,,,
1712,1719,33,,,,,
1712,2523,33,,,,,
1713,1719,33,,,,,
1710,2523,33,,,,,
1710,1719,33,,,,,
1710,1713,33,,,,,
906,1712,33,,,,,
906,1713,33,,,,,
906,1719,33,,,,,
906,2523,33,,,,,
907,1710,33,,,,,
907,1711,33,,,,,
907,1712,33,,,,,
905,1710,33,,,,,
905,1711,33,,,,,
905,1712,33,,,,,
905,1713,33,,,,,
905,1719,33,,,,,
904,1711,33,,,,,
