id,Type of Relationship,Character 1,Character 2,Is Reciprocal?,Narrative Container,Start Page,End Page
871,"Knows","White friends of the Harveys","God","1","IV (BBLH)","52","58"
872,"Knows","Big Boy","Bertha","1","IV (BBLH)","55","55"
873,"Knows","White friends of the Harveys","Bertha","1","IV (BBLH)","55","55"
874,"Exchange","Big Boy","Will Sanders","1","V (BBLH)","59","61"
875,"Knows","Big Boy","Bobo","0","V (BBLH)","60","61"
876,"Knows","Will Sanders","Bobo","0","V (BBLH)","60","61"
877,"Knows","Big Boy","White friends of the Harveys","0","V (BBLH)","60","61"
878,"Knows","Will Sanders","White friends of the Harveys","0","V (BBLH)","60","61"
879,"Knows","Taylor","God","1","VI (FC)","179","186"
880,"Exchange","Taylor","God","1","VI (FC)","187","187"
881,"Knows","Mayor Bolton","God","1","VI (FC)","179","186"
882,"Knows","Chief Bruden","God","1","VI (FC)","179","186"
883,"Knows","Mr. Lowe","God","1","VI (FC)","179","186"
884,"Knows","Taylor","Jimmy","1","VI (FC)","179","179"
885,"Knows","Mayor Bolton","Jimmy","1","VI (FC)","179","179"
886,"Knows","Chief Bruden","Jimmy","1","VI (FC)","179","179"
887,"Knows of","Mr. Lowe","Jimmy","0","VI (FC)","179","179"
888,"Knows","Taylor","May","1","VI (FC)","179","179"
889,"Knows","Mayor Bolton","May","1","VI (FC)","179","179"
890,"Knows","Chief Bruden","May","1","VI (FC)","179","179"
891,"Knows of","Mr. Lowe","May","0","VI (FC)","179","179"
892,"Knows","Taylor","""black folks"" (townspeople FC)","1","VI (FC)","179","179"
893,"Knows","Mayor Bolton","""black folks"" (townspeople FC)","1","VI (FC)","179","179"
894,"Knows","Chief Bruden","""black folks"" (townspeople FC)","1","VI (FC)","179","179"
895,"Knows of","Mr. Lowe","""black folks"" (townspeople FC)","0","VI (FC)","179","179"
896,"Knows","Taylor","Industrial Squad","1","VI (FC)","180","180"
897,"Knows","Mr. Lowe","Industrial Squad","1","VI (FC)","180","180"
898,"Knows","Chief Bruden","Industrial Squad","1","VI (FC)","180","180"
899,"Knows","Mayor Bolton","Industrial Squad","1","VI (FC)","180","180"
900,"Knows","Mayor Bolton","""white folks"" (abstract)","1","VI (FC)","181","181"
901,"Knows","Taylor","""white folks"" (abstract)","1","VI (FC)","181","181"
902,"Knows","Chief Bruden","""white folks"" (abstract)","1","VI (FC)","181","181"
903,"Knows","Mr. Lowe","""white folks"" (abstract)","1","VI (FC)","181","181"
904,"Knows","Taylor","Scott","1","VI (FC)","181","181"
905,"Knows","Mayor Bolton","Scott","0","VI (FC)","181","181"
906,"Knows of","Chief Bruden","Scott","0","VI (FC)","181","181"
907,"Knows of","Mr. Lowe","Scott","0","VI (FC)","181","181"
908,"Knows","Taylor","Taylor's congregation","1","VI (FC)","181","186"
909,"Knows","Mayor Bolton","Taylor's congregation","1","VI (FC)","181","186"
910,"Knows","Chief Bruden","Taylor's congregation","1","VI (FC)","181","186"
911,"Knows of","Mr. Lowe","Taylor's congregation","0","VI (FC)","181","186"
912,"Knows","Taylor","the Reds","1","VI (FC)","181","182"
913,"Knows","Mayor Bolton","the Reds","1","VI (FC)","181","182"
914,"Knows","Chief Bruden","the Reds","1","VI (FC)","181","182"
915,"Knows","Mr. Lowe","the Reds","1","VI (FC)","181","182"
916,"Knows","Taylor","""thin black woman""","1","VI (FC)","183","183"
