source,target,Character 1,Character 2,type,weight,startPage,OriginalstartPage,category
25,16,Jordan Abel's mother,biographical Abel,Directed,0.1,63.2,632,Exchange
25,26,Jordan Abel's mother,Jordan Abel's family,Directed,0.1,63.2,632,Knows
25,58,Jordan Abel's mother,Pole of Sagaween,Directed,0.1,63.2,632,Knows
25,2,Jordan Abel's mother,Sagaween (Laxsgiik),Directed,0.1,63.2,632,Knows of
58,25,Pole of Sagaween,Jordan Abel's mother,Directed,0.1,63.2,632,Knows
58,2,Pole of Sagaween,Sagaween (Laxsgiik),Directed,0.1,63.2,632,Knows
2,58,Sagaween (Laxsgiik),Pole of Sagaween,Directed,0.1,63.2,632,Knows
16,26,biographical Abel,Jordan Abel's family,Directed,0.1,63.3,633,Exchange
16,25,biographical Abel,Jordan Abel's mother,Directed,0.1,63.3,633,Exchange
16,58,biographical Abel,Pole of Sagaween,Directed,0.1,63.3,633,Knows of
16,2,biographical Abel,Sagaween (Laxsgiik),Directed,0.1,63.3,633,Knows of
26,16,Jordan Abel's family,biographical Abel,Directed,0.1,63.3,633,Exchange
26,25,Jordan Abel's family,Jordan Abel's mother,Directed,0.1,63.3,633,Knows
25,16,Jordan Abel's mother,biographical Abel,Directed,0.1,63.3,633,Exchange
25,26,Jordan Abel's mother,Jordan Abel's family,Directed,0.1,63.3,633,Knows
25,58,Jordan Abel's mother,Pole of Sagaween,Directed,0.1,63.3,633,Knows
25,2,Jordan Abel's mother,Sagaween (Laxsgiik),Directed,0.1,63.3,633,Knows of
58,25,Pole of Sagaween,Jordan Abel's mother,Directed,0.1,63.3,633,Knows
58,2,Pole of Sagaween,Sagaween (Laxsgiik),Directed,0.1,63.3,633,Knows
2,58,Sagaween (Laxsgiik),Pole of Sagaween,Directed,0.1,63.3,633,Knows
16,26,biographical Abel,Jordan Abel's family,Directed,0.1,63.4,634,Exchange
16,25,biographical Abel,Jordan Abel's mother,Directed,0.1,63.4,634,Exchange
16,58,biographical Abel,Pole of Sagaween,Directed,0.1,63.4,634,Knows of
16,2,biographical Abel,Sagaween (Laxsgiik),Directed,0.1,63.4,634,Knows of
26,16,Jordan Abel's family,biographical Abel,Directed,0.1,63.4,634,Exchange
26,25,Jordan Abel's family,Jordan Abel's mother,Directed,0.1,63.4,634,Knows
25,16,Jordan Abel's mother,biographical Abel,Directed,0.1,63.4,634,Exchange
25,26,Jordan Abel's mother,Jordan Abel's family,Directed,0.1,63.4,634,Knows
25,58,Jordan Abel's mother,Pole of Sagaween,Directed,0.1,63.4,634,Knows
25,2,Jordan Abel's mother,Sagaween (Laxsgiik),Directed,0.1,63.4,634,Knows of
58,25,Pole of Sagaween,Jordan Abel's mother,Directed,0.1,63.4,634,Knows
58,2,Pole of Sagaween,Sagaween (Laxsgiik),Directed,0.1,63.4,634,Knows
2,58,Sagaween (Laxsgiik),Pole of Sagaween,Directed,0.1,63.4,634,Knows
16,26,biographical Abel,Jordan Abel's family,Directed,0.1,63.5,635,Exchange
16,25,biographical Abel,Jordan Abel's mother,Directed,0.1,63.5,635,Exchange
16,58,biographical Abel,Pole of Sagaween,Directed,0.1,63.5,635,Knows of
16,2,biographical Abel,Sagaween (Laxsgiik),Directed,0.1,63.5,635,Knows of
26,16,Jordan Abel's family,biographical Abel,Directed,0.1,63.5,635,Exchange
26,25,Jordan Abel's family,Jordan Abel's mother,Directed,0.1,63.5,635,Knows
25,16,Jordan Abel's mother,biographical Abel,Directed,0.1,63.5,635,Exchange
25,26,Jordan Abel's mother,Jordan Abel's family,Directed,0.1,63.5,635,Knows
25,58,Jordan Abel's mother,Pole of Sagaween,Directed,0.1,63.5,635,Knows
25,2,Jordan Abel's mother,Sagaween (Laxsgiik),Directed,0.1,63.5,635,Knows of
58,25,Pole of Sagaween,Jordan Abel's mother,Directed,0.1,63.5,635,Knows
58,2,Pole of Sagaween,Sagaween (Laxsgiik),Directed,0.1,63.5,635,Knows
2,58,Sagaween (Laxsgiik),Pole of Sagaween,Directed,0.1,63.5,635,Knows
16,26,biographical Abel,Jordan Abel's family,Directed,0.1,63.6,636,Exchange
16,25,biographical Abel,Jordan Abel's mother,Directed,0.1,63.6,636,Exchange
16,58,biographical Abel,Pole of Sagaween,Directed,0.1,63.6,636,Knows of
16,2,biographical Abel,Sagaween (Laxsgiik),Directed,0.1,63.6,636,Knows of
26,16,Jordan Abel's family,biographical Abel,Directed,0.1,63.6,636,Exchange
26,25,Jordan Abel's family,Jordan Abel's mother,Directed,0.1,63.6,636,Knows
25,16,Jordan Abel's mother,biographical Abel,Directed,0.1,63.6,636,Exchange
25,26,Jordan Abel's mother,Jordan Abel's family,Directed,0.1,63.6,636,Knows
25,58,Jordan Abel's mother,Pole of Sagaween,Directed,0.1,63.6,636,Knows
25,2,Jordan Abel's mother,Sagaween (Laxsgiik),Directed,0.1,63.6,636,Knows of
58,25,Pole of Sagaween,Jordan Abel's mother,Directed,0.1,63.6,636,Knows
58,2,Pole of Sagaween,Sagaween (Laxsgiik),Directed,0.1,63.6,636,Knows
2,58,Sagaween (Laxsgiik),Pole of Sagaween,Directed,0.1,63.6,636,Knows
16,26,biographical Abel,Jordan Abel's family,Directed,0.1,63.7,637,Exchange
16,25,biographical Abel,Jordan Abel's mother,Directed,0.1,63.7,637,Exchange
16,58,biographical Abel,Pole of Sagaween,Directed,0.1,63.7,637,Knows of
16,2,biographical Abel,Sagaween (Laxsgiik),Directed,0.1,63.7,637,Knows of
26,16,Jordan Abel's family,biographical Abel,Directed,0.1,63.7,637,Exchange
26,25,Jordan Abel's family,Jordan Abel's mother,Directed,0.1,63.7,637,Knows
25,16,Jordan Abel's mother,biographical Abel,Directed,0.1,63.7,637,Exchange
25,26,Jordan Abel's mother,Jordan Abel's family,Directed,0.1,63.7,637,Knows
25,58,Jordan Abel's mother,Pole of Sagaween,Directed,0.1,63.7,637,Knows
25,2,Jordan Abel's mother,Sagaween (Laxsgiik),Directed,0.1,63.7,637,Knows of
58,25,Pole of Sagaween,Jordan Abel's mother,Directed,0.1,63.7,637,Knows
58,2,Pole of Sagaween,Sagaween (Laxsgiik),Directed,0.1,63.7,637,Knows
2,58,Sagaween (Laxsgiik),Pole of Sagaween,Directed,0.1,63.7,637,Knows
16,26,biographical Abel,Jordan Abel's family,Directed,0.1,63.8,638,Exchange
16,25,biographical Abel,Jordan Abel's mother,Directed,0.1,63.8,638,Exchange
16,58,biographical Abel,Pole of Sagaween,Directed,0.1,63.8,638,Knows of
16,2,biographical Abel,Sagaween (Laxsgiik),Directed,0.1,63.8,638,Knows of
26,16,Jordan Abel's family,biographical Abel,Directed,0.1,63.8,638,Exchange
26,25,Jordan Abel's family,Jordan Abel's mother,Directed,0.1,63.8,638,Knows
25,16,Jordan Abel's mother,biographical Abel,Directed,0.1,63.8,638,Exchange
25,26,Jordan Abel's mother,Jordan Abel's family,Directed,0.1,63.8,638,Knows
25,58,Jordan Abel's mother,Pole of Sagaween,Directed,0.1,63.8,638,Knows
25,2,Jordan Abel's mother,Sagaween (Laxsgiik),Directed,0.1,63.8,638,Knows of
58,25,Pole of Sagaween,Jordan Abel's mother,Directed,0.1,63.8,638,Knows
58,2,Pole of Sagaween,Sagaween (Laxsgiik),Directed,0.1,63.8,638,Knows
2,58,Sagaween (Laxsgiik),Pole of Sagaween,Directed,0.1,63.8,638,Knows
16,26,biographical Abel,Jordan Abel's family,Directed,0.1,63.9,639,Exchange
16,25,biographical Abel,Jordan Abel's mother,Directed,0.1,63.9,639,Exchange
16,58,biographical Abel,Pole of Sagaween,Directed,0.1,63.9,639,Knows of
16,2,biographical Abel,Sagaween (Laxsgiik),Directed,0.1,63.9,639,Knows of
26,16,Jordan Abel's family,biographical Abel,Directed,0.1,63.9,639,Exchange
26,25,Jordan Abel's family,Jordan Abel's mother,Directed,0.1,63.9,639,Knows
25,16,Jordan Abel's mother,biographical Abel,Directed,0.1,63.9,639,Exchange
25,26,Jordan Abel's mother,Jordan Abel's family,Directed,0.1,63.9,639,Knows
25,58,Jordan Abel's mother,Pole of Sagaween,Directed,0.1,63.9,639,Knows
25,2,Jordan Abel's mother,Sagaween (Laxsgiik),Directed,0.1,63.9,639,Knows of
58,25,Pole of Sagaween,Jordan Abel's mother,Directed,0.1,63.9,639,Knows
58,2,Pole of Sagaween,Sagaween (Laxsgiik),Directed,0.1,63.9,639,Knows
2,58,Sagaween (Laxsgiik),Pole of Sagaween,Directed,0.1,63.9,639,Knows
60,1,collage photos,speaker Abel,Directed,0.1,65,650,Knows
1,60,speaker Abel,collage photos,Directed,0.1,65,650,Knows
60,1,collage photos,speaker Abel,Directed,0.1,65.1,651,Knows
1,60,speaker Abel,collage photos,Directed,0.1,65.1,651,Knows
60,1,collage photos,speaker Abel,Directed,0.1,65.2,652,Knows
1,60,speaker Abel,collage photos,Directed,0.1,65.2,652,Knows
29,27,"""Huge-Belly""","""Yaw'l"" (Laxgibuu)",Directed,0.1,67,670,Exchange
29,30,"""Huge-Belly""","brother of ""Yaw'l"" who killed ""Huge-Belly""",Directed,0.1,67,670,Exchange
29,28,"""Huge-Belly""","brothers of ""Yaw'l"" (Laxgibuu)",Directed,0.1,67,670,Exchange
31,27,"""Ksemkaigyet"" (""female being"")","""Yaw'l"" (Laxgibuu)",Directed,0.1,67,670,Exchange
31,30,"""Ksemkaigyet"" (""female being"")","brother of ""Yaw'l"" who killed ""Huge-Belly""",Directed,0.1,67,670,Exchange
31,28,"""Ksemkaigyet"" (""female being"")","brothers of ""Yaw'l"" (Laxgibuu)",Directed,0.1,67,670,Exchange
31,48,"""Ksemkaigyet"" (""female being"")",Nisg̱a’a,Directed,0.1,67,670,Knows
27,29,"""Yaw'l"" (Laxgibuu)","""Huge-Belly""",Directed,0.1,67,670,Exchange
27,31,"""Yaw'l"" (Laxgibuu)","""Ksemkaigyet"" (""female being"")",Directed,0.1,67,670,Exchange
27,30,"""Yaw'l"" (Laxgibuu)","brother of ""Yaw'l"" who killed ""Huge-Belly""",Directed,0.1,67,670,Exchange
27,28,"""Yaw'l"" (Laxgibuu)","brothers of ""Yaw'l"" (Laxgibuu)",Directed,0.1,67,670,Exchange
27,48,"""Yaw'l"" (Laxgibuu)",Nisg̱a’a,Directed,0.1,67,670,Knows
30,29,"brother of ""Yaw'l"" who killed ""Huge-Belly""","""Huge-Belly""",Directed,0.1,67,670,Exchange
30,31,"brother of ""Yaw'l"" who killed ""Huge-Belly""","""Ksemkaigyet"" (""female being"")",Directed,0.1,67,670,Exchange
30,27,"brother of ""Yaw'l"" who killed ""Huge-Belly""","""Yaw'l"" (Laxgibuu)",Directed,0.1,67,670,Exchange
30,28,"brother of ""Yaw'l"" who killed ""Huge-Belly""","brothers of ""Yaw'l"" (Laxgibuu)",Directed,0.1,67,670,Exchange
30,48,"brother of ""Yaw'l"" who killed ""Huge-Belly""",Nisg̱a’a,Directed,0.1,67,670,Knows
28,29,"brothers of ""Yaw'l"" (Laxgibuu)","""Huge-Belly""",Directed,0.1,67,670,Exchange
28,31,"brothers of ""Yaw'l"" (Laxgibuu)","""Ksemkaigyet"" (""female being"")",Directed,0.1,67,670,Exchange
28,27,"brothers of ""Yaw'l"" (Laxgibuu)","""Yaw'l"" (Laxgibuu)",Directed,0.1,67,670,Exchange
28,30,"brothers of ""Yaw'l"" (Laxgibuu)","brother of ""Yaw'l"" who killed ""Huge-Belly""",Directed,0.1,67,670,Exchange
28,48,"brothers of ""Yaw'l"" (Laxgibuu)",Nisg̱a’a,Directed,0.1,67,670,Knows
48,31,Nisg̱a’a,"""Ksemkaigyet"" (""female being"")",Directed,0.1,67,670,Knows
48,27,Nisg̱a’a,"""Yaw'l"" (Laxgibuu)",Directed,0.1,67,670,Knows
48,30,Nisg̱a’a,"brother of ""Yaw'l"" who killed ""Huge-Belly""",Directed,0.1,67,670,Knows
48,28,Nisg̱a’a,"brothers of ""Yaw'l"" (Laxgibuu)",Directed,0.1,67,670,Knows
48,14,Nisg̱a’a,real Barbeau,Directed,0.1,67,670,Knows
14,29,real Barbeau,"""Huge-Belly""",Directed,0.1,67,670,Knows of
14,31,real Barbeau,"""Ksemkaigyet"" (""female being"")",Directed,0.1,67,670,Knows of
14,27,real Barbeau,"""Yaw'l"" (Laxgibuu)",Directed,0.1,67,670,Knows of
14,30,real Barbeau,"brother of ""Yaw'l"" who killed ""Huge-Belly""",Directed,0.1,67,670,Knows of
14,28,real Barbeau,"brothers of ""Yaw'l"" (Laxgibuu)",Directed,0.1,67,670,Knows of
14,48,real Barbeau,Nisg̱a’a,Directed,0.1,67,670,Knows
29,27,"""Huge-Belly""","""Yaw'l"" (Laxgibuu)",Directed,0.1,67.1,671,Exchange
29,30,"""Huge-Belly""","brother of ""Yaw'l"" who killed ""Huge-Belly""",Directed,0.1,67.1,671,Exchange
29,28,"""Huge-Belly""","brothers of ""Yaw'l"" (Laxgibuu)",Directed,0.1,67.1,671,Exchange
31,27,"""Ksemkaigyet"" (""female being"")","""Yaw'l"" (Laxgibuu)",Directed,0.1,67.1,671,Exchange
31,30,"""Ksemkaigyet"" (""female being"")","brother of ""Yaw'l"" who killed ""Huge-Belly""",Directed,0.1,67.1,671,Exchange
31,28,"""Ksemkaigyet"" (""female being"")","brothers of ""Yaw'l"" (Laxgibuu)",Directed,0.1,67.1,671,Exchange
31,48,"""Ksemkaigyet"" (""female being"")",Nisg̱a’a,Directed,0.1,67.1,671,Knows
27,29,"""Yaw'l"" (Laxgibuu)","""Huge-Belly""",Directed,0.1,67.1,671,Exchange
27,31,"""Yaw'l"" (Laxgibuu)","""Ksemkaigyet"" (""female being"")",Directed,0.1,67.1,671,Exchange
27,30,"""Yaw'l"" (Laxgibuu)","brother of ""Yaw'l"" who killed ""Huge-Belly""",Directed,0.1,67.1,671,Exchange
27,28,"""Yaw'l"" (Laxgibuu)","brothers of ""Yaw'l"" (Laxgibuu)",Directed,0.1,67.1,671,Exchange
27,48,"""Yaw'l"" (Laxgibuu)",Nisg̱a’a,Directed,0.1,67.1,671,Knows
30,29,"brother of ""Yaw'l"" who killed ""Huge-Belly""","""Huge-Belly""",Directed,0.1,67.1,671,Exchange
30,31,"brother of ""Yaw'l"" who killed ""Huge-Belly""","""Ksemkaigyet"" (""female being"")",Directed,0.1,67.1,671,Exchange
30,27,"brother of ""Yaw'l"" who killed ""Huge-Belly""","""Yaw'l"" (Laxgibuu)",Directed,0.1,67.1,671,Exchange
30,28,"brother of ""Yaw'l"" who killed ""Huge-Belly""","brothers of ""Yaw'l"" (Laxgibuu)",Directed,0.1,67.1,671,Exchange
30,48,"brother of ""Yaw'l"" who killed ""Huge-Belly""",Nisg̱a’a,Directed,0.1,67.1,671,Knows
28,29,"brothers of ""Yaw'l"" (Laxgibuu)","""Huge-Belly""",Directed,0.1,67.1,671,Exchange
28,31,"brothers of ""Yaw'l"" (Laxgibuu)","""Ksemkaigyet"" (""female being"")",Directed,0.1,67.1,671,Exchange
28,27,"brothers of ""Yaw'l"" (Laxgibuu)","""Yaw'l"" (Laxgibuu)",Directed,0.1,67.1,671,Exchange
28,30,"brothers of ""Yaw'l"" (Laxgibuu)","brother of ""Yaw'l"" who killed ""Huge-Belly""",Directed,0.1,67.1,671,Exchange
28,48,"brothers of ""Yaw'l"" (Laxgibuu)",Nisg̱a’a,Directed,0.1,67.1,671,Knows
48,31,Nisg̱a’a,"""Ksemkaigyet"" (""female being"")",Directed,0.1,67.1,671,Knows
48,27,Nisg̱a’a,"""Yaw'l"" (Laxgibuu)",Directed,0.1,67.1,671,Knows
48,30,Nisg̱a’a,"brother of ""Yaw'l"" who killed ""Huge-Belly""",Directed,0.1,67.1,671,Knows
48,28,Nisg̱a’a,"brothers of ""Yaw'l"" (Laxgibuu)",Directed,0.1,67.1,671,Knows
48,14,Nisg̱a’a,real Barbeau,Directed,0.1,67.1,671,Knows
14,29,real Barbeau,"""Huge-Belly""",Directed,0.1,67.1,671,Knows of
14,31,real Barbeau,"""Ksemkaigyet"" (""female being"")",Directed,0.1,67.1,671,Knows of
14,27,real Barbeau,"""Yaw'l"" (Laxgibuu)",Directed,0.1,67.1,671,Knows of
14,30,real Barbeau,"brother of ""Yaw'l"" who killed ""Huge-Belly""",Directed,0.1,67.1,671,Knows of
14,28,real Barbeau,"brothers of ""Yaw'l"" (Laxgibuu)",Directed,0.1,67.1,671,Knows of
14,48,real Barbeau,Nisg̱a’a,Directed,0.1,67.1,671,Knows
29,27,"""Huge-Belly""","""Yaw'l"" (Laxgibuu)",Directed,0.1,67.2,672,Exchange
29,30,"""Huge-Belly""","brother of ""Yaw'l"" who killed ""Huge-Belly""",Directed,0.1,67.2,672,Exchange
29,28,"""Huge-Belly""","brothers of ""Yaw'l"" (Laxgibuu)",Directed,0.1,67.2,672,Exchange
31,27,"""Ksemkaigyet"" (""female being"")","""Yaw'l"" (Laxgibuu)",Directed,0.1,67.2,672,Exchange
31,30,"""Ksemkaigyet"" (""female being"")","brother of ""Yaw'l"" who killed ""Huge-Belly""",Directed,0.1,67.2,672,Exchange
31,28,"""Ksemkaigyet"" (""female being"")","brothers of ""Yaw'l"" (Laxgibuu)",Directed,0.1,67.2,672,Exchange
31,48,"""Ksemkaigyet"" (""female being"")",Nisg̱a’a,Directed,0.1,67.2,672,Knows
27,29,"""Yaw'l"" (Laxgibuu)","""Huge-Belly""",Directed,0.1,67.2,672,Exchange
27,31,"""Yaw'l"" (Laxgibuu)","""Ksemkaigyet"" (""female being"")",Directed,0.1,67.2,672,Exchange
27,30,"""Yaw'l"" (Laxgibuu)","brother of ""Yaw'l"" who killed ""Huge-Belly""",Directed,0.1,67.2,672,Exchange
27,28,"""Yaw'l"" (Laxgibuu)","brothers of ""Yaw'l"" (Laxgibuu)",Directed,0.1,67.2,672,Exchange
27,48,"""Yaw'l"" (Laxgibuu)",Nisg̱a’a,Directed,0.1,67.2,672,Knows
30,29,"brother of ""Yaw'l"" who killed ""Huge-Belly""","""Huge-Belly""",Directed,0.1,67.2,672,Exchange
30,31,"brother of ""Yaw'l"" who killed ""Huge-Belly""","""Ksemkaigyet"" (""female being"")",Directed,0.1,67.2,672,Exchange
30,27,"brother of ""Yaw'l"" who killed ""Huge-Belly""","""Yaw'l"" (Laxgibuu)",Directed,0.1,67.2,672,Exchange
30,28,"brother of ""Yaw'l"" who killed ""Huge-Belly""","brothers of ""Yaw'l"" (Laxgibuu)",Directed,0.1,67.2,672,Exchange
30,48,"brother of ""Yaw'l"" who killed ""Huge-Belly""",Nisg̱a’a,Directed,0.1,67.2,672,Knows
28,29,"brothers of ""Yaw'l"" (Laxgibuu)","""Huge-Belly""",Directed,0.1,67.2,672,Exchange
28,31,"brothers of ""Yaw'l"" (Laxgibuu)","""Ksemkaigyet"" (""female being"")",Directed,0.1,67.2,672,Exchange
28,27,"brothers of ""Yaw'l"" (Laxgibuu)","""Yaw'l"" (Laxgibuu)",Directed,0.1,67.2,672,Exchange
28,30,"brothers of ""Yaw'l"" (Laxgibuu)","brother of ""Yaw'l"" who killed ""Huge-Belly""",Directed,0.1,67.2,672,Exchange
28,48,"brothers of ""Yaw'l"" (Laxgibuu)",Nisg̱a’a,Directed,0.1,67.2,672,Knows
48,31,Nisg̱a’a,"""Ksemkaigyet"" (""female being"")",Directed,0.1,67.2,672,Knows
48,27,Nisg̱a’a,"""Yaw'l"" (Laxgibuu)",Directed,0.1,67.2,672,Knows
48,30,Nisg̱a’a,"brother of ""Yaw'l"" who killed ""Huge-Belly""",Directed,0.1,67.2,672,Knows
48,28,Nisg̱a’a,"brothers of ""Yaw'l"" (Laxgibuu)",Directed,0.1,67.2,672,Knows
48,14,Nisg̱a’a,real Barbeau,Directed,0.1,67.2,672,Knows
14,29,real Barbeau,"""Huge-Belly""",Directed,0.1,67.2,672,Knows of
14,31,real Barbeau,"""Ksemkaigyet"" (""female being"")",Directed,0.1,67.2,672,Knows of
14,27,real Barbeau,"""Yaw'l"" (Laxgibuu)",Directed,0.1,67.2,672,Knows of
14,30,real Barbeau,"brother of ""Yaw'l"" who killed ""Huge-Belly""",Directed,0.1,67.2,672,Knows of
14,28,real Barbeau,"brothers of ""Yaw'l"" (Laxgibuu)",Directed,0.1,67.2,672,Knows of
14,48,real Barbeau,Nisg̱a’a,Directed,0.1,67.2,672,Knows
29,27,"""Huge-Belly""","""Yaw'l"" (Laxgibuu)",Directed,0.1,67.3,673,Exchange
29,30,"""Huge-Belly""","brother of ""Yaw'l"" who killed ""Huge-Belly""",Directed,0.1,67.3,673,Exchange
29,28,"""Huge-Belly""","brothers of ""Yaw'l"" (Laxgibuu)",Directed,0.1,67.3,673,Exchange
31,27,"""Ksemkaigyet"" (""female being"")","""Yaw'l"" (Laxgibuu)",Directed,0.1,67.3,673,Exchange
31,30,"""Ksemkaigyet"" (""female being"")","brother of ""Yaw'l"" who killed ""Huge-Belly""",Directed,0.1,67.3,673,Exchange
31,28,"""Ksemkaigyet"" (""female being"")","brothers of ""Yaw'l"" (Laxgibuu)",Directed,0.1,67.3,673,Exchange
31,48,"""Ksemkaigyet"" (""female being"")",Nisg̱a’a,Directed,0.1,67.3,673,Knows
27,29,"""Yaw'l"" (Laxgibuu)","""Huge-Belly""",Directed,0.1,67.3,673,Exchange
27,31,"""Yaw'l"" (Laxgibuu)","""Ksemkaigyet"" (""female being"")",Directed,0.1,67.3,673,Exchange
27,30,"""Yaw'l"" (Laxgibuu)","brother of ""Yaw'l"" who killed ""Huge-Belly""",Directed,0.1,67.3,673,Exchange
27,28,"""Yaw'l"" (Laxgibuu)","brothers of ""Yaw'l"" (Laxgibuu)",Directed,0.1,67.3,673,Exchange
27,48,"""Yaw'l"" (Laxgibuu)",Nisg̱a’a,Directed,0.1,67.3,673,Knows
30,29,"brother of ""Yaw'l"" who killed ""Huge-Belly""","""Huge-Belly""",Directed,0.1,67.3,673,Exchange
30,31,"brother of ""Yaw'l"" who killed ""Huge-Belly""","""Ksemkaigyet"" (""female being"")",Directed,0.1,67.3,673,Exchange
30,27,"brother of ""Yaw'l"" who killed ""Huge-Belly""","""Yaw'l"" (Laxgibuu)",Directed,0.1,67.3,673,Exchange
30,28,"brother of ""Yaw'l"" who killed ""Huge-Belly""","brothers of ""Yaw'l"" (Laxgibuu)",Directed,0.1,67.3,673,Exchange
30,48,"brother of ""Yaw'l"" who killed ""Huge-Belly""",Nisg̱a’a,Directed,0.1,67.3,673,Knows
28,29,"brothers of ""Yaw'l"" (Laxgibuu)","""Huge-Belly""",Directed,0.1,67.3,673,Exchange
28,31,"brothers of ""Yaw'l"" (Laxgibuu)","""Ksemkaigyet"" (""female being"")",Directed,0.1,67.3,673,Exchange
28,27,"brothers of ""Yaw'l"" (Laxgibuu)","""Yaw'l"" (Laxgibuu)",Directed,0.1,67.3,673,Exchange
28,30,"brothers of ""Yaw'l"" (Laxgibuu)","brother of ""Yaw'l"" who killed ""Huge-Belly""",Directed,0.1,67.3,673,Exchange
28,48,"brothers of ""Yaw'l"" (Laxgibuu)",Nisg̱a’a,Directed,0.1,67.3,673,Knows
48,31,Nisg̱a’a,"""Ksemkaigyet"" (""female being"")",Directed,0.1,67.3,673,Knows
48,27,Nisg̱a’a,"""Yaw'l"" (Laxgibuu)",Directed,0.1,67.3,673,Knows
48,30,Nisg̱a’a,"brother of ""Yaw'l"" who killed ""Huge-Belly""",Directed,0.1,67.3,673,Knows
48,28,Nisg̱a’a,"brothers of ""Yaw'l"" (Laxgibuu)",Directed,0.1,67.3,673,Knows
48,14,Nisg̱a’a,real Barbeau,Directed,0.1,67.3,673,Knows
14,29,real Barbeau,"""Huge-Belly""",Directed,0.1,67.3,673,Knows of
14,31,real Barbeau,"""Ksemkaigyet"" (""female being"")",Directed,0.1,67.3,673,Knows of
14,27,real Barbeau,"""Yaw'l"" (Laxgibuu)",Directed,0.1,67.3,673,Knows of
14,30,real Barbeau,"brother of ""Yaw'l"" who killed ""Huge-Belly""",Directed,0.1,67.3,673,Knows of
14,28,real Barbeau,"brothers of ""Yaw'l"" (Laxgibuu)",Directed,0.1,67.3,673,Knows of
14,48,real Barbeau,Nisg̱a’a,Directed,0.1,67.3,673,Knows
29,27,"""Huge-Belly""","""Yaw'l"" (Laxgibuu)",Directed,0.1,67.4,674,Exchange
29,30,"""Huge-Belly""","brother of ""Yaw'l"" who killed ""Huge-Belly""",Directed,0.1,67.4,674,Exchange
29,28,"""Huge-Belly""","brothers of ""Yaw'l"" (Laxgibuu)",Directed,0.1,67.4,674,Exchange
31,27,"""Ksemkaigyet"" (""female being"")","""Yaw'l"" (Laxgibuu)",Directed,0.1,67.4,674,Exchange
31,30,"""Ksemkaigyet"" (""female being"")","brother of ""Yaw'l"" who killed ""Huge-Belly""",Directed,0.1,67.4,674,Exchange
31,28,"""Ksemkaigyet"" (""female being"")","brothers of ""Yaw'l"" (Laxgibuu)",Directed,0.1,67.4,674,Exchange
31,48,"""Ksemkaigyet"" (""female being"")",Nisg̱a’a,Directed,0.1,67.4,674,Knows
27,29,"""Yaw'l"" (Laxgibuu)","""Huge-Belly""",Directed,0.1,67.4,674,Exchange
27,31,"""Yaw'l"" (Laxgibuu)","""Ksemkaigyet"" (""female being"")",Directed,0.1,67.4,674,Exchange
27,30,"""Yaw'l"" (Laxgibuu)","brother of ""Yaw'l"" who killed ""Huge-Belly""",Directed,0.1,67.4,674,Exchange
27,28,"""Yaw'l"" (Laxgibuu)","brothers of ""Yaw'l"" (Laxgibuu)",Directed,0.1,67.4,674,Exchange
27,48,"""Yaw'l"" (Laxgibuu)",Nisg̱a’a,Directed,0.1,67.4,674,Knows
30,29,"brother of ""Yaw'l"" who killed ""Huge-Belly""","""Huge-Belly""",Directed,0.1,67.4,674,Exchange
30,31,"brother of ""Yaw'l"" who killed ""Huge-Belly""","""Ksemkaigyet"" (""female being"")",Directed,0.1,67.4,674,Exchange
30,27,"brother of ""Yaw'l"" who killed ""Huge-Belly""","""Yaw'l"" (Laxgibuu)",Directed,0.1,67.4,674,Exchange
30,28,"brother of ""Yaw'l"" who killed ""Huge-Belly""","brothers of ""Yaw'l"" (Laxgibuu)",Directed,0.1,67.4,674,Exchange
30,48,"brother of ""Yaw'l"" who killed ""Huge-Belly""",Nisg̱a’a,Directed,0.1,67.4,674,Knows
28,29,"brothers of ""Yaw'l"" (Laxgibuu)","""Huge-Belly""",Directed,0.1,67.4,674,Exchange
28,31,"brothers of ""Yaw'l"" (Laxgibuu)","""Ksemkaigyet"" (""female being"")",Directed,0.1,67.4,674,Exchange
28,27,"brothers of ""Yaw'l"" (Laxgibuu)","""Yaw'l"" (Laxgibuu)",Directed,0.1,67.4,674,Exchange
28,30,"brothers of ""Yaw'l"" (Laxgibuu)","brother of ""Yaw'l"" who killed ""Huge-Belly""",Directed,0.1,67.4,674,Exchange
28,48,"brothers of ""Yaw'l"" (Laxgibuu)",Nisg̱a’a,Directed,0.1,67.4,674,Knows
48,31,Nisg̱a’a,"""Ksemkaigyet"" (""female being"")",Directed,0.1,67.4,674,Knows
48,27,Nisg̱a’a,"""Yaw'l"" (Laxgibuu)",Directed,0.1,67.4,674,Knows
48,30,Nisg̱a’a,"brother of ""Yaw'l"" who killed ""Huge-Belly""",Directed,0.1,67.4,674,Knows
48,28,Nisg̱a’a,"brothers of ""Yaw'l"" (Laxgibuu)",Directed,0.1,67.4,674,Knows
48,14,Nisg̱a’a,real Barbeau,Directed,0.1,67.4,674,Knows
14,29,real Barbeau,"""Huge-Belly""",Directed,0.1,67.4,674,Knows of
14,31,real Barbeau,"""Ksemkaigyet"" (""female being"")",Directed,0.1,67.4,674,Knows of
14,27,real Barbeau,"""Yaw'l"" (Laxgibuu)",Directed,0.1,67.4,674,Knows of
14,30,real Barbeau,"brother of ""Yaw'l"" who killed ""Huge-Belly""",Directed,0.1,67.4,674,Knows of
