source,target,Character 1,Character 2,type,weight,startPage,OriginalstartPage,category
4,3,"Gisk'aast (""Killer Whale Clan"")","""Eagle-Raven clan""",Directed,0.1,5.3,53,Knows
4,6,"Gisk'aast (""Killer Whale Clan"")","""Hladerh"" (Laxgibuu)",Directed,0.1,5.3,53,Knows
4,5,"Gisk'aast (""Killer Whale Clan"")","""Sispagut"" (Gisk'aast)",Directed,0.1,5.3,53,Knows
4,7,"Gisk'aast (""Killer Whale Clan"")","Oyee (""Oyai"")",Directed,0.1,5.3,53,Knows
4,14,"Gisk'aast (""Killer Whale Clan"")",real Barbeau,Directed,0.1,5.3,53,Knows
4,2,"Gisk'aast (""Killer Whale Clan"")",Sagaween (Laxsgiik),Directed,0.1,5.3,53,Knows
20,54,"Laxgibuu (""Wolf clan"")","""ancestors of Eagles""",Directed,0.1,5.3,53,Knows of
20,55,"Laxgibuu (""Wolf clan"")","""ancestors of Wolves""",Directed,0.1,5.3,53,Knows
20,2,"Laxgibuu (""Wolf clan"")",Sagaween (Laxsgiik),Directed,0.1,5.3,53,Knows
57,14,Macmillan Company of Canada,real Barbeau,Directed,0.1,5.3,53,Knows
7,6,"Oyee (""Oyai"")","""Hladerh"" (Laxgibuu)",Directed,0.1,5.3,53,Knows of
7,5,"Oyee (""Oyai"")","""Sispagut"" (Gisk'aast)",Directed,0.1,5.3,53,Knows
7,4,"Oyee (""Oyai"")","Gisk'aast (""Killer Whale Clan"")",Directed,0.1,5.3,53,Knows
7,2,"Oyee (""Oyai"")",Sagaween (Laxsgiik),Directed,0.1,5.3,53,Knows of
14,54,real Barbeau,"""ancestors of Eagles""",Directed,0.1,5.3,53,Knows of
14,55,real Barbeau,"""ancestors of Wolves""",Directed,0.1,5.3,53,Knows of
14,3,real Barbeau,"""Eagle-Raven clan""",Directed,0.1,5.3,53,Knows
14,6,real Barbeau,"""Hladerh"" (Laxgibuu)",Directed,0.1,5.3,53,Knows of
14,5,real Barbeau,"""Sispagut"" (Gisk'aast)",Directed,0.1,5.3,53,Knows of
14,56,real Barbeau,Caxton Printers,Directed,0.1,5.3,53,Knows
14,4,real Barbeau,"Gisk'aast (""Killer Whale Clan"")",Directed,0.1,5.3,53,Knows
14,20,real Barbeau,"Laxgibuu (""Wolf clan"")",Directed,0.1,5.3,53,Knows of
