Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Participating Characters,Mr. Bingley,Mr. Darcy,Other characters,Elizabeth Bennet,Jane Bennet,Mr. Wickham,Mr. Collins
9,The Ball at Netherfield,1793-11-26,1793-11-26,F,3rd Person Narrator (PP),85.0,101.0,,,,,,,,T,T,T,T,T,,T
10,The Bingleys leave Netherfield,1793-11-27,1793-11-28,F,3rd Person Narrator (PP),193.0,193.0,,,,,,,,T,T,T,,T,,
10,The Bingleys leave Netherfield,1793-11-27,1793-11-28,F,3rd Person Narrator (PP),114.0,114.0,,,,,,,,T,T,T,,T,,
10,The Bingleys leave Netherfield,1793-11-27,1793-11-28,F,3rd Person Narrator (PP),173.0,173.0,,,,,,,,T,T,T,,T,,
10,The Bingleys leave Netherfield,1793-11-27,1793-11-28,F,3rd Person Narrator (PP),181.0,181.0,,,,,,,,T,T,T,,T,,
10,The Bingleys leave Netherfield,1793-11-27,1793-11-28,F,3rd Person Narrator (PP),187.0,187.0,,,,,,,,T,T,T,,T,,
11,Mr. Collins proposes to Elizabeth,1793-11-27,1793-11-27,F,3rd Person Narrator (PP),119.0,199.0,,,,,,,,,,,T,,,T
11,Mr. Collins proposes to Elizabeth,1793-11-27,1793-11-27,F,3rd Person Narrator (PP),102.0,113.0,,,,,,,,,,,T,,,T
10,The Bingleys leave Netherfield,1793-11-27,1793-11-28,F,3rd Person Narrator (PP),317.0,317.0,,,,,,,,T,T,T,,T,,
12,Mr. Collins gets engaged to Charlotte Lucas,1793-11-30,1793-11-30,F,3rd Person Narrator (PP),120.0,120.0,,,,,,,,,,T,,,,T
13,Jane goes to London with the Gardiners,1793-12-30,1793-05-11,T,3rd Person Narrator (PP),194.0,194.0,,,,,,,,,,T,,T,,
13,Jane goes to London with the Gardiners,1793-12-30,1793-05-11,T,3rd Person Narrator (PP),143.0,148.0,,,,,,,,,,T,,T,,
13,Jane goes to London with the Gardiners,1793-12-30,1793-05-11,T,3rd Person Narrator (PP),330.0,330.0,,,,,,,,,,T,,T,,
14,Mr. Collins and Charlotte Lucas get married,1794-01-09,1794-01-09,F,3rd Person Narrator (PP),143.0,143.0,,,,,,,,,,T,,,,T
15,Elizabeth visits the Collinses at Hunsford,1794-03-05,1794-05-10,T,3rd Person Narrator (PP),151.0,210.0,,,,,,,,,,T,T,,,T
16,Mr. Darcy and Colonel Fitzwilliam visit Rosings,1794-03-23,1794-05-03,T,3rd Person Narrator (PP),166.0,204.0,,,,,,,,,T,T,,,,
17,Mr. Darcy proposes to Elizabeth,1794-04-09,1794-05-01,T,3rd Person Narrator (PP),191.0,197.0,,,,,,,,,T,,T,,,
18,Mr. Darcy explains everything in a letter,1794-04-10,1794-04-10,F,3rd Person Narrator (PP),348.0,348.0,,,,,,,,,T,,T,,,
19,Lydia runs away with Mr. Wickham,1794-07-26,1794-07-27,T,3rd Person Narrator (PP),260.0,266.0,,,,,,,,,,T,,,T,
19,Lydia runs away with Mr. Wickham,1794-07-26,1794-07-27,T,3rd Person Narrator (PP),274.0,274.0,,,,,,,,,,T,,,T,
19,Lydia runs away with Mr. Wickham,1794-07-26,1794-07-27,T,3rd Person Narrator (PP),276.0,277.0,,,,,,,,,,T,,,T,
19,Lydia runs away with Mr. Wickham,1794-07-26,1794-07-27,T,3rd Person Narrator (PP),268.0,269.0,,,,,,,,,,T,,,T,
20,Elizabeth visits Pemberley,1794-07-28,1794-08-04,T,3rd Person Narrator (PP),349.0,350.0,,,,,,,,,T,T,T,,,
20,Elizabeth visits Pemberley,1794-07-28,1794-08-04,T,3rd Person Narrator (PP),237.0,247.0,,,,,,,,,T,T,T,,,
21,Mr. Darcy settles things between Mr. Wickham and Lydia,1794-08-08,1794-08-16,T,3rd Person Narrator (PP),304.0,309.0,,,,,,,,,T,T,,,T,
21,Mr. Darcy settles things between Mr. Wickham and Lydia,1794-08-08,1794-08-16,T,3rd Person Narrator (PP),286.0,288.0,,,,,,,,,T,T,,,T,
21,Mr. Darcy settles things between Mr. Wickham and Lydia,1794-08-08,1794-08-16,T,3rd Person Narrator (PP),360.0,360.0,,,,,,,,,T,T,,,T,
21,Mr. Darcy settles things between Mr. Wickham and Lydia,1794-08-08,1794-08-16,T,3rd Person Narrator (PP),345.0,346.0,,,,,,,,,T,T,,,T,
22,Mr. Wickham marries Lydia,1794-08-25,1794-08-31,T,3rd Person Narrator (PP),286.0,288.0,,,,,,,,,T,T,,,T,
22,Mr. Wickham marries Lydia,1794-08-25,1794-08-31,T,3rd Person Narrator (PP),293.0,293.0,,,,,,,,,T,T,,,T,
22,Mr. Wickham marries Lydia,1794-08-25,1794-08-31,T,3rd Person Narrator (PP),298.0,302.0,,,,,,,,,T,T,,,T,
23,Mr. Bingley and Mr. Darcy return to Netherfield,1794-09-16,1794-12-24,T,3rd Person Narrator (PP),319.0,319.0,,,,,,,,T,T,,,,,
23,Mr. Bingley and Mr. Darcy return to Netherfield,1794-09-16,1794-12-24,T,3rd Person Narrator (PP),313.0,313.0,,,,,,,,T,T,,,,,
23,Mr. Bingley and Mr. Darcy return to Netherfield,1794-09-16,1794-12-24,T,3rd Person Narrator (PP),360.0,360.0,,,,,,,,T,T,,,,,
24,Mr. Bingley and Jane get engaged,1794-09-26,1794-09-26,F,3rd Person Narrator (PP),327.0,332.0,,,,,,,,T,,,,T,,
24,Mr. Bingley and Jane get engaged,1794-09-26,1794-09-26,F,3rd Person Narrator (PP),350.0,350.0,,,,,,,,T,,,,T,,
25,Elizabeth and Mr. Darcy get engaged,1794-12-01,1794-12-24,T,3rd Person Narrator (PP),361.0,362.0,,,,,,,,,T,,T,,,
25,Elizabeth and Mr. Darcy get engaged,1794-12-01,1794-12-24,T,3rd Person Narrator (PP),355.0,358.0,,,,,,,,,T,,T,,,
25,Elizabeth and Mr. Darcy get engaged,1794-12-01,1794-12-24,T,3rd Person Narrator (PP),352.0,353.0,,,,,,,,,T,,T,,,
25,Elizabeth and Mr. Darcy get engaged,1794-12-01,1794-12-24,T,3rd Person Narrator (PP),346.0,347.0,,,,,,,,,T,,T,,,
26,"Double wedding between Elizabeth and Mr. Darcy, Jane and Mr. Bingley",1794-12-01,1794-12-24,T,3rd Person Narrator (PP),364.0,364.0,,,,,,,,T,T,T,T,T,,
