id_x,Event Name,Novel_x,Start Date,End Date,Duration,Preceding Event,Evidence,id_y,Narrator,Container,Start Page,End Page,TT Description,id,Novel_y,Start Date TT,End Date TT,Preceding t-t
203,Caddy visits Jason's office,The Sound and the Fury,1912-00-00,1913-00-00,0,Dilsey lets Caddy see Quentin Jr. and Jason finds out because Benjy bellows,"Occurs the day after the funeral: ""the next morning dam if she didn't walk right into the store, only she had sense enough to wear the veil and not speak to anybody. It was Saturday morning, because I was at the store, and she came right on back to the desk where I was, walking fast"" (205)",393.0,Jason Compson IV (narrator),"April Sixth, 1928.",206.0,206.0,Jason recieves Caddy's letter (April sixth 1928),32.0,The Sound and the Fury,1928-04-06,1928-04-06,Jason drives Quentin Jr. to school (April sixth 1928)
181,"Caddy wears perfume, which upsets Benjamin",The Sound and the Fury,1906-00-00,1906-00-00,0,Changing Benjamin's name,Dates collected from Ross and Polk,336.0,Benjamin Compson (narrator),"April Seventh, 1928",42.0,42.0,"Luster looks for a quarter (April seventh, 1928)",40.0,The Sound and the Fury,1928-04-07,1928-04-07,Jason goes home and Quentin speaks up about Jason following her in his car (April sixth 1928)
181,"Caddy wears perfume, which upsets Benjamin",The Sound and the Fury,1906-00-00,1906-00-00,0,Changing Benjamin's name,Dates collected from Ross and Polk,337.0,Benjamin Compson (narrator),"April Seventh, 1928",43.0,43.0,"Luster looks for a quarter (April seventh, 1928)",40.0,The Sound and the Fury,1928-04-07,1928-04-07,Jason goes home and Quentin speaks up about Jason following her in his car (April sixth 1928)
181,"Caddy wears perfume, which upsets Benjamin",The Sound and the Fury,1906-00-00,1906-00-00,0,Changing Benjamin's name,Dates collected from Ross and Polk,445.0,Quentin Compson III (narrator),"June Second, 1910",176.0,176.0,Quentin dresses up (June second 1910),29.0,The Sound and the Fury,1910-06-02,1910-06-02,Quentin fights Gerald (June second 1910)
180,Changing Benjamin's name,The Sound and the Fury,1900-00-00,1900-00-00,0,Damuddy's death,"(includes the decision to change his name, Caddy explaining it to Benjamin, and Jason cutting up the paper dolls) Dates collected from Ross and Polk",328.0,Benjamin Compson (narrator),"April Seventh, 1928",56.0,56.0,"Luster and Benjy eat cake for Benjy's birthday (April seventh, 1928)",42.0,The Sound and the Fury,1928-04-07,1928-04-07,"Benjy sees Quentin Jr. with the band member wearing the red tie in the swing (April seventh, 1928)"
180,Changing Benjamin's name,The Sound and the Fury,1900-00-00,1900-00-00,0,Damuddy's death,"(includes the decision to change his name, Caddy explaining it to Benjamin, and Jason cutting up the paper dolls) Dates collected from Ross and Polk",329.0,Benjamin Compson (narrator),"April Seventh, 1928",58.0,58.0,"Luster and Benjy eat cake for Benjy's birthday (April seventh, 1928)",42.0,The Sound and the Fury,1928-04-07,1928-04-07,"Benjy sees Quentin Jr. with the band member wearing the red tie in the swing (April seventh, 1928)"
180,Changing Benjamin's name,The Sound and the Fury,1900-00-00,1900-00-00,0,Damuddy's death,"(includes the decision to change his name, Caddy explaining it to Benjamin, and Jason cutting up the paper dolls) Dates collected from Ross and Polk",330.0,Benjamin Compson (narrator),"April Seventh, 1928",61.0,61.0,"Luster and Benjy eat cake for Benjy's birthday (April seventh, 1928)",42.0,The Sound and the Fury,1928-04-07,1928-04-07,"Benjy sees Quentin Jr. with the band member wearing the red tie in the swing (April seventh, 1928)"
180,Changing Benjamin's name,The Sound and the Fury,1900-00-00,1900-00-00,0,Damuddy's death,"(includes the decision to change his name, Caddy explaining it to Benjamin, and Jason cutting up the paper dolls) Dates collected from Ross and Polk",331.0,Benjamin Compson (narrator),"April Seventh, 1928",64.0,64.0,"Luster and Benjy eat cake for Benjy's birthday (April seventh, 1928)",42.0,The Sound and the Fury,1928-04-07,1928-04-07,"Benjy sees Quentin Jr. with the band member wearing the red tie in the swing (April seventh, 1928)"
180,Changing Benjamin's name,The Sound and the Fury,1900-00-00,1900-00-00,0,Damuddy's death,"(includes the decision to change his name, Caddy explaining it to Benjamin, and Jason cutting up the paper dolls) Dates collected from Ross and Polk",332.0,Benjamin Compson (narrator),"April Seventh, 1928",65.0,65.0,"Luster and Benjy eat cake for Benjy's birthday (April seventh, 1928)",42.0,The Sound and the Fury,1928-04-07,1928-04-07,"Benjy sees Quentin Jr. with the band member wearing the red tie in the swing (April seventh, 1928)"
180,Changing Benjamin's name,The Sound and the Fury,1900-00-00,1900-00-00,0,Damuddy's death,"(includes the decision to change his name, Caddy explaining it to Benjamin, and Jason cutting up the paper dolls) Dates collected from Ross and Polk",333.0,Benjamin Compson (narrator),"April Seventh, 1928",66.0,66.0,"Luster and Benjy eat cake for Benjy's birthday (April seventh, 1928)",42.0,The Sound and the Fury,1928-04-07,1928-04-07,"Benjy sees Quentin Jr. with the band member wearing the red tie in the swing (April seventh, 1928)"
