Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Participating Characters,Damuddy,Caroline Bascomb Compson,Jason Compson III,Quentin Compson III,Caddy Compson,Benjamin Compson,Jason Compson IV,Versh Gibson,Frony Gibson,T.P.,Roskus Gibson,Dilsey Gibson,Mr. Patterson,Mrs. Patterson,Maury Bascomb,Charlie,Herbert Head,Little girl (Benjy ran after),Doctor,Miss Quentin Compson,Grave diggers,Band member (that Quentin runs off with),Luster Gibson,Reverend Shegog,Church-goers,Choir,Sheriff,Man (in a dirty apron),Man (who runs the show),Dalton Ames,Shreve
1,Damuddy's death,1900-01-01,1900-01-01,T,Quentin Compson III (narrator),151.0,151.0,1910-06-02,1910-06-02,76.0,179.0,F,"(includes the children playing in the water, coming home, and looking in the house) Dates collected from Ross and Polk",,T,T,T,T,T,T,T,T,T,T,T,,,,,,,,,,,,,,,,,,,,
1,Damuddy's death,1900-01-01,1900-01-01,T,Quentin Compson III (narrator),152.0,152.0,1910-06-02,1910-06-02,76.0,179.0,F,"(includes the children playing in the water, coming home, and looking in the house) Dates collected from Ross and Polk",,T,T,T,T,T,T,T,T,T,T,T,,,,,,,,,,,,,,,,,,,,
1,Damuddy's death,1900-01-01,1900-01-01,T,Benjamin Compson (narrator),25.0,25.0,1928-04-07,1928-04-07,3.0,75.0,F,"(includes the children playing in the water, coming home, and looking in the house) Dates collected from Ross and Polk",,T,T,T,T,T,T,T,T,T,T,T,,,,,,,,,,,,,,,,,,,,
2,Changing Benjamin's name,1900-01-01,1900-01-01,T,Benjamin Compson (narrator),56.0,56.0,1928-04-07,1928-04-07,3.0,75.0,F,"(includes the decision to change his name, Caddy explaining it to Benjamin, and Jason cutting up the paper dolls) Dates collected from Ross and Polk",,,T,T,,T,T,,T,,,,T,,,,,,,,,,,,,,,,,,,
1,Damuddy's death,1900-01-01,1900-01-01,T,Benjamin Compson (narrator),17.0,17.0,1928-04-07,1928-04-07,3.0,75.0,F,"(includes the children playing in the water, coming home, and looking in the house) Dates collected from Ross and Polk",,T,T,T,T,T,T,T,T,T,T,T,,,,,,,,,,,,,,,,,,,,
3,"Caddy wears perfume, which upsets Benjamin",1906-01-01,1906-01-01,T,Benjamin Compson (narrator),43.0,43.0,1928-04-07,1928-04-07,3.0,75.0,F,Dates collected from Ross and Polk,,,,,,T,T,,,,,,T,,,,,,,,,,,,,,,,,,,
3,"Caddy wears perfume, which upsets Benjamin",1906-01-01,1906-01-01,T,Benjamin Compson (narrator),42.0,42.0,1928-04-07,1928-04-07,3.0,75.0,F,Dates collected from Ross and Polk,,,,,,T,T,,,,,,T,,,,,,,,,,,,,,,,,,,
3,"Caddy wears perfume, which upsets Benjamin",1906-01-01,1906-01-01,T,Quentin Compson III (narrator),176.0,176.0,1910-06-02,1910-06-02,76.0,179.0,F,Dates collected from Ross and Polk,,,,,,T,T,,,,,,T,,,,,,,,,,,,,,,,,,,
4,Patterson Affair,1908-03-01,1909-01-01,T,Quentin Compson III (narrator),175.0,175.0,1910-06-02,1910-06-02,76.0,179.0,F,"Benjy first delivers a letter to Mrs. Patterson when ""Mr Patterson was chopping in the green flowers"" and then with Caddy around Christmas time: ""'It's a Christmas present. Caddy said"" (13)",,,,,,T,T,,,,,,,T,T,T,,,,,,,,,,,,,,,,
4,Patterson Affair,1908-03-01,1909-01-01,T,Benjamin Compson (narrator),14.0,14.0,1928-04-07,1928-04-07,3.0,75.0,F,"Benjy first delivers a letter to Mrs. Patterson when ""Mr Patterson was chopping in the green flowers"" and then with Caddy around Christmas time: ""'It's a Christmas present. Caddy said"" (13)",,,,,,T,T,,,,,,,T,T,T,,,,,,,,,,,,,,,,
4,Patterson Affair,1908-03-01,1909-01-01,T,Benjamin Compson (narrator),4.0,4.0,1928-04-07,1928-04-07,3.0,75.0,F,"Benjy first delivers a letter to Mrs. Patterson when ""Mr Patterson was chopping in the green flowers"" and then with Caddy around Christmas time: ""'It's a Christmas present. Caddy said"" (13)",,,,,,T,T,,,,,,,T,T,T,,,,,,,,,,,,,,,,
4,Patterson Affair,1908-03-01,1909-01-01,T,Benjamin Compson (narrator),13.0,13.0,1928-04-07,1928-04-07,3.0,75.0,F,"Benjy first delivers a letter to Mrs. Patterson when ""Mr Patterson was chopping in the green flowers"" and then with Caddy around Christmas time: ""'It's a Christmas present. Caddy said"" (13)",,,,,,T,T,,,,,,,T,T,T,,,,,,,,,,,,,,,,
