Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Participating Characters,R Alma Mereminski,R Alma Mereminski's father,R Alma Mereminski's mother,R Leo Gursky,R Leo's father,R Leo's mother,R Zvi Litvinoff,R Isaac Moritz,R Rosa Litvinoff,R David Singer,R Bookstore owner (in Buenos Aires),R Charlotte Singer,R Bruno,R Alma Singer,R Misha Shklovsky,R Tatiana,R Uncle Julian,R Bird,R Doorman (Alma Mereminski's building),R Jacob Marcus,R Herman Cooper,R Bernard Moritz
15,R Leo and Bruno reunite,1945-10-01,1998-01-01,T,R Leo (narrator),18.0,0.0,2000-12-01,2001-01-31,3.0,13.0,T,"This event happened after Alma refuses Leo, but before the events of the book. Note: the date is closer to 1998 than 1945 because Bruno's ""hair was white and thin"" (6).",,,,,T,,,,,,,,,T,,,,,,,,,
15,R Leo and Bruno reunite,1945-10-01,1998-01-01,T,R Leo (narrator),5.0,0.0,2000-12-01,2001-01-31,3.0,13.0,T,"This event happened after Alma refuses Leo, but before the events of the book. Note: the date is closer to 1998 than 1945 because Bruno's ""hair was white and thin"" (6).",,,,,T,,,,,,,,,T,,,,,,,,,
16,R Alma refuses Leo's proposal,1945-10-01,1946-08-18,T,R Leo (narrator),226.0,0.0,2000-12-01,2001-01-31,226.0,226.0,T,Leo was 25 and Isaac was 5 (13); this event happened after Isaac's 5th birthday and before Leo's 26th.,,T,,,T,,,,,,,,,,,,,,,,,,
16,R Alma refuses Leo's proposal,1945-10-01,1946-08-18,T,R Leo (narrator),13.0,0.0,2000-12-01,2001-01-31,3.0,13.0,T,Leo was 25 and Isaac was 5 (13); this event happened after Isaac's 5th birthday and before Leo's 26th.,,T,,,T,,,,,,,,,,,,,,,,,,
15,R Leo and Bruno reunite,1945-10-01,1998-01-01,T,R Leo (narrator),6.0,0.0,2000-12-01,2001-01-31,3.0,13.0,T,"This event happened after Alma refuses Leo, but before the events of the book. Note: the date is closer to 1998 than 1945 because Bruno's ""hair was white and thin"" (6).",,,,,T,,,,,,,,,T,,,,,,,,,
17,R Zvi and Rosa meet,1951-09-01,1951-11-01,T,R Zvi's narrator,65.0,0.0,1980-01-01,0000-01-01,65.0,74.0,T,"""I met Zvi in Valparaiso, in the fall of 1951"" (65).",,,,,,,,T,,T,,,,,,,,,,,,,
17,R Zvi and Rosa meet,1951-09-01,1951-11-01,T,R Zvi's narrator,157.0,0.0,1980-01-01,0000-01-01,153.0,159.0,T,"""I met Zvi in Valparaiso, in the fall of 1951"" (65).",,,,,,,,T,,T,,,,,,,,,,,,,
18,R Zvi and Rosa finish translating The History of Love,1952-01-01,1952-12-31,T,R Zvi's narrator,66.0,0.0,1980-01-01,0000-01-01,65.0,74.0,T,"This event probably occurred ""sixteen years"" after ""1936"" (184).",,,,,,,,T,,T,,,,,,,,,,,,,
19,R Zvi adds Leo's obituary to The History of Love,1954-01-01,1962-12-31,T,R Zvi's narrator,189.0,0.0,1980-01-01,0000-01-01,187.0,191.0,T,"This event occurred years before The History of Love was published; the latest possible date of publication is 1964, and years (plural) indicates a minimum of two. I forget how we decided on 1954.",,,,,T,,,T,,,,,,,,,,,,,,,
20,R Rosa destroys the manuscript of The History of Love,1954-09-01,1964-01-01,T,R Leo (narrator),248.0,0.0,2000-12-01,2001-01-31,248.0,250.0,T,This event happened after the publication of The History of Love; re: 1964.,,,,,,,,,,T,,,,,,,,,,,,,
20,R Rosa destroys the manuscript of The History of Love,1954-09-01,1964-01-01,T,R Zvi's narrator,191.0,0.0,1980-01-01,0000-01-01,187.0,191.0,T,This event happened after the publication of The History of Love; re: 1964.,,,,,,,,,,T,,,,,,,,,,,,,
20,R Rosa destroys the manuscript of The History of Love,1954-09-01,1964-01-01,T,R Leo (narrator),122.0,0.0,2000-12-01,2001-01-31,119.0,129.0,T,This event happened after the publication of The History of Love; re: 1964.,,,,,,,,,,T,,,,,,,,,,,,,
20,R Rosa destroys the manuscript of The History of Love,1954-09-01,1964-01-01,T,R Leo (narrator),121.0,0.0,2000-12-01,2001-01-31,119.0,129.0,T,This event happened after the publication of The History of Love; re: 1964.,,,,,,,,,,T,,,,,,,,,,,,,
20,R Rosa destroys the manuscript of The History of Love,1954-09-01,1964-01-01,T,R Zvi's narrator,66.0,0.0,1980-01-01,0000-01-01,65.0,74.0,T,This event happened after the publication of The History of Love; re: 1964.,,,,,,,,,,T,,,,,,,,,,,,,
21,R Zvi publishes The History of Love,1954-09-01,1964-01-01,T,R Zvi's narrator,67.0,0.0,1980-01-01,0000-01-01,65.0,74.0,T,"This event happened after he showed his manuscript to editors ""in the fall of 1954"" (68). I forget how we decided on 1964.",,,,,,,,T,,,,,,,,,,,,,,,
21,R Zvi publishes The History of Love,1954-09-01,1964-01-01,T,R Zvi's narrator,70.0,0.0,1980-01-01,0000-01-01,65.0,74.0,T,"This event happened after he showed his manuscript to editors ""in the fall of 1954"" (68). I forget how we decided on 1964.",,,,,,,,T,,,,,,,,,,,,,,,
21,R Zvi publishes The History of Love,1954-09-01,1964-01-01,T,R Zvi's narrator,188.0,0.0,1980-01-01,0000-01-01,187.0,191.0,T,"This event happened after he showed his manuscript to editors ""in the fall of 1954"" (68). I forget how we decided on 1964.",,,,,,,,T,,,,,,,,,,,,,,,
21,R Zvi publishes The History of Love,1954-09-01,1964-01-01,T,R Zvi's narrator,189.0,0.0,1980-01-01,0000-01-01,187.0,191.0,T,"This event happened after he showed his manuscript to editors ""in the fall of 1954"" (68). I forget how we decided on 1964.",,,,,,,,T,,,,,,,,,,,,,,,
21,R Zvi publishes The History of Love,1954-09-01,1964-01-01,T,R Zvi's narrator,190.0,0.0,1980-01-01,0000-01-01,187.0,191.0,T,"This event happened after he showed his manuscript to editors ""in the fall of 1954"" (68). I forget how we decided on 1964.",,,,,,,,T,,,,,,,,,,,,,,,
20,R Rosa destroys the manuscript of The History of Love,1954-09-01,1964-01-01,T,R Zvi's narrator,190.0,0.0,1980-01-01,0000-01-01,187.0,191.0,T,This event happened after the publication of The History of Love; re: 1964.,,,,,,,,,,T,,,,,,,,,,,,,
22,R David Singer buys The History of Love,1971-01-01,1971-12-31,T,R Alma (narrator),175.0,0.0,2000-09-14,0000-01-01,175.0,176.0,T,"David was 22 when he bought it (176). He was 10 years older than Charlotte, and Charlotte is 41 when Alma is 15 (38).  Alma is born in 1985.",,,,,,,,,,,T,T,,,,,,,,,,,
22,R David Singer buys The History of Love,1971-01-01,1971-12-31,T,R Zvi's narrator,74.0,0.0,1980-01-01,0000-01-01,65.0,74.0,T,"David was 22 when he bought it (176). He was 10 years older than Charlotte, and Charlotte is 41 when Alma is 15 (38).  Alma is born in 1985.",,,,,,,,,,,T,T,,,,,,,,,,,
