id,Type of Relationship,Character 1,Character 2,Is Reciprocal?,Narrative Container,Start Page,End Page
160,"Knows","Harry Potter","Severus Snape","1","Through the Trapdoor","208","208"
161,"Knows","Harry Potter","Voldemort","1","Through the Trapdoor","208","208"
162,"Exchange","Ted (News Reader)","Minerva McGonagall","0","The Boy Who Lived","13","13"
163,"Knows of","Albus Dumbledore","Muggles","0","The Boy Who Lived","13","13"
164,"Knows","Albus Dumbledore","Dedalus Diggle","1","The Boy Who Lived","13","13"
165,"Knows","Minerva McGonagall","Voldemort","1","The Boy Who Lived","13","14"
167,"Knows of","People in the Wizarding World","Voldemort","1","The Boy Who Lived","14","14"
168,"Knows of","People in the Wizarding World","Lily Potter","0","The Boy Who Lived","14","14"
169,"Exchange","Voldemort","Harry Potter","1","The Boy Who Lived","15","15"
170,"Exchange","Voldemort","People Voldemort has killed","1","The Boy Who Lived","15","15"
171,"Knows","Albus Dumbledore","Harry Potter","0","The Boy Who Lived","14","16"
174,"Exchange","Albus Dumbledore","Harry Potter","1","The Boy Who Lived","18","18"
175,"Exchange","Petunia Dursley","Harry Potter","0","The Boy Who Lived","18","18"
177,"Exchange","Vernon Dursley","Harry Potter","1","The Vanishing Glass","20","20"
178,"Exchange","Vernon Dursley","Dudley Dursley","1","The Vanishing Glass","21","22"
179,"Exchange","Petunia Dursley","Dudley Dursley","1","The Vanishing Glass","19","19"
180,"Exchange","Petunia Dursley","Mrs. Figg","1","The Vanishing Glass","21","21"
181,"Exchange","Dudley Dursley","Piers Polkiss","1","The Vanishing Glass","24","24"
182,"Exchange","Harry's Headmistress","Vernon Dursley","1","The Vanishing Glass","23","23"
183,"Exchange","Dudley Dursley","Harry Potter","1","The Vanishing Glass","24","24"
184,"Exchange","Piers Polkiss","Harry Potter","1","The Vanishing Glass","26","26"
185,"Exchange","Dedalus Diggle","Harry Potter","1","The Vanishing Glass","27","27"
186,"Exchange","Woman dressed in all green","Harry Potter","1","The Vanishing Glass","27","27"
187,"Exchange","Bald man in a purple coat","Harry Potter","1","The Vanishing Glass","27","27"
188,"Exchange","Dudley Dursley","Mrs. Figg","0","The Letters From No One","28","28"
189,"Knows","Hermione Granger","Lee Jordan","1","Through the Trapdoor","197","197"
190,"Knows","Ronald Weasley","Lee Jordan","1","Through the Trapdoor","197","197"
191,"Knows","Harry Potter","Professor Quirell","1","Through the Trapdoor","208","208"
194,"Knows","Hermione Granger","Mrs. Norris","1","Through the Trapdoor","199","199"
195,"Knows","Ronald Weasley","Mrs. Norris","1","Through the Trapdoor","199","199"
196,"Knows","Hermione Granger","Fluffy","1","Through the Trapdoor","200","201"
197,"Knows","Ronald Weasley","Fluffy","1","Through the Trapdoor","200","201"
198,"Knows","Harry Potter","Severus Snape","1","The Man with Two Faces","209","210"
199,"Knows","Professor Quirell","Severus Snape","1","The Man with Two Faces","209","210"
200,"Knows","Professor Quirell","Hermione Granger","1","The Man with Two Faces","209","209"
201,"Knows","Professor Quirell","Albus Dumbledore","1","The Man with Two Faces","209","210"
202,"Exchange","Rubeus Hagrid","Dudley Dursley","1","The Keeper of the Keys","39","40"
203,"Exchange","Professor Quirell","Harry Potter","1","The Man with Two Faces","209","214"
205,"Exchange","Vernon Dursley","Rubeus Hagrid","1","The Keeper of the Keys","39","43"
207,"Knows","Professor Quirell","Voldemort","1","The Man with Two Faces","210","210"
208,"Knows","Severus Snape","James Potter","1","The Man with Two Faces","210","210"
209,"Knows","Professor Quirell","James Potter","1","The Man with Two Faces","210","210"
212,"Exchange","Professor Quirell","Voldemort","1","The Man with Two Faces","211","214"
215,"Knows","Harry Potter","Albus Dumbledore","1","The Man with Two Faces","212","212"
217,"Exchange","Voldemort","Harry Potter","1","The Man with Two Faces","211","214"
220,"Knows","Voldemort","James Potter","1","The Man with Two Faces","213","213"
221,"Knows","Voldemort","Lily Potter","1","The Man with Two Faces","213","213"
224,"Exchange","Rubeus Hagrid","Petunia Dursley","1","The Keeper of the Keys","47","47"
227,"Exchange","Albus Dumbledore","Harry Potter","1","The Man with Two Faces","214","218"
228,"Knows","Albus Dumbledore","Professor Quirell","1","The Man with Two Faces","214","215"
229,"Knows","Albus Dumbledore","Madam Pomfrey","1","The Man with Two Faces","214","214"
230,"Knows","Albus Dumbledore","Fred Weasley","1","The Man with Two Faces","214","214"
231,"Knows of","People in the Wizarding World","Harry Potter","1","The Keeper of the Keys","46","47"
232,"Knows","Albus Dumbledore","George Weasley","1","The Man with Two Faces","214","214"
233,"Knows","Albus Dumbledore","Hermione Granger","1","The Man with Two Faces","215","215"
234,"Knows","Albus Dumbledore","Ronald Weasley","1","The Man with Two Faces","215","215"
237,"Knows of","Harry Potter","Nicolas Flamel","1","The Man with Two Faces","215","215"
238,"Exchange","Albus Dumbledore","Nicolas Flamel","1","The Man with Two Faces","215","215"
