id_cont,Title,Level,Start Page_cont,End Page_cont,Narrator,Protagonist,Embed. Type,id_rel,Type of Relationship,Character 1,Character 2,Is Reciprocal?,Narrative Container,Start Page_rel,End Page_rel
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],155,Knows,Harry Potter,Fluffy,1,Through the Trapdoor,208,208
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],156,Knows,Harry Potter,Hedwig,1,Through the Trapdoor,208,208
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],157,Knows,Harry Potter,Albus Dumbledore,1,Through the Trapdoor,208,208
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],159,Knows of,Hermione Granger,Voldemort,0,Through the Trapdoor,208,208
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],160,Knows,Harry Potter,Severus Snape,1,Through the Trapdoor,208,208
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],161,Knows,Harry Potter,Voldemort,1,Through the Trapdoor,208,208
1,The Boy Who Lived,level 1 (section),7,18,[NULL],[NULL],[NULL],162,Exchange,Ted (News Reader),Minerva McGonagall,0,The Boy Who Lived,13,13
1,The Boy Who Lived,level 1 (section),7,18,[NULL],[NULL],[NULL],163,Knows of,Albus Dumbledore,Muggles,0,The Boy Who Lived,13,13
1,The Boy Who Lived,level 1 (section),7,18,[NULL],[NULL],[NULL],164,Knows,Albus Dumbledore,Dedalus Diggle,1,The Boy Who Lived,13,13
1,The Boy Who Lived,level 1 (section),7,18,[NULL],[NULL],[NULL],165,Knows,Minerva McGonagall,Voldemort,1,The Boy Who Lived,13,14
1,The Boy Who Lived,level 1 (section),7,18,[NULL],[NULL],[NULL],167,Knows of,People in the Wizarding World,Voldemort,1,The Boy Who Lived,14,14
1,The Boy Who Lived,level 1 (section),7,18,[NULL],[NULL],[NULL],168,Knows of,People in the Wizarding World,Lily Potter,0,The Boy Who Lived,14,14
1,The Boy Who Lived,level 1 (section),7,18,[NULL],[NULL],[NULL],169,Exchange,Voldemort,Harry Potter,1,The Boy Who Lived,15,15
1,The Boy Who Lived,level 1 (section),7,18,[NULL],[NULL],[NULL],170,Exchange,Voldemort,People Voldemort has killed,1,The Boy Who Lived,15,15
1,The Boy Who Lived,level 1 (section),7,18,[NULL],[NULL],[NULL],171,Knows,Albus Dumbledore,Harry Potter,0,The Boy Who Lived,14,16
1,The Boy Who Lived,level 1 (section),7,18,[NULL],[NULL],[NULL],174,Exchange,Albus Dumbledore,Harry Potter,1,The Boy Who Lived,18,18
1,The Boy Who Lived,level 1 (section),7,18,[NULL],[NULL],[NULL],175,Exchange,Petunia Dursley,Harry Potter,0,The Boy Who Lived,18,18
11,The Vanishing Glass,level 1 (section),18,27,[NULL],[NULL],[NULL],177,Exchange,Vernon Dursley,Harry Potter,1,The Vanishing Glass,20,20
11,The Vanishing Glass,level 1 (section),18,27,[NULL],[NULL],[NULL],178,Exchange,Vernon Dursley,Dudley Dursley,1,The Vanishing Glass,21,22
11,The Vanishing Glass,level 1 (section),18,27,[NULL],[NULL],[NULL],179,Exchange,Petunia Dursley,Dudley Dursley,1,The Vanishing Glass,19,19
11,The Vanishing Glass,level 1 (section),18,27,[NULL],[NULL],[NULL],180,Exchange,Petunia Dursley,Mrs. Figg,1,The Vanishing Glass,21,21
